logs/8e830a75-231b-4d53-bf9f-d6af974ee6a4.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:38,  7.96it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.24ms
step:1/1770 train_time:185ms step_avg:184.75ms
step:2/1770 train_time:310ms step_avg:154.87ms
step:3/1770 train_time:439ms step_avg:146.45ms
step:4/1770 train_time:558ms step_avg:139.48ms
step:5/1770 train_time:685ms step_avg:137.05ms
step:6/1770 train_time:813ms step_avg:135.49ms
step:7/1770 train_time:938ms step_avg:134.02ms
step:8/1770 train_time:1065ms step_avg:133.15ms
step:9/1770 train_time:1194ms step_avg:132.72ms
step:10/1770 train_time:1322ms step_avg:132.21ms
step:11/1770 train_time:1446ms step_avg:131.47ms
step:12/1770 train_time:1576ms step_avg:131.31ms
step:13/1770 train_time:1706ms step_avg:131.27ms
step:14/1770 train_time:1830ms step_avg:130.75ms
step:15/1770 train_time:1957ms step_avg:130.47ms
step:16/1770 train_time:2082ms step_avg:130.13ms
step:17/1770 train_time:2207ms step_avg:129.85ms
step:18/1770 train_time:2333ms step_avg:129.58ms
step:19/1770 train_time:2458ms step_avg:129.36ms
step:20/1770 train_time:2586ms step_avg:129.32ms
step:21/1770 train_time:2715ms step_avg:129.28ms
step:22/1770 train_time:2838ms step_avg:128.99ms
step:23/1770 train_time:2966ms step_avg:128.96ms
step:24/1770 train_time:3097ms step_avg:129.05ms
step:25/1770 train_time:3235ms step_avg:129.38ms
step:26/1770 train_time:3364ms step_avg:129.40ms
step:27/1770 train_time:3488ms step_avg:129.19ms
step:28/1770 train_time:3609ms step_avg:128.91ms
step:29/1770 train_time:3735ms step_avg:128.81ms
step:30/1770 train_time:3859ms step_avg:128.64ms
step:31/1770 train_time:3981ms step_avg:128.42ms
step:32/1770 train_time:4103ms step_avg:128.23ms
step:33/1770 train_time:4225ms step_avg:128.04ms
step:34/1770 train_time:4351ms step_avg:127.98ms
step:35/1770 train_time:4477ms step_avg:127.91ms
step:36/1770 train_time:4603ms step_avg:127.85ms
step:37/1770 train_time:4725ms step_avg:127.71ms
step:38/1770 train_time:4848ms step_avg:127.57ms
step:39/1770 train_time:4971ms step_avg:127.46ms
step:40/1770 train_time:5102ms step_avg:127.54ms
step:41/1770 train_time:5224ms step_avg:127.42ms
step:42/1770 train_time:5345ms step_avg:127.27ms
step:43/1770 train_time:5465ms step_avg:127.10ms
step:44/1770 train_time:5592ms step_avg:127.08ms
step:45/1770 train_time:5715ms step_avg:127.01ms
step:46/1770 train_time:5842ms step_avg:127.01ms
step:47/1770 train_time:5972ms step_avg:127.07ms
step:48/1770 train_time:6107ms step_avg:127.22ms
step:49/1770 train_time:6234ms step_avg:127.22ms
step:50/1770 train_time:6362ms step_avg:127.23ms
step:50/1770 val_loss:8.1840 train_time:6365ms step_avg:127.30ms
step:51/1770 train_time:6500ms step_avg:127.45ms
step:52/1770 train_time:6627ms step_avg:127.45ms
step:53/1770 train_time:6753ms step_avg:127.42ms
step:54/1770 train_time:6885ms step_avg:127.50ms
step:55/1770 train_time:7011ms step_avg:127.47ms
step:56/1770 train_time:7139ms step_avg:127.49ms
step:57/1770 train_time:7261ms step_avg:127.39ms
step:58/1770 train_time:7386ms step_avg:127.35ms
step:59/1770 train_time:7514ms step_avg:127.35ms
step:60/1770 train_time:7640ms step_avg:127.34ms
step:61/1770 train_time:7767ms step_avg:127.33ms
step:62/1770 train_time:7896ms step_avg:127.35ms
step:63/1770 train_time:8017ms step_avg:127.25ms
step:64/1770 train_time:8146ms step_avg:127.27ms
step:65/1770 train_time:8271ms step_avg:127.25ms
step:66/1770 train_time:8405ms step_avg:127.34ms
step:67/1770 train_time:8530ms step_avg:127.31ms
step:68/1770 train_time:8653ms step_avg:127.25ms
step:69/1770 train_time:8782ms step_avg:127.28ms
step:70/1770 train_time:8908ms step_avg:127.25ms
step:71/1770 train_time:9031ms step_avg:127.19ms
step:72/1770 train_time:9155ms step_avg:127.16ms
step:73/1770 train_time:9280ms step_avg:127.12ms
step:74/1770 train_time:9408ms step_avg:127.14ms
step:75/1770 train_time:9535ms step_avg:127.13ms
step:76/1770 train_time:9670ms step_avg:127.23ms
step:77/1770 train_time:9798ms step_avg:127.25ms
step:78/1770 train_time:9924ms step_avg:127.23ms
step:79/1770 train_time:10049ms step_avg:127.20ms
step:80/1770 train_time:10177ms step_avg:127.21ms
step:81/1770 train_time:10302ms step_avg:127.18ms
step:82/1770 train_time:10425ms step_avg:127.13ms
step:83/1770 train_time:10547ms step_avg:127.07ms
step:84/1770 train_time:10674ms step_avg:127.07ms
step:85/1770 train_time:10802ms step_avg:127.09ms
step:86/1770 train_time:10926ms step_avg:127.04ms
step:87/1770 train_time:11054ms step_avg:127.06ms
step:88/1770 train_time:11180ms step_avg:127.05ms
step:89/1770 train_time:11308ms step_avg:127.06ms
step:90/1770 train_time:11438ms step_avg:127.09ms
step:91/1770 train_time:11563ms step_avg:127.07ms
step:92/1770 train_time:11688ms step_avg:127.04ms
step:93/1770 train_time:11820ms step_avg:127.09ms
step:94/1770 train_time:11944ms step_avg:127.06ms
step:95/1770 train_time:12070ms step_avg:127.06ms
step:96/1770 train_time:12198ms step_avg:127.07ms
step:97/1770 train_time:12329ms step_avg:127.10ms
step:98/1770 train_time:12456ms step_avg:127.10ms
step:99/1770 train_time:12582ms step_avg:127.09ms
step:100/1770 train_time:12705ms step_avg:127.05ms
step:100/1770 val_loss:7.0818 train_time:12711ms step_avg:127.11ms
step:101/1770 train_time:12842ms step_avg:127.15ms
step:102/1770 train_time:12972ms step_avg:127.17ms
step:103/1770 train_time:13097ms step_avg:127.16ms
step:104/1770 train_time:13220ms step_avg:127.12ms
step:105/1770 train_time:13346ms step_avg:127.10ms
step:106/1770 train_time:13477ms step_avg:127.14ms
step:107/1770 train_time:13602ms step_avg:127.13ms
step:108/1770 train_time:13729ms step_avg:127.12ms
step:109/1770 train_time:13855ms step_avg:127.11ms
step:110/1770 train_time:13981ms step_avg:127.10ms
step:111/1770 train_time:14109ms step_avg:127.10ms
step:112/1770 train_time:14240ms step_avg:127.14ms
step:113/1770 train_time:14371ms step_avg:127.17ms
step:114/1770 train_time:14495ms step_avg:127.15ms
step:115/1770 train_time:14618ms step_avg:127.11ms
step:116/1770 train_time:14745ms step_avg:127.12ms
step:117/1770 train_time:14876ms step_avg:127.15ms
step:118/1770 train_time:15002ms step_avg:127.14ms
step:119/1770 train_time:15128ms step_avg:127.13ms
step:120/1770 train_time:15256ms step_avg:127.14ms
step:121/1770 train_time:15390ms step_avg:127.19ms
step:122/1770 train_time:15529ms step_avg:127.29ms
step:123/1770 train_time:15663ms step_avg:127.34ms
step:124/1770 train_time:15801ms step_avg:127.42ms
step:125/1770 train_time:15930ms step_avg:127.44ms
step:126/1770 train_time:16071ms step_avg:127.55ms
step:127/1770 train_time:16215ms step_avg:127.68ms
step:128/1770 train_time:16349ms step_avg:127.72ms
step:129/1770 train_time:16481ms step_avg:127.76ms
step:130/1770 train_time:16614ms step_avg:127.80ms
step:131/1770 train_time:16743ms step_avg:127.81ms
step:132/1770 train_time:16879ms step_avg:127.87ms
step:133/1770 train_time:17012ms step_avg:127.91ms
step:134/1770 train_time:17144ms step_avg:127.94ms
step:135/1770 train_time:17278ms step_avg:127.98ms
step:136/1770 train_time:17414ms step_avg:128.04ms
step:137/1770 train_time:17542ms step_avg:128.04ms
step:138/1770 train_time:17670ms step_avg:128.05ms
step:139/1770 train_time:17796ms step_avg:128.03ms
step:140/1770 train_time:17925ms step_avg:128.03ms
step:141/1770 train_time:18053ms step_avg:128.03ms
step:142/1770 train_time:18183ms step_avg:128.05ms
step:143/1770 train_time:18307ms step_avg:128.02ms
step:144/1770 train_time:18436ms step_avg:128.03ms
step:145/1770 train_time:18568ms step_avg:128.06ms
step:146/1770 train_time:18699ms step_avg:128.08ms
step:147/1770 train_time:18825ms step_avg:128.06ms
step:148/1770 train_time:18948ms step_avg:128.03ms
step:149/1770 train_time:19069ms step_avg:127.98ms
step:150/1770 train_time:19194ms step_avg:127.96ms
step:150/1770 val_loss:6.9067 train_time:19201ms step_avg:128.01ms
step:151/1770 train_time:19327ms step_avg:127.99ms
step:152/1770 train_time:19450ms step_avg:127.96ms
step:153/1770 train_time:19578ms step_avg:127.96ms
step:154/1770 train_time:19697ms step_avg:127.90ms
step:155/1770 train_time:19817ms step_avg:127.85ms
step:156/1770 train_time:19941ms step_avg:127.82ms
step:157/1770 train_time:20061ms step_avg:127.78ms
step:158/1770 train_time:20186ms step_avg:127.76ms
step:159/1770 train_time:20310ms step_avg:127.73ms
step:160/1770 train_time:20427ms step_avg:127.67ms
step:161/1770 train_time:20550ms step_avg:127.64ms
step:162/1770 train_time:20670ms step_avg:127.59ms
step:163/1770 train_time:20798ms step_avg:127.59ms
step:164/1770 train_time:20919ms step_avg:127.55ms
