logs/0bb0d89f-7d13-46d0-a21b-a33960ea32f1.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:54,  7.43it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.97ms
step:1/1770 train_time:203ms step_avg:203.16ms
step:2/1770 train_time:336ms step_avg:168.22ms
step:3/1770 train_time:477ms step_avg:158.85ms
step:4/1770 train_time:624ms step_avg:156.03ms
step:5/1770 train_time:758ms step_avg:151.60ms
step:6/1770 train_time:901ms step_avg:150.18ms
step:7/1770 train_time:1037ms step_avg:148.11ms
step:8/1770 train_time:1180ms step_avg:147.54ms
step:9/1770 train_time:1315ms step_avg:146.16ms
step:10/1770 train_time:1451ms step_avg:145.09ms
step:11/1770 train_time:1591ms step_avg:144.60ms
step:12/1770 train_time:1739ms step_avg:144.88ms
step:13/1770 train_time:1872ms step_avg:144.00ms
step:14/1770 train_time:2006ms step_avg:143.25ms
step:15/1770 train_time:2140ms step_avg:142.68ms
step:16/1770 train_time:2274ms step_avg:142.11ms
step:17/1770 train_time:2409ms step_avg:141.68ms
step:18/1770 train_time:2545ms step_avg:141.41ms
step:19/1770 train_time:2682ms step_avg:141.18ms
step:20/1770 train_time:2817ms step_avg:140.84ms
step:21/1770 train_time:2953ms step_avg:140.63ms
step:22/1770 train_time:3084ms step_avg:140.20ms
step:23/1770 train_time:3219ms step_avg:139.94ms
step:24/1770 train_time:3354ms step_avg:139.74ms
step:25/1770 train_time:3488ms step_avg:139.54ms
step:26/1770 train_time:3621ms step_avg:139.28ms
step:27/1770 train_time:3754ms step_avg:139.03ms
step:28/1770 train_time:3886ms step_avg:138.78ms
step:29/1770 train_time:4019ms step_avg:138.60ms
step:30/1770 train_time:4157ms step_avg:138.55ms
step:31/1770 train_time:4291ms step_avg:138.42ms
step:32/1770 train_time:4426ms step_avg:138.32ms
step:33/1770 train_time:4558ms step_avg:138.13ms
step:34/1770 train_time:4694ms step_avg:138.07ms
step:35/1770 train_time:4834ms step_avg:138.12ms
step:36/1770 train_time:4967ms step_avg:137.99ms
step:37/1770 train_time:5103ms step_avg:137.92ms
step:38/1770 train_time:5240ms step_avg:137.90ms
step:39/1770 train_time:5375ms step_avg:137.82ms
step:40/1770 train_time:5508ms step_avg:137.71ms
step:41/1770 train_time:5646ms step_avg:137.70ms
step:42/1770 train_time:5782ms step_avg:137.66ms
step:43/1770 train_time:5921ms step_avg:137.69ms
step:44/1770 train_time:6055ms step_avg:137.61ms
step:45/1770 train_time:6190ms step_avg:137.56ms
step:46/1770 train_time:6327ms step_avg:137.55ms
step:47/1770 train_time:6458ms step_avg:137.41ms
step:48/1770 train_time:6592ms step_avg:137.32ms
step:49/1770 train_time:6728ms step_avg:137.31ms
step:50/1770 train_time:6857ms step_avg:137.14ms
step:50/1770 val_loss:8.3264 train_time:6861ms step_avg:137.22ms
step:51/1770 train_time:6998ms step_avg:137.22ms
step:52/1770 train_time:7142ms step_avg:137.35ms
step:53/1770 train_time:7287ms step_avg:137.50ms
step:54/1770 train_time:7426ms step_avg:137.52ms
step:55/1770 train_time:7563ms step_avg:137.52ms
step:56/1770 train_time:7703ms step_avg:137.55ms
step:57/1770 train_time:7840ms step_avg:137.55ms
step:58/1770 train_time:7975ms step_avg:137.50ms
step:59/1770 train_time:8107ms step_avg:137.40ms
step:60/1770 train_time:8232ms step_avg:137.20ms
step:61/1770 train_time:8371ms step_avg:137.23ms
step:62/1770 train_time:8507ms step_avg:137.21ms
step:63/1770 train_time:8644ms step_avg:137.20ms
step:64/1770 train_time:8784ms step_avg:137.24ms
step:65/1770 train_time:8919ms step_avg:137.22ms
step:66/1770 train_time:9054ms step_avg:137.18ms
step:67/1770 train_time:9189ms step_avg:137.15ms
step:68/1770 train_time:9321ms step_avg:137.07ms
step:69/1770 train_time:9451ms step_avg:136.97ms
step:70/1770 train_time:9589ms step_avg:136.99ms
step:71/1770 train_time:9721ms step_avg:136.92ms
step:72/1770 train_time:9854ms step_avg:136.86ms
step:73/1770 train_time:9992ms step_avg:136.88ms
step:74/1770 train_time:10130ms step_avg:136.89ms
step:75/1770 train_time:10265ms step_avg:136.87ms
step:76/1770 train_time:10404ms step_avg:136.89ms
step:77/1770 train_time:10544ms step_avg:136.93ms
step:78/1770 train_time:10683ms step_avg:136.96ms
step:79/1770 train_time:10818ms step_avg:136.93ms
step:80/1770 train_time:10958ms step_avg:136.97ms
step:81/1770 train_time:11088ms step_avg:136.89ms
step:82/1770 train_time:11228ms step_avg:136.93ms
step:83/1770 train_time:11364ms step_avg:136.92ms
step:84/1770 train_time:11503ms step_avg:136.94ms
step:85/1770 train_time:11641ms step_avg:136.96ms
step:86/1770 train_time:11780ms step_avg:136.98ms
step:87/1770 train_time:11914ms step_avg:136.94ms
step:88/1770 train_time:12051ms step_avg:136.95ms
step:89/1770 train_time:12188ms step_avg:136.95ms
step:90/1770 train_time:12327ms step_avg:136.96ms
step:91/1770 train_time:12464ms step_avg:136.97ms
step:92/1770 train_time:12603ms step_avg:136.99ms
step:93/1770 train_time:12739ms step_avg:136.97ms
step:94/1770 train_time:12873ms step_avg:136.95ms
step:95/1770 train_time:13013ms step_avg:136.98ms
step:96/1770 train_time:13155ms step_avg:137.03ms
step:97/1770 train_time:13298ms step_avg:137.10ms
step:98/1770 train_time:13434ms step_avg:137.08ms
step:99/1770 train_time:13572ms step_avg:137.09ms
step:100/1770 train_time:13710ms step_avg:137.10ms
step:100/1770 val_loss:7.1125 train_time:13713ms step_avg:137.13ms
step:101/1770 train_time:13850ms step_avg:137.13ms
step:102/1770 train_time:13986ms step_avg:137.11ms
step:103/1770 train_time:14119ms step_avg:137.08ms
step:104/1770 train_time:14256ms step_avg:137.08ms
step:105/1770 train_time:14392ms step_avg:137.07ms
step:106/1770 train_time:14530ms step_avg:137.08ms
step:107/1770 train_time:14672ms step_avg:137.12ms
step:108/1770 train_time:14807ms step_avg:137.10ms
step:109/1770 train_time:14939ms step_avg:137.05ms
step:110/1770 train_time:15085ms step_avg:137.13ms
step:111/1770 train_time:15211ms step_avg:137.03ms
step:112/1770 train_time:15343ms step_avg:136.99ms
step:113/1770 train_time:15474ms step_avg:136.93ms
step:114/1770 train_time:15607ms step_avg:136.91ms
step:115/1770 train_time:15739ms step_avg:136.86ms
step:116/1770 train_time:15879ms step_avg:136.89ms
step:117/1770 train_time:16007ms step_avg:136.81ms
step:118/1770 train_time:16137ms step_avg:136.76ms
step:119/1770 train_time:16276ms step_avg:136.78ms
step:120/1770 train_time:16405ms step_avg:136.71ms
step:121/1770 train_time:16534ms step_avg:136.64ms
step:122/1770 train_time:16673ms step_avg:136.66ms
step:123/1770 train_time:16803ms step_avg:136.61ms
step:124/1770 train_time:16940ms step_avg:136.61ms
step:125/1770 train_time:17070ms step_avg:136.56ms
step:126/1770 train_time:17203ms step_avg:136.53ms
step:127/1770 train_time:17334ms step_avg:136.49ms
step:128/1770 train_time:17467ms step_avg:136.46ms
step:129/1770 train_time:17596ms step_avg:136.40ms
step:130/1770 train_time:17734ms step_avg:136.42ms
step:131/1770 train_time:17866ms step_avg:136.38ms
step:132/1770 train_time:18002ms step_avg:136.38ms
step:133/1770 train_time:18137ms step_avg:136.37ms
step:134/1770 train_time:18273ms step_avg:136.36ms
step:135/1770 train_time:18409ms step_avg:136.36ms
step:136/1770 train_time:18545ms step_avg:136.36ms
step:137/1770 train_time:18684ms step_avg:136.38ms
step:138/1770 train_time:18819ms step_avg:136.37ms
step:139/1770 train_time:18962ms step_avg:136.42ms
step:140/1770 train_time:19113ms step_avg:136.52ms
step:141/1770 train_time:19259ms step_avg:136.59ms
step:142/1770 train_time:19406ms step_avg:136.66ms
step:143/1770 train_time:19543ms step_avg:136.67ms
step:144/1770 train_time:19689ms step_avg:136.73ms
step:145/1770 train_time:19828ms step_avg:136.74ms
step:146/1770 train_time:19968ms step_avg:136.77ms
step:147/1770 train_time:20105ms step_avg:136.77ms
