logs/2f49e6dc-3c96-440b-9b17-44c7a25e14aa.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:55,  7.40it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.15ms
step:1/1770 train_time:199ms step_avg:199.00ms
step:2/1770 train_time:333ms step_avg:166.29ms
step:3/1770 train_time:466ms step_avg:155.42ms
step:4/1770 train_time:599ms step_avg:149.74ms
step:5/1770 train_time:733ms step_avg:146.62ms
step:6/1770 train_time:862ms step_avg:143.68ms
step:7/1770 train_time:995ms step_avg:142.15ms
step:8/1770 train_time:1131ms step_avg:141.37ms
step:9/1770 train_time:1264ms step_avg:140.47ms
step:10/1770 train_time:1396ms step_avg:139.58ms
step:11/1770 train_time:1524ms step_avg:138.56ms
step:12/1770 train_time:1665ms step_avg:138.72ms
step:13/1770 train_time:1795ms step_avg:138.08ms
step:14/1770 train_time:1929ms step_avg:137.79ms
step:15/1770 train_time:2060ms step_avg:137.35ms
step:16/1770 train_time:2192ms step_avg:137.00ms
step:17/1770 train_time:2326ms step_avg:136.83ms
step:18/1770 train_time:2458ms step_avg:136.54ms
step:19/1770 train_time:2596ms step_avg:136.64ms
step:20/1770 train_time:2730ms step_avg:136.49ms
step:21/1770 train_time:2852ms step_avg:135.83ms
step:22/1770 train_time:2982ms step_avg:135.54ms
step:23/1770 train_time:3109ms step_avg:135.17ms
step:24/1770 train_time:3242ms step_avg:135.08ms
step:25/1770 train_time:3364ms step_avg:134.56ms
step:26/1770 train_time:3506ms step_avg:134.85ms
step:27/1770 train_time:3656ms step_avg:135.40ms
step:28/1770 train_time:3790ms step_avg:135.37ms
step:29/1770 train_time:3921ms step_avg:135.22ms
step:30/1770 train_time:4056ms step_avg:135.21ms
step:31/1770 train_time:4178ms step_avg:134.78ms
step:32/1770 train_time:4309ms step_avg:134.65ms
step:33/1770 train_time:4439ms step_avg:134.53ms
step:34/1770 train_time:4571ms step_avg:134.45ms
step:35/1770 train_time:4702ms step_avg:134.34ms
step:36/1770 train_time:4829ms step_avg:134.14ms
step:37/1770 train_time:4956ms step_avg:133.96ms
step:38/1770 train_time:5085ms step_avg:133.82ms
step:39/1770 train_time:5219ms step_avg:133.83ms
step:40/1770 train_time:5347ms step_avg:133.67ms
step:41/1770 train_time:5471ms step_avg:133.44ms
step:42/1770 train_time:5594ms step_avg:133.19ms
step:43/1770 train_time:5718ms step_avg:132.97ms
step:44/1770 train_time:5842ms step_avg:132.78ms
step:45/1770 train_time:5963ms step_avg:132.52ms
step:46/1770 train_time:6093ms step_avg:132.47ms
step:47/1770 train_time:6221ms step_avg:132.36ms
step:48/1770 train_time:6351ms step_avg:132.32ms
step:49/1770 train_time:6476ms step_avg:132.17ms
step:50/1770 train_time:6600ms step_avg:132.01ms
step:50/1770 val_loss:8.2151 train_time:6604ms step_avg:132.08ms
step:51/1770 train_time:6739ms step_avg:132.14ms
step:52/1770 train_time:6863ms step_avg:131.99ms
step:53/1770 train_time:6997ms step_avg:132.01ms
step:54/1770 train_time:7124ms step_avg:131.93ms
step:55/1770 train_time:7257ms step_avg:131.95ms
step:56/1770 train_time:7395ms step_avg:132.05ms
step:57/1770 train_time:7522ms step_avg:131.97ms
step:58/1770 train_time:7655ms step_avg:131.98ms
step:59/1770 train_time:7783ms step_avg:131.91ms
step:60/1770 train_time:7911ms step_avg:131.85ms
step:61/1770 train_time:8033ms step_avg:131.68ms
step:62/1770 train_time:8161ms step_avg:131.62ms
step:63/1770 train_time:8290ms step_avg:131.59ms
step:64/1770 train_time:8414ms step_avg:131.47ms
step:65/1770 train_time:8548ms step_avg:131.50ms
step:66/1770 train_time:8673ms step_avg:131.40ms
step:67/1770 train_time:8800ms step_avg:131.35ms
step:68/1770 train_time:8931ms step_avg:131.34ms
step:69/1770 train_time:9060ms step_avg:131.30ms
step:70/1770 train_time:9186ms step_avg:131.22ms
step:71/1770 train_time:9313ms step_avg:131.17ms
step:72/1770 train_time:9439ms step_avg:131.10ms
step:73/1770 train_time:9566ms step_avg:131.04ms
step:74/1770 train_time:9698ms step_avg:131.05ms
step:75/1770 train_time:9821ms step_avg:130.94ms
step:76/1770 train_time:9946ms step_avg:130.86ms
step:77/1770 train_time:10079ms step_avg:130.90ms
step:78/1770 train_time:10206ms step_avg:130.85ms
step:79/1770 train_time:10336ms step_avg:130.84ms
step:80/1770 train_time:10465ms step_avg:130.82ms
step:81/1770 train_time:10592ms step_avg:130.77ms
step:82/1770 train_time:10721ms step_avg:130.74ms
step:83/1770 train_time:10853ms step_avg:130.76ms
step:84/1770 train_time:10982ms step_avg:130.74ms
step:85/1770 train_time:11125ms step_avg:130.89ms
step:86/1770 train_time:11265ms step_avg:130.99ms
step:87/1770 train_time:11391ms step_avg:130.93ms
step:88/1770 train_time:11516ms step_avg:130.86ms
step:89/1770 train_time:11653ms step_avg:130.93ms
step:90/1770 train_time:11776ms step_avg:130.84ms
step:91/1770 train_time:11907ms step_avg:130.84ms
step:92/1770 train_time:12041ms step_avg:130.89ms
step:93/1770 train_time:12164ms step_avg:130.80ms
step:94/1770 train_time:12291ms step_avg:130.75ms
step:95/1770 train_time:12419ms step_avg:130.73ms
step:96/1770 train_time:12547ms step_avg:130.70ms
step:97/1770 train_time:12673ms step_avg:130.65ms
step:98/1770 train_time:12803ms step_avg:130.64ms
step:99/1770 train_time:12929ms step_avg:130.60ms
step:100/1770 train_time:13057ms step_avg:130.57ms
step:100/1770 val_loss:7.1313 train_time:13060ms step_avg:130.60ms
step:101/1770 train_time:13198ms step_avg:130.67ms
step:102/1770 train_time:13327ms step_avg:130.65ms
step:103/1770 train_time:13459ms step_avg:130.67ms
step:104/1770 train_time:13585ms step_avg:130.62ms
step:105/1770 train_time:13706ms step_avg:130.53ms
step:106/1770 train_time:13837ms step_avg:130.54ms
step:107/1770 train_time:13961ms step_avg:130.48ms
step:108/1770 train_time:14087ms step_avg:130.44ms
step:109/1770 train_time:14212ms step_avg:130.38ms
step:110/1770 train_time:14338ms step_avg:130.34ms
step:111/1770 train_time:14465ms step_avg:130.31ms
step:112/1770 train_time:14591ms step_avg:130.28ms
step:113/1770 train_time:14712ms step_avg:130.19ms
step:114/1770 train_time:14837ms step_avg:130.15ms
