logs/5d4d5a49-bb1c-4c01-992e-38ab15433eb9.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:18<03:56,  7.37it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.15ms
step:1/1770 train_time:195ms step_avg:195.02ms
step:2/1770 train_time:328ms step_avg:163.93ms
step:3/1770 train_time:468ms step_avg:155.85ms
step:4/1770 train_time:609ms step_avg:152.22ms
step:5/1770 train_time:746ms step_avg:149.19ms
step:6/1770 train_time:879ms step_avg:146.46ms
step:7/1770 train_time:1015ms step_avg:144.94ms
step:8/1770 train_time:1149ms step_avg:143.61ms
step:9/1770 train_time:1286ms step_avg:142.87ms
step:10/1770 train_time:1422ms step_avg:142.18ms
step:11/1770 train_time:1557ms step_avg:141.52ms
step:12/1770 train_time:1686ms step_avg:140.52ms
step:13/1770 train_time:1818ms step_avg:139.82ms
step:14/1770 train_time:1948ms step_avg:139.14ms
step:15/1770 train_time:2084ms step_avg:138.94ms
step:16/1770 train_time:2224ms step_avg:138.99ms
step:17/1770 train_time:2352ms step_avg:138.37ms
step:18/1770 train_time:2486ms step_avg:138.09ms
step:19/1770 train_time:2620ms step_avg:137.90ms
step:20/1770 train_time:2771ms step_avg:138.55ms
step:21/1770 train_time:2914ms step_avg:138.76ms
step:22/1770 train_time:3061ms step_avg:139.15ms
step:23/1770 train_time:3205ms step_avg:139.36ms
step:24/1770 train_time:3347ms step_avg:139.48ms
step:25/1770 train_time:3484ms step_avg:139.35ms
step:26/1770 train_time:3621ms step_avg:139.27ms
step:27/1770 train_time:3753ms step_avg:139.01ms
step:28/1770 train_time:3887ms step_avg:138.83ms
step:29/1770 train_time:4022ms step_avg:138.70ms
step:30/1770 train_time:4157ms step_avg:138.57ms
step:31/1770 train_time:4293ms step_avg:138.49ms
step:32/1770 train_time:4430ms step_avg:138.43ms
step:33/1770 train_time:4564ms step_avg:138.31ms
step:34/1770 train_time:4700ms step_avg:138.25ms
step:35/1770 train_time:4838ms step_avg:138.22ms
step:36/1770 train_time:4974ms step_avg:138.16ms
step:37/1770 train_time:5113ms step_avg:138.19ms
step:38/1770 train_time:5252ms step_avg:138.20ms
step:39/1770 train_time:5390ms step_avg:138.22ms
step:40/1770 train_time:5532ms step_avg:138.31ms
step:41/1770 train_time:5675ms step_avg:138.41ms
step:42/1770 train_time:5809ms step_avg:138.30ms
step:43/1770 train_time:5946ms step_avg:138.28ms
step:44/1770 train_time:6082ms step_avg:138.22ms
step:45/1770 train_time:6215ms step_avg:138.12ms
step:46/1770 train_time:6348ms step_avg:138.01ms
step:47/1770 train_time:6483ms step_avg:137.93ms
step:48/1770 train_time:6617ms step_avg:137.85ms
step:49/1770 train_time:6753ms step_avg:137.83ms
step:50/1770 train_time:6890ms step_avg:137.80ms
step:50/1770 val_loss:8.2072 train_time:6891ms step_avg:137.83ms
step:51/1770 train_time:7019ms step_avg:137.63ms
step:52/1770 train_time:7146ms step_avg:137.41ms
step:53/1770 train_time:7275ms step_avg:137.27ms
step:54/1770 train_time:7405ms step_avg:137.13ms
step:55/1770 train_time:7537ms step_avg:137.03ms
step:56/1770 train_time:7670ms step_avg:136.96ms
step:57/1770 train_time:7802ms step_avg:136.88ms
step:58/1770 train_time:7935ms step_avg:136.81ms
step:59/1770 train_time:8064ms step_avg:136.67ms
step:60/1770 train_time:8196ms step_avg:136.61ms
step:61/1770 train_time:8325ms step_avg:136.48ms
step:62/1770 train_time:8456ms step_avg:136.39ms
step:63/1770 train_time:8589ms step_avg:136.34ms
step:64/1770 train_time:8720ms step_avg:136.26ms
step:65/1770 train_time:8854ms step_avg:136.21ms
step:66/1770 train_time:8981ms step_avg:136.07ms
step:67/1770 train_time:9109ms step_avg:135.95ms
step:68/1770 train_time:9246ms step_avg:135.97ms
step:69/1770 train_time:9382ms step_avg:135.97ms
step:70/1770 train_time:9513ms step_avg:135.91ms
step:71/1770 train_time:9646ms step_avg:135.85ms
step:72/1770 train_time:9773ms step_avg:135.74ms
step:73/1770 train_time:9909ms step_avg:135.74ms
step:74/1770 train_time:10044ms step_avg:135.74ms
step:75/1770 train_time:10181ms step_avg:135.75ms
step:76/1770 train_time:10317ms step_avg:135.75ms
step:77/1770 train_time:10454ms step_avg:135.77ms
step:78/1770 train_time:10600ms step_avg:135.90ms
step:79/1770 train_time:10740ms step_avg:135.95ms
step:80/1770 train_time:10878ms step_avg:135.98ms
step:81/1770 train_time:11010ms step_avg:135.93ms
step:82/1770 train_time:11141ms step_avg:135.86ms
step:83/1770 train_time:11278ms step_avg:135.88ms
step:84/1770 train_time:11411ms step_avg:135.85ms
step:85/1770 train_time:11545ms step_avg:135.82ms
step:86/1770 train_time:11677ms step_avg:135.78ms
step:87/1770 train_time:11811ms step_avg:135.76ms
step:88/1770 train_time:11944ms step_avg:135.72ms
step:89/1770 train_time:12078ms step_avg:135.70ms
step:90/1770 train_time:12216ms step_avg:135.73ms
step:91/1770 train_time:12355ms step_avg:135.77ms
step:92/1770 train_time:12492ms step_avg:135.79ms
