logs/9b660359-a5cf-4588-93e2-916941294511.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:37,  8.01it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.91ms
step:1/1770 train_time:201ms step_avg:200.85ms
step:2/1770 train_time:330ms step_avg:165.02ms
step:3/1770 train_time:453ms step_avg:151.16ms
step:4/1770 train_time:577ms step_avg:144.30ms
step:5/1770 train_time:696ms step_avg:139.18ms
step:6/1770 train_time:819ms step_avg:136.46ms
step:7/1770 train_time:939ms step_avg:134.09ms
step:8/1770 train_time:1061ms step_avg:132.62ms
step:9/1770 train_time:1191ms step_avg:132.34ms
step:10/1770 train_time:1314ms step_avg:131.41ms
step:11/1770 train_time:1440ms step_avg:130.91ms
step:12/1770 train_time:1563ms step_avg:130.28ms
step:13/1770 train_time:1687ms step_avg:129.77ms
step:14/1770 train_time:1809ms step_avg:129.23ms
step:15/1770 train_time:1931ms step_avg:128.72ms
step:16/1770 train_time:2052ms step_avg:128.23ms
step:17/1770 train_time:2170ms step_avg:127.63ms
step:18/1770 train_time:2295ms step_avg:127.52ms
step:19/1770 train_time:2420ms step_avg:127.36ms
step:20/1770 train_time:2555ms step_avg:127.75ms
step:21/1770 train_time:2677ms step_avg:127.47ms
step:22/1770 train_time:2800ms step_avg:127.26ms
step:23/1770 train_time:2926ms step_avg:127.20ms
step:24/1770 train_time:3051ms step_avg:127.14ms
step:25/1770 train_time:3177ms step_avg:127.08ms
step:26/1770 train_time:3304ms step_avg:127.09ms
step:27/1770 train_time:3426ms step_avg:126.90ms
step:28/1770 train_time:3550ms step_avg:126.78ms
step:29/1770 train_time:3675ms step_avg:126.73ms
step:30/1770 train_time:3800ms step_avg:126.67ms
step:31/1770 train_time:3922ms step_avg:126.51ms
step:32/1770 train_time:4040ms step_avg:126.25ms
step:33/1770 train_time:4173ms step_avg:126.44ms
step:34/1770 train_time:4304ms step_avg:126.60ms
step:35/1770 train_time:4438ms step_avg:126.81ms
step:36/1770 train_time:4570ms step_avg:126.95ms
step:37/1770 train_time:4713ms step_avg:127.37ms
step:38/1770 train_time:4845ms step_avg:127.49ms
step:39/1770 train_time:4970ms step_avg:127.43ms
step:40/1770 train_time:5094ms step_avg:127.36ms
step:41/1770 train_time:5215ms step_avg:127.20ms
step:42/1770 train_time:5352ms step_avg:127.42ms
step:43/1770 train_time:5476ms step_avg:127.36ms
step:44/1770 train_time:5598ms step_avg:127.23ms
step:45/1770 train_time:5729ms step_avg:127.30ms
step:46/1770 train_time:5855ms step_avg:127.29ms
step:47/1770 train_time:5974ms step_avg:127.11ms
step:48/1770 train_time:6098ms step_avg:127.04ms
step:49/1770 train_time:6211ms step_avg:126.77ms
step:50/1770 train_time:6330ms step_avg:126.60ms
step:50/1770 val_loss:8.4807 train_time:6335ms step_avg:126.71ms
step:51/1770 train_time:6465ms step_avg:126.76ms
step:52/1770 train_time:6591ms step_avg:126.75ms
step:53/1770 train_time:6713ms step_avg:126.67ms
step:54/1770 train_time:6834ms step_avg:126.56ms
step:55/1770 train_time:6964ms step_avg:126.62ms
step:56/1770 train_time:7093ms step_avg:126.65ms
step:57/1770 train_time:7220ms step_avg:126.66ms
step:58/1770 train_time:7339ms step_avg:126.54ms
step:59/1770 train_time:7456ms step_avg:126.38ms
step:60/1770 train_time:7577ms step_avg:126.28ms
step:61/1770 train_time:7692ms step_avg:126.11ms
step:62/1770 train_time:7814ms step_avg:126.04ms
step:63/1770 train_time:7931ms step_avg:125.89ms
step:64/1770 train_time:8055ms step_avg:125.85ms
step:65/1770 train_time:8176ms step_avg:125.78ms
step:66/1770 train_time:8300ms step_avg:125.75ms
step:67/1770 train_time:8425ms step_avg:125.74ms
step:68/1770 train_time:8548ms step_avg:125.71ms
step:69/1770 train_time:8673ms step_avg:125.69ms
step:70/1770 train_time:8788ms step_avg:125.54ms
step:71/1770 train_time:8906ms step_avg:125.44ms
step:72/1770 train_time:9028ms step_avg:125.38ms
step:73/1770 train_time:9148ms step_avg:125.31ms
step:74/1770 train_time:9270ms step_avg:125.26ms
step:75/1770 train_time:9391ms step_avg:125.21ms
step:76/1770 train_time:9508ms step_avg:125.10ms
step:77/1770 train_time:9630ms step_avg:125.06ms
step:78/1770 train_time:9752ms step_avg:125.03ms
step:79/1770 train_time:9878ms step_avg:125.04ms
step:80/1770 train_time:10009ms step_avg:125.11ms
step:81/1770 train_time:10141ms step_avg:125.20ms
step:82/1770 train_time:10272ms step_avg:125.27ms
step:83/1770 train_time:10404ms step_avg:125.35ms
step:84/1770 train_time:10540ms step_avg:125.47ms
step:85/1770 train_time:10673ms step_avg:125.56ms
step:86/1770 train_time:10806ms step_avg:125.65ms
step:87/1770 train_time:10941ms step_avg:125.76ms
step:88/1770 train_time:11074ms step_avg:125.84ms
step:89/1770 train_time:11203ms step_avg:125.88ms
step:90/1770 train_time:11335ms step_avg:125.95ms
step:91/1770 train_time:11462ms step_avg:125.95ms
step:92/1770 train_time:11583ms step_avg:125.90ms
step:93/1770 train_time:11699ms step_avg:125.80ms
step:94/1770 train_time:11821ms step_avg:125.76ms
