logs/3f605234-b7e9-4d84-9152-c9c0d3dff703.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:52,  7.49it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.03ms
step:1/1770 train_time:209ms step_avg:209.13ms
step:2/1770 train_time:334ms step_avg:167.07ms
step:3/1770 train_time:466ms step_avg:155.19ms
step:4/1770 train_time:601ms step_avg:150.27ms
step:5/1770 train_time:735ms step_avg:146.97ms
step:6/1770 train_time:874ms step_avg:145.66ms
step:7/1770 train_time:1013ms step_avg:144.66ms
step:8/1770 train_time:1150ms step_avg:143.79ms
step:9/1770 train_time:1288ms step_avg:143.15ms
step:10/1770 train_time:1420ms step_avg:142.02ms
step:11/1770 train_time:1557ms step_avg:141.53ms
step:12/1770 train_time:1691ms step_avg:140.88ms
step:13/1770 train_time:1826ms step_avg:140.46ms
step:14/1770 train_time:1958ms step_avg:139.89ms
step:15/1770 train_time:2094ms step_avg:139.61ms
step:16/1770 train_time:2240ms step_avg:139.99ms
step:17/1770 train_time:2374ms step_avg:139.67ms
step:18/1770 train_time:2513ms step_avg:139.61ms
step:19/1770 train_time:2651ms step_avg:139.55ms
step:20/1770 train_time:2789ms step_avg:139.46ms
step:21/1770 train_time:2919ms step_avg:139.01ms
step:22/1770 train_time:3065ms step_avg:139.34ms
step:23/1770 train_time:3193ms step_avg:138.80ms
step:24/1770 train_time:3327ms step_avg:138.61ms
step:25/1770 train_time:3469ms step_avg:138.76ms
step:26/1770 train_time:3603ms step_avg:138.58ms
step:27/1770 train_time:3738ms step_avg:138.44ms
step:28/1770 train_time:3862ms step_avg:137.93ms
step:29/1770 train_time:3996ms step_avg:137.78ms
step:30/1770 train_time:4131ms step_avg:137.69ms
step:31/1770 train_time:4280ms step_avg:138.05ms
step:32/1770 train_time:4421ms step_avg:138.17ms
step:33/1770 train_time:4563ms step_avg:138.26ms
step:34/1770 train_time:4702ms step_avg:138.30ms
step:35/1770 train_time:4837ms step_avg:138.19ms
step:36/1770 train_time:4974ms step_avg:138.17ms
step:37/1770 train_time:5107ms step_avg:138.03ms
step:38/1770 train_time:5237ms step_avg:137.82ms
step:39/1770 train_time:5365ms step_avg:137.57ms
step:40/1770 train_time:5497ms step_avg:137.43ms
step:41/1770 train_time:5635ms step_avg:137.44ms
step:42/1770 train_time:5771ms step_avg:137.40ms
step:43/1770 train_time:5904ms step_avg:137.29ms
step:44/1770 train_time:6031ms step_avg:137.06ms
step:45/1770 train_time:6163ms step_avg:136.95ms
step:46/1770 train_time:6295ms step_avg:136.86ms
step:47/1770 train_time:6423ms step_avg:136.66ms
step:48/1770 train_time:6560ms step_avg:136.66ms
step:49/1770 train_time:6695ms step_avg:136.63ms
step:50/1770 train_time:6824ms step_avg:136.49ms
step:50/1770 val_loss:8.4613 train_time:6826ms step_avg:136.51ms
step:51/1770 train_time:6963ms step_avg:136.53ms
step:52/1770 train_time:7098ms step_avg:136.49ms
step:53/1770 train_time:7230ms step_avg:136.42ms
step:54/1770 train_time:7364ms step_avg:136.36ms
step:55/1770 train_time:7494ms step_avg:136.26ms
step:56/1770 train_time:7631ms step_avg:136.27ms
step:57/1770 train_time:7768ms step_avg:136.29ms
step:58/1770 train_time:7904ms step_avg:136.27ms
step:59/1770 train_time:8038ms step_avg:136.24ms
step:60/1770 train_time:8172ms step_avg:136.20ms
step:61/1770 train_time:8311ms step_avg:136.24ms
step:62/1770 train_time:8441ms step_avg:136.14ms
step:63/1770 train_time:8579ms step_avg:136.18ms
step:64/1770 train_time:8721ms step_avg:136.27ms
step:65/1770 train_time:8855ms step_avg:136.23ms
step:66/1770 train_time:8988ms step_avg:136.19ms
step:67/1770 train_time:9118ms step_avg:136.09ms
step:68/1770 train_time:9256ms step_avg:136.12ms
step:69/1770 train_time:9392ms step_avg:136.11ms
step:70/1770 train_time:9528ms step_avg:136.12ms
step:71/1770 train_time:9667ms step_avg:136.16ms
step:72/1770 train_time:9802ms step_avg:136.13ms
step:73/1770 train_time:9936ms step_avg:136.11ms
step:74/1770 train_time:10063ms step_avg:135.99ms
step:75/1770 train_time:10195ms step_avg:135.94ms
step:76/1770 train_time:10328ms step_avg:135.89ms
step:77/1770 train_time:10464ms step_avg:135.90ms
step:78/1770 train_time:10600ms step_avg:135.90ms
step:79/1770 train_time:10729ms step_avg:135.81ms
step:80/1770 train_time:10869ms step_avg:135.86ms
step:81/1770 train_time:10999ms step_avg:135.79ms
step:82/1770 train_time:11134ms step_avg:135.78ms
step:83/1770 train_time:11263ms step_avg:135.70ms
step:84/1770 train_time:11397ms step_avg:135.68ms
step:85/1770 train_time:11539ms step_avg:135.75ms
step:86/1770 train_time:11673ms step_avg:135.74ms
step:87/1770 train_time:11814ms step_avg:135.80ms
step:88/1770 train_time:11952ms step_avg:135.82ms
step:89/1770 train_time:12094ms step_avg:135.88ms
step:90/1770 train_time:12231ms step_avg:135.90ms
step:91/1770 train_time:12367ms step_avg:135.90ms
step:92/1770 train_time:12503ms step_avg:135.91ms
step:93/1770 train_time:12636ms step_avg:135.87ms
step:94/1770 train_time:12773ms step_avg:135.88ms
step:95/1770 train_time:12906ms step_avg:135.85ms
step:96/1770 train_time:13035ms step_avg:135.78ms
step:97/1770 train_time:13172ms step_avg:135.79ms
step:98/1770 train_time:13305ms step_avg:135.77ms
step:99/1770 train_time:13437ms step_avg:135.73ms
step:100/1770 train_time:13573ms step_avg:135.73ms
step:100/1770 val_loss:7.0063 train_time:13574ms step_avg:135.74ms
step:101/1770 train_time:13713ms step_avg:135.78ms
step:102/1770 train_time:13850ms step_avg:135.78ms
step:103/1770 train_time:13987ms step_avg:135.80ms
step:104/1770 train_time:14123ms step_avg:135.80ms
step:105/1770 train_time:14254ms step_avg:135.75ms
step:106/1770 train_time:14395ms step_avg:135.80ms
step:107/1770 train_time:14535ms step_avg:135.84ms
step:108/1770 train_time:14674ms step_avg:135.87ms
step:109/1770 train_time:14817ms step_avg:135.94ms
step:110/1770 train_time:14967ms step_avg:136.07ms
step:111/1770 train_time:15107ms step_avg:136.10ms
step:112/1770 train_time:15246ms step_avg:136.13ms
step:113/1770 train_time:15385ms step_avg:136.15ms
step:114/1770 train_time:15520ms step_avg:136.14ms
step:115/1770 train_time:15654ms step_avg:136.12ms
step:116/1770 train_time:15787ms step_avg:136.09ms
step:117/1770 train_time:15920ms step_avg:136.07ms
step:118/1770 train_time:16058ms step_avg:136.08ms
step:119/1770 train_time:16188ms step_avg:136.04ms
step:120/1770 train_time:16322ms step_avg:136.01ms
step:121/1770 train_time:16460ms step_avg:136.03ms
step:122/1770 train_time:16592ms step_avg:136.00ms
step:123/1770 train_time:16722ms step_avg:135.95ms
step:124/1770 train_time:16865ms step_avg:136.01ms
step:125/1770 train_time:17002ms step_avg:136.02ms
step:126/1770 train_time:17137ms step_avg:136.01ms
step:127/1770 train_time:17267ms step_avg:135.96ms
step:128/1770 train_time:17406ms step_avg:135.98ms
step:129/1770 train_time:17539ms step_avg:135.96ms
step:130/1770 train_time:17672ms step_avg:135.94ms
step:131/1770 train_time:17806ms step_avg:135.92ms
step:132/1770 train_time:17942ms step_avg:135.92ms
step:133/1770 train_time:18074ms step_avg:135.89ms
step:134/1770 train_time:18209ms step_avg:135.89ms
step:135/1770 train_time:18342ms step_avg:135.87ms
step:136/1770 train_time:18472ms step_avg:135.82ms
step:137/1770 train_time:18604ms step_avg:135.80ms
step:138/1770 train_time:18739ms step_avg:135.79ms
step:139/1770 train_time:18871ms step_avg:135.76ms
step:140/1770 train_time:19006ms step_avg:135.76ms
step:141/1770 train_time:19137ms step_avg:135.72ms
step:142/1770 train_time:19267ms step_avg:135.68ms
step:143/1770 train_time:19400ms step_avg:135.66ms
step:144/1770 train_time:19538ms step_avg:135.68ms
step:145/1770 train_time:19673ms step_avg:135.67ms
step:146/1770 train_time:19809ms step_avg:135.67ms
step:147/1770 train_time:19959ms step_avg:135.78ms
step:148/1770 train_time:20092ms step_avg:135.76ms
step:149/1770 train_time:20232ms step_avg:135.79ms
step:150/1770 train_time:20370ms step_avg:135.80ms
step:150/1770 val_loss:6.8095 train_time:20371ms step_avg:135.81ms
step:151/1770 train_time:20512ms step_avg:135.84ms
step:152/1770 train_time:20645ms step_avg:135.82ms
step:153/1770 train_time:20776ms step_avg:135.79ms
step:154/1770 train_time:20913ms step_avg:135.80ms
step:155/1770 train_time:21045ms step_avg:135.77ms
step:156/1770 train_time:21179ms step_avg:135.76ms
step:157/1770 train_time:21324ms step_avg:135.82ms
step:158/1770 train_time:21456ms step_avg:135.80ms
step:159/1770 train_time:21587ms step_avg:135.77ms
step:160/1770 train_time:21720ms step_avg:135.75ms
step:161/1770 train_time:21853ms step_avg:135.74ms
step:162/1770 train_time:21993ms step_avg:135.76ms
step:163/1770 train_time:22131ms step_avg:135.77ms
step:164/1770 train_time:22267ms step_avg:135.78ms
step:165/1770 train_time:22399ms step_avg:135.75ms
step:166/1770 train_time:22535ms step_avg:135.75ms
step:167/1770 train_time:22671ms step_avg:135.76ms
step:168/1770 train_time:22805ms step_avg:135.74ms
step:169/1770 train_time:22943ms step_avg:135.76ms
step:170/1770 train_time:23081ms step_avg:135.77ms
step:171/1770 train_time:23216ms step_avg:135.77ms
step:172/1770 train_time:23357ms step_avg:135.79ms
step:173/1770 train_time:23497ms step_avg:135.82ms
step:174/1770 train_time:23631ms step_avg:135.81ms
step:175/1770 train_time:23769ms step_avg:135.83ms
step:176/1770 train_time:23908ms step_avg:135.84ms
step:177/1770 train_time:24062ms step_avg:135.95ms
step:178/1770 train_time:24210ms step_avg:136.01ms
step:179/1770 train_time:24361ms step_avg:136.10ms
step:180/1770 train_time:24507ms step_avg:136.15ms
step:181/1770 train_time:24647ms step_avg:136.17ms
step:182/1770 train_time:24783ms step_avg:136.17ms
step:183/1770 train_time:24919ms step_avg:136.17ms
step:184/1770 train_time:25070ms step_avg:136.25ms
step:185/1770 train_time:25220ms step_avg:136.33ms
step:186/1770 train_time:25361ms step_avg:136.35ms
step:187/1770 train_time:25498ms step_avg:136.35ms
step:188/1770 train_time:25635ms step_avg:136.36ms
step:189/1770 train_time:25773ms step_avg:136.37ms
step:190/1770 train_time:25907ms step_avg:136.35ms
step:191/1770 train_time:26038ms step_avg:136.33ms
step:192/1770 train_time:26176ms step_avg:136.34ms
step:193/1770 train_time:26321ms step_avg:136.38ms
step:194/1770 train_time:26454ms step_avg:136.36ms
step:195/1770 train_time:26600ms step_avg:136.41ms
step:196/1770 train_time:26738ms step_avg:136.42ms
step:197/1770 train_time:26866ms step_avg:136.37ms
