logs/a86cd982-3f29-46e8-92a2-309b5b06eac4.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:49,  7.58it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.88ms
step:1/1770 train_time:195ms step_avg:195.42ms
step:2/1770 train_time:318ms step_avg:158.86ms
step:3/1770 train_time:444ms step_avg:148.01ms
step:4/1770 train_time:565ms step_avg:141.33ms
step:5/1770 train_time:701ms step_avg:140.22ms
step:6/1770 train_time:836ms step_avg:139.27ms
step:7/1770 train_time:960ms step_avg:137.20ms
step:8/1770 train_time:1090ms step_avg:136.20ms
step:9/1770 train_time:1223ms step_avg:135.93ms
step:10/1770 train_time:1354ms step_avg:135.36ms
step:11/1770 train_time:1481ms step_avg:134.66ms
step:12/1770 train_time:1617ms step_avg:134.74ms
step:13/1770 train_time:1746ms step_avg:134.29ms
step:14/1770 train_time:1877ms step_avg:134.10ms
step:15/1770 train_time:2004ms step_avg:133.60ms
step:16/1770 train_time:2138ms step_avg:133.61ms
step:17/1770 train_time:2272ms step_avg:133.65ms
step:18/1770 train_time:2409ms step_avg:133.84ms
step:19/1770 train_time:2533ms step_avg:133.34ms
step:20/1770 train_time:2665ms step_avg:133.27ms
step:21/1770 train_time:2791ms step_avg:132.91ms
step:22/1770 train_time:2922ms step_avg:132.80ms
step:23/1770 train_time:3054ms step_avg:132.77ms
step:24/1770 train_time:3181ms step_avg:132.55ms
step:25/1770 train_time:3316ms step_avg:132.63ms
step:26/1770 train_time:3447ms step_avg:132.59ms
step:27/1770 train_time:3577ms step_avg:132.47ms
step:28/1770 train_time:3712ms step_avg:132.57ms
step:29/1770 train_time:3843ms step_avg:132.52ms
step:30/1770 train_time:3975ms step_avg:132.50ms
step:31/1770 train_time:4119ms step_avg:132.87ms
step:32/1770 train_time:4265ms step_avg:133.29ms
step:33/1770 train_time:4395ms step_avg:133.19ms
step:34/1770 train_time:4522ms step_avg:133.00ms
