logs/6d1bb1dc-0d71-4400-a3a2-19f32d541ec9.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:18<04:02,  7.18it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.13ms
step:1/1770 train_time:208ms step_avg:208.18ms
step:2/1770 train_time:345ms step_avg:172.67ms
step:3/1770 train_time:476ms step_avg:158.77ms
step:4/1770 train_time:616ms step_avg:153.96ms
step:5/1770 train_time:748ms step_avg:149.69ms
step:6/1770 train_time:889ms step_avg:148.22ms
step:7/1770 train_time:1032ms step_avg:147.41ms
step:8/1770 train_time:1163ms step_avg:145.34ms
step:9/1770 train_time:1298ms step_avg:144.17ms
step:10/1770 train_time:1431ms step_avg:143.15ms
step:11/1770 train_time:1572ms step_avg:142.92ms
step:12/1770 train_time:1713ms step_avg:142.79ms
step:13/1770 train_time:1848ms step_avg:142.13ms
step:14/1770 train_time:1980ms step_avg:141.46ms
step:15/1770 train_time:2124ms step_avg:141.60ms
step:16/1770 train_time:2259ms step_avg:141.22ms
step:17/1770 train_time:2400ms step_avg:141.15ms
step:18/1770 train_time:2536ms step_avg:140.87ms
step:19/1770 train_time:2676ms step_avg:140.82ms
step:20/1770 train_time:2818ms step_avg:140.92ms
step:21/1770 train_time:2954ms step_avg:140.65ms
step:22/1770 train_time:3090ms step_avg:140.47ms
step:23/1770 train_time:3224ms step_avg:140.16ms
step:24/1770 train_time:3366ms step_avg:140.24ms
step:25/1770 train_time:3497ms step_avg:139.87ms
step:26/1770 train_time:3628ms step_avg:139.53ms
step:27/1770 train_time:3758ms step_avg:139.19ms
step:28/1770 train_time:3903ms step_avg:139.39ms
step:29/1770 train_time:4043ms step_avg:139.41ms
step:30/1770 train_time:4185ms step_avg:139.51ms
step:31/1770 train_time:4325ms step_avg:139.52ms
step:32/1770 train_time:4462ms step_avg:139.44ms
step:33/1770 train_time:4599ms step_avg:139.37ms
step:34/1770 train_time:4733ms step_avg:139.19ms
step:35/1770 train_time:4870ms step_avg:139.15ms
step:36/1770 train_time:5009ms step_avg:139.13ms
step:37/1770 train_time:5144ms step_avg:139.02ms
step:38/1770 train_time:5273ms step_avg:138.77ms
step:39/1770 train_time:5413ms step_avg:138.79ms
step:40/1770 train_time:5552ms step_avg:138.79ms
step:41/1770 train_time:5691ms step_avg:138.80ms
step:42/1770 train_time:5828ms step_avg:138.75ms
step:43/1770 train_time:5965ms step_avg:138.71ms
step:44/1770 train_time:6102ms step_avg:138.68ms
step:45/1770 train_time:6246ms step_avg:138.80ms
step:46/1770 train_time:6382ms step_avg:138.74ms
step:47/1770 train_time:6523ms step_avg:138.78ms
step:48/1770 train_time:6662ms step_avg:138.79ms
step:49/1770 train_time:6800ms step_avg:138.78ms
step:50/1770 train_time:6951ms step_avg:139.01ms
step:50/1770 val_loss:8.4879 train_time:6952ms step_avg:139.03ms
step:51/1770 train_time:7091ms step_avg:139.04ms
step:52/1770 train_time:7228ms step_avg:139.01ms
step:53/1770 train_time:7364ms step_avg:138.95ms
step:54/1770 train_time:7505ms step_avg:138.99ms
step:55/1770 train_time:7641ms step_avg:138.93ms
step:56/1770 train_time:7770ms step_avg:138.75ms
step:57/1770 train_time:7905ms step_avg:138.69ms
step:58/1770 train_time:8042ms step_avg:138.65ms
step:59/1770 train_time:8180ms step_avg:138.65ms
step:60/1770 train_time:8312ms step_avg:138.53ms
step:61/1770 train_time:8449ms step_avg:138.50ms
step:62/1770 train_time:8582ms step_avg:138.43ms
step:63/1770 train_time:8714ms step_avg:138.31ms
step:64/1770 train_time:8850ms step_avg:138.28ms
step:65/1770 train_time:8984ms step_avg:138.22ms
step:66/1770 train_time:9117ms step_avg:138.14ms
step:67/1770 train_time:9252ms step_avg:138.09ms
step:68/1770 train_time:9386ms step_avg:138.02ms
step:69/1770 train_time:9521ms step_avg:137.99ms
step:70/1770 train_time:9659ms step_avg:137.99ms
step:71/1770 train_time:9797ms step_avg:137.98ms
step:72/1770 train_time:9934ms step_avg:137.97ms
step:73/1770 train_time:10065ms step_avg:137.87ms
step:74/1770 train_time:10199ms step_avg:137.82ms
step:75/1770 train_time:10338ms step_avg:137.84ms
step:76/1770 train_time:10466ms step_avg:137.71ms
step:77/1770 train_time:10601ms step_avg:137.67ms
step:78/1770 train_time:10738ms step_avg:137.67ms
step:79/1770 train_time:10868ms step_avg:137.57ms
step:80/1770 train_time:11009ms step_avg:137.61ms
step:81/1770 train_time:11142ms step_avg:137.56ms
step:82/1770 train_time:11274ms step_avg:137.49ms
step:83/1770 train_time:11411ms step_avg:137.49ms
step:84/1770 train_time:11547ms step_avg:137.47ms
step:85/1770 train_time:11682ms step_avg:137.44ms
step:86/1770 train_time:11823ms step_avg:137.47ms
step:87/1770 train_time:11959ms step_avg:137.46ms
step:88/1770 train_time:12093ms step_avg:137.42ms
step:89/1770 train_time:12224ms step_avg:137.35ms
step:90/1770 train_time:12359ms step_avg:137.32ms
step:91/1770 train_time:12492ms step_avg:137.27ms
