logs/9940f6b2-4aed-47c1-a4b5-4a74d4f8557b.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:46,  7.69it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.83ms
step:1/1770 train_time:208ms step_avg:208.02ms
step:2/1770 train_time:342ms step_avg:170.95ms
step:3/1770 train_time:478ms step_avg:159.34ms
step:4/1770 train_time:610ms step_avg:152.59ms
step:5/1770 train_time:738ms step_avg:147.68ms
step:6/1770 train_time:868ms step_avg:144.59ms
step:7/1770 train_time:1000ms step_avg:142.92ms
step:8/1770 train_time:1129ms step_avg:141.17ms
step:9/1770 train_time:1260ms step_avg:139.99ms
step:10/1770 train_time:1390ms step_avg:139.05ms
step:11/1770 train_time:1521ms step_avg:138.31ms
step:12/1770 train_time:1652ms step_avg:137.64ms
step:13/1770 train_time:1782ms step_avg:137.11ms
step:14/1770 train_time:1913ms step_avg:136.61ms
step:15/1770 train_time:2046ms step_avg:136.37ms
step:16/1770 train_time:2181ms step_avg:136.33ms
step:17/1770 train_time:2314ms step_avg:136.12ms
step:18/1770 train_time:2448ms step_avg:135.99ms
step:19/1770 train_time:2579ms step_avg:135.72ms
step:20/1770 train_time:2708ms step_avg:135.40ms
step:21/1770 train_time:2840ms step_avg:135.24ms
step:22/1770 train_time:2972ms step_avg:135.11ms
step:23/1770 train_time:3102ms step_avg:134.88ms
step:24/1770 train_time:3240ms step_avg:134.99ms
step:25/1770 train_time:3371ms step_avg:134.86ms
step:26/1770 train_time:3500ms step_avg:134.62ms
step:27/1770 train_time:3626ms step_avg:134.29ms
step:28/1770 train_time:3751ms step_avg:133.97ms
step:29/1770 train_time:3882ms step_avg:133.88ms
step:30/1770 train_time:4014ms step_avg:133.80ms
step:31/1770 train_time:4143ms step_avg:133.66ms
step:32/1770 train_time:4272ms step_avg:133.51ms
step:33/1770 train_time:4403ms step_avg:133.42ms
step:34/1770 train_time:4531ms step_avg:133.25ms
step:35/1770 train_time:4663ms step_avg:133.22ms
step:36/1770 train_time:4794ms step_avg:133.16ms
step:37/1770 train_time:4929ms step_avg:133.22ms
step:38/1770 train_time:5057ms step_avg:133.08ms
step:39/1770 train_time:5188ms step_avg:133.03ms
step:40/1770 train_time:5316ms step_avg:132.91ms
step:41/1770 train_time:5448ms step_avg:132.87ms
step:42/1770 train_time:5574ms step_avg:132.71ms
step:43/1770 train_time:5700ms step_avg:132.55ms
