logs/84a5fa0f-debd-4541-9ddb-bd593dc0f6f2.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:51,  7.52it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.97ms
step:1/1770 train_time:207ms step_avg:207.17ms
step:2/1770 train_time:340ms step_avg:170.17ms
step:3/1770 train_time:473ms step_avg:157.82ms
step:4/1770 train_time:601ms step_avg:150.21ms
step:5/1770 train_time:736ms step_avg:147.15ms
step:6/1770 train_time:869ms step_avg:144.85ms
step:7/1770 train_time:1000ms step_avg:142.90ms
step:8/1770 train_time:1136ms step_avg:142.02ms
step:9/1770 train_time:1277ms step_avg:141.87ms
step:10/1770 train_time:1417ms step_avg:141.67ms
step:11/1770 train_time:1553ms step_avg:141.22ms
step:12/1770 train_time:1684ms step_avg:140.32ms
step:13/1770 train_time:1818ms step_avg:139.88ms
step:14/1770 train_time:1950ms step_avg:139.31ms
step:15/1770 train_time:2083ms step_avg:138.84ms
step:16/1770 train_time:2218ms step_avg:138.61ms
step:17/1770 train_time:2355ms step_avg:138.54ms
step:18/1770 train_time:2485ms step_avg:138.07ms
step:19/1770 train_time:2623ms step_avg:138.06ms
step:20/1770 train_time:2753ms step_avg:137.64ms
step:21/1770 train_time:2887ms step_avg:137.47ms
step:22/1770 train_time:3022ms step_avg:137.36ms
step:23/1770 train_time:3153ms step_avg:137.10ms
step:24/1770 train_time:3293ms step_avg:137.19ms
step:25/1770 train_time:3428ms step_avg:137.10ms
step:26/1770 train_time:3556ms step_avg:136.76ms
step:27/1770 train_time:3686ms step_avg:136.51ms
step:28/1770 train_time:3818ms step_avg:136.37ms
step:29/1770 train_time:3951ms step_avg:136.25ms
step:30/1770 train_time:4085ms step_avg:136.18ms
step:31/1770 train_time:4221ms step_avg:136.16ms
step:32/1770 train_time:4354ms step_avg:136.06ms
step:33/1770 train_time:4496ms step_avg:136.23ms
step:34/1770 train_time:4634ms step_avg:136.29ms
step:35/1770 train_time:4774ms step_avg:136.39ms
step:36/1770 train_time:4915ms step_avg:136.52ms
step:37/1770 train_time:5053ms step_avg:136.56ms
step:38/1770 train_time:5190ms step_avg:136.58ms
step:39/1770 train_time:5327ms step_avg:136.58ms
step:40/1770 train_time:5467ms step_avg:136.66ms
step:41/1770 train_time:5603ms step_avg:136.65ms
step:42/1770 train_time:5743ms step_avg:136.74ms
step:43/1770 train_time:5887ms step_avg:136.91ms
step:44/1770 train_time:6035ms step_avg:137.15ms
step:45/1770 train_time:6175ms step_avg:137.22ms
step:46/1770 train_time:6309ms step_avg:137.15ms
step:47/1770 train_time:6447ms step_avg:137.16ms
step:48/1770 train_time:6581ms step_avg:137.10ms
step:49/1770 train_time:6717ms step_avg:137.09ms
step:50/1770 train_time:6849ms step_avg:136.99ms
step:50/1770 val_loss:8.3669 train_time:6853ms step_avg:137.07ms
step:51/1770 train_time:6993ms step_avg:137.12ms
step:52/1770 train_time:7138ms step_avg:137.27ms
step:53/1770 train_time:7274ms step_avg:137.25ms
step:54/1770 train_time:7408ms step_avg:137.18ms
step:55/1770 train_time:7541ms step_avg:137.11ms
step:56/1770 train_time:7672ms step_avg:137.00ms
step:57/1770 train_time:7806ms step_avg:136.95ms
step:58/1770 train_time:7941ms step_avg:136.92ms
step:59/1770 train_time:8078ms step_avg:136.92ms
step:60/1770 train_time:8220ms step_avg:136.99ms
step:61/1770 train_time:8359ms step_avg:137.03ms
step:62/1770 train_time:8497ms step_avg:137.05ms
step:63/1770 train_time:8631ms step_avg:137.01ms
step:64/1770 train_time:8766ms step_avg:136.98ms
step:65/1770 train_time:8907ms step_avg:137.03ms
step:66/1770 train_time:9037ms step_avg:136.92ms
step:67/1770 train_time:9171ms step_avg:136.87ms
step:68/1770 train_time:9316ms step_avg:136.99ms
step:69/1770 train_time:9446ms step_avg:136.90ms
step:70/1770 train_time:9576ms step_avg:136.81ms
step:71/1770 train_time:9709ms step_avg:136.75ms
step:72/1770 train_time:9837ms step_avg:136.62ms
step:73/1770 train_time:9974ms step_avg:136.63ms
step:74/1770 train_time:10113ms step_avg:136.66ms
step:75/1770 train_time:10246ms step_avg:136.62ms
step:76/1770 train_time:10385ms step_avg:136.64ms
step:77/1770 train_time:10526ms step_avg:136.70ms
step:78/1770 train_time:10655ms step_avg:136.61ms
step:79/1770 train_time:10794ms step_avg:136.63ms
step:80/1770 train_time:10928ms step_avg:136.60ms
step:81/1770 train_time:11060ms step_avg:136.55ms
step:82/1770 train_time:11192ms step_avg:136.49ms
step:83/1770 train_time:11323ms step_avg:136.42ms
step:84/1770 train_time:11456ms step_avg:136.38ms
step:85/1770 train_time:11590ms step_avg:136.36ms
step:86/1770 train_time:11726ms step_avg:136.35ms
step:87/1770 train_time:11857ms step_avg:136.29ms
step:88/1770 train_time:11991ms step_avg:136.26ms
step:89/1770 train_time:12129ms step_avg:136.28ms
step:90/1770 train_time:12271ms step_avg:136.34ms
step:91/1770 train_time:12405ms step_avg:136.32ms
step:92/1770 train_time:12536ms step_avg:136.26ms
step:93/1770 train_time:12664ms step_avg:136.17ms
step:94/1770 train_time:12797ms step_avg:136.14ms
step:95/1770 train_time:12929ms step_avg:136.10ms
step:96/1770 train_time:13060ms step_avg:136.04ms
step:97/1770 train_time:13190ms step_avg:135.98ms
step:98/1770 train_time:13324ms step_avg:135.96ms
step:99/1770 train_time:13457ms step_avg:135.93ms
step:100/1770 train_time:13589ms step_avg:135.89ms
step:100/1770 val_loss:7.0308 train_time:13592ms step_avg:135.92ms
step:101/1770 train_time:13723ms step_avg:135.87ms
step:102/1770 train_time:13854ms step_avg:135.83ms
step:103/1770 train_time:13986ms step_avg:135.79ms
step:104/1770 train_time:14127ms step_avg:135.84ms
step:105/1770 train_time:14259ms step_avg:135.80ms
step:106/1770 train_time:14400ms step_avg:135.85ms
step:107/1770 train_time:14535ms step_avg:135.84ms
step:108/1770 train_time:14672ms step_avg:135.85ms
step:109/1770 train_time:14816ms step_avg:135.92ms
step:110/1770 train_time:14949ms step_avg:135.90ms
step:111/1770 train_time:15090ms step_avg:135.95ms
step:112/1770 train_time:15224ms step_avg:135.93ms
step:113/1770 train_time:15359ms step_avg:135.92ms
step:114/1770 train_time:15505ms step_avg:136.01ms
step:115/1770 train_time:15643ms step_avg:136.03ms
step:116/1770 train_time:15787ms step_avg:136.10ms
step:117/1770 train_time:15926ms step_avg:136.12ms
step:118/1770 train_time:16064ms step_avg:136.14ms
step:119/1770 train_time:16203ms step_avg:136.16ms
step:120/1770 train_time:16333ms step_avg:136.11ms
step:121/1770 train_time:16466ms step_avg:136.09ms
step:122/1770 train_time:16609ms step_avg:136.14ms
step:123/1770 train_time:16745ms step_avg:136.14ms
step:124/1770 train_time:16881ms step_avg:136.14ms
step:125/1770 train_time:17018ms step_avg:136.14ms
step:126/1770 train_time:17158ms step_avg:136.17ms
step:127/1770 train_time:17289ms step_avg:136.13ms
step:128/1770 train_time:17424ms step_avg:136.13ms
step:129/1770 train_time:17559ms step_avg:136.12ms
step:130/1770 train_time:17696ms step_avg:136.12ms
step:131/1770 train_time:17835ms step_avg:136.15ms
step:132/1770 train_time:17974ms step_avg:136.17ms
step:133/1770 train_time:18107ms step_avg:136.14ms
step:134/1770 train_time:18246ms step_avg:136.16ms
step:135/1770 train_time:18375ms step_avg:136.11ms
step:136/1770 train_time:18513ms step_avg:136.13ms
step:137/1770 train_time:18652ms step_avg:136.14ms
step:138/1770 train_time:18791ms step_avg:136.17ms
step:139/1770 train_time:18931ms step_avg:136.20ms
step:140/1770 train_time:19060ms step_avg:136.14ms
step:141/1770 train_time:19188ms step_avg:136.08ms
step:142/1770 train_time:19321ms step_avg:136.06ms
step:143/1770 train_time:19458ms step_avg:136.07ms
step:144/1770 train_time:19594ms step_avg:136.07ms
step:145/1770 train_time:19726ms step_avg:136.04ms
step:146/1770 train_time:19854ms step_avg:135.99ms
step:147/1770 train_time:19992ms step_avg:136.00ms
step:148/1770 train_time:20135ms step_avg:136.05ms
step:149/1770 train_time:20265ms step_avg:136.00ms
step:150/1770 train_time:20400ms step_avg:136.00ms
step:150/1770 val_loss:6.8347 train_time:20401ms step_avg:136.01ms
step:151/1770 train_time:20535ms step_avg:135.99ms
step:152/1770 train_time:20671ms step_avg:135.99ms
step:153/1770 train_time:20799ms step_avg:135.94ms
step:154/1770 train_time:20933ms step_avg:135.93ms
step:155/1770 train_time:21064ms step_avg:135.90ms
step:156/1770 train_time:21197ms step_avg:135.88ms
step:157/1770 train_time:21332ms step_avg:135.87ms
step:158/1770 train_time:21467ms step_avg:135.86ms
step:159/1770 train_time:21601ms step_avg:135.86ms
step:160/1770 train_time:21733ms step_avg:135.83ms
step:161/1770 train_time:21866ms step_avg:135.82ms
step:162/1770 train_time:22001ms step_avg:135.81ms
step:163/1770 train_time:22132ms step_avg:135.78ms
step:164/1770 train_time:22266ms step_avg:135.77ms
step:165/1770 train_time:22403ms step_avg:135.78ms
step:166/1770 train_time:22539ms step_avg:135.78ms
step:167/1770 train_time:22674ms step_avg:135.77ms
step:168/1770 train_time:22805ms step_avg:135.75ms
step:169/1770 train_time:22946ms step_avg:135.78ms
step:170/1770 train_time:23093ms step_avg:135.84ms
step:171/1770 train_time:23238ms step_avg:135.89ms
step:172/1770 train_time:23374ms step_avg:135.89ms
step:173/1770 train_time:23512ms step_avg:135.91ms
step:174/1770 train_time:23651ms step_avg:135.93ms
step:175/1770 train_time:23789ms step_avg:135.94ms
step:176/1770 train_time:23926ms step_avg:135.94ms
step:177/1770 train_time:24059ms step_avg:135.93ms
step:178/1770 train_time:24198ms step_avg:135.94ms
step:179/1770 train_time:24336ms step_avg:135.95ms
step:180/1770 train_time:24476ms step_avg:135.98ms
step:181/1770 train_time:24612ms step_avg:135.98ms
step:182/1770 train_time:24747ms step_avg:135.97ms
step:183/1770 train_time:24880ms step_avg:135.96ms
step:184/1770 train_time:25023ms step_avg:136.00ms
step:185/1770 train_time:25162ms step_avg:136.01ms
step:186/1770 train_time:25295ms step_avg:135.99ms
step:187/1770 train_time:25426ms step_avg:135.97ms
