logs/12d1f47a-5826-4e07-bf0d-75600555d487.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:49,  7.59it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.89ms
step:1/1770 train_time:195ms step_avg:194.93ms
step:2/1770 train_time:328ms step_avg:164.13ms
step:3/1770 train_time:464ms step_avg:154.51ms
step:4/1770 train_time:596ms step_avg:148.96ms
step:5/1770 train_time:728ms step_avg:145.59ms
step:6/1770 train_time:858ms step_avg:142.92ms
step:7/1770 train_time:991ms step_avg:141.54ms
step:8/1770 train_time:1121ms step_avg:140.18ms
step:9/1770 train_time:1256ms step_avg:139.59ms
step:10/1770 train_time:1393ms step_avg:139.29ms
step:11/1770 train_time:1528ms step_avg:138.94ms
step:12/1770 train_time:1661ms step_avg:138.41ms
step:13/1770 train_time:1801ms step_avg:138.53ms
step:14/1770 train_time:1933ms step_avg:138.07ms
step:15/1770 train_time:2065ms step_avg:137.68ms
step:16/1770 train_time:2198ms step_avg:137.41ms
step:17/1770 train_time:2335ms step_avg:137.34ms
step:18/1770 train_time:2464ms step_avg:136.91ms
step:19/1770 train_time:2595ms step_avg:136.56ms
step:20/1770 train_time:2723ms step_avg:136.15ms
step:21/1770 train_time:2853ms step_avg:135.86ms
step:22/1770 train_time:2986ms step_avg:135.72ms
step:23/1770 train_time:3117ms step_avg:135.51ms
step:24/1770 train_time:3249ms step_avg:135.39ms
step:25/1770 train_time:3381ms step_avg:135.22ms
step:26/1770 train_time:3514ms step_avg:135.15ms
step:27/1770 train_time:3645ms step_avg:134.99ms
step:28/1770 train_time:3776ms step_avg:134.85ms
step:29/1770 train_time:3906ms step_avg:134.70ms
step:30/1770 train_time:4039ms step_avg:134.63ms
step:31/1770 train_time:4170ms step_avg:134.51ms
step:32/1770 train_time:4298ms step_avg:134.33ms
step:33/1770 train_time:4432ms step_avg:134.30ms
step:34/1770 train_time:4564ms step_avg:134.23ms
step:35/1770 train_time:4692ms step_avg:134.06ms
step:36/1770 train_time:4820ms step_avg:133.88ms
step:37/1770 train_time:4945ms step_avg:133.64ms
step:38/1770 train_time:5067ms step_avg:133.36ms
step:39/1770 train_time:5199ms step_avg:133.30ms
step:40/1770 train_time:5330ms step_avg:133.26ms
step:41/1770 train_time:5466ms step_avg:133.32ms
step:42/1770 train_time:5595ms step_avg:133.22ms
step:43/1770 train_time:5735ms step_avg:133.37ms
step:44/1770 train_time:5870ms step_avg:133.41ms
step:45/1770 train_time:6007ms step_avg:133.48ms
step:46/1770 train_time:6140ms step_avg:133.48ms
step:47/1770 train_time:6272ms step_avg:133.45ms
step:48/1770 train_time:6404ms step_avg:133.41ms
step:49/1770 train_time:6543ms step_avg:133.54ms
step:50/1770 train_time:6680ms step_avg:133.61ms
step:50/1770 val_loss:8.4621 train_time:6682ms step_avg:133.64ms
step:51/1770 train_time:6816ms step_avg:133.64ms
step:52/1770 train_time:6952ms step_avg:133.69ms
step:53/1770 train_time:7088ms step_avg:133.73ms
step:54/1770 train_time:7216ms step_avg:133.63ms
step:55/1770 train_time:7350ms step_avg:133.64ms
step:56/1770 train_time:7483ms step_avg:133.62ms
step:57/1770 train_time:7613ms step_avg:133.56ms
step:58/1770 train_time:7745ms step_avg:133.54ms
step:59/1770 train_time:7879ms step_avg:133.55ms
step:60/1770 train_time:8011ms step_avg:133.52ms
step:61/1770 train_time:8146ms step_avg:133.54ms
step:62/1770 train_time:8276ms step_avg:133.49ms
step:63/1770 train_time:8407ms step_avg:133.45ms
step:64/1770 train_time:8537ms step_avg:133.39ms
step:65/1770 train_time:8670ms step_avg:133.38ms
step:66/1770 train_time:8802ms step_avg:133.37ms
step:67/1770 train_time:8933ms step_avg:133.33ms
step:68/1770 train_time:9067ms step_avg:133.33ms
step:69/1770 train_time:9197ms step_avg:133.29ms
step:70/1770 train_time:9337ms step_avg:133.38ms
step:71/1770 train_time:9469ms step_avg:133.36ms
step:72/1770 train_time:9598ms step_avg:133.31ms
step:73/1770 train_time:9730ms step_avg:133.29ms
step:74/1770 train_time:9859ms step_avg:133.22ms
step:75/1770 train_time:9992ms step_avg:133.23ms
step:76/1770 train_time:10126ms step_avg:133.23ms
step:77/1770 train_time:10257ms step_avg:133.21ms
step:78/1770 train_time:10388ms step_avg:133.17ms
step:79/1770 train_time:10521ms step_avg:133.18ms
step:80/1770 train_time:10656ms step_avg:133.20ms
step:81/1770 train_time:10787ms step_avg:133.18ms
step:82/1770 train_time:10918ms step_avg:133.14ms
step:83/1770 train_time:11051ms step_avg:133.14ms
step:84/1770 train_time:11178ms step_avg:133.07ms
step:85/1770 train_time:11310ms step_avg:133.06ms
step:86/1770 train_time:11444ms step_avg:133.06ms
step:87/1770 train_time:11575ms step_avg:133.05ms
step:88/1770 train_time:11707ms step_avg:133.03ms
step:89/1770 train_time:11838ms step_avg:133.01ms
step:90/1770 train_time:11972ms step_avg:133.02ms
step:91/1770 train_time:12101ms step_avg:132.97ms
step:92/1770 train_time:12232ms step_avg:132.96ms
step:93/1770 train_time:12365ms step_avg:132.96ms
step:94/1770 train_time:12500ms step_avg:132.98ms
step:95/1770 train_time:12634ms step_avg:132.98ms
step:96/1770 train_time:12763ms step_avg:132.95ms
step:97/1770 train_time:12893ms step_avg:132.92ms
step:98/1770 train_time:13025ms step_avg:132.91ms
step:99/1770 train_time:13154ms step_avg:132.87ms
step:100/1770 train_time:13286ms step_avg:132.86ms
step:100/1770 val_loss:6.9696 train_time:13287ms step_avg:132.87ms
step:101/1770 train_time:13422ms step_avg:132.89ms
step:102/1770 train_time:13554ms step_avg:132.89ms
step:103/1770 train_time:13682ms step_avg:132.84ms
step:104/1770 train_time:13813ms step_avg:132.81ms
step:105/1770 train_time:13941ms step_avg:132.77ms
step:106/1770 train_time:14074ms step_avg:132.77ms
step:107/1770 train_time:14203ms step_avg:132.74ms
step:108/1770 train_time:14334ms step_avg:132.72ms
step:109/1770 train_time:14463ms step_avg:132.68ms
step:110/1770 train_time:14596ms step_avg:132.69ms
step:111/1770 train_time:14725ms step_avg:132.66ms
step:112/1770 train_time:14853ms step_avg:132.61ms
step:113/1770 train_time:14988ms step_avg:132.64ms
step:114/1770 train_time:15116ms step_avg:132.59ms
step:115/1770 train_time:15250ms step_avg:132.61ms
step:116/1770 train_time:15385ms step_avg:132.63ms
step:117/1770 train_time:15516ms step_avg:132.62ms
step:118/1770 train_time:15653ms step_avg:132.65ms
step:119/1770 train_time:15791ms step_avg:132.70ms
step:120/1770 train_time:15926ms step_avg:132.72ms
step:121/1770 train_time:16066ms step_avg:132.78ms
step:122/1770 train_time:16211ms step_avg:132.87ms
step:123/1770 train_time:16346ms step_avg:132.89ms
step:124/1770 train_time:16488ms step_avg:132.96ms
step:125/1770 train_time:16624ms step_avg:133.00ms
step:126/1770 train_time:16756ms step_avg:132.99ms
step:127/1770 train_time:16886ms step_avg:132.96ms
step:128/1770 train_time:17021ms step_avg:132.98ms
step:129/1770 train_time:17151ms step_avg:132.96ms
step:130/1770 train_time:17286ms step_avg:132.97ms
step:131/1770 train_time:17422ms step_avg:133.00ms
step:132/1770 train_time:17551ms step_avg:132.96ms
step:133/1770 train_time:17685ms step_avg:132.97ms
step:134/1770 train_time:17815ms step_avg:132.94ms
step:135/1770 train_time:17951ms step_avg:132.97ms
step:136/1770 train_time:18087ms step_avg:133.00ms
step:137/1770 train_time:18226ms step_avg:133.04ms
step:138/1770 train_time:18352ms step_avg:132.98ms
step:139/1770 train_time:18480ms step_avg:132.95ms
step:140/1770 train_time:18611ms step_avg:132.94ms
step:141/1770 train_time:18743ms step_avg:132.93ms
step:142/1770 train_time:18878ms step_avg:132.95ms
step:143/1770 train_time:19013ms step_avg:132.96ms
step:144/1770 train_time:19144ms step_avg:132.95ms
step:145/1770 train_time:19271ms step_avg:132.91ms
step:146/1770 train_time:19405ms step_avg:132.91ms
step:147/1770 train_time:19535ms step_avg:132.89ms
step:148/1770 train_time:19665ms step_avg:132.87ms
step:149/1770 train_time:19798ms step_avg:132.87ms
step:150/1770 train_time:19934ms step_avg:132.89ms
step:150/1770 val_loss:6.8168 train_time:19936ms step_avg:132.91ms
step:151/1770 train_time:20072ms step_avg:132.93ms
