logs/3f6c17b4-df93-4af9-95f8-c7f22cb19abd.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<04:03,  7.14it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.41ms
step:1/1770 train_time:193ms step_avg:193.47ms
step:2/1770 train_time:329ms step_avg:164.33ms
step:3/1770 train_time:459ms step_avg:153.03ms
step:4/1770 train_time:590ms step_avg:147.53ms
step:5/1770 train_time:719ms step_avg:143.85ms
step:6/1770 train_time:846ms step_avg:141.07ms
step:7/1770 train_time:980ms step_avg:140.04ms
step:8/1770 train_time:1115ms step_avg:139.35ms
step:9/1770 train_time:1249ms step_avg:138.77ms
step:10/1770 train_time:1400ms step_avg:139.96ms
step:11/1770 train_time:1546ms step_avg:140.52ms
step:12/1770 train_time:1683ms step_avg:140.23ms
step:13/1770 train_time:1820ms step_avg:139.99ms
step:14/1770 train_time:1956ms step_avg:139.69ms
step:15/1770 train_time:2090ms step_avg:139.32ms
step:16/1770 train_time:2222ms step_avg:138.89ms
step:17/1770 train_time:2355ms step_avg:138.54ms
step:18/1770 train_time:2489ms step_avg:138.29ms
step:19/1770 train_time:2627ms step_avg:138.27ms
step:20/1770 train_time:2763ms step_avg:138.14ms
step:21/1770 train_time:2902ms step_avg:138.21ms
step:22/1770 train_time:3040ms step_avg:138.17ms
step:23/1770 train_time:3174ms step_avg:137.99ms
step:24/1770 train_time:3311ms step_avg:137.95ms
step:25/1770 train_time:3447ms step_avg:137.88ms
step:26/1770 train_time:3592ms step_avg:138.14ms
step:27/1770 train_time:3732ms step_avg:138.24ms
step:28/1770 train_time:3875ms step_avg:138.39ms
step:29/1770 train_time:4015ms step_avg:138.46ms
step:30/1770 train_time:4154ms step_avg:138.48ms
step:31/1770 train_time:4294ms step_avg:138.53ms
step:32/1770 train_time:4437ms step_avg:138.66ms
step:33/1770 train_time:4574ms step_avg:138.59ms
step:34/1770 train_time:4700ms step_avg:138.23ms
step:35/1770 train_time:4836ms step_avg:138.17ms
step:36/1770 train_time:4968ms step_avg:138.01ms
step:37/1770 train_time:5105ms step_avg:137.97ms
step:38/1770 train_time:5237ms step_avg:137.81ms
step:39/1770 train_time:5373ms step_avg:137.78ms
step:40/1770 train_time:5507ms step_avg:137.68ms
step:41/1770 train_time:5643ms step_avg:137.63ms
step:42/1770 train_time:5786ms step_avg:137.77ms
step:43/1770 train_time:5921ms step_avg:137.70ms
step:44/1770 train_time:6062ms step_avg:137.77ms
step:45/1770 train_time:6204ms step_avg:137.86ms
step:46/1770 train_time:6344ms step_avg:137.92ms
step:47/1770 train_time:6483ms step_avg:137.93ms
step:48/1770 train_time:6623ms step_avg:137.97ms
step:49/1770 train_time:6757ms step_avg:137.89ms
step:50/1770 train_time:6892ms step_avg:137.84ms
step:50/1770 val_loss:8.4488 train_time:6893ms step_avg:137.87ms
step:51/1770 train_time:7030ms step_avg:137.85ms
step:52/1770 train_time:7176ms step_avg:138.00ms
step:53/1770 train_time:7314ms step_avg:138.00ms
step:54/1770 train_time:7451ms step_avg:137.97ms
step:55/1770 train_time:7592ms step_avg:138.04ms
step:56/1770 train_time:7728ms step_avg:138.00ms
step:57/1770 train_time:7864ms step_avg:137.96ms
step:58/1770 train_time:8008ms step_avg:138.06ms
step:59/1770 train_time:8153ms step_avg:138.18ms
step:60/1770 train_time:8286ms step_avg:138.11ms
step:61/1770 train_time:8429ms step_avg:138.18ms
step:62/1770 train_time:8567ms step_avg:138.18ms
step:63/1770 train_time:8715ms step_avg:138.33ms
step:64/1770 train_time:8848ms step_avg:138.24ms
step:65/1770 train_time:8976ms step_avg:138.09ms
step:66/1770 train_time:9109ms step_avg:138.02ms
step:67/1770 train_time:9239ms step_avg:137.89ms
step:68/1770 train_time:9381ms step_avg:137.96ms
step:69/1770 train_time:9514ms step_avg:137.88ms
step:70/1770 train_time:9649ms step_avg:137.85ms
step:71/1770 train_time:9782ms step_avg:137.78ms
step:72/1770 train_time:9917ms step_avg:137.74ms
step:73/1770 train_time:10060ms step_avg:137.81ms
step:74/1770 train_time:10195ms step_avg:137.78ms
step:75/1770 train_time:10325ms step_avg:137.66ms
step:76/1770 train_time:10458ms step_avg:137.60ms
step:77/1770 train_time:10593ms step_avg:137.57ms
step:78/1770 train_time:10720ms step_avg:137.44ms
step:79/1770 train_time:10864ms step_avg:137.52ms
step:80/1770 train_time:11003ms step_avg:137.54ms
step:81/1770 train_time:11144ms step_avg:137.58ms
step:82/1770 train_time:11283ms step_avg:137.60ms
step:83/1770 train_time:11419ms step_avg:137.58ms
step:84/1770 train_time:11555ms step_avg:137.56ms
step:85/1770 train_time:11694ms step_avg:137.57ms
step:86/1770 train_time:11831ms step_avg:137.57ms
step:87/1770 train_time:11975ms step_avg:137.64ms
step:88/1770 train_time:12111ms step_avg:137.63ms
step:89/1770 train_time:12247ms step_avg:137.60ms
step:90/1770 train_time:12383ms step_avg:137.59ms
step:91/1770 train_time:12517ms step_avg:137.55ms
step:92/1770 train_time:12653ms step_avg:137.54ms
step:93/1770 train_time:12796ms step_avg:137.59ms
step:94/1770 train_time:12929ms step_avg:137.54ms
step:95/1770 train_time:13058ms step_avg:137.45ms
step:96/1770 train_time:13197ms step_avg:137.47ms
step:97/1770 train_time:13330ms step_avg:137.43ms
step:98/1770 train_time:13467ms step_avg:137.42ms
step:99/1770 train_time:13612ms step_avg:137.50ms
step:100/1770 train_time:13749ms step_avg:137.49ms
step:100/1770 val_loss:7.0056 train_time:13752ms step_avg:137.52ms
step:101/1770 train_time:13889ms step_avg:137.52ms
step:102/1770 train_time:14027ms step_avg:137.52ms
step:103/1770 train_time:14165ms step_avg:137.52ms
step:104/1770 train_time:14303ms step_avg:137.53ms
step:105/1770 train_time:14442ms step_avg:137.54ms
step:106/1770 train_time:14578ms step_avg:137.53ms
step:107/1770 train_time:14717ms step_avg:137.55ms
step:108/1770 train_time:14853ms step_avg:137.53ms
step:109/1770 train_time:14992ms step_avg:137.54ms
step:110/1770 train_time:15134ms step_avg:137.58ms
step:111/1770 train_time:15269ms step_avg:137.56ms
step:112/1770 train_time:15407ms step_avg:137.56ms
step:113/1770 train_time:15543ms step_avg:137.55ms
step:114/1770 train_time:15682ms step_avg:137.56ms
step:115/1770 train_time:15820ms step_avg:137.56ms
step:116/1770 train_time:15958ms step_avg:137.57ms
step:117/1770 train_time:16100ms step_avg:137.60ms
step:118/1770 train_time:16250ms step_avg:137.71ms
step:119/1770 train_time:16392ms step_avg:137.75ms
step:120/1770 train_time:16536ms step_avg:137.80ms
step:121/1770 train_time:16683ms step_avg:137.87ms
step:122/1770 train_time:16834ms step_avg:137.98ms
step:123/1770 train_time:16972ms step_avg:137.98ms
step:124/1770 train_time:17114ms step_avg:138.02ms
step:125/1770 train_time:17251ms step_avg:138.01ms
step:126/1770 train_time:17393ms step_avg:138.04ms
step:127/1770 train_time:17533ms step_avg:138.06ms
step:128/1770 train_time:17667ms step_avg:138.03ms
step:129/1770 train_time:17803ms step_avg:138.01ms
step:130/1770 train_time:17943ms step_avg:138.02ms
step:131/1770 train_time:18078ms step_avg:138.00ms
step:132/1770 train_time:18218ms step_avg:138.02ms
step:133/1770 train_time:18361ms step_avg:138.05ms
step:134/1770 train_time:18504ms step_avg:138.09ms
step:135/1770 train_time:18646ms step_avg:138.12ms
step:136/1770 train_time:18786ms step_avg:138.13ms
step:137/1770 train_time:18926ms step_avg:138.15ms
step:138/1770 train_time:19067ms step_avg:138.17ms
step:139/1770 train_time:19207ms step_avg:138.18ms
step:140/1770 train_time:19338ms step_avg:138.13ms
step:141/1770 train_time:19474ms step_avg:138.11ms
step:142/1770 train_time:19612ms step_avg:138.12ms
step:143/1770 train_time:19748ms step_avg:138.09ms
step:144/1770 train_time:19881ms step_avg:138.07ms
step:145/1770 train_time:20019ms step_avg:138.06ms
step:146/1770 train_time:20155ms step_avg:138.05ms
step:147/1770 train_time:20290ms step_avg:138.03ms
step:148/1770 train_time:20428ms step_avg:138.03ms
step:149/1770 train_time:20563ms step_avg:138.00ms
step:150/1770 train_time:20698ms step_avg:137.99ms
step:150/1770 val_loss:6.8546 train_time:20699ms step_avg:137.99ms
step:151/1770 train_time:20836ms step_avg:137.99ms
step:152/1770 train_time:20970ms step_avg:137.96ms
