logs/4949a381-915a-4831-941d-9b1eae023153.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:36<06:53,  4.21it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.83ms
step:1/1770 train_time:3806ms step_avg:3805.54ms
step:2/1770 train_time:3997ms step_avg:1998.47ms
step:3/1770 train_time:4226ms step_avg:1408.56ms
step:4/1770 train_time:4457ms step_avg:1114.29ms
step:5/1770 train_time:4691ms step_avg:938.27ms
step:6/1770 train_time:4936ms step_avg:822.62ms
step:7/1770 train_time:5178ms step_avg:739.68ms
step:8/1770 train_time:5397ms step_avg:674.68ms
step:9/1770 train_time:5625ms step_avg:624.95ms
step:10/1770 train_time:5861ms step_avg:586.11ms
step:11/1770 train_time:6102ms step_avg:554.74ms
step:12/1770 train_time:6319ms step_avg:526.56ms
step:13/1770 train_time:6556ms step_avg:504.28ms
step:14/1770 train_time:6782ms step_avg:484.46ms
step:15/1770 train_time:7015ms step_avg:467.63ms
step:16/1770 train_time:7236ms step_avg:452.28ms
step:17/1770 train_time:7472ms step_avg:439.54ms
step:18/1770 train_time:7704ms step_avg:428.02ms
step:19/1770 train_time:7935ms step_avg:417.65ms
step:20/1770 train_time:8173ms step_avg:408.65ms
step:21/1770 train_time:8400ms step_avg:400.00ms
step:22/1770 train_time:8634ms step_avg:392.47ms
step:23/1770 train_time:8876ms step_avg:385.93ms
step:24/1770 train_time:9101ms step_avg:379.22ms
step:25/1770 train_time:9337ms step_avg:373.49ms
step:26/1770 train_time:9571ms step_avg:368.10ms
step:27/1770 train_time:9798ms step_avg:362.90ms
step:28/1770 train_time:10040ms step_avg:358.56ms
step:29/1770 train_time:10277ms step_avg:354.36ms
step:30/1770 train_time:10519ms step_avg:350.62ms
step:31/1770 train_time:10735ms step_avg:346.29ms
step:32/1770 train_time:10977ms step_avg:343.04ms
step:33/1770 train_time:11209ms step_avg:339.66ms
step:34/1770 train_time:11443ms step_avg:336.57ms
step:35/1770 train_time:11673ms step_avg:333.52ms
step:36/1770 train_time:11908ms step_avg:330.77ms
step:37/1770 train_time:12135ms step_avg:327.97ms
step:38/1770 train_time:12372ms step_avg:325.58ms
step:39/1770 train_time:12597ms step_avg:323.00ms
step:40/1770 train_time:12836ms step_avg:320.91ms
step:41/1770 train_time:13068ms step_avg:318.74ms
step:42/1770 train_time:13296ms step_avg:316.58ms
step:43/1770 train_time:13531ms step_avg:314.67ms
step:44/1770 train_time:13760ms step_avg:312.73ms
step:45/1770 train_time:14000ms step_avg:311.12ms
step:46/1770 train_time:14230ms step_avg:309.35ms
step:47/1770 train_time:14454ms step_avg:307.53ms
step:48/1770 train_time:14688ms step_avg:305.99ms
step:49/1770 train_time:14920ms step_avg:304.48ms
step:50/1770 train_time:15175ms step_avg:303.51ms
step:50/1770 val_loss:8.3906 train_time:15304ms step_avg:306.09ms
step:51/1770 train_time:15423ms step_avg:302.41ms
step:52/1770 train_time:15629ms step_avg:300.56ms
step:53/1770 train_time:15872ms step_avg:299.47ms
step:54/1770 train_time:16089ms step_avg:297.95ms
step:55/1770 train_time:16329ms step_avg:296.89ms
step:56/1770 train_time:16560ms step_avg:295.71ms
step:57/1770 train_time:16807ms step_avg:294.85ms
step:58/1770 train_time:17031ms step_avg:293.64ms
step:59/1770 train_time:17259ms step_avg:292.53ms
step:60/1770 train_time:17515ms step_avg:291.92ms
step:61/1770 train_time:17740ms step_avg:290.81ms
step:62/1770 train_time:17962ms step_avg:289.70ms
step:63/1770 train_time:18198ms step_avg:288.85ms
