logs/7aa70e38-e517-44a3-8366-ef1ee1a983ef.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:29<06:47,  4.28it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.42ms
step:1/1770 train_time:750ms step_avg:749.98ms
step:2/1770 train_time:936ms step_avg:468.22ms
step:3/1770 train_time:1166ms step_avg:388.82ms
step:4/1770 train_time:1400ms step_avg:349.96ms
step:5/1770 train_time:1632ms step_avg:326.32ms
step:6/1770 train_time:1876ms step_avg:312.73ms
step:7/1770 train_time:2119ms step_avg:302.72ms
step:8/1770 train_time:2349ms step_avg:293.64ms
step:9/1770 train_time:2565ms step_avg:284.95ms
step:10/1770 train_time:2792ms step_avg:279.21ms
step:11/1770 train_time:3034ms step_avg:275.83ms
step:12/1770 train_time:3254ms step_avg:271.21ms
step:13/1770 train_time:3482ms step_avg:267.88ms
step:14/1770 train_time:3720ms step_avg:265.73ms
step:15/1770 train_time:3942ms step_avg:262.82ms
step:16/1770 train_time:4181ms step_avg:261.34ms
step:17/1770 train_time:4413ms step_avg:259.61ms
step:18/1770 train_time:4638ms step_avg:257.64ms
step:19/1770 train_time:4878ms step_avg:256.75ms
step:20/1770 train_time:5106ms step_avg:255.29ms
step:21/1770 train_time:5350ms step_avg:254.77ms
step:22/1770 train_time:5572ms step_avg:253.26ms
step:23/1770 train_time:5818ms step_avg:252.94ms
step:24/1770 train_time:6049ms step_avg:252.04ms
step:25/1770 train_time:6293ms step_avg:251.73ms
step:26/1770 train_time:6529ms step_avg:251.13ms
step:27/1770 train_time:6734ms step_avg:249.43ms
step:28/1770 train_time:6974ms step_avg:249.07ms
step:29/1770 train_time:7209ms step_avg:248.60ms
step:30/1770 train_time:7446ms step_avg:248.20ms
step:31/1770 train_time:7675ms step_avg:247.57ms
step:32/1770 train_time:7915ms step_avg:247.36ms
step:33/1770 train_time:8142ms step_avg:246.72ms
step:34/1770 train_time:8381ms step_avg:246.51ms
step:35/1770 train_time:8626ms step_avg:246.46ms
step:36/1770 train_time:8836ms step_avg:245.46ms
step:37/1770 train_time:9063ms step_avg:244.93ms
step:38/1770 train_time:9296ms step_avg:244.63ms
step:39/1770 train_time:9521ms step_avg:244.13ms
step:40/1770 train_time:9750ms step_avg:243.74ms
step:41/1770 train_time:9987ms step_avg:243.57ms
step:42/1770 train_time:10226ms step_avg:243.47ms
step:43/1770 train_time:10449ms step_avg:243.00ms
step:44/1770 train_time:10692ms step_avg:242.99ms
step:45/1770 train_time:10907ms step_avg:242.38ms
step:46/1770 train_time:11653ms step_avg:253.32ms
step:47/1770 train_time:12303ms step_avg:261.77ms
step:48/1770 train_time:12781ms step_avg:266.28ms
step:49/1770 train_time:13114ms step_avg:267.63ms
step:50/1770 train_time:13337ms step_avg:266.75ms
step:50/1770 val_loss:8.3095 train_time:13487ms step_avg:269.75ms
step:51/1770 train_time:13649ms step_avg:267.63ms
step:52/1770 train_time:13984ms step_avg:268.92ms
step:53/1770 train_time:14358ms step_avg:270.91ms
step:54/1770 train_time:15074ms step_avg:279.15ms
step:55/1770 train_time:15698ms step_avg:285.43ms
step:56/1770 train_time:15946ms step_avg:284.75ms
step:57/1770 train_time:16194ms step_avg:284.11ms
step:58/1770 train_time:16922ms step_avg:291.76ms
step:59/1770 train_time:17578ms step_avg:297.93ms
step:60/1770 train_time:17825ms step_avg:297.08ms
step:61/1770 train_time:18040ms step_avg:295.74ms
step:62/1770 train_time:18263ms step_avg:294.57ms
step:63/1770 train_time:18495ms step_avg:293.57ms
step:64/1770 train_time:18731ms step_avg:292.67ms
step:65/1770 train_time:18955ms step_avg:291.61ms
step:66/1770 train_time:19174ms step_avg:290.51ms
step:67/1770 train_time:19443ms step_avg:290.20ms
step:68/1770 train_time:19662ms step_avg:289.15ms
step:69/1770 train_time:19874ms step_avg:288.03ms
step:70/1770 train_time:20128ms step_avg:287.54ms
step:71/1770 train_time:20386ms step_avg:287.13ms
step:72/1770 train_time:20593ms step_avg:286.01ms
step:73/1770 train_time:20823ms step_avg:285.25ms
step:74/1770 train_time:21041ms step_avg:284.33ms
step:75/1770 train_time:21276ms step_avg:283.68ms
step:76/1770 train_time:21514ms step_avg:283.08ms
step:77/1770 train_time:21755ms step_avg:282.53ms
step:78/1770 train_time:21987ms step_avg:281.89ms
step:79/1770 train_time:22210ms step_avg:281.14ms
step:80/1770 train_time:22457ms step_avg:280.71ms
step:81/1770 train_time:22675ms step_avg:279.94ms
step:82/1770 train_time:22917ms step_avg:279.47ms
step:83/1770 train_time:23159ms step_avg:279.03ms
step:84/1770 train_time:23382ms step_avg:278.35ms
step:85/1770 train_time:23600ms step_avg:277.65ms
step:86/1770 train_time:23854ms step_avg:277.37ms
step:87/1770 train_time:24074ms step_avg:276.71ms
step:88/1770 train_time:24306ms step_avg:276.21ms
step:89/1770 train_time:24555ms step_avg:275.90ms
step:90/1770 train_time:24776ms step_avg:275.29ms
step:91/1770 train_time:24999ms step_avg:274.71ms
step:92/1770 train_time:25240ms step_avg:274.35ms
step:93/1770 train_time:25466ms step_avg:273.83ms
step:94/1770 train_time:25687ms step_avg:273.27ms
step:95/1770 train_time:25921ms step_avg:272.85ms
step:96/1770 train_time:26153ms step_avg:272.43ms
step:97/1770 train_time:26414ms step_avg:272.31ms
step:98/1770 train_time:26633ms step_avg:271.76ms
step:99/1770 train_time:26878ms step_avg:271.50ms
step:100/1770 train_time:27566ms step_avg:275.66ms
step:100/1770 val_loss:6.9637 train_time:28236ms step_avg:282.36ms
step:101/1770 train_time:28379ms step_avg:280.98ms
step:102/1770 train_time:28806ms step_avg:282.41ms
step:103/1770 train_time:29134ms step_avg:282.85ms
step:104/1770 train_time:29369ms step_avg:282.39ms
step:105/1770 train_time:29587ms step_avg:281.78ms
step:106/1770 train_time:29826ms step_avg:281.38ms
step:107/1770 train_time:30060ms step_avg:280.94ms
step:108/1770 train_time:30681ms step_avg:284.08ms
step:109/1770 train_time:31458ms step_avg:288.61ms
step:110/1770 train_time:31962ms step_avg:290.56ms
step:111/1770 train_time:32208ms step_avg:290.16ms
step:112/1770 train_time:32422ms step_avg:289.48ms
step:113/1770 train_time:32677ms step_avg:289.18ms
step:114/1770 train_time:32890ms step_avg:288.51ms
step:115/1770 train_time:33133ms step_avg:288.12ms
step:116/1770 train_time:33373ms step_avg:287.70ms
step:117/1770 train_time:33625ms step_avg:287.39ms
