logs/318cd44f-bae0-411b-9816-0fea6b639bf9.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:18<04:05,  7.09it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.33ms
step:1/1770 train_time:267ms step_avg:267.08ms
step:2/1770 train_time:422ms step_avg:210.79ms
step:3/1770 train_time:568ms step_avg:189.35ms
step:4/1770 train_time:704ms step_avg:176.11ms
step:5/1770 train_time:850ms step_avg:169.91ms
step:6/1770 train_time:985ms step_avg:164.23ms
step:7/1770 train_time:1130ms step_avg:161.39ms
step:8/1770 train_time:1267ms step_avg:158.37ms
step:9/1770 train_time:1408ms step_avg:156.40ms
step:10/1770 train_time:1544ms step_avg:154.44ms
step:11/1770 train_time:1684ms step_avg:153.07ms
step:12/1770 train_time:1827ms step_avg:152.24ms
step:13/1770 train_time:1966ms step_avg:151.20ms
step:14/1770 train_time:2107ms step_avg:150.51ms
step:15/1770 train_time:2247ms step_avg:149.80ms
step:16/1770 train_time:2384ms step_avg:148.98ms
step:17/1770 train_time:2524ms step_avg:148.45ms
step:18/1770 train_time:2661ms step_avg:147.82ms
step:19/1770 train_time:2796ms step_avg:147.16ms
step:20/1770 train_time:2931ms step_avg:146.54ms
step:21/1770 train_time:3079ms step_avg:146.63ms
step:22/1770 train_time:3218ms step_avg:146.26ms
step:23/1770 train_time:3364ms step_avg:146.24ms
step:24/1770 train_time:3508ms step_avg:146.17ms
step:25/1770 train_time:3652ms step_avg:146.10ms
step:26/1770 train_time:3795ms step_avg:145.96ms
step:27/1770 train_time:3945ms step_avg:146.11ms
step:28/1770 train_time:4087ms step_avg:145.97ms
step:29/1770 train_time:4222ms step_avg:145.59ms
step:30/1770 train_time:4362ms step_avg:145.39ms
step:31/1770 train_time:4502ms step_avg:145.23ms
step:32/1770 train_time:4642ms step_avg:145.06ms
step:33/1770 train_time:4778ms step_avg:144.80ms
step:34/1770 train_time:4917ms step_avg:144.60ms
step:35/1770 train_time:5053ms step_avg:144.36ms
step:36/1770 train_time:5191ms step_avg:144.21ms
step:37/1770 train_time:5325ms step_avg:143.92ms
step:38/1770 train_time:5462ms step_avg:143.73ms
step:39/1770 train_time:5600ms step_avg:143.59ms
step:40/1770 train_time:5736ms step_avg:143.39ms
step:41/1770 train_time:5865ms step_avg:143.04ms
step:42/1770 train_time:5999ms step_avg:142.83ms
step:43/1770 train_time:6135ms step_avg:142.66ms
step:44/1770 train_time:6287ms step_avg:142.88ms
step:45/1770 train_time:6422ms step_avg:142.72ms
step:46/1770 train_time:6560ms step_avg:142.60ms
step:47/1770 train_time:6705ms step_avg:142.66ms
step:48/1770 train_time:6852ms step_avg:142.74ms
step:49/1770 train_time:6997ms step_avg:142.79ms
step:50/1770 train_time:7143ms step_avg:142.87ms
step:50/1770 val_loss:8.1649 train_time:7145ms step_avg:142.89ms
step:51/1770 train_time:7281ms step_avg:142.76ms
step:52/1770 train_time:7423ms step_avg:142.75ms
step:53/1770 train_time:7564ms step_avg:142.71ms
step:54/1770 train_time:7709ms step_avg:142.76ms
step:55/1770 train_time:7854ms step_avg:142.81ms
step:56/1770 train_time:8000ms step_avg:142.86ms
step:57/1770 train_time:8138ms step_avg:142.77ms
step:58/1770 train_time:8280ms step_avg:142.75ms
step:59/1770 train_time:8420ms step_avg:142.71ms
step:60/1770 train_time:8558ms step_avg:142.64ms
step:61/1770 train_time:8697ms step_avg:142.57ms
step:62/1770 train_time:8828ms step_avg:142.39ms
step:63/1770 train_time:8960ms step_avg:142.22ms
step:64/1770 train_time:9088ms step_avg:142.00ms
step:65/1770 train_time:9227ms step_avg:141.95ms
step:66/1770 train_time:9357ms step_avg:141.77ms
step:67/1770 train_time:9492ms step_avg:141.68ms
step:68/1770 train_time:9625ms step_avg:141.55ms
step:69/1770 train_time:9758ms step_avg:141.43ms
step:70/1770 train_time:9903ms step_avg:141.47ms
step:71/1770 train_time:10046ms step_avg:141.49ms
step:72/1770 train_time:10182ms step_avg:141.41ms
step:73/1770 train_time:10318ms step_avg:141.34ms
step:74/1770 train_time:10457ms step_avg:141.31ms
step:75/1770 train_time:10592ms step_avg:141.22ms
step:76/1770 train_time:10729ms step_avg:141.18ms
step:77/1770 train_time:10871ms step_avg:141.18ms
step:78/1770 train_time:11008ms step_avg:141.12ms
step:79/1770 train_time:11142ms step_avg:141.04ms
step:80/1770 train_time:11281ms step_avg:141.02ms
step:81/1770 train_time:11420ms step_avg:140.98ms
step:82/1770 train_time:11558ms step_avg:140.95ms
step:83/1770 train_time:11697ms step_avg:140.93ms
step:84/1770 train_time:11836ms step_avg:140.90ms
step:85/1770 train_time:11969ms step_avg:140.81ms
step:86/1770 train_time:12112ms step_avg:140.84ms
step:87/1770 train_time:12248ms step_avg:140.78ms
step:88/1770 train_time:12384ms step_avg:140.72ms
step:89/1770 train_time:12516ms step_avg:140.63ms
step:90/1770 train_time:12652ms step_avg:140.58ms
step:91/1770 train_time:12789ms step_avg:140.54ms
step:92/1770 train_time:12925ms step_avg:140.49ms
step:93/1770 train_time:13066ms step_avg:140.50ms
step:94/1770 train_time:13202ms step_avg:140.45ms
step:95/1770 train_time:13334ms step_avg:140.36ms
step:96/1770 train_time:13481ms step_avg:140.43ms
step:97/1770 train_time:13607ms step_avg:140.27ms
step:98/1770 train_time:13744ms step_avg:140.25ms
step:99/1770 train_time:13880ms step_avg:140.21ms
step:100/1770 train_time:14014ms step_avg:140.14ms
step:100/1770 val_loss:6.9618 train_time:14018ms step_avg:140.18ms
step:101/1770 train_time:14149ms step_avg:140.09ms
step:102/1770 train_time:14280ms step_avg:140.00ms
step:103/1770 train_time:14425ms step_avg:140.05ms
step:104/1770 train_time:14537ms step_avg:139.78ms
step:105/1770 train_time:14668ms step_avg:139.70ms
step:106/1770 train_time:14800ms step_avg:139.62ms
step:107/1770 train_time:14933ms step_avg:139.57ms
step:108/1770 train_time:15075ms step_avg:139.58ms
step:109/1770 train_time:15219ms step_avg:139.62ms
step:110/1770 train_time:15357ms step_avg:139.60ms
step:111/1770 train_time:15491ms step_avg:139.55ms
step:112/1770 train_time:15636ms step_avg:139.60ms
step:113/1770 train_time:15775ms step_avg:139.60ms
step:114/1770 train_time:15910ms step_avg:139.56ms
step:115/1770 train_time:16048ms step_avg:139.55ms
step:116/1770 train_time:16181ms step_avg:139.49ms
step:117/1770 train_time:16329ms step_avg:139.56ms
step:118/1770 train_time:16462ms step_avg:139.51ms
step:119/1770 train_time:16604ms step_avg:139.53ms
step:120/1770 train_time:16738ms step_avg:139.48ms
step:121/1770 train_time:16871ms step_avg:139.43ms
step:122/1770 train_time:17003ms step_avg:139.37ms
step:123/1770 train_time:17145ms step_avg:139.39ms
step:124/1770 train_time:17280ms step_avg:139.35ms
step:125/1770 train_time:17420ms step_avg:139.36ms
step:126/1770 train_time:17559ms step_avg:139.36ms
step:127/1770 train_time:17704ms step_avg:139.40ms
step:128/1770 train_time:17838ms step_avg:139.36ms
step:129/1770 train_time:17977ms step_avg:139.36ms
step:130/1770 train_time:18117ms step_avg:139.36ms
step:131/1770 train_time:18262ms step_avg:139.40ms
step:132/1770 train_time:18400ms step_avg:139.39ms
step:133/1770 train_time:18538ms step_avg:139.38ms
step:134/1770 train_time:18679ms step_avg:139.39ms
step:135/1770 train_time:18820ms step_avg:139.41ms
step:136/1770 train_time:18960ms step_avg:139.41ms
step:137/1770 train_time:19102ms step_avg:139.43ms
step:138/1770 train_time:19241ms step_avg:139.43ms
step:139/1770 train_time:19376ms step_avg:139.39ms
step:140/1770 train_time:19518ms step_avg:139.41ms
step:141/1770 train_time:19659ms step_avg:139.42ms
step:142/1770 train_time:19792ms step_avg:139.38ms
step:143/1770 train_time:19929ms step_avg:139.37ms
step:144/1770 train_time:20065ms step_avg:139.34ms
step:145/1770 train_time:20206ms step_avg:139.35ms
step:146/1770 train_time:20345ms step_avg:139.35ms
step:147/1770 train_time:20484ms step_avg:139.35ms
step:148/1770 train_time:20621ms step_avg:139.33ms
step:149/1770 train_time:20752ms step_avg:139.27ms
step:150/1770 train_time:20891ms step_avg:139.27ms
step:150/1770 val_loss:6.7735 train_time:20892ms step_avg:139.28ms
step:151/1770 train_time:21037ms step_avg:139.32ms
step:152/1770 train_time:21174ms step_avg:139.30ms
step:153/1770 train_time:21307ms step_avg:139.26ms
step:154/1770 train_time:21444ms step_avg:139.25ms
step:155/1770 train_time:21581ms step_avg:139.23ms
step:156/1770 train_time:21714ms step_avg:139.19ms
step:157/1770 train_time:21852ms step_avg:139.19ms
step:158/1770 train_time:21988ms step_avg:139.16ms
step:159/1770 train_time:22119ms step_avg:139.12ms
step:160/1770 train_time:22252ms step_avg:139.08ms
step:161/1770 train_time:22391ms step_avg:139.08ms
step:162/1770 train_time:22529ms step_avg:139.07ms
step:163/1770 train_time:22662ms step_avg:139.03ms
step:164/1770 train_time:22796ms step_avg:139.00ms
step:165/1770 train_time:22939ms step_avg:139.02ms
step:166/1770 train_time:23072ms step_avg:138.99ms
step:167/1770 train_time:23204ms step_avg:138.95ms
step:168/1770 train_time:23340ms step_avg:138.93ms
step:169/1770 train_time:23473ms step_avg:138.90ms
step:170/1770 train_time:23605ms step_avg:138.86ms
step:171/1770 train_time:23754ms step_avg:138.91ms
step:172/1770 train_time:23888ms step_avg:138.89ms
step:173/1770 train_time:24023ms step_avg:138.86ms
step:174/1770 train_time:24162ms step_avg:138.86ms
step:175/1770 train_time:24299ms step_avg:138.85ms
step:176/1770 train_time:24440ms step_avg:138.86ms
step:177/1770 train_time:24579ms step_avg:138.86ms
step:178/1770 train_time:24720ms step_avg:138.87ms
step:179/1770 train_time:24858ms step_avg:138.87ms
step:180/1770 train_time:24994ms step_avg:138.86ms
step:181/1770 train_time:25132ms step_avg:138.85ms
step:182/1770 train_time:25268ms step_avg:138.83ms
step:183/1770 train_time:25406ms step_avg:138.83ms
step:184/1770 train_time:25548ms step_avg:138.85ms
step:185/1770 train_time:25693ms step_avg:138.88ms
step:186/1770 train_time:25839ms step_avg:138.92ms
step:187/1770 train_time:25979ms step_avg:138.93ms
step:188/1770 train_time:26124ms step_avg:138.96ms
step:189/1770 train_time:26266ms step_avg:138.97ms
step:190/1770 train_time:26410ms step_avg:139.00ms
step:191/1770 train_time:26544ms step_avg:138.97ms
step:192/1770 train_time:26681ms step_avg:138.96ms
step:193/1770 train_time:26823ms step_avg:138.98ms
step:194/1770 train_time:26964ms step_avg:138.99ms
step:195/1770 train_time:27100ms step_avg:138.97ms
step:196/1770 train_time:27232ms step_avg:138.94ms
step:197/1770 train_time:27365ms step_avg:138.91ms
step:198/1770 train_time:27501ms step_avg:138.90ms
step:199/1770 train_time:27635ms step_avg:138.87ms
step:200/1770 train_time:27781ms step_avg:138.90ms
step:200/1770 val_loss:6.6263 train_time:27782ms step_avg:138.91ms
step:201/1770 train_time:27922ms step_avg:138.92ms
step:202/1770 train_time:28057ms step_avg:138.90ms
step:203/1770 train_time:28191ms step_avg:138.87ms
step:204/1770 train_time:28321ms step_avg:138.83ms
step:205/1770 train_time:28458ms step_avg:138.82ms
step:206/1770 train_time:28592ms step_avg:138.80ms
step:207/1770 train_time:28720ms step_avg:138.74ms
step:208/1770 train_time:28853ms step_avg:138.72ms
step:209/1770 train_time:28988ms step_avg:138.70ms
step:210/1770 train_time:29128ms step_avg:138.71ms
step:211/1770 train_time:29273ms step_avg:138.73ms
step:212/1770 train_time:29406ms step_avg:138.71ms
step:213/1770 train_time:29541ms step_avg:138.69ms
step:214/1770 train_time:29678ms step_avg:138.68ms
step:215/1770 train_time:29808ms step_avg:138.64ms
step:216/1770 train_time:29941ms step_avg:138.62ms
step:217/1770 train_time:30070ms step_avg:138.57ms
step:218/1770 train_time:30200ms step_avg:138.53ms
step:219/1770 train_time:30335ms step_avg:138.52ms
step:220/1770 train_time:30466ms step_avg:138.48ms
step:221/1770 train_time:30598ms step_avg:138.45ms
step:222/1770 train_time:30731ms step_avg:138.43ms
step:223/1770 train_time:30858ms step_avg:138.38ms
step:224/1770 train_time:30988ms step_avg:138.34ms
step:225/1770 train_time:31125ms step_avg:138.33ms
step:226/1770 train_time:31253ms step_avg:138.29ms
step:227/1770 train_time:31388ms step_avg:138.27ms
step:228/1770 train_time:31526ms step_avg:138.27ms
step:229/1770 train_time:31657ms step_avg:138.24ms
step:230/1770 train_time:31791ms step_avg:138.22ms
step:231/1770 train_time:31928ms step_avg:138.22ms
step:232/1770 train_time:32064ms step_avg:138.21ms
step:233/1770 train_time:32198ms step_avg:138.19ms
step:234/1770 train_time:32328ms step_avg:138.15ms
step:235/1770 train_time:32462ms step_avg:138.14ms
step:236/1770 train_time:32591ms step_avg:138.10ms
step:237/1770 train_time:32724ms step_avg:138.07ms
step:238/1770 train_time:32851ms step_avg:138.03ms
step:239/1770 train_time:32985ms step_avg:138.01ms
step:240/1770 train_time:33116ms step_avg:137.98ms
step:241/1770 train_time:33250ms step_avg:137.97ms
step:242/1770 train_time:33387ms step_avg:137.96ms
step:243/1770 train_time:33520ms step_avg:137.94ms
step:244/1770 train_time:33665ms step_avg:137.97ms
step:245/1770 train_time:33783ms step_avg:137.89ms
step:246/1770 train_time:33912ms step_avg:137.85ms
step:247/1770 train_time:34032ms step_avg:137.78ms
step:248/1770 train_time:34160ms step_avg:137.74ms
step:249/1770 train_time:34290ms step_avg:137.71ms
step:250/1770 train_time:34423ms step_avg:137.69ms
step:250/1770 val_loss:6.6119 train_time:34427ms step_avg:137.71ms
step:251/1770 train_time:34561ms step_avg:137.69ms
step:252/1770 train_time:34689ms step_avg:137.66ms
step:253/1770 train_time:34827ms step_avg:137.66ms
step:254/1770 train_time:34959ms step_avg:137.63ms
step:255/1770 train_time:35096ms step_avg:137.63ms
step:256/1770 train_time:35230ms step_avg:137.62ms
step:257/1770 train_time:35361ms step_avg:137.59ms
step:258/1770 train_time:35494ms step_avg:137.57ms
step:259/1770 train_time:35630ms step_avg:137.57ms
step:260/1770 train_time:35765ms step_avg:137.56ms
step:261/1770 train_time:35896ms step_avg:137.53ms
step:262/1770 train_time:36035ms step_avg:137.54ms
step:263/1770 train_time:36164ms step_avg:137.51ms
step:264/1770 train_time:36301ms step_avg:137.50ms
