logs/721ba386-07ba-45ae-b291-994882b9a359.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:46,  7.69it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.92ms
step:1/1770 train_time:187ms step_avg:187.22ms
step:2/1770 train_time:312ms step_avg:156.07ms
step:3/1770 train_time:445ms step_avg:148.48ms
step:4/1770 train_time:579ms step_avg:144.68ms
step:5/1770 train_time:703ms step_avg:140.51ms
step:6/1770 train_time:826ms step_avg:137.72ms
step:7/1770 train_time:958ms step_avg:136.83ms
step:8/1770 train_time:1088ms step_avg:135.94ms
step:9/1770 train_time:1217ms step_avg:135.18ms
step:10/1770 train_time:1341ms step_avg:134.13ms
step:11/1770 train_time:1471ms step_avg:133.76ms
step:12/1770 train_time:1602ms step_avg:133.53ms
step:13/1770 train_time:1738ms step_avg:133.67ms
step:14/1770 train_time:1863ms step_avg:133.10ms
step:15/1770 train_time:1992ms step_avg:132.83ms
step:16/1770 train_time:2121ms step_avg:132.58ms
step:17/1770 train_time:2256ms step_avg:132.73ms
step:18/1770 train_time:2385ms step_avg:132.50ms
step:19/1770 train_time:2510ms step_avg:132.11ms
step:20/1770 train_time:2644ms step_avg:132.19ms
step:21/1770 train_time:2767ms step_avg:131.76ms
step:22/1770 train_time:2896ms step_avg:131.63ms
step:23/1770 train_time:3024ms step_avg:131.47ms
step:24/1770 train_time:3152ms step_avg:131.33ms
step:25/1770 train_time:3279ms step_avg:131.16ms
step:26/1770 train_time:3409ms step_avg:131.10ms
step:27/1770 train_time:3542ms step_avg:131.17ms
step:28/1770 train_time:3668ms step_avg:131.01ms
step:29/1770 train_time:3799ms step_avg:131.01ms
step:30/1770 train_time:3930ms step_avg:131.00ms
step:31/1770 train_time:4053ms step_avg:130.73ms
step:32/1770 train_time:4186ms step_avg:130.82ms
step:33/1770 train_time:4312ms step_avg:130.68ms
step:34/1770 train_time:4439ms step_avg:130.55ms
step:35/1770 train_time:4567ms step_avg:130.48ms
step:36/1770 train_time:4696ms step_avg:130.44ms
step:37/1770 train_time:4821ms step_avg:130.30ms
step:38/1770 train_time:4946ms step_avg:130.17ms
step:39/1770 train_time:5072ms step_avg:130.05ms
step:40/1770 train_time:5200ms step_avg:130.00ms
step:41/1770 train_time:5331ms step_avg:130.03ms
step:42/1770 train_time:5461ms step_avg:130.03ms
step:43/1770 train_time:5582ms step_avg:129.82ms
step:44/1770 train_time:5705ms step_avg:129.67ms
step:45/1770 train_time:5834ms step_avg:129.64ms
step:46/1770 train_time:5961ms step_avg:129.58ms
step:47/1770 train_time:6090ms step_avg:129.56ms
step:48/1770 train_time:6214ms step_avg:129.47ms
step:49/1770 train_time:6340ms step_avg:129.39ms
step:50/1770 train_time:6466ms step_avg:129.32ms
step:50/1770 val_loss:8.4208 train_time:6469ms step_avg:129.37ms
step:51/1770 train_time:6596ms step_avg:129.33ms
step:52/1770 train_time:6721ms step_avg:129.25ms
step:53/1770 train_time:6849ms step_avg:129.22ms
step:54/1770 train_time:6991ms step_avg:129.46ms
step:55/1770 train_time:7126ms step_avg:129.57ms
step:56/1770 train_time:7255ms step_avg:129.56ms
step:57/1770 train_time:7385ms step_avg:129.56ms
step:58/1770 train_time:7519ms step_avg:129.64ms
step:59/1770 train_time:7657ms step_avg:129.77ms
step:60/1770 train_time:7791ms step_avg:129.84ms
step:61/1770 train_time:7924ms step_avg:129.91ms
step:62/1770 train_time:8057ms step_avg:129.95ms
step:63/1770 train_time:8184ms step_avg:129.91ms
step:64/1770 train_time:8311ms step_avg:129.85ms
step:65/1770 train_time:8440ms step_avg:129.85ms
step:66/1770 train_time:8575ms step_avg:129.93ms
step:67/1770 train_time:8705ms step_avg:129.92ms
step:68/1770 train_time:8824ms step_avg:129.76ms
step:69/1770 train_time:8954ms step_avg:129.77ms
step:70/1770 train_time:9086ms step_avg:129.79ms
step:71/1770 train_time:9218ms step_avg:129.84ms
step:72/1770 train_time:9352ms step_avg:129.89ms
step:73/1770 train_time:9484ms step_avg:129.91ms
step:74/1770 train_time:9610ms step_avg:129.86ms
step:75/1770 train_time:9745ms step_avg:129.93ms
step:76/1770 train_time:9877ms step_avg:129.95ms
