logs/f14cf71d-c54c-4e86-8f57-b4663d5052fd.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:17<03:33,  8.17it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.97ms
step:1/1770 train_time:178ms step_avg:177.66ms
step:2/1770 train_time:303ms step_avg:151.38ms
step:3/1770 train_time:422ms step_avg:140.66ms
step:4/1770 train_time:545ms step_avg:136.33ms
step:5/1770 train_time:667ms step_avg:133.32ms
step:6/1770 train_time:786ms step_avg:130.99ms
step:7/1770 train_time:908ms step_avg:129.66ms
step:8/1770 train_time:1025ms step_avg:128.13ms
step:9/1770 train_time:1140ms step_avg:126.61ms
step:10/1770 train_time:1254ms step_avg:125.35ms
step:11/1770 train_time:1374ms step_avg:124.92ms
step:12/1770 train_time:1494ms step_avg:124.46ms
step:13/1770 train_time:1612ms step_avg:124.02ms
step:14/1770 train_time:1732ms step_avg:123.72ms
step:15/1770 train_time:1851ms step_avg:123.40ms
step:16/1770 train_time:1968ms step_avg:123.02ms
step:17/1770 train_time:2093ms step_avg:123.15ms
step:18/1770 train_time:2210ms step_avg:122.75ms
step:19/1770 train_time:2333ms step_avg:122.77ms
step:20/1770 train_time:2458ms step_avg:122.90ms
step:21/1770 train_time:2578ms step_avg:122.74ms
step:22/1770 train_time:2702ms step_avg:122.80ms
step:23/1770 train_time:2821ms step_avg:122.64ms
step:24/1770 train_time:2944ms step_avg:122.66ms
step:25/1770 train_time:3069ms step_avg:122.78ms
step:26/1770 train_time:3190ms step_avg:122.67ms
step:27/1770 train_time:3312ms step_avg:122.67ms
step:28/1770 train_time:3429ms step_avg:122.47ms
step:29/1770 train_time:3547ms step_avg:122.32ms
step:30/1770 train_time:3675ms step_avg:122.50ms
step:31/1770 train_time:3811ms step_avg:122.95ms
step:32/1770 train_time:3929ms step_avg:122.78ms
step:33/1770 train_time:4043ms step_avg:122.52ms
step:34/1770 train_time:4165ms step_avg:122.49ms
step:35/1770 train_time:4287ms step_avg:122.49ms
step:36/1770 train_time:4404ms step_avg:122.32ms
step:37/1770 train_time:4527ms step_avg:122.36ms
step:38/1770 train_time:4649ms step_avg:122.35ms
step:39/1770 train_time:4763ms step_avg:122.12ms
step:40/1770 train_time:4884ms step_avg:122.11ms
step:41/1770 train_time:5007ms step_avg:122.13ms
step:42/1770 train_time:5125ms step_avg:122.02ms
step:43/1770 train_time:5244ms step_avg:121.96ms
step:44/1770 train_time:5365ms step_avg:121.92ms
step:45/1770 train_time:5482ms step_avg:121.82ms
step:46/1770 train_time:5604ms step_avg:121.82ms
step:47/1770 train_time:5727ms step_avg:121.85ms
step:48/1770 train_time:5846ms step_avg:121.80ms
step:49/1770 train_time:5965ms step_avg:121.74ms
step:50/1770 train_time:6105ms step_avg:122.10ms
step:50/1770 val_loss:8.3565 train_time:6106ms step_avg:122.12ms
step:51/1770 train_time:6226ms step_avg:122.07ms
step:52/1770 train_time:6345ms step_avg:122.02ms
step:53/1770 train_time:6472ms step_avg:122.12ms
step:54/1770 train_time:6593ms step_avg:122.10ms
step:55/1770 train_time:6717ms step_avg:122.13ms
step:56/1770 train_time:6835ms step_avg:122.05ms
step:57/1770 train_time:6962ms step_avg:122.13ms
step:58/1770 train_time:7084ms step_avg:122.13ms
step:59/1770 train_time:7216ms step_avg:122.30ms
step:60/1770 train_time:7341ms step_avg:122.35ms
step:61/1770 train_time:7454ms step_avg:122.20ms
step:62/1770 train_time:7572ms step_avg:122.13ms
step:63/1770 train_time:7691ms step_avg:122.08ms
step:64/1770 train_time:7810ms step_avg:122.03ms
step:65/1770 train_time:7931ms step_avg:122.02ms
step:66/1770 train_time:8061ms step_avg:122.14ms
step:67/1770 train_time:8181ms step_avg:122.11ms
step:68/1770 train_time:8301ms step_avg:122.07ms
step:69/1770 train_time:8415ms step_avg:121.95ms
step:70/1770 train_time:8529ms step_avg:121.84ms
step:71/1770 train_time:8644ms step_avg:121.75ms
step:72/1770 train_time:8766ms step_avg:121.75ms
step:73/1770 train_time:8883ms step_avg:121.69ms
step:74/1770 train_time:9000ms step_avg:121.63ms
step:75/1770 train_time:9118ms step_avg:121.57ms
step:76/1770 train_time:9239ms step_avg:121.57ms
step:77/1770 train_time:9359ms step_avg:121.54ms
step:78/1770 train_time:9483ms step_avg:121.58ms
step:79/1770 train_time:9604ms step_avg:121.57ms
step:80/1770 train_time:9723ms step_avg:121.54ms
step:81/1770 train_time:9843ms step_avg:121.52ms
step:82/1770 train_time:9960ms step_avg:121.47ms
step:83/1770 train_time:10079ms step_avg:121.44ms
step:84/1770 train_time:10198ms step_avg:121.41ms
step:85/1770 train_time:10310ms step_avg:121.30ms
step:86/1770 train_time:10428ms step_avg:121.26ms
step:87/1770 train_time:10551ms step_avg:121.27ms
step:88/1770 train_time:10669ms step_avg:121.24ms
step:89/1770 train_time:10786ms step_avg:121.19ms
step:90/1770 train_time:10911ms step_avg:121.23ms
step:91/1770 train_time:11029ms step_avg:121.19ms
step:92/1770 train_time:11143ms step_avg:121.12ms
step:93/1770 train_time:11263ms step_avg:121.11ms
step:94/1770 train_time:11387ms step_avg:121.13ms
step:95/1770 train_time:11507ms step_avg:121.12ms
step:96/1770 train_time:11631ms step_avg:121.16ms
step:97/1770 train_time:11751ms step_avg:121.15ms
step:98/1770 train_time:11874ms step_avg:121.16ms
step:99/1770 train_time:11996ms step_avg:121.17ms
step:100/1770 train_time:12112ms step_avg:121.12ms
step:100/1770 val_loss:6.9354 train_time:12117ms step_avg:121.17ms
step:101/1770 train_time:12235ms step_avg:121.14ms
step:102/1770 train_time:12351ms step_avg:121.08ms
step:103/1770 train_time:12474ms step_avg:121.11ms
step:104/1770 train_time:12595ms step_avg:121.11ms
step:105/1770 train_time:12717ms step_avg:121.11ms
step:106/1770 train_time:12835ms step_avg:121.08ms
step:107/1770 train_time:12955ms step_avg:121.08ms
step:108/1770 train_time:13080ms step_avg:121.11ms
step:109/1770 train_time:13204ms step_avg:121.14ms
step:110/1770 train_time:13326ms step_avg:121.15ms
step:111/1770 train_time:13445ms step_avg:121.12ms
step:112/1770 train_time:13564ms step_avg:121.11ms
step:113/1770 train_time:13684ms step_avg:121.10ms
step:114/1770 train_time:13807ms step_avg:121.11ms
