logs/f98e4ad1-aaef-4eea-bc2a-ea190de150a5.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:37,  8.02it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.94ms
step:1/1770 train_time:189ms step_avg:188.61ms
step:2/1770 train_time:310ms step_avg:155.22ms
step:3/1770 train_time:436ms step_avg:145.46ms
step:4/1770 train_time:555ms step_avg:138.63ms
step:5/1770 train_time:683ms step_avg:136.61ms
step:6/1770 train_time:806ms step_avg:134.36ms
step:7/1770 train_time:935ms step_avg:133.56ms
step:8/1770 train_time:1050ms step_avg:131.26ms
step:9/1770 train_time:1180ms step_avg:131.12ms
step:10/1770 train_time:1305ms step_avg:130.53ms
step:11/1770 train_time:1433ms step_avg:130.27ms
step:12/1770 train_time:1557ms step_avg:129.78ms
step:13/1770 train_time:1680ms step_avg:129.24ms
step:14/1770 train_time:1799ms step_avg:128.50ms
step:15/1770 train_time:1923ms step_avg:128.22ms
step:16/1770 train_time:2041ms step_avg:127.59ms
step:17/1770 train_time:2167ms step_avg:127.44ms
step:18/1770 train_time:2289ms step_avg:127.16ms
step:19/1770 train_time:2411ms step_avg:126.90ms
step:20/1770 train_time:2535ms step_avg:126.77ms
step:21/1770 train_time:2655ms step_avg:126.45ms
step:22/1770 train_time:2776ms step_avg:126.16ms
step:23/1770 train_time:2896ms step_avg:125.91ms
step:24/1770 train_time:3020ms step_avg:125.84ms
step:25/1770 train_time:3142ms step_avg:125.68ms
step:26/1770 train_time:3265ms step_avg:125.59ms
step:27/1770 train_time:3392ms step_avg:125.62ms
step:28/1770 train_time:3515ms step_avg:125.52ms
step:29/1770 train_time:3637ms step_avg:125.41ms
step:30/1770 train_time:3765ms step_avg:125.50ms
step:31/1770 train_time:3888ms step_avg:125.43ms
step:32/1770 train_time:4006ms step_avg:125.20ms
step:33/1770 train_time:4129ms step_avg:125.13ms
step:34/1770 train_time:4262ms step_avg:125.36ms
step:35/1770 train_time:4372ms step_avg:124.92ms
step:36/1770 train_time:4487ms step_avg:124.63ms
step:37/1770 train_time:4609ms step_avg:124.56ms
step:38/1770 train_time:4723ms step_avg:124.29ms
step:39/1770 train_time:4838ms step_avg:124.06ms
step:40/1770 train_time:4954ms step_avg:123.85ms
step:41/1770 train_time:5069ms step_avg:123.63ms
step:42/1770 train_time:5185ms step_avg:123.45ms
step:43/1770 train_time:5302ms step_avg:123.30ms
step:44/1770 train_time:5425ms step_avg:123.30ms
step:45/1770 train_time:5545ms step_avg:123.22ms
step:46/1770 train_time:5659ms step_avg:123.02ms
step:47/1770 train_time:5748ms step_avg:122.29ms
step:48/1770 train_time:5858ms step_avg:122.03ms
step:49/1770 train_time:5974ms step_avg:121.91ms
step:50/1770 train_time:6091ms step_avg:121.82ms
step:50/1770 val_loss:8.4434 train_time:6100ms step_avg:122.00ms
step:51/1770 train_time:6220ms step_avg:121.96ms
step:52/1770 train_time:6336ms step_avg:121.84ms
step:53/1770 train_time:6448ms step_avg:121.66ms
step:54/1770 train_time:6571ms step_avg:121.69ms
step:55/1770 train_time:6686ms step_avg:121.56ms
step:56/1770 train_time:6807ms step_avg:121.56ms
step:57/1770 train_time:6924ms step_avg:121.47ms
step:58/1770 train_time:7039ms step_avg:121.37ms
step:59/1770 train_time:7163ms step_avg:121.41ms
step:60/1770 train_time:7283ms step_avg:121.38ms
step:61/1770 train_time:7407ms step_avg:121.42ms
step:62/1770 train_time:7528ms step_avg:121.41ms
step:63/1770 train_time:7644ms step_avg:121.33ms
step:64/1770 train_time:7766ms step_avg:121.35ms
step:65/1770 train_time:7888ms step_avg:121.36ms
step:66/1770 train_time:8016ms step_avg:121.46ms
step:67/1770 train_time:8133ms step_avg:121.39ms
step:68/1770 train_time:8256ms step_avg:121.41ms
step:69/1770 train_time:8379ms step_avg:121.43ms
step:70/1770 train_time:8497ms step_avg:121.38ms
step:71/1770 train_time:8620ms step_avg:121.41ms
step:72/1770 train_time:8743ms step_avg:121.43ms
step:73/1770 train_time:8865ms step_avg:121.43ms
step:74/1770 train_time:8983ms step_avg:121.39ms
step:75/1770 train_time:9098ms step_avg:121.30ms
step:76/1770 train_time:9222ms step_avg:121.35ms
step:77/1770 train_time:9349ms step_avg:121.42ms
step:78/1770 train_time:9466ms step_avg:121.36ms
step:79/1770 train_time:9584ms step_avg:121.32ms
step:80/1770 train_time:9707ms step_avg:121.34ms
step:81/1770 train_time:9822ms step_avg:121.26ms
step:82/1770 train_time:9941ms step_avg:121.23ms
step:83/1770 train_time:10059ms step_avg:121.20ms
step:84/1770 train_time:10179ms step_avg:121.17ms
step:85/1770 train_time:10301ms step_avg:121.19ms
step:86/1770 train_time:10419ms step_avg:121.15ms
step:87/1770 train_time:10542ms step_avg:121.17ms
step:88/1770 train_time:10665ms step_avg:121.19ms
step:89/1770 train_time:10794ms step_avg:121.28ms
step:90/1770 train_time:10913ms step_avg:121.26ms
step:91/1770 train_time:11047ms step_avg:121.40ms
step:92/1770 train_time:11152ms step_avg:121.22ms
step:93/1770 train_time:11266ms step_avg:121.14ms
step:94/1770 train_time:11385ms step_avg:121.12ms
step:95/1770 train_time:11512ms step_avg:121.18ms
step:96/1770 train_time:11634ms step_avg:121.19ms
step:97/1770 train_time:11756ms step_avg:121.20ms
step:98/1770 train_time:11877ms step_avg:121.19ms
step:99/1770 train_time:11996ms step_avg:121.17ms
step:100/1770 train_time:12113ms step_avg:121.13ms
