logs/78ed6352-1f80-4677-b42a-f25a7d6681e8.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:40,  7.89it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.32ms
step:1/1770 train_time:195ms step_avg:195.31ms
step:2/1770 train_time:319ms step_avg:159.50ms
step:3/1770 train_time:443ms step_avg:147.81ms
step:4/1770 train_time:569ms step_avg:142.33ms
step:5/1770 train_time:699ms step_avg:139.72ms
step:6/1770 train_time:827ms step_avg:137.84ms
step:7/1770 train_time:955ms step_avg:136.37ms
step:8/1770 train_time:1079ms step_avg:134.82ms
step:9/1770 train_time:1207ms step_avg:134.08ms
step:10/1770 train_time:1330ms step_avg:133.03ms
step:11/1770 train_time:1454ms step_avg:132.21ms
step:12/1770 train_time:1575ms step_avg:131.28ms
step:13/1770 train_time:1699ms step_avg:130.67ms
step:14/1770 train_time:1824ms step_avg:130.28ms
step:15/1770 train_time:1946ms step_avg:129.71ms
step:16/1770 train_time:2069ms step_avg:129.29ms
step:17/1770 train_time:2196ms step_avg:129.15ms
step:18/1770 train_time:2323ms step_avg:129.03ms
step:19/1770 train_time:2449ms step_avg:128.89ms
step:20/1770 train_time:2573ms step_avg:128.66ms
step:21/1770 train_time:2696ms step_avg:128.40ms
step:22/1770 train_time:2823ms step_avg:128.32ms
step:23/1770 train_time:2956ms step_avg:128.51ms
step:24/1770 train_time:3087ms step_avg:128.63ms
step:25/1770 train_time:3210ms step_avg:128.40ms
step:26/1770 train_time:3340ms step_avg:128.48ms
step:27/1770 train_time:3472ms step_avg:128.61ms
step:28/1770 train_time:3605ms step_avg:128.76ms
step:29/1770 train_time:3733ms step_avg:128.72ms
step:30/1770 train_time:3853ms step_avg:128.44ms
step:31/1770 train_time:3979ms step_avg:128.35ms
step:32/1770 train_time:4110ms step_avg:128.43ms
step:33/1770 train_time:4240ms step_avg:128.48ms
step:34/1770 train_time:4364ms step_avg:128.36ms
step:35/1770 train_time:4489ms step_avg:128.27ms
step:36/1770 train_time:4622ms step_avg:128.38ms
step:37/1770 train_time:4754ms step_avg:128.49ms
step:38/1770 train_time:4881ms step_avg:128.44ms
step:39/1770 train_time:5002ms step_avg:128.26ms
step:40/1770 train_time:5129ms step_avg:128.23ms
step:41/1770 train_time:5258ms step_avg:128.24ms
step:42/1770 train_time:5383ms step_avg:128.16ms
step:43/1770 train_time:5505ms step_avg:128.03ms
step:44/1770 train_time:5625ms step_avg:127.84ms
step:45/1770 train_time:5747ms step_avg:127.70ms
step:46/1770 train_time:5870ms step_avg:127.61ms
step:47/1770 train_time:5995ms step_avg:127.55ms
step:48/1770 train_time:6123ms step_avg:127.56ms
step:49/1770 train_time:6252ms step_avg:127.60ms
step:50/1770 train_time:6375ms step_avg:127.51ms
step:50/1770 val_loss:8.1501 train_time:6382ms step_avg:127.63ms
step:51/1770 train_time:6503ms step_avg:127.51ms
step:52/1770 train_time:6625ms step_avg:127.40ms
step:53/1770 train_time:6758ms step_avg:127.51ms
step:54/1770 train_time:6890ms step_avg:127.59ms
step:55/1770 train_time:7027ms step_avg:127.76ms
step:56/1770 train_time:7162ms step_avg:127.89ms
step:57/1770 train_time:7298ms step_avg:128.04ms
step:58/1770 train_time:7432ms step_avg:128.14ms
step:59/1770 train_time:7565ms step_avg:128.23ms
step:60/1770 train_time:7697ms step_avg:128.28ms
step:61/1770 train_time:7823ms step_avg:128.25ms
step:62/1770 train_time:7964ms step_avg:128.45ms
step:63/1770 train_time:8091ms step_avg:128.43ms
step:64/1770 train_time:8222ms step_avg:128.47ms
step:65/1770 train_time:8355ms step_avg:128.54ms
step:66/1770 train_time:8487ms step_avg:128.59ms
step:67/1770 train_time:8616ms step_avg:128.60ms
step:68/1770 train_time:8746ms step_avg:128.62ms
step:69/1770 train_time:8880ms step_avg:128.69ms
step:70/1770 train_time:9014ms step_avg:128.76ms
step:71/1770 train_time:9145ms step_avg:128.80ms
step:72/1770 train_time:9276ms step_avg:128.84ms
step:73/1770 train_time:9407ms step_avg:128.86ms
step:74/1770 train_time:9542ms step_avg:128.94ms
step:75/1770 train_time:9670ms step_avg:128.94ms
step:76/1770 train_time:9805ms step_avg:129.02ms
step:77/1770 train_time:9945ms step_avg:129.16ms
step:78/1770 train_time:10079ms step_avg:129.22ms
step:79/1770 train_time:10217ms step_avg:129.33ms
step:80/1770 train_time:10347ms step_avg:129.33ms
step:81/1770 train_time:10476ms step_avg:129.34ms
step:82/1770 train_time:10610ms step_avg:129.39ms
step:83/1770 train_time:10747ms step_avg:129.48ms
step:84/1770 train_time:10877ms step_avg:129.48ms
step:85/1770 train_time:11001ms step_avg:129.42ms
step:86/1770 train_time:11133ms step_avg:129.45ms
step:87/1770 train_time:11273ms step_avg:129.58ms
step:88/1770 train_time:11396ms step_avg:129.50ms
step:89/1770 train_time:11532ms step_avg:129.57ms
step:90/1770 train_time:11657ms step_avg:129.53ms
step:91/1770 train_time:11784ms step_avg:129.50ms
step:92/1770 train_time:11929ms step_avg:129.66ms
step:93/1770 train_time:12051ms step_avg:129.58ms
step:94/1770 train_time:12182ms step_avg:129.59ms
step:95/1770 train_time:12306ms step_avg:129.53ms
step:96/1770 train_time:12430ms step_avg:129.48ms
step:97/1770 train_time:12561ms step_avg:129.50ms
step:98/1770 train_time:12686ms step_avg:129.45ms
step:99/1770 train_time:12812ms step_avg:129.42ms
step:100/1770 train_time:12946ms step_avg:129.46ms
step:100/1770 val_loss:6.9767 train_time:12948ms step_avg:129.48ms
step:101/1770 train_time:13090ms step_avg:129.61ms
step:102/1770 train_time:13217ms step_avg:129.57ms
step:103/1770 train_time:13346ms step_avg:129.57ms
step:104/1770 train_time:13478ms step_avg:129.59ms
step:105/1770 train_time:13607ms step_avg:129.59ms
step:106/1770 train_time:13737ms step_avg:129.59ms
step:107/1770 train_time:13874ms step_avg:129.66ms
step:108/1770 train_time:14007ms step_avg:129.70ms
step:109/1770 train_time:14136ms step_avg:129.69ms
step:110/1770 train_time:14262ms step_avg:129.65ms
step:111/1770 train_time:14392ms step_avg:129.66ms
step:112/1770 train_time:14523ms step_avg:129.67ms
step:113/1770 train_time:14650ms step_avg:129.65ms
step:114/1770 train_time:14788ms step_avg:129.72ms
step:115/1770 train_time:14921ms step_avg:129.74ms
step:116/1770 train_time:15053ms step_avg:129.76ms
step:117/1770 train_time:15186ms step_avg:129.80ms
step:118/1770 train_time:15322ms step_avg:129.85ms
step:119/1770 train_time:15466ms step_avg:129.96ms
step:120/1770 train_time:15602ms step_avg:130.01ms
step:121/1770 train_time:15743ms step_avg:130.11ms
step:122/1770 train_time:15886ms step_avg:130.21ms
step:123/1770 train_time:16024ms step_avg:130.28ms
step:124/1770 train_time:16160ms step_avg:130.32ms
step:125/1770 train_time:16298ms step_avg:130.38ms
step:126/1770 train_time:16433ms step_avg:130.42ms
step:127/1770 train_time:16571ms step_avg:130.48ms
step:128/1770 train_time:16708ms step_avg:130.53ms
step:129/1770 train_time:16839ms step_avg:130.54ms
step:130/1770 train_time:16980ms step_avg:130.61ms
step:131/1770 train_time:17111ms step_avg:130.61ms
step:132/1770 train_time:17242ms step_avg:130.62ms
step:133/1770 train_time:17380ms step_avg:130.67ms
step:134/1770 train_time:17517ms step_avg:130.73ms
step:135/1770 train_time:17661ms step_avg:130.82ms
step:136/1770 train_time:17790ms step_avg:130.81ms
step:137/1770 train_time:17932ms step_avg:130.89ms
step:138/1770 train_time:18062ms step_avg:130.89ms
step:139/1770 train_time:18198ms step_avg:130.92ms
step:140/1770 train_time:18326ms step_avg:130.90ms
step:141/1770 train_time:18451ms step_avg:130.86ms
step:142/1770 train_time:18586ms step_avg:130.89ms
step:143/1770 train_time:18718ms step_avg:130.90ms
step:144/1770 train_time:18853ms step_avg:130.92ms
step:145/1770 train_time:18995ms step_avg:131.00ms
step:146/1770 train_time:19133ms step_avg:131.05ms
step:147/1770 train_time:19279ms step_avg:131.15ms
step:148/1770 train_time:19418ms step_avg:131.20ms
step:149/1770 train_time:19556ms step_avg:131.25ms
step:150/1770 train_time:19689ms step_avg:131.26ms
step:150/1770 val_loss:6.7743 train_time:19693ms step_avg:131.28ms
