logs/644497f8-b29e-4862-90a2-90debbdc4a64.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:44,  7.77it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.23ms
step:1/1770 train_time:188ms step_avg:187.62ms
step:2/1770 train_time:314ms step_avg:157.08ms
step:3/1770 train_time:443ms step_avg:147.83ms
step:4/1770 train_time:573ms step_avg:143.36ms
step:5/1770 train_time:710ms step_avg:142.07ms
step:6/1770 train_time:847ms step_avg:141.21ms
step:7/1770 train_time:979ms step_avg:139.90ms
step:8/1770 train_time:1116ms step_avg:139.48ms
step:9/1770 train_time:1242ms step_avg:138.01ms
step:10/1770 train_time:1379ms step_avg:137.93ms
step:11/1770 train_time:1506ms step_avg:136.92ms
step:12/1770 train_time:1644ms step_avg:137.01ms
step:13/1770 train_time:1783ms step_avg:137.18ms
step:14/1770 train_time:1905ms step_avg:136.10ms
step:15/1770 train_time:2033ms step_avg:135.52ms
step:16/1770 train_time:2161ms step_avg:135.09ms
step:17/1770 train_time:2292ms step_avg:134.81ms
step:18/1770 train_time:2417ms step_avg:134.26ms
step:19/1770 train_time:2540ms step_avg:133.69ms
step:20/1770 train_time:2672ms step_avg:133.59ms
step:21/1770 train_time:2803ms step_avg:133.45ms
step:22/1770 train_time:2936ms step_avg:133.44ms
step:23/1770 train_time:3066ms step_avg:133.32ms
step:24/1770 train_time:3195ms step_avg:133.14ms
step:25/1770 train_time:3320ms step_avg:132.81ms
step:26/1770 train_time:3449ms step_avg:132.65ms
step:27/1770 train_time:3587ms step_avg:132.85ms
step:28/1770 train_time:3715ms step_avg:132.67ms
step:29/1770 train_time:3841ms step_avg:132.46ms
step:30/1770 train_time:3969ms step_avg:132.29ms
step:31/1770 train_time:4100ms step_avg:132.27ms
step:32/1770 train_time:4225ms step_avg:132.02ms
step:33/1770 train_time:4349ms step_avg:131.80ms
step:34/1770 train_time:4473ms step_avg:131.56ms
step:35/1770 train_time:4598ms step_avg:131.38ms
step:36/1770 train_time:4727ms step_avg:131.30ms
step:37/1770 train_time:4852ms step_avg:131.13ms
step:38/1770 train_time:4980ms step_avg:131.06ms
step:39/1770 train_time:5109ms step_avg:131.01ms
step:40/1770 train_time:5234ms step_avg:130.84ms
step:41/1770 train_time:5370ms step_avg:130.98ms
step:42/1770 train_time:5501ms step_avg:130.97ms
step:43/1770 train_time:5631ms step_avg:130.95ms
step:44/1770 train_time:5762ms step_avg:130.95ms
step:45/1770 train_time:5892ms step_avg:130.92ms
step:46/1770 train_time:6022ms step_avg:130.92ms
step:47/1770 train_time:6153ms step_avg:130.91ms
step:48/1770 train_time:6281ms step_avg:130.86ms
step:49/1770 train_time:6406ms step_avg:130.73ms
step:50/1770 train_time:6530ms step_avg:130.60ms
step:50/1770 val_loss:8.3080 train_time:6535ms step_avg:130.70ms
step:51/1770 train_time:6661ms step_avg:130.60ms
step:52/1770 train_time:6787ms step_avg:130.53ms
step:53/1770 train_time:6916ms step_avg:130.50ms
step:54/1770 train_time:7041ms step_avg:130.39ms
step:55/1770 train_time:7171ms step_avg:130.39ms
step:56/1770 train_time:7300ms step_avg:130.36ms
step:57/1770 train_time:7428ms step_avg:130.32ms
step:58/1770 train_time:7558ms step_avg:130.31ms
step:59/1770 train_time:7683ms step_avg:130.22ms
step:60/1770 train_time:7806ms step_avg:130.10ms
step:61/1770 train_time:7932ms step_avg:130.03ms
step:62/1770 train_time:8058ms step_avg:129.97ms
step:63/1770 train_time:8186ms step_avg:129.94ms
step:64/1770 train_time:8317ms step_avg:129.95ms
step:65/1770 train_time:8444ms step_avg:129.91ms
step:66/1770 train_time:8574ms step_avg:129.91ms
step:67/1770 train_time:8702ms step_avg:129.87ms
step:68/1770 train_time:8826ms step_avg:129.79ms
step:69/1770 train_time:8957ms step_avg:129.81ms
step:70/1770 train_time:9085ms step_avg:129.79ms
step:71/1770 train_time:9207ms step_avg:129.68ms
step:72/1770 train_time:9335ms step_avg:129.66ms
step:73/1770 train_time:9463ms step_avg:129.63ms
step:74/1770 train_time:9595ms step_avg:129.67ms
step:75/1770 train_time:9728ms step_avg:129.71ms
step:76/1770 train_time:9855ms step_avg:129.67ms
step:77/1770 train_time:9985ms step_avg:129.67ms
step:78/1770 train_time:10111ms step_avg:129.62ms
step:79/1770 train_time:10239ms step_avg:129.61ms
step:80/1770 train_time:10365ms step_avg:129.56ms
step:81/1770 train_time:10488ms step_avg:129.48ms
step:82/1770 train_time:10617ms step_avg:129.47ms
step:83/1770 train_time:10741ms step_avg:129.41ms
step:84/1770 train_time:10868ms step_avg:129.38ms
step:85/1770 train_time:10992ms step_avg:129.32ms
step:86/1770 train_time:11121ms step_avg:129.32ms
step:87/1770 train_time:11248ms step_avg:129.28ms
step:88/1770 train_time:11370ms step_avg:129.20ms
step:89/1770 train_time:11493ms step_avg:129.14ms
step:90/1770 train_time:11617ms step_avg:129.08ms
step:91/1770 train_time:11749ms step_avg:129.11ms
step:92/1770 train_time:11877ms step_avg:129.10ms
step:93/1770 train_time:12000ms step_avg:129.03ms
step:94/1770 train_time:12122ms step_avg:128.96ms
step:95/1770 train_time:12255ms step_avg:129.00ms
step:96/1770 train_time:12384ms step_avg:129.00ms
step:97/1770 train_time:12512ms step_avg:128.99ms
step:98/1770 train_time:12642ms step_avg:129.00ms
step:99/1770 train_time:12771ms step_avg:129.00ms
step:100/1770 train_time:12900ms step_avg:129.00ms
step:100/1770 val_loss:6.9757 train_time:12901ms step_avg:129.01ms
step:101/1770 train_time:13034ms step_avg:129.05ms
step:102/1770 train_time:13160ms step_avg:129.02ms
step:103/1770 train_time:13291ms step_avg:129.03ms
step:104/1770 train_time:13422ms step_avg:129.06ms
step:105/1770 train_time:13551ms step_avg:129.06ms
step:106/1770 train_time:13678ms step_avg:129.03ms
step:107/1770 train_time:13802ms step_avg:128.99ms
step:108/1770 train_time:13932ms step_avg:129.00ms
step:109/1770 train_time:14056ms step_avg:128.96ms
step:110/1770 train_time:14177ms step_avg:128.88ms
step:111/1770 train_time:14310ms step_avg:128.92ms
step:112/1770 train_time:14436ms step_avg:128.90ms
step:113/1770 train_time:14568ms step_avg:128.92ms
step:114/1770 train_time:14700ms step_avg:128.95ms
step:115/1770 train_time:14831ms step_avg:128.96ms
step:116/1770 train_time:14963ms step_avg:128.99ms
step:117/1770 train_time:15101ms step_avg:129.07ms
step:118/1770 train_time:15232ms step_avg:129.08ms
step:119/1770 train_time:15357ms step_avg:129.05ms
step:120/1770 train_time:15483ms step_avg:129.03ms
step:121/1770 train_time:15612ms step_avg:129.03ms
step:122/1770 train_time:15754ms step_avg:129.13ms
step:123/1770 train_time:15885ms step_avg:129.15ms
step:124/1770 train_time:16007ms step_avg:129.09ms
step:125/1770 train_time:16133ms step_avg:129.06ms
step:126/1770 train_time:16259ms step_avg:129.04ms
step:127/1770 train_time:16382ms step_avg:128.99ms
step:128/1770 train_time:16507ms step_avg:128.96ms
step:129/1770 train_time:16630ms step_avg:128.91ms
step:130/1770 train_time:16754ms step_avg:128.88ms
step:131/1770 train_time:16882ms step_avg:128.87ms
step:132/1770 train_time:17009ms step_avg:128.86ms
step:133/1770 train_time:17135ms step_avg:128.84ms
step:134/1770 train_time:17261ms step_avg:128.81ms
step:135/1770 train_time:17384ms step_avg:128.77ms
step:136/1770 train_time:17508ms step_avg:128.74ms
step:137/1770 train_time:17634ms step_avg:128.72ms
step:138/1770 train_time:17761ms step_avg:128.70ms
step:139/1770 train_time:17884ms step_avg:128.67ms
step:140/1770 train_time:18010ms step_avg:128.65ms
step:141/1770 train_time:18137ms step_avg:128.63ms
step:142/1770 train_time:18265ms step_avg:128.62ms
step:143/1770 train_time:18394ms step_avg:128.63ms
step:144/1770 train_time:18520ms step_avg:128.61ms
step:145/1770 train_time:18644ms step_avg:128.58ms
step:146/1770 train_time:18764ms step_avg:128.52ms
step:147/1770 train_time:18894ms step_avg:128.53ms
step:148/1770 train_time:19025ms step_avg:128.54ms
step:149/1770 train_time:19160ms step_avg:128.59ms
step:150/1770 train_time:19293ms step_avg:128.62ms
step:150/1770 val_loss:6.8361 train_time:19296ms step_avg:128.64ms
step:151/1770 train_time:19430ms step_avg:128.68ms
step:152/1770 train_time:19563ms step_avg:128.70ms
step:153/1770 train_time:19691ms step_avg:128.70ms
step:154/1770 train_time:19822ms step_avg:128.72ms
