logs/30768120-70b7-41a5-b7dc-d03d00a5194b.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:17<03:25,  8.48it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.86ms
step:1/1770 train_time:173ms step_avg:172.99ms
step:2/1770 train_time:296ms step_avg:147.96ms
step:3/1770 train_time:415ms step_avg:138.20ms
step:4/1770 train_time:544ms step_avg:136.04ms
step:5/1770 train_time:667ms step_avg:133.31ms
step:6/1770 train_time:789ms step_avg:131.45ms
step:7/1770 train_time:909ms step_avg:129.92ms
step:8/1770 train_time:1024ms step_avg:127.98ms
step:9/1770 train_time:1141ms step_avg:126.75ms
step:10/1770 train_time:1255ms step_avg:125.45ms
step:11/1770 train_time:1366ms step_avg:124.16ms
step:12/1770 train_time:1476ms step_avg:123.02ms
step:13/1770 train_time:1592ms step_avg:122.46ms
step:14/1770 train_time:1712ms step_avg:122.29ms
step:15/1770 train_time:1825ms step_avg:121.68ms
step:16/1770 train_time:1945ms step_avg:121.57ms
step:17/1770 train_time:2062ms step_avg:121.30ms
step:18/1770 train_time:2190ms step_avg:121.67ms
step:19/1770 train_time:2311ms step_avg:121.61ms
step:20/1770 train_time:2433ms step_avg:121.66ms
step:21/1770 train_time:2557ms step_avg:121.77ms
step:22/1770 train_time:2675ms step_avg:121.60ms
step:23/1770 train_time:2797ms step_avg:121.59ms
step:24/1770 train_time:2914ms step_avg:121.40ms
step:25/1770 train_time:3029ms step_avg:121.16ms
step:26/1770 train_time:3150ms step_avg:121.17ms
step:27/1770 train_time:3273ms step_avg:121.23ms
step:28/1770 train_time:3390ms step_avg:121.07ms
step:29/1770 train_time:3506ms step_avg:120.91ms
step:30/1770 train_time:3623ms step_avg:120.76ms
step:31/1770 train_time:3740ms step_avg:120.64ms
step:32/1770 train_time:3853ms step_avg:120.42ms
step:33/1770 train_time:3971ms step_avg:120.35ms
step:34/1770 train_time:4100ms step_avg:120.58ms
step:35/1770 train_time:4216ms step_avg:120.45ms
step:36/1770 train_time:4332ms step_avg:120.32ms
step:37/1770 train_time:4447ms step_avg:120.18ms
step:38/1770 train_time:4566ms step_avg:120.17ms
step:39/1770 train_time:4684ms step_avg:120.09ms
step:40/1770 train_time:4801ms step_avg:120.03ms
step:41/1770 train_time:4920ms step_avg:119.99ms
step:42/1770 train_time:5038ms step_avg:119.96ms
step:43/1770 train_time:5159ms step_avg:119.98ms
step:44/1770 train_time:5278ms step_avg:119.97ms
step:45/1770 train_time:5414ms step_avg:120.31ms
step:46/1770 train_time:5534ms step_avg:120.29ms
step:47/1770 train_time:5651ms step_avg:120.23ms
step:48/1770 train_time:5773ms step_avg:120.27ms
step:49/1770 train_time:5896ms step_avg:120.33ms
step:50/1770 train_time:6020ms step_avg:120.41ms
step:50/1770 val_loss:8.5581 train_time:6023ms step_avg:120.46ms
step:51/1770 train_time:6147ms step_avg:120.54ms
step:52/1770 train_time:6264ms step_avg:120.47ms
step:53/1770 train_time:6383ms step_avg:120.43ms
step:54/1770 train_time:6510ms step_avg:120.56ms
step:55/1770 train_time:6632ms step_avg:120.57ms
step:56/1770 train_time:6751ms step_avg:120.56ms
step:57/1770 train_time:6865ms step_avg:120.44ms
step:58/1770 train_time:6995ms step_avg:120.61ms
step:59/1770 train_time:7133ms step_avg:120.90ms
step:60/1770 train_time:7273ms step_avg:121.22ms
step:61/1770 train_time:7388ms step_avg:121.11ms
step:62/1770 train_time:7507ms step_avg:121.08ms
step:63/1770 train_time:7631ms step_avg:121.13ms
step:64/1770 train_time:7756ms step_avg:121.19ms
step:65/1770 train_time:7884ms step_avg:121.28ms
step:66/1770 train_time:8009ms step_avg:121.35ms
step:67/1770 train_time:8141ms step_avg:121.51ms
step:68/1770 train_time:8273ms step_avg:121.66ms
step:69/1770 train_time:8395ms step_avg:121.67ms
