logs/367fc08d-30b0-4d8a-9ad0-2bfc557da005.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:36<03:10,  9.13it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.86ms
step:1/1770 train_time:1336ms step_avg:1335.95ms
step:2/1770 train_time:1403ms step_avg:701.37ms
step:3/1770 train_time:1474ms step_avg:491.44ms
step:4/1770 train_time:1536ms step_avg:384.11ms
step:5/1770 train_time:1603ms step_avg:320.57ms
step:6/1770 train_time:1675ms step_avg:279.20ms
step:7/1770 train_time:1739ms step_avg:248.43ms
step:8/1770 train_time:1809ms step_avg:226.11ms
step:9/1770 train_time:1888ms step_avg:209.78ms
step:10/1770 train_time:1959ms step_avg:195.87ms
step:11/1770 train_time:2021ms step_avg:183.75ms
step:12/1770 train_time:2091ms step_avg:174.21ms
step:13/1770 train_time:2141ms step_avg:164.68ms
step:14/1770 train_time:2215ms step_avg:158.20ms
step:15/1770 train_time:2284ms step_avg:152.25ms
step:16/1770 train_time:2355ms step_avg:147.20ms
step:17/1770 train_time:2427ms step_avg:142.78ms
step:18/1770 train_time:2501ms step_avg:138.97ms
step:19/1770 train_time:2576ms step_avg:135.58ms
step:20/1770 train_time:2646ms step_avg:132.32ms
step:21/1770 train_time:2723ms step_avg:129.66ms
step:22/1770 train_time:2800ms step_avg:127.28ms
step:23/1770 train_time:2872ms step_avg:124.87ms
step:24/1770 train_time:2949ms step_avg:122.86ms
step:25/1770 train_time:3022ms step_avg:120.90ms
step:26/1770 train_time:3102ms step_avg:119.31ms
step:27/1770 train_time:3177ms step_avg:117.67ms
step:28/1770 train_time:3257ms step_avg:116.34ms
step:29/1770 train_time:3326ms step_avg:114.69ms
step:30/1770 train_time:3393ms step_avg:113.09ms
step:31/1770 train_time:3472ms step_avg:112.00ms
step:32/1770 train_time:3554ms step_avg:111.05ms
step:33/1770 train_time:3623ms step_avg:109.78ms
step:34/1770 train_time:3697ms step_avg:108.74ms
step:35/1770 train_time:3774ms step_avg:107.82ms
step:36/1770 train_time:3846ms step_avg:106.84ms
step:37/1770 train_time:3917ms step_avg:105.86ms
step:38/1770 train_time:3998ms step_avg:105.21ms
step:39/1770 train_time:4072ms step_avg:104.40ms
step:40/1770 train_time:4144ms step_avg:103.60ms
step:41/1770 train_time:4215ms step_avg:102.81ms
step:42/1770 train_time:4294ms step_avg:102.25ms
step:43/1770 train_time:4356ms step_avg:101.31ms
step:44/1770 train_time:4429ms step_avg:100.67ms
step:45/1770 train_time:4498ms step_avg:99.95ms
step:46/1770 train_time:4568ms step_avg:99.31ms
step:47/1770 train_time:4636ms step_avg:98.65ms
step:48/1770 train_time:4712ms step_avg:98.18ms
step:49/1770 train_time:4780ms step_avg:97.55ms
step:50/1770 train_time:4850ms step_avg:96.99ms
step:50/1770 val_loss:8.3487 train_time:4850ms step_avg:97.00ms
step:51/1770 train_time:4931ms step_avg:96.69ms
step:52/1770 train_time:4999ms step_avg:96.13ms
step:53/1770 train_time:5069ms step_avg:95.65ms
step:54/1770 train_time:5143ms step_avg:95.24ms
step:55/1770 train_time:5220ms step_avg:94.91ms
step:56/1770 train_time:5285ms step_avg:94.38ms
step:57/1770 train_time:5363ms step_avg:94.09ms
step:58/1770 train_time:5436ms step_avg:93.72ms
step:59/1770 train_time:5509ms step_avg:93.37ms
step:60/1770 train_time:5592ms step_avg:93.21ms
step:61/1770 train_time:5663ms step_avg:92.83ms
step:62/1770 train_time:5732ms step_avg:92.44ms
step:63/1770 train_time:5802ms step_avg:92.10ms
step:64/1770 train_time:5879ms step_avg:91.86ms
step:65/1770 train_time:5944ms step_avg:91.44ms
step:66/1770 train_time:6015ms step_avg:91.14ms
step:67/1770 train_time:6093ms step_avg:90.93ms
step:68/1770 train_time:6155ms step_avg:90.51ms
step:69/1770 train_time:6226ms step_avg:90.23ms
step:70/1770 train_time:6295ms step_avg:89.93ms
step:71/1770 train_time:6364ms step_avg:89.64ms
step:72/1770 train_time:6435ms step_avg:89.37ms
step:73/1770 train_time:6513ms step_avg:89.21ms
step:74/1770 train_time:6574ms step_avg:88.84ms
step:75/1770 train_time:6643ms step_avg:88.57ms
step:76/1770 train_time:6723ms step_avg:88.46ms
step:77/1770 train_time:6804ms step_avg:88.37ms
step:78/1770 train_time:6868ms step_avg:88.05ms
step:79/1770 train_time:6947ms step_avg:87.93ms
step:80/1770 train_time:7025ms step_avg:87.82ms
step:81/1770 train_time:7087ms step_avg:87.50ms
step:82/1770 train_time:7158ms step_avg:87.29ms
step:83/1770 train_time:7237ms step_avg:87.19ms
step:84/1770 train_time:7316ms step_avg:87.09ms
step:85/1770 train_time:7390ms step_avg:86.94ms
step:86/1770 train_time:7466ms step_avg:86.81ms
step:87/1770 train_time:7541ms step_avg:86.67ms
step:88/1770 train_time:7614ms step_avg:86.52ms
