logs/36cc60ea-f030-4f0d-9e17-b38e1351a99b.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:36<03:07,  9.28it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.84ms
step:1/1770 train_time:181ms step_avg:180.54ms
step:2/1770 train_time:254ms step_avg:127.23ms
step:3/1770 train_time:328ms step_avg:109.41ms
step:4/1770 train_time:400ms step_avg:99.97ms
step:5/1770 train_time:478ms step_avg:95.56ms
step:6/1770 train_time:542ms step_avg:90.38ms
step:7/1770 train_time:615ms step_avg:87.91ms
step:8/1770 train_time:689ms step_avg:86.16ms
step:9/1770 train_time:766ms step_avg:85.16ms
step:10/1770 train_time:833ms step_avg:83.34ms
step:11/1770 train_time:913ms step_avg:82.97ms
step:12/1770 train_time:984ms step_avg:82.03ms
step:13/1770 train_time:1057ms step_avg:81.27ms
step:14/1770 train_time:1131ms step_avg:80.79ms
step:15/1770 train_time:1208ms step_avg:80.52ms
step:16/1770 train_time:1280ms step_avg:80.01ms
step:17/1770 train_time:1345ms step_avg:79.11ms
step:18/1770 train_time:1425ms step_avg:79.18ms
step:19/1770 train_time:1490ms step_avg:78.43ms
step:20/1770 train_time:1558ms step_avg:77.88ms
step:21/1770 train_time:1637ms step_avg:77.96ms
step:22/1770 train_time:1701ms step_avg:77.34ms
step:23/1770 train_time:1774ms step_avg:77.14ms
step:24/1770 train_time:1847ms step_avg:76.96ms
step:25/1770 train_time:1918ms step_avg:76.71ms
step:26/1770 train_time:1992ms step_avg:76.60ms
step:27/1770 train_time:2069ms step_avg:76.64ms
step:28/1770 train_time:2143ms step_avg:76.54ms
step:29/1770 train_time:2211ms step_avg:76.25ms
step:30/1770 train_time:2283ms step_avg:76.11ms
step:31/1770 train_time:2355ms step_avg:75.98ms
step:32/1770 train_time:2427ms step_avg:75.85ms
step:33/1770 train_time:2493ms step_avg:75.55ms
step:34/1770 train_time:2575ms step_avg:75.74ms
step:35/1770 train_time:2640ms step_avg:75.43ms
step:36/1770 train_time:2710ms step_avg:75.28ms
step:37/1770 train_time:2783ms step_avg:75.22ms
step:38/1770 train_time:2862ms step_avg:75.32ms
step:39/1770 train_time:2925ms step_avg:75.01ms
step:40/1770 train_time:3005ms step_avg:75.13ms
step:41/1770 train_time:3074ms step_avg:74.98ms
step:42/1770 train_time:3147ms step_avg:74.93ms
step:43/1770 train_time:3229ms step_avg:75.10ms
step:44/1770 train_time:3308ms step_avg:75.19ms
step:45/1770 train_time:3372ms step_avg:74.93ms
step:46/1770 train_time:3445ms step_avg:74.89ms
step:47/1770 train_time:3532ms step_avg:75.14ms
step:48/1770 train_time:3608ms step_avg:75.17ms
step:49/1770 train_time:3680ms step_avg:75.10ms
step:50/1770 train_time:3753ms step_avg:75.06ms
step:50/1770 val_loss:8.4624 train_time:3753ms step_avg:75.07ms
step:51/1770 train_time:3832ms step_avg:75.14ms
step:52/1770 train_time:3912ms step_avg:75.22ms
step:53/1770 train_time:3988ms step_avg:75.25ms
step:54/1770 train_time:4053ms step_avg:75.06ms
step:55/1770 train_time:4130ms step_avg:75.10ms
step:56/1770 train_time:4212ms step_avg:75.21ms
step:57/1770 train_time:4286ms step_avg:75.20ms
step:58/1770 train_time:4359ms step_avg:75.16ms
step:59/1770 train_time:4447ms step_avg:75.37ms
step:60/1770 train_time:4519ms step_avg:75.32ms
step:61/1770 train_time:4586ms step_avg:75.18ms
step:62/1770 train_time:4658ms step_avg:75.13ms
step:63/1770 train_time:4734ms step_avg:75.15ms
step:64/1770 train_time:4802ms step_avg:75.04ms
step:65/1770 train_time:4871ms step_avg:74.94ms
step:66/1770 train_time:4948ms step_avg:74.97ms
step:67/1770 train_time:5021ms step_avg:74.94ms
step:68/1770 train_time:5082ms step_avg:74.74ms
step:69/1770 train_time:5160ms step_avg:74.79ms
step:70/1770 train_time:5234ms step_avg:74.76ms
step:71/1770 train_time:5303ms step_avg:74.70ms
step:72/1770 train_time:5377ms step_avg:74.68ms
step:73/1770 train_time:5455ms step_avg:74.73ms
step:74/1770 train_time:5520ms step_avg:74.60ms
step:75/1770 train_time:5602ms step_avg:74.69ms
step:76/1770 train_time:5685ms step_avg:74.81ms
step:77/1770 train_time:5760ms step_avg:74.81ms
step:78/1770 train_time:5832ms step_avg:74.77ms
step:79/1770 train_time:5910ms step_avg:74.81ms
step:80/1770 train_time:5989ms step_avg:74.86ms
step:81/1770 train_time:6063ms step_avg:74.85ms
step:82/1770 train_time:6127ms step_avg:74.72ms
step:83/1770 train_time:6208ms step_avg:74.80ms
step:84/1770 train_time:6273ms step_avg:74.68ms
step:85/1770 train_time:6340ms step_avg:74.59ms
step:86/1770 train_time:6420ms step_avg:74.65ms
step:87/1770 train_time:6494ms step_avg:74.65ms
step:88/1770 train_time:6569ms step_avg:74.65ms
step:89/1770 train_time:6640ms step_avg:74.60ms
step:90/1770 train_time:6719ms step_avg:74.65ms
step:91/1770 train_time:6783ms step_avg:74.54ms
step:92/1770 train_time:6860ms step_avg:74.56ms
step:93/1770 train_time:6935ms step_avg:74.57ms
step:94/1770 train_time:7006ms step_avg:74.53ms
step:95/1770 train_time:7078ms step_avg:74.51ms
step:96/1770 train_time:7155ms step_avg:74.54ms
step:97/1770 train_time:7234ms step_avg:74.58ms
step:98/1770 train_time:7304ms step_avg:74.53ms
step:99/1770 train_time:7375ms step_avg:74.50ms
step:100/1770 train_time:7448ms step_avg:74.48ms
step:100/1770 val_loss:7.6613 train_time:7449ms step_avg:74.49ms
step:101/1770 train_time:7519ms step_avg:74.44ms
step:102/1770 train_time:7591ms step_avg:74.42ms
step:103/1770 train_time:7657ms step_avg:74.34ms
step:104/1770 train_time:7723ms step_avg:74.26ms
step:105/1770 train_time:7798ms step_avg:74.26ms
step:106/1770 train_time:7863ms step_avg:74.18ms
step:107/1770 train_time:7931ms step_avg:74.12ms
step:108/1770 train_time:8004ms step_avg:74.11ms
step:109/1770 train_time:8066ms step_avg:74.00ms
step:110/1770 train_time:8136ms step_avg:73.96ms
step:111/1770 train_time:8205ms step_avg:73.92ms
step:112/1770 train_time:8269ms step_avg:73.83ms
step:113/1770 train_time:8338ms step_avg:73.79ms
step:114/1770 train_time:8406ms step_avg:73.74ms
step:115/1770 train_time:8472ms step_avg:73.67ms
step:116/1770 train_time:8545ms step_avg:73.66ms
step:117/1770 train_time:8609ms step_avg:73.58ms
step:118/1770 train_time:8671ms step_avg:73.49ms
step:119/1770 train_time:8743ms step_avg:73.47ms
step:120/1770 train_time:8809ms step_avg:73.41ms
step:121/1770 train_time:8878ms step_avg:73.37ms
step:122/1770 train_time:8953ms step_avg:73.39ms
step:123/1770 train_time:9020ms step_avg:73.34ms
step:124/1770 train_time:9079ms step_avg:73.22ms
step:125/1770 train_time:9154ms step_avg:73.23ms
step:126/1770 train_time:9217ms step_avg:73.15ms
step:127/1770 train_time:9272ms step_avg:73.00ms
step:128/1770 train_time:9335ms step_avg:72.93ms
step:129/1770 train_time:9404ms step_avg:72.90ms
step:130/1770 train_time:9482ms step_avg:72.94ms
step:131/1770 train_time:9547ms step_avg:72.88ms
step:132/1770 train_time:9615ms step_avg:72.84ms
step:133/1770 train_time:9688ms step_avg:72.84ms
step:134/1770 train_time:9752ms step_avg:72.78ms
step:135/1770 train_time:9822ms step_avg:72.76ms
step:136/1770 train_time:9899ms step_avg:72.79ms
step:137/1770 train_time:9954ms step_avg:72.66ms
step:138/1770 train_time:10025ms step_avg:72.65ms
step:139/1770 train_time:10101ms step_avg:72.67ms
step:140/1770 train_time:10163ms step_avg:72.59ms
step:141/1770 train_time:10219ms step_avg:72.47ms
step:142/1770 train_time:10283ms step_avg:72.42ms
step:143/1770 train_time:10352ms step_avg:72.39ms
step:144/1770 train_time:10427ms step_avg:72.41ms
step:145/1770 train_time:10489ms step_avg:72.34ms
step:146/1770 train_time:10560ms step_avg:72.33ms
step:147/1770 train_time:10639ms step_avg:72.38ms
step:148/1770 train_time:10702ms step_avg:72.31ms
step:149/1770 train_time:10775ms step_avg:72.32ms
step:150/1770 train_time:10846ms step_avg:72.31ms
step:150/1770 val_loss:7.5552 train_time:10847ms step_avg:72.31ms
step:151/1770 train_time:10926ms step_avg:72.36ms
step:152/1770 train_time:11000ms step_avg:72.37ms
step:153/1770 train_time:11075ms step_avg:72.39ms
step:154/1770 train_time:11150ms step_avg:72.40ms
step:155/1770 train_time:11220ms step_avg:72.39ms
step:156/1770 train_time:11292ms step_avg:72.39ms
step:157/1770 train_time:11370ms step_avg:72.42ms
step:158/1770 train_time:11443ms step_avg:72.42ms
step:159/1770 train_time:11521ms step_avg:72.46ms
step:160/1770 train_time:11602ms step_avg:72.51ms
step:161/1770 train_time:11676ms step_avg:72.52ms
step:162/1770 train_time:11749ms step_avg:72.52ms
step:163/1770 train_time:11822ms step_avg:72.53ms
step:164/1770 train_time:11904ms step_avg:72.58ms
step:165/1770 train_time:11975ms step_avg:72.58ms
step:166/1770 train_time:12048ms step_avg:72.58ms
step:167/1770 train_time:12129ms step_avg:72.63ms
step:168/1770 train_time:12195ms step_avg:72.59ms
step:169/1770 train_time:12267ms step_avg:72.59ms
step:170/1770 train_time:12340ms step_avg:72.59ms
step:171/1770 train_time:12417ms step_avg:72.61ms
step:172/1770 train_time:12493ms step_avg:72.64ms
step:173/1770 train_time:12564ms step_avg:72.62ms
step:174/1770 train_time:12645ms step_avg:72.67ms
step:175/1770 train_time:12723ms step_avg:72.70ms
step:176/1770 train_time:12791ms step_avg:72.68ms
step:177/1770 train_time:12870ms step_avg:72.71ms
step:178/1770 train_time:12947ms step_avg:72.74ms
step:179/1770 train_time:13016ms step_avg:72.71ms
step:180/1770 train_time:13093ms step_avg:72.74ms
step:181/1770 train_time:13172ms step_avg:72.77ms
step:182/1770 train_time:13244ms step_avg:72.77ms
step:183/1770 train_time:13313ms step_avg:72.75ms
step:184/1770 train_time:13393ms step_avg:72.79ms
step:185/1770 train_time:13468ms step_avg:72.80ms
step:186/1770 train_time:13531ms step_avg:72.75ms
step:187/1770 train_time:13603ms step_avg:72.74ms
step:188/1770 train_time:13668ms step_avg:72.70ms
step:189/1770 train_time:13732ms step_avg:72.66ms
step:190/1770 train_time:13803ms step_avg:72.65ms
step:191/1770 train_time:13879ms step_avg:72.67ms
step:192/1770 train_time:13953ms step_avg:72.67ms
step:193/1770 train_time:14027ms step_avg:72.68ms
step:194/1770 train_time:14103ms step_avg:72.70ms
step:195/1770 train_time:14168ms step_avg:72.66ms
step:196/1770 train_time:14247ms step_avg:72.69ms
step:197/1770 train_time:14326ms step_avg:72.72ms
step:198/1770 train_time:14390ms step_avg:72.68ms
step:199/1770 train_time:14470ms step_avg:72.71ms
step:200/1770 train_time:14543ms step_avg:72.71ms
step:200/1770 val_loss:8.0946 train_time:14543ms step_avg:72.72ms
step:201/1770 train_time:14626ms step_avg:72.77ms
step:202/1770 train_time:14705ms step_avg:72.80ms
step:203/1770 train_time:14779ms step_avg:72.80ms
step:204/1770 train_time:14848ms step_avg:72.78ms
step:205/1770 train_time:14927ms step_avg:72.82ms
step:206/1770 train_time:15001ms step_avg:72.82ms
step:207/1770 train_time:15074ms step_avg:72.82ms
step:208/1770 train_time:15148ms step_avg:72.83ms
step:209/1770 train_time:15226ms step_avg:72.85ms
step:210/1770 train_time:15291ms step_avg:72.82ms
step:211/1770 train_time:15367ms step_avg:72.83ms
step:212/1770 train_time:15447ms step_avg:72.86ms
step:213/1770 train_time:15511ms step_avg:72.82ms
step:214/1770 train_time:15584ms step_avg:72.82ms
step:215/1770 train_time:15656ms step_avg:72.82ms
step:216/1770 train_time:15728ms step_avg:72.82ms
step:217/1770 train_time:15802ms step_avg:72.82ms
step:218/1770 train_time:15883ms step_avg:72.86ms
step:219/1770 train_time:15956ms step_avg:72.86ms
step:220/1770 train_time:16031ms step_avg:72.87ms
step:221/1770 train_time:16101ms step_avg:72.85ms
step:222/1770 train_time:16183ms step_avg:72.90ms
step:223/1770 train_time:16248ms step_avg:72.86ms
step:224/1770 train_time:16319ms step_avg:72.85ms
step:225/1770 train_time:16393ms step_avg:72.86ms
step:226/1770 train_time:16461ms step_avg:72.84ms
step:227/1770 train_time:16527ms step_avg:72.81ms
step:228/1770 train_time:16607ms step_avg:72.84ms
step:229/1770 train_time:16671ms step_avg:72.80ms
step:230/1770 train_time:16742ms step_avg:72.79ms
step:231/1770 train_time:16816ms step_avg:72.80ms
step:232/1770 train_time:16890ms step_avg:72.80ms
step:233/1770 train_time:16955ms step_avg:72.77ms
step:234/1770 train_time:17035ms step_avg:72.80ms
step:235/1770 train_time:17102ms step_avg:72.77ms
step:236/1770 train_time:17170ms step_avg:72.75ms
step:237/1770 train_time:17248ms step_avg:72.78ms
step:238/1770 train_time:17324ms step_avg:72.79ms
step:239/1770 train_time:17394ms step_avg:72.78ms
step:240/1770 train_time:17466ms step_avg:72.78ms
step:241/1770 train_time:17544ms step_avg:72.80ms
step:242/1770 train_time:17618ms step_avg:72.80ms
step:243/1770 train_time:17690ms step_avg:72.80ms
step:244/1770 train_time:17765ms step_avg:72.81ms
step:245/1770 train_time:17842ms step_avg:72.82ms
step:246/1770 train_time:17907ms step_avg:72.79ms
step:247/1770 train_time:17979ms step_avg:72.79ms
step:248/1770 train_time:18043ms step_avg:72.76ms
step:249/1770 train_time:18109ms step_avg:72.73ms
step:250/1770 train_time:18182ms step_avg:72.73ms
step:250/1770 val_loss:7.6905 train_time:18182ms step_avg:72.73ms
step:251/1770 train_time:18258ms step_avg:72.74ms
step:252/1770 train_time:18339ms step_avg:72.77ms
step:253/1770 train_time:18419ms step_avg:72.80ms
step:254/1770 train_time:18493ms step_avg:72.81ms
step:255/1770 train_time:18556ms step_avg:72.77ms
step:256/1770 train_time:18630ms step_avg:72.77ms
step:257/1770 train_time:18702ms step_avg:72.77ms
step:258/1770 train_time:18774ms step_avg:72.77ms
step:259/1770 train_time:18859ms step_avg:72.82ms
step:260/1770 train_time:18930ms step_avg:72.81ms
step:261/1770 train_time:19007ms step_avg:72.82ms
step:262/1770 train_time:19086ms step_avg:72.85ms
step:263/1770 train_time:19170ms step_avg:72.89ms
step:264/1770 train_time:19241ms step_avg:72.88ms
step:265/1770 train_time:19316ms step_avg:72.89ms
step:266/1770 train_time:19390ms step_avg:72.90ms
step:267/1770 train_time:19472ms step_avg:72.93ms
step:268/1770 train_time:19541ms step_avg:72.91ms
step:269/1770 train_time:19612ms step_avg:72.91ms
step:270/1770 train_time:19686ms step_avg:72.91ms
step:271/1770 train_time:19770ms step_avg:72.95ms
step:272/1770 train_time:19847ms step_avg:72.97ms
step:273/1770 train_time:19926ms step_avg:72.99ms
step:274/1770 train_time:20003ms step_avg:73.00ms
step:275/1770 train_time:20071ms step_avg:72.99ms
step:276/1770 train_time:20143ms step_avg:72.98ms
step:277/1770 train_time:20222ms step_avg:73.00ms
step:278/1770 train_time:20296ms step_avg:73.01ms
step:279/1770 train_time:20379ms step_avg:73.04ms
step:280/1770 train_time:20445ms step_avg:73.02ms
step:281/1770 train_time:20525ms step_avg:73.04ms
step:282/1770 train_time:20590ms step_avg:73.01ms
step:283/1770 train_time:20663ms step_avg:73.02ms
step:284/1770 train_time:20744ms step_avg:73.04ms
step:285/1770 train_time:20808ms step_avg:73.01ms
step:286/1770 train_time:20879ms step_avg:73.00ms
step:287/1770 train_time:20950ms step_avg:73.00ms
step:288/1770 train_time:21026ms step_avg:73.01ms
step:289/1770 train_time:21090ms step_avg:72.97ms
step:290/1770 train_time:21167ms step_avg:72.99ms
step:291/1770 train_time:21235ms step_avg:72.97ms
step:292/1770 train_time:21307ms step_avg:72.97ms
step:293/1770 train_time:21384ms step_avg:72.98ms
step:294/1770 train_time:21454ms step_avg:72.97ms
step:295/1770 train_time:21525ms step_avg:72.97ms
step:296/1770 train_time:21593ms step_avg:72.95ms
step:297/1770 train_time:21669ms step_avg:72.96ms
step:298/1770 train_time:21741ms step_avg:72.96ms
step:299/1770 train_time:21808ms step_avg:72.94ms
step:300/1770 train_time:21887ms step_avg:72.96ms
step:300/1770 val_loss:7.3146 train_time:21888ms step_avg:72.96ms
step:301/1770 train_time:21964ms step_avg:72.97ms
step:302/1770 train_time:22039ms step_avg:72.98ms
step:303/1770 train_time:22113ms step_avg:72.98ms
step:304/1770 train_time:22184ms step_avg:72.97ms
step:305/1770 train_time:22263ms step_avg:72.99ms
step:306/1770 train_time:22341ms step_avg:73.01ms
step:307/1770 train_time:22406ms step_avg:72.98ms
step:308/1770 train_time:22482ms step_avg:72.99ms
step:309/1770 train_time:22557ms step_avg:73.00ms
step:310/1770 train_time:22627ms step_avg:72.99ms
step:311/1770 train_time:22706ms step_avg:73.01ms
step:312/1770 train_time:22785ms step_avg:73.03ms
