logs/dd2202d8-2939-41c2-8c95-4d05068dfcc1.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:36<03:10,  9.14it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:1.17ms
step:1/1770 train_time:130ms step_avg:129.72ms
step:2/1770 train_time:203ms step_avg:101.44ms
step:3/1770 train_time:280ms step_avg:93.27ms
step:4/1770 train_time:347ms step_avg:86.63ms
step:5/1770 train_time:419ms step_avg:83.82ms
step:6/1770 train_time:499ms step_avg:83.14ms
step:7/1770 train_time:570ms step_avg:81.48ms
step:8/1770 train_time:644ms step_avg:80.46ms
step:9/1770 train_time:716ms step_avg:79.57ms
step:10/1770 train_time:790ms step_avg:78.98ms
step:11/1770 train_time:862ms step_avg:78.38ms
step:12/1770 train_time:939ms step_avg:78.26ms
step:13/1770 train_time:1015ms step_avg:78.07ms
step:14/1770 train_time:1086ms step_avg:77.59ms
step:15/1770 train_time:1163ms step_avg:77.52ms
step:16/1770 train_time:1237ms step_avg:77.31ms
step:17/1770 train_time:1309ms step_avg:76.99ms
step:18/1770 train_time:1382ms step_avg:76.79ms
step:19/1770 train_time:1462ms step_avg:76.97ms
step:20/1770 train_time:1532ms step_avg:76.61ms
step:21/1770 train_time:1606ms step_avg:76.47ms
step:22/1770 train_time:1677ms step_avg:76.25ms
step:23/1770 train_time:1755ms step_avg:76.32ms
step:24/1770 train_time:1826ms step_avg:76.07ms
step:25/1770 train_time:1900ms step_avg:76.00ms
step:26/1770 train_time:1972ms step_avg:75.84ms
step:27/1770 train_time:2043ms step_avg:75.67ms
step:28/1770 train_time:2120ms step_avg:75.70ms
step:29/1770 train_time:2197ms step_avg:75.77ms
step:30/1770 train_time:2261ms step_avg:75.38ms
step:31/1770 train_time:2334ms step_avg:75.28ms
step:32/1770 train_time:2412ms step_avg:75.37ms
step:33/1770 train_time:2492ms step_avg:75.52ms
step:34/1770 train_time:2566ms step_avg:75.47ms
step:35/1770 train_time:2639ms step_avg:75.41ms
step:36/1770 train_time:2713ms step_avg:75.36ms
step:37/1770 train_time:2786ms step_avg:75.30ms
step:38/1770 train_time:2852ms step_avg:75.04ms
step:39/1770 train_time:2933ms step_avg:75.21ms
step:40/1770 train_time:3012ms step_avg:75.29ms
step:41/1770 train_time:3084ms step_avg:75.21ms
step:42/1770 train_time:3156ms step_avg:75.15ms
step:43/1770 train_time:3237ms step_avg:75.27ms
step:44/1770 train_time:3301ms step_avg:75.02ms
step:45/1770 train_time:3374ms step_avg:74.98ms
step:46/1770 train_time:3455ms step_avg:75.11ms
step:47/1770 train_time:3531ms step_avg:75.12ms
step:48/1770 train_time:3596ms step_avg:74.93ms
step:49/1770 train_time:3674ms step_avg:74.98ms
step:50/1770 train_time:3752ms step_avg:75.04ms
step:50/1770 val_loss:8.3858 train_time:3753ms step_avg:75.05ms
step:51/1770 train_time:3830ms step_avg:75.09ms
step:52/1770 train_time:3905ms step_avg:75.10ms
step:53/1770 train_time:3978ms step_avg:75.06ms
step:54/1770 train_time:4051ms step_avg:75.01ms
step:55/1770 train_time:4119ms step_avg:74.90ms
step:56/1770 train_time:4191ms step_avg:74.84ms
step:57/1770 train_time:4259ms step_avg:74.71ms
step:58/1770 train_time:4328ms step_avg:74.62ms
step:59/1770 train_time:4407ms step_avg:74.70ms
step:60/1770 train_time:4477ms step_avg:74.62ms
step:61/1770 train_time:4544ms step_avg:74.49ms
step:62/1770 train_time:4622ms step_avg:74.55ms
step:63/1770 train_time:4698ms step_avg:74.56ms
step:64/1770 train_time:4765ms step_avg:74.45ms
step:65/1770 train_time:4840ms step_avg:74.46ms
step:66/1770 train_time:4916ms step_avg:74.48ms
step:67/1770 train_time:4982ms step_avg:74.36ms
step:68/1770 train_time:5057ms step_avg:74.37ms
step:69/1770 train_time:5138ms step_avg:74.46ms
step:70/1770 train_time:5214ms step_avg:74.48ms
step:71/1770 train_time:5286ms step_avg:74.45ms
step:72/1770 train_time:5358ms step_avg:74.42ms
step:73/1770 train_time:5435ms step_avg:74.45ms
step:74/1770 train_time:5499ms step_avg:74.32ms
step:75/1770 train_time:5576ms step_avg:74.34ms
step:76/1770 train_time:5647ms step_avg:74.30ms
step:77/1770 train_time:5715ms step_avg:74.22ms
step:78/1770 train_time:5784ms step_avg:74.15ms
step:79/1770 train_time:5862ms step_avg:74.20ms
step:80/1770 train_time:5925ms step_avg:74.06ms
step:81/1770 train_time:6001ms step_avg:74.08ms
step:82/1770 train_time:6080ms step_avg:74.15ms
step:83/1770 train_time:6151ms step_avg:74.11ms
step:84/1770 train_time:6215ms step_avg:73.99ms
step:85/1770 train_time:6297ms step_avg:74.08ms
step:86/1770 train_time:6368ms step_avg:74.04ms
step:87/1770 train_time:6438ms step_avg:74.00ms
step:88/1770 train_time:6517ms step_avg:74.06ms
step:89/1770 train_time:6594ms step_avg:74.09ms
step:90/1770 train_time:6657ms step_avg:73.97ms
step:91/1770 train_time:6731ms step_avg:73.97ms
step:92/1770 train_time:6803ms step_avg:73.94ms
step:93/1770 train_time:6873ms step_avg:73.90ms
step:94/1770 train_time:6942ms step_avg:73.85ms
step:95/1770 train_time:7021ms step_avg:73.90ms
step:96/1770 train_time:7087ms step_avg:73.82ms
step:97/1770 train_time:7159ms step_avg:73.81ms
step:98/1770 train_time:7242ms step_avg:73.89ms
step:99/1770 train_time:7305ms step_avg:73.78ms
step:100/1770 train_time:7377ms step_avg:73.77ms
step:100/1770 val_loss:7.6008 train_time:7378ms step_avg:73.78ms
step:101/1770 train_time:7467ms step_avg:73.93ms
step:102/1770 train_time:7574ms step_avg:74.26ms
step:103/1770 train_time:7682ms step_avg:74.58ms
step:104/1770 train_time:7772ms step_avg:74.73ms
step:105/1770 train_time:7850ms step_avg:74.76ms
step:106/1770 train_time:7928ms step_avg:74.80ms
step:107/1770 train_time:8007ms step_avg:74.83ms
step:108/1770 train_time:8094ms step_avg:74.94ms
step:109/1770 train_time:8179ms step_avg:75.03ms
step:110/1770 train_time:8250ms step_avg:75.00ms
step:111/1770 train_time:8332ms step_avg:75.06ms
step:112/1770 train_time:8405ms step_avg:75.05ms
step:113/1770 train_time:8481ms step_avg:75.05ms
step:114/1770 train_time:8545ms step_avg:74.96ms
step:115/1770 train_time:8621ms step_avg:74.97ms
step:116/1770 train_time:8691ms step_avg:74.92ms
step:117/1770 train_time:8762ms step_avg:74.89ms
step:118/1770 train_time:8832ms step_avg:74.85ms
step:119/1770 train_time:8910ms step_avg:74.87ms
step:120/1770 train_time:8974ms step_avg:74.78ms
step:121/1770 train_time:9050ms step_avg:74.79ms
step:122/1770 train_time:9129ms step_avg:74.83ms
step:123/1770 train_time:9201ms step_avg:74.80ms
step:124/1770 train_time:9265ms step_avg:74.72ms
step:125/1770 train_time:9346ms step_avg:74.77ms
step:126/1770 train_time:9423ms step_avg:74.78ms
step:127/1770 train_time:9497ms step_avg:74.78ms
step:128/1770 train_time:9567ms step_avg:74.74ms
step:129/1770 train_time:9646ms step_avg:74.77ms
step:130/1770 train_time:9715ms step_avg:74.73ms
step:131/1770 train_time:9787ms step_avg:74.71ms
step:132/1770 train_time:9860ms step_avg:74.70ms
step:133/1770 train_time:9932ms step_avg:74.68ms
