logs/a92caa43-61fc-45c7-9ee5-4a9103e240ac.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:35<03:11,  9.07it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.95ms
step:1/1770 train_time:254ms step_avg:253.58ms
step:2/1770 train_time:326ms step_avg:163.05ms
step:3/1770 train_time:398ms step_avg:132.77ms
step:4/1770 train_time:475ms step_avg:118.74ms
step:5/1770 train_time:546ms step_avg:109.26ms
step:6/1770 train_time:616ms step_avg:102.59ms
step:7/1770 train_time:695ms step_avg:99.33ms
step:8/1770 train_time:767ms step_avg:95.88ms
step:9/1770 train_time:841ms step_avg:93.46ms
step:10/1770 train_time:913ms step_avg:91.33ms
step:11/1770 train_time:989ms step_avg:89.89ms
step:12/1770 train_time:1062ms step_avg:88.47ms
step:13/1770 train_time:1134ms step_avg:87.21ms
step:14/1770 train_time:1213ms step_avg:86.66ms
step:15/1770 train_time:1281ms step_avg:85.42ms
step:16/1770 train_time:1357ms step_avg:84.83ms
step:17/1770 train_time:1438ms step_avg:84.60ms
step:18/1770 train_time:1510ms step_avg:83.88ms
step:19/1770 train_time:1575ms step_avg:82.90ms
step:20/1770 train_time:1656ms step_avg:82.79ms
step:21/1770 train_time:1735ms step_avg:82.61ms
step:22/1770 train_time:1802ms step_avg:81.89ms
step:23/1770 train_time:1879ms step_avg:81.68ms
step:24/1770 train_time:1958ms step_avg:81.58ms
step:25/1770 train_time:2025ms step_avg:81.01ms
step:26/1770 train_time:2104ms step_avg:80.93ms
step:27/1770 train_time:2183ms step_avg:80.85ms
step:28/1770 train_time:2260ms step_avg:80.73ms
step:29/1770 train_time:2335ms step_avg:80.52ms
step:30/1770 train_time:2409ms step_avg:80.31ms
step:31/1770 train_time:2483ms step_avg:80.09ms
step:32/1770 train_time:2554ms step_avg:79.82ms
step:33/1770 train_time:2619ms step_avg:79.36ms
step:34/1770 train_time:2698ms step_avg:79.36ms
step:35/1770 train_time:2764ms step_avg:78.96ms
step:36/1770 train_time:2836ms step_avg:78.77ms
step:37/1770 train_time:2915ms step_avg:78.78ms
step:38/1770 train_time:2992ms step_avg:78.74ms
step:39/1770 train_time:3060ms step_avg:78.47ms
step:40/1770 train_time:3137ms step_avg:78.42ms
step:41/1770 train_time:3209ms step_avg:78.26ms
step:42/1770 train_time:3274ms step_avg:77.95ms
step:43/1770 train_time:3349ms step_avg:77.89ms
step:44/1770 train_time:3428ms step_avg:77.90ms
step:45/1770 train_time:3501ms step_avg:77.79ms
step:46/1770 train_time:3566ms step_avg:77.52ms
step:47/1770 train_time:3642ms step_avg:77.48ms
step:48/1770 train_time:3713ms step_avg:77.36ms
step:49/1770 train_time:3782ms step_avg:77.18ms
step:50/1770 train_time:3867ms step_avg:77.33ms
step:50/1770 val_loss:8.3743 train_time:3867ms step_avg:77.35ms
step:51/1770 train_time:3948ms step_avg:77.41ms
step:52/1770 train_time:4019ms step_avg:77.28ms
step:53/1770 train_time:4087ms step_avg:77.12ms
step:54/1770 train_time:4158ms step_avg:77.00ms
step:55/1770 train_time:4234ms step_avg:76.97ms
step:56/1770 train_time:4301ms step_avg:76.80ms
step:57/1770 train_time:4378ms step_avg:76.81ms
step:58/1770 train_time:4454ms step_avg:76.80ms
step:59/1770 train_time:4521ms step_avg:76.63ms
step:60/1770 train_time:4599ms step_avg:76.64ms
step:61/1770 train_time:4670ms step_avg:76.56ms
step:62/1770 train_time:4736ms step_avg:76.39ms
step:63/1770 train_time:4811ms step_avg:76.37ms
step:64/1770 train_time:4889ms step_avg:76.39ms
step:65/1770 train_time:4951ms step_avg:76.17ms
step:66/1770 train_time:5025ms step_avg:76.14ms
step:67/1770 train_time:5103ms step_avg:76.16ms
step:68/1770 train_time:5173ms step_avg:76.07ms
step:69/1770 train_time:5235ms step_avg:75.88ms
step:70/1770 train_time:5313ms step_avg:75.90ms
step:71/1770 train_time:5376ms step_avg:75.71ms
step:72/1770 train_time:5446ms step_avg:75.64ms
step:73/1770 train_time:5529ms step_avg:75.75ms
step:74/1770 train_time:5593ms step_avg:75.58ms
step:75/1770 train_time:5665ms step_avg:75.54ms
step:76/1770 train_time:5747ms step_avg:75.62ms
step:77/1770 train_time:5816ms step_avg:75.53ms
step:78/1770 train_time:5889ms step_avg:75.50ms
step:79/1770 train_time:5960ms step_avg:75.44ms
step:80/1770 train_time:6035ms step_avg:75.44ms
step:81/1770 train_time:6100ms step_avg:75.31ms
step:82/1770 train_time:6177ms step_avg:75.33ms
step:83/1770 train_time:6251ms step_avg:75.31ms
step:84/1770 train_time:6323ms step_avg:75.28ms
step:85/1770 train_time:6395ms step_avg:75.24ms
step:86/1770 train_time:6467ms step_avg:75.19ms
step:87/1770 train_time:6536ms step_avg:75.12ms
step:88/1770 train_time:6602ms step_avg:75.03ms
step:89/1770 train_time:6680ms step_avg:75.05ms
step:90/1770 train_time:6750ms step_avg:75.00ms
step:91/1770 train_time:6813ms step_avg:74.87ms
step:92/1770 train_time:6894ms step_avg:74.94ms
step:93/1770 train_time:6958ms step_avg:74.81ms
step:94/1770 train_time:7030ms step_avg:74.78ms
step:95/1770 train_time:7101ms step_avg:74.74ms
step:96/1770 train_time:7173ms step_avg:74.72ms
step:97/1770 train_time:7258ms step_avg:74.83ms
step:98/1770 train_time:7333ms step_avg:74.83ms
step:99/1770 train_time:7405ms step_avg:74.80ms
step:100/1770 train_time:7481ms step_avg:74.81ms
step:100/1770 val_loss:7.5182 train_time:7481ms step_avg:74.81ms
step:101/1770 train_time:7559ms step_avg:74.85ms
step:102/1770 train_time:7630ms step_avg:74.80ms
step:103/1770 train_time:7706ms step_avg:74.82ms
step:104/1770 train_time:7774ms step_avg:74.75ms
