logs/6b6397a2-c6db-42d4-b943-2163b02339d0.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:36<03:15,  8.92it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.97ms
step:1/1770 train_time:141ms step_avg:141.26ms
step:2/1770 train_time:212ms step_avg:106.01ms
step:3/1770 train_time:275ms step_avg:91.53ms
step:4/1770 train_time:355ms step_avg:88.73ms
step:5/1770 train_time:419ms step_avg:83.76ms
step:6/1770 train_time:492ms step_avg:82.05ms
step:7/1770 train_time:570ms step_avg:81.36ms
step:8/1770 train_time:631ms step_avg:78.89ms
step:9/1770 train_time:700ms step_avg:77.76ms
step:10/1770 train_time:787ms step_avg:78.67ms
step:11/1770 train_time:862ms step_avg:78.40ms
step:12/1770 train_time:930ms step_avg:77.49ms
step:13/1770 train_time:1007ms step_avg:77.43ms
step:14/1770 train_time:1087ms step_avg:77.67ms
step:15/1770 train_time:1167ms step_avg:77.82ms
step:16/1770 train_time:1244ms step_avg:77.75ms
step:17/1770 train_time:1328ms step_avg:78.13ms
step:18/1770 train_time:1407ms step_avg:78.16ms
step:19/1770 train_time:1483ms step_avg:78.06ms
step:20/1770 train_time:1553ms step_avg:77.67ms
step:21/1770 train_time:1635ms step_avg:77.85ms
step:22/1770 train_time:1716ms step_avg:78.00ms
step:23/1770 train_time:1796ms step_avg:78.08ms
step:24/1770 train_time:1870ms step_avg:77.92ms
step:25/1770 train_time:1948ms step_avg:77.92ms
step:26/1770 train_time:2021ms step_avg:77.71ms
step:27/1770 train_time:2093ms step_avg:77.51ms
step:28/1770 train_time:2172ms step_avg:77.57ms
step:29/1770 train_time:2251ms step_avg:77.63ms
step:30/1770 train_time:2330ms step_avg:77.67ms
step:31/1770 train_time:2405ms step_avg:77.57ms
step:32/1770 train_time:2481ms step_avg:77.54ms
step:33/1770 train_time:2566ms step_avg:77.74ms
step:34/1770 train_time:2648ms step_avg:77.87ms
step:35/1770 train_time:2723ms step_avg:77.79ms
step:36/1770 train_time:2802ms step_avg:77.83ms
step:37/1770 train_time:2882ms step_avg:77.89ms
step:38/1770 train_time:2962ms step_avg:77.94ms
step:39/1770 train_time:3034ms step_avg:77.78ms
step:40/1770 train_time:3102ms step_avg:77.56ms
step:41/1770 train_time:3187ms step_avg:77.72ms
step:42/1770 train_time:3259ms step_avg:77.60ms
step:43/1770 train_time:3336ms step_avg:77.58ms
step:44/1770 train_time:3414ms step_avg:77.58ms
step:45/1770 train_time:3493ms step_avg:77.63ms
step:46/1770 train_time:3570ms step_avg:77.62ms
step:47/1770 train_time:3643ms step_avg:77.51ms
step:48/1770 train_time:3726ms step_avg:77.62ms
step:49/1770 train_time:3807ms step_avg:77.69ms
step:50/1770 train_time:3888ms step_avg:77.76ms
step:50/1770 val_loss:8.3605 train_time:3888ms step_avg:77.77ms
step:51/1770 train_time:3976ms step_avg:77.96ms
step:52/1770 train_time:4055ms step_avg:77.99ms
step:53/1770 train_time:4137ms step_avg:78.06ms
step:54/1770 train_time:4210ms step_avg:77.96ms
step:55/1770 train_time:4287ms step_avg:77.94ms
step:56/1770 train_time:4372ms step_avg:78.07ms
step:57/1770 train_time:4456ms step_avg:78.18ms
step:58/1770 train_time:4535ms step_avg:78.18ms
step:59/1770 train_time:4618ms step_avg:78.27ms
step:60/1770 train_time:4701ms step_avg:78.34ms
step:61/1770 train_time:4786ms step_avg:78.46ms
step:62/1770 train_time:4871ms step_avg:78.57ms
step:63/1770 train_time:4947ms step_avg:78.52ms
step:64/1770 train_time:5015ms step_avg:78.36ms
step:65/1770 train_time:5098ms step_avg:78.43ms
step:66/1770 train_time:5178ms step_avg:78.46ms
step:67/1770 train_time:5249ms step_avg:78.34ms
step:68/1770 train_time:5326ms step_avg:78.32ms
step:69/1770 train_time:5412ms step_avg:78.44ms
step:70/1770 train_time:5492ms step_avg:78.46ms
step:71/1770 train_time:5559ms step_avg:78.30ms
step:72/1770 train_time:5640ms step_avg:78.33ms
step:73/1770 train_time:5726ms step_avg:78.43ms
step:74/1770 train_time:5804ms step_avg:78.43ms
step:75/1770 train_time:5881ms step_avg:78.42ms
step:76/1770 train_time:5957ms step_avg:78.38ms
step:77/1770 train_time:6037ms step_avg:78.41ms
step:78/1770 train_time:6115ms step_avg:78.40ms
step:79/1770 train_time:6188ms step_avg:78.32ms
step:80/1770 train_time:6265ms step_avg:78.31ms
step:81/1770 train_time:6343ms step_avg:78.31ms
step:82/1770 train_time:6419ms step_avg:78.28ms
step:83/1770 train_time:6490ms step_avg:78.19ms
step:84/1770 train_time:6569ms step_avg:78.20ms
step:85/1770 train_time:6644ms step_avg:78.16ms
step:86/1770 train_time:6717ms step_avg:78.10ms
step:87/1770 train_time:6788ms step_avg:78.03ms
step:88/1770 train_time:6870ms step_avg:78.07ms
step:89/1770 train_time:6943ms step_avg:78.02ms
step:90/1770 train_time:7015ms step_avg:77.94ms
step:91/1770 train_time:7097ms step_avg:77.99ms
step:92/1770 train_time:7181ms step_avg:78.05ms
step:93/1770 train_time:7250ms step_avg:77.96ms
step:94/1770 train_time:7321ms step_avg:77.88ms
step:95/1770 train_time:7400ms step_avg:77.90ms
step:96/1770 train_time:7480ms step_avg:77.92ms
step:97/1770 train_time:7560ms step_avg:77.94ms
step:98/1770 train_time:7628ms step_avg:77.84ms
step:99/1770 train_time:7710ms step_avg:77.88ms
step:100/1770 train_time:7791ms step_avg:77.91ms
step:100/1770 val_loss:7.5945 train_time:7792ms step_avg:77.92ms
step:101/1770 train_time:7901ms step_avg:78.23ms
step:102/1770 train_time:7977ms step_avg:78.20ms
step:103/1770 train_time:8052ms step_avg:78.18ms
step:104/1770 train_time:8123ms step_avg:78.10ms
step:105/1770 train_time:8209ms step_avg:78.18ms
step:106/1770 train_time:8290ms step_avg:78.21ms
step:107/1770 train_time:8361ms step_avg:78.14ms
step:108/1770 train_time:8440ms step_avg:78.15ms
step:109/1770 train_time:8519ms step_avg:78.16ms
step:110/1770 train_time:8605ms step_avg:78.23ms
step:111/1770 train_time:8688ms step_avg:78.27ms
step:112/1770 train_time:8765ms step_avg:78.26ms
step:113/1770 train_time:8838ms step_avg:78.21ms
step:114/1770 train_time:8922ms step_avg:78.26ms
step:115/1770 train_time:8990ms step_avg:78.17ms
step:116/1770 train_time:9063ms step_avg:78.13ms
step:117/1770 train_time:9140ms step_avg:78.12ms
step:118/1770 train_time:9222ms step_avg:78.15ms
step:119/1770 train_time:9301ms step_avg:78.16ms
step:120/1770 train_time:9381ms step_avg:78.18ms
step:121/1770 train_time:9467ms step_avg:78.24ms
step:122/1770 train_time:9542ms step_avg:78.21ms
step:123/1770 train_time:9619ms step_avg:78.20ms
step:124/1770 train_time:9695ms step_avg:78.18ms
step:125/1770 train_time:9779ms step_avg:78.23ms
step:126/1770 train_time:9867ms step_avg:78.31ms
step:127/1770 train_time:9948ms step_avg:78.33ms
step:128/1770 train_time:10027ms step_avg:78.34ms
step:129/1770 train_time:10104ms step_avg:78.32ms
step:130/1770 train_time:10187ms step_avg:78.36ms
step:131/1770 train_time:10268ms step_avg:78.38ms
step:132/1770 train_time:10348ms step_avg:78.40ms
step:133/1770 train_time:10422ms step_avg:78.36ms
step:134/1770 train_time:10509ms step_avg:78.42ms
step:135/1770 train_time:10582ms step_avg:78.39ms
step:136/1770 train_time:10672ms step_avg:78.47ms
step:137/1770 train_time:10743ms step_avg:78.41ms
step:138/1770 train_time:10824ms step_avg:78.44ms
step:139/1770 train_time:10906ms step_avg:78.46ms
step:140/1770 train_time:10975ms step_avg:78.39ms
step:141/1770 train_time:11053ms step_avg:78.39ms
step:142/1770 train_time:11139ms step_avg:78.45ms
step:143/1770 train_time:11213ms step_avg:78.41ms
step:144/1770 train_time:11293ms step_avg:78.42ms
step:145/1770 train_time:11369ms step_avg:78.41ms
step:146/1770 train_time:11456ms step_avg:78.47ms
step:147/1770 train_time:11535ms step_avg:78.47ms
step:148/1770 train_time:11609ms step_avg:78.44ms
step:149/1770 train_time:11683ms step_avg:78.41ms
step:150/1770 train_time:11765ms step_avg:78.43ms
step:150/1770 val_loss:7.5973 train_time:11766ms step_avg:78.44ms
step:151/1770 train_time:11847ms step_avg:78.46ms
step:152/1770 train_time:11927ms step_avg:78.46ms
step:153/1770 train_time:12009ms step_avg:78.49ms
step:154/1770 train_time:12082ms step_avg:78.45ms
step:155/1770 train_time:12157ms step_avg:78.43ms
step:156/1770 train_time:12237ms step_avg:78.44ms
step:157/1770 train_time:12316ms step_avg:78.44ms
step:158/1770 train_time:12390ms step_avg:78.42ms
step:159/1770 train_time:12465ms step_avg:78.39ms
step:160/1770 train_time:12547ms step_avg:78.42ms
step:161/1770 train_time:12628ms step_avg:78.43ms
step:162/1770 train_time:12699ms step_avg:78.39ms
step:163/1770 train_time:12773ms step_avg:78.36ms
step:164/1770 train_time:12854ms step_avg:78.38ms
step:165/1770 train_time:12931ms step_avg:78.37ms
step:166/1770 train_time:13000ms step_avg:78.31ms
step:167/1770 train_time:13080ms step_avg:78.32ms
step:168/1770 train_time:13161ms step_avg:78.34ms
step:169/1770 train_time:13231ms step_avg:78.29ms
step:170/1770 train_time:13301ms step_avg:78.24ms
step:171/1770 train_time:13383ms step_avg:78.26ms
step:172/1770 train_time:13463ms step_avg:78.27ms
step:173/1770 train_time:13536ms step_avg:78.24ms
step:174/1770 train_time:13608ms step_avg:78.21ms
step:175/1770 train_time:13688ms step_avg:78.22ms
step:176/1770 train_time:13764ms step_avg:78.21ms
step:177/1770 train_time:13840ms step_avg:78.19ms
step:178/1770 train_time:13922ms step_avg:78.21ms
step:179/1770 train_time:13999ms step_avg:78.21ms
step:180/1770 train_time:14075ms step_avg:78.20ms
step:181/1770 train_time:14148ms step_avg:78.17ms
step:182/1770 train_time:14226ms step_avg:78.16ms
step:183/1770 train_time:14305ms step_avg:78.17ms
step:184/1770 train_time:14377ms step_avg:78.14ms
step:185/1770 train_time:14449ms step_avg:78.10ms
step:186/1770 train_time:14528ms step_avg:78.11ms
step:187/1770 train_time:14608ms step_avg:78.12ms
step:188/1770 train_time:14681ms step_avg:78.09ms
step:189/1770 train_time:14757ms step_avg:78.08ms
step:190/1770 train_time:14839ms step_avg:78.10ms
step:191/1770 train_time:14922ms step_avg:78.12ms
step:192/1770 train_time:14997ms step_avg:78.11ms
step:193/1770 train_time:15073ms step_avg:78.10ms
step:194/1770 train_time:15160ms step_avg:78.14ms
step:195/1770 train_time:15236ms step_avg:78.13ms
step:196/1770 train_time:15310ms step_avg:78.11ms
step:197/1770 train_time:15385ms step_avg:78.10ms
step:198/1770 train_time:15471ms step_avg:78.14ms
step:199/1770 train_time:15546ms step_avg:78.12ms
step:200/1770 train_time:15619ms step_avg:78.10ms
step:200/1770 val_loss:8.1393 train_time:15620ms step_avg:78.10ms
step:201/1770 train_time:15698ms step_avg:78.10ms
step:202/1770 train_time:15779ms step_avg:78.11ms
step:203/1770 train_time:15862ms step_avg:78.14ms
step:204/1770 train_time:15929ms step_avg:78.08ms
step:205/1770 train_time:16002ms step_avg:78.06ms
step:206/1770 train_time:16086ms step_avg:78.09ms
step:207/1770 train_time:16170ms step_avg:78.12ms
step:208/1770 train_time:16239ms step_avg:78.07ms
step:209/1770 train_time:16313ms step_avg:78.05ms
step:210/1770 train_time:16388ms step_avg:78.04ms
step:211/1770 train_time:16458ms step_avg:78.00ms
step:212/1770 train_time:16529ms step_avg:77.97ms
step:213/1770 train_time:16609ms step_avg:77.97ms
step:214/1770 train_time:16688ms step_avg:77.98ms
step:215/1770 train_time:16761ms step_avg:77.96ms
step:216/1770 train_time:16833ms step_avg:77.93ms
step:217/1770 train_time:16914ms step_avg:77.95ms
step:218/1770 train_time:16989ms step_avg:77.93ms
step:219/1770 train_time:17066ms step_avg:77.92ms
step:220/1770 train_time:17145ms step_avg:77.93ms
step:221/1770 train_time:17226ms step_avg:77.94ms
step:222/1770 train_time:17304ms step_avg:77.94ms
step:223/1770 train_time:17373ms step_avg:77.91ms
step:224/1770 train_time:17450ms step_avg:77.90ms
step:225/1770 train_time:17532ms step_avg:77.92ms
step:226/1770 train_time:17607ms step_avg:77.91ms
step:227/1770 train_time:17678ms step_avg:77.88ms
