logs/f09eef37-d8ef-4b88-9c74-d943f0726707.txt
begin training
  2%|█▋                                                                                                   | 29/1771 [00:36<03:09,  9.22it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:1.28ms
step:1/1770 train_time:204ms step_avg:204.20ms
step:2/1770 train_time:283ms step_avg:141.46ms
step:3/1770 train_time:367ms step_avg:122.18ms
step:4/1770 train_time:431ms step_avg:107.82ms
step:5/1770 train_time:505ms step_avg:100.91ms
step:6/1770 train_time:578ms step_avg:96.38ms
step:7/1770 train_time:652ms step_avg:93.10ms
step:8/1770 train_time:717ms step_avg:89.64ms
step:9/1770 train_time:798ms step_avg:88.61ms
step:10/1770 train_time:863ms step_avg:86.27ms
step:11/1770 train_time:936ms step_avg:85.09ms
step:12/1770 train_time:1009ms step_avg:84.11ms
step:13/1770 train_time:1083ms step_avg:83.29ms
step:14/1770 train_time:1149ms step_avg:82.10ms
step:15/1770 train_time:1227ms step_avg:81.79ms
step:16/1770 train_time:1298ms step_avg:81.14ms
step:17/1770 train_time:1373ms step_avg:80.75ms
step:18/1770 train_time:1443ms step_avg:80.19ms
step:19/1770 train_time:1524ms step_avg:80.22ms
step:20/1770 train_time:1589ms step_avg:79.46ms
step:21/1770 train_time:1661ms step_avg:79.07ms
step:22/1770 train_time:1735ms step_avg:78.86ms
step:23/1770 train_time:1804ms step_avg:78.44ms
step:24/1770 train_time:1877ms step_avg:78.19ms
step:25/1770 train_time:1954ms step_avg:78.16ms
step:26/1770 train_time:2034ms step_avg:78.24ms
step:27/1770 train_time:2101ms step_avg:77.81ms
step:28/1770 train_time:2181ms step_avg:77.89ms
step:29/1770 train_time:2252ms step_avg:77.64ms
step:30/1770 train_time:2319ms step_avg:77.32ms
step:31/1770 train_time:2396ms step_avg:77.30ms
step:32/1770 train_time:2472ms step_avg:77.24ms
step:33/1770 train_time:2545ms step_avg:77.13ms
step:34/1770 train_time:2613ms step_avg:76.86ms
step:35/1770 train_time:2693ms step_avg:76.95ms
step:36/1770 train_time:2759ms step_avg:76.63ms
step:37/1770 train_time:2833ms step_avg:76.55ms
step:38/1770 train_time:2908ms step_avg:76.53ms
step:39/1770 train_time:2987ms step_avg:76.59ms
step:40/1770 train_time:3061ms step_avg:76.53ms
step:41/1770 train_time:3131ms step_avg:76.37ms
step:42/1770 train_time:3215ms step_avg:76.54ms
step:43/1770 train_time:3280ms step_avg:76.28ms
step:44/1770 train_time:3350ms step_avg:76.15ms
step:45/1770 train_time:3430ms step_avg:76.23ms
step:46/1770 train_time:3501ms step_avg:76.10ms
step:47/1770 train_time:3581ms step_avg:76.20ms
step:48/1770 train_time:3652ms step_avg:76.08ms
step:49/1770 train_time:3733ms step_avg:76.18ms
step:50/1770 train_time:3798ms step_avg:75.96ms
step:50/1770 val_loss:8.6458 train_time:3798ms step_avg:75.96ms
step:51/1770 train_time:3882ms step_avg:76.11ms
step:52/1770 train_time:3963ms step_avg:76.20ms
step:53/1770 train_time:4038ms step_avg:76.19ms
step:54/1770 train_time:4113ms step_avg:76.17ms
step:55/1770 train_time:4192ms step_avg:76.23ms
step:56/1770 train_time:4268ms step_avg:76.21ms
step:57/1770 train_time:4342ms step_avg:76.17ms
step:58/1770 train_time:4417ms step_avg:76.15ms
step:59/1770 train_time:4498ms step_avg:76.23ms
step:60/1770 train_time:4570ms step_avg:76.17ms
step:61/1770 train_time:4644ms step_avg:76.13ms
step:62/1770 train_time:4720ms step_avg:76.13ms
step:63/1770 train_time:4801ms step_avg:76.21ms
step:64/1770 train_time:4876ms step_avg:76.19ms
step:65/1770 train_time:4943ms step_avg:76.04ms
step:66/1770 train_time:5022ms step_avg:76.09ms
step:67/1770 train_time:5093ms step_avg:76.02ms
step:68/1770 train_time:5167ms step_avg:75.98ms
step:69/1770 train_time:5242ms step_avg:75.98ms
step:70/1770 train_time:5322ms step_avg:76.03ms
step:71/1770 train_time:5399ms step_avg:76.04ms
