logs/a24b4bf7-af55-4461-b5b2-367d3d0866cd.txt
begin training
  2%|█▉                                                                                                                   | 29/1771 [00:37<03:13,  8.99it/s]
step:0/1770 val_loss:10.8261 train_time:1ms step_avg:0.89ms
step:1/1770 train_time:1019ms step_avg:1018.54ms
step:2/1770 train_time:1099ms step_avg:549.38ms
step:3/1770 train_time:1165ms step_avg:388.18ms
step:4/1770 train_time:1239ms step_avg:309.75ms
step:5/1770 train_time:1311ms step_avg:262.18ms
step:6/1770 train_time:1382ms step_avg:230.36ms
step:7/1770 train_time:1455ms step_avg:207.80ms
step:8/1770 train_time:1529ms step_avg:191.13ms
step:9/1770 train_time:1605ms step_avg:178.29ms
step:10/1770 train_time:1678ms step_avg:167.78ms
step:11/1770 train_time:1758ms step_avg:159.81ms
step:12/1770 train_time:1838ms step_avg:153.20ms
step:13/1770 train_time:1917ms step_avg:147.49ms
step:14/1770 train_time:1991ms step_avg:142.22ms
step:15/1770 train_time:2067ms step_avg:137.82ms
step:16/1770 train_time:2146ms step_avg:134.15ms
step:17/1770 train_time:2220ms step_avg:130.56ms
step:18/1770 train_time:2296ms step_avg:127.55ms
step:19/1770 train_time:2376ms step_avg:125.04ms
step:20/1770 train_time:2454ms step_avg:122.70ms
step:21/1770 train_time:2528ms step_avg:120.36ms
step:22/1770 train_time:2603ms step_avg:118.33ms
step:23/1770 train_time:2682ms step_avg:116.59ms
step:24/1770 train_time:2759ms step_avg:114.94ms
step:25/1770 train_time:2830ms step_avg:113.22ms
step:26/1770 train_time:2907ms step_avg:111.81ms
step:27/1770 train_time:2990ms step_avg:110.74ms
step:28/1770 train_time:3062ms step_avg:109.34ms
step:29/1770 train_time:3132ms step_avg:108.00ms
step:30/1770 train_time:3210ms step_avg:106.99ms
step:31/1770 train_time:3290ms step_avg:106.13ms
step:32/1770 train_time:3379ms step_avg:105.59ms
step:33/1770 train_time:3465ms step_avg:105.01ms
step:34/1770 train_time:3556ms step_avg:104.60ms
step:35/1770 train_time:3654ms step_avg:104.39ms
step:36/1770 train_time:3748ms step_avg:104.10ms
step:37/1770 train_time:3838ms step_avg:103.73ms
step:38/1770 train_time:3932ms step_avg:103.48ms
step:39/1770 train_time:4026ms step_avg:103.22ms
step:40/1770 train_time:4106ms step_avg:102.65ms
step:41/1770 train_time:4194ms step_avg:102.29ms
step:42/1770 train_time:4288ms step_avg:102.10ms
step:43/1770 train_time:4384ms step_avg:101.96ms
step:44/1770 train_time:4472ms step_avg:101.63ms
step:45/1770 train_time:4563ms step_avg:101.40ms
step:46/1770 train_time:4656ms step_avg:101.22ms
step:47/1770 train_time:4737ms step_avg:100.80ms
step:48/1770 train_time:4829ms step_avg:100.60ms
step:49/1770 train_time:4920ms step_avg:100.41ms
step:50/1770 train_time:5009ms step_avg:100.18ms
step:50/1770 val_loss:8.4240 train_time:5010ms step_avg:100.19ms
step:51/1770 train_time:5089ms step_avg:99.78ms
step:52/1770 train_time:5162ms step_avg:99.27ms
step:53/1770 train_time:5239ms step_avg:98.85ms
step:54/1770 train_time:5311ms step_avg:98.36ms
step:55/1770 train_time:5392ms step_avg:98.04ms
step:56/1770 train_time:5469ms step_avg:97.66ms
step:57/1770 train_time:5535ms step_avg:97.10ms
step:58/1770 train_time:5607ms step_avg:96.66ms
step:59/1770 train_time:5689ms step_avg:96.43ms
step:60/1770 train_time:5774ms step_avg:96.24ms
step:61/1770 train_time:5846ms step_avg:95.83ms
step:62/1770 train_time:5922ms step_avg:95.52ms
step:63/1770 train_time:5998ms step_avg:95.21ms
step:64/1770 train_time:6078ms step_avg:94.97ms
step:65/1770 train_time:6150ms step_avg:94.62ms
step:66/1770 train_time:6227ms step_avg:94.35ms
step:67/1770 train_time:6316ms step_avg:94.27ms
step:68/1770 train_time:6385ms step_avg:93.90ms
step:69/1770 train_time:6469ms step_avg:93.75ms
step:70/1770 train_time:6536ms step_avg:93.38ms
step:71/1770 train_time:6622ms step_avg:93.26ms
step:72/1770 train_time:6706ms step_avg:93.14ms
step:73/1770 train_time:6781ms step_avg:92.89ms
step:74/1770 train_time:6854ms step_avg:92.63ms
step:75/1770 train_time:6934ms step_avg:92.46ms
step:76/1770 train_time:7012ms step_avg:92.26ms
step:77/1770 train_time:7084ms step_avg:92.00ms
step:78/1770 train_time:7157ms step_avg:91.76ms
step:79/1770 train_time:7236ms step_avg:91.59ms
step:80/1770 train_time:7308ms step_avg:91.36ms
step:81/1770 train_time:7381ms step_avg:91.12ms
step:82/1770 train_time:7464ms step_avg:91.03ms
step:83/1770 train_time:7541ms step_avg:90.85ms
step:84/1770 train_time:7606ms step_avg:90.54ms
step:85/1770 train_time:7684ms step_avg:90.40ms
step:86/1770 train_time:7764ms step_avg:90.28ms
step:87/1770 train_time:7832ms step_avg:90.02ms
step:88/1770 train_time:7904ms step_avg:89.82ms
step:89/1770 train_time:7976ms step_avg:89.62ms
step:90/1770 train_time:8047ms step_avg:89.42ms
step:91/1770 train_time:8112ms step_avg:89.14ms
step:92/1770 train_time:8191ms step_avg:89.03ms
step:93/1770 train_time:8268ms step_avg:88.90ms
step:94/1770 train_time:8340ms step_avg:88.72ms
step:95/1770 train_time:8417ms step_avg:88.60ms
step:96/1770 train_time:8498ms step_avg:88.52ms
step:97/1770 train_time:8561ms step_avg:88.26ms
step:98/1770 train_time:8635ms step_avg:88.11ms
step:99/1770 train_time:8716ms step_avg:88.04ms
step:100/1770 train_time:8792ms step_avg:87.92ms
step:100/1770 val_loss:7.8414 train_time:8793ms step_avg:87.93ms
step:101/1770 train_time:8876ms step_avg:87.88ms
step:102/1770 train_time:8951ms step_avg:87.75ms
step:103/1770 train_time:9021ms step_avg:87.58ms
step:104/1770 train_time:9098ms step_avg:87.48ms
step:105/1770 train_time:9175ms step_avg:87.38ms
step:106/1770 train_time:9241ms step_avg:87.18ms
step:107/1770 train_time:9319ms step_avg:87.10ms
step:108/1770 train_time:9398ms step_avg:87.02ms
step:109/1770 train_time:9465ms step_avg:86.84ms
step:110/1770 train_time:9541ms step_avg:86.74ms
step:111/1770 train_time:9619ms step_avg:86.66ms
step:112/1770 train_time:9693ms step_avg:86.55ms
step:113/1770 train_time:9762ms step_avg:86.39ms
step:114/1770 train_time:9843ms step_avg:86.34ms
step:115/1770 train_time:9919ms step_avg:86.25ms
step:116/1770 train_time:9994ms step_avg:86.16ms
step:117/1770 train_time:10064ms step_avg:86.01ms
step:118/1770 train_time:10145ms step_avg:85.97ms
step:119/1770 train_time:10209ms step_avg:85.79ms
step:120/1770 train_time:10277ms step_avg:85.64ms
step:121/1770 train_time:10358ms step_avg:85.60ms
step:122/1770 train_time:10423ms step_avg:85.44ms
step:123/1770 train_time:10497ms step_avg:85.34ms
step:124/1770 train_time:10572ms step_avg:85.26ms
step:125/1770 train_time:10647ms step_avg:85.17ms
step:126/1770 train_time:10713ms step_avg:85.02ms
step:127/1770 train_time:10791ms step_avg:84.97ms
step:128/1770 train_time:10866ms step_avg:84.89ms
step:129/1770 train_time:10937ms step_avg:84.78ms
step:130/1770 train_time:11012ms step_avg:84.71ms
step:131/1770 train_time:11094ms step_avg:84.69ms
step:132/1770 train_time:11171ms step_avg:84.63ms
step:133/1770 train_time:11242ms step_avg:84.53ms
step:134/1770 train_time:11312ms step_avg:84.42ms
step:135/1770 train_time:11390ms step_avg:84.37ms
step:136/1770 train_time:11455ms step_avg:84.23ms
step:137/1770 train_time:11530ms step_avg:84.16ms
step:138/1770 train_time:11609ms step_avg:84.12ms
step:139/1770 train_time:11681ms step_avg:84.04ms
step:140/1770 train_time:11746ms step_avg:83.90ms
step:141/1770 train_time:11827ms step_avg:83.88ms
step:142/1770 train_time:11890ms step_avg:83.73ms
step:143/1770 train_time:11958ms step_avg:83.62ms
step:144/1770 train_time:12032ms step_avg:83.56ms
step:145/1770 train_time:12105ms step_avg:83.48ms
step:146/1770 train_time:12169ms step_avg:83.35ms
step:147/1770 train_time:12250ms step_avg:83.33ms
step:148/1770 train_time:12315ms step_avg:83.21ms
step:149/1770 train_time:12386ms step_avg:83.12ms
step:150/1770 train_time:12458ms step_avg:83.05ms
step:150/1770 val_loss:7.5744 train_time:12458ms step_avg:83.05ms
step:151/1770 train_time:12540ms step_avg:83.04ms
step:152/1770 train_time:12605ms step_avg:82.93ms
step:153/1770 train_time:12682ms step_avg:82.89ms
step:154/1770 train_time:12754ms step_avg:82.82ms
step:155/1770 train_time:12826ms step_avg:82.75ms
