logs/40fe776b-a70b-4ec3-8b4e-320f6f63dd01.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:53<16:19,  1.78it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.16ms
step:1/1770 train_time:1730ms step_avg:1729.87ms
step:2/1770 train_time:2185ms step_avg:1092.73ms
step:3/1770 train_time:2715ms step_avg:904.87ms
step:4/1770 train_time:3267ms step_avg:816.65ms
step:5/1770 train_time:3824ms step_avg:764.75ms
step:6/1770 train_time:4377ms step_avg:729.50ms
step:7/1770 train_time:4937ms step_avg:705.23ms
step:8/1770 train_time:5497ms step_avg:687.16ms
step:9/1770 train_time:6055ms step_avg:672.78ms
step:10/1770 train_time:6614ms step_avg:661.44ms
step:11/1770 train_time:7171ms step_avg:651.91ms
step:12/1770 train_time:7722ms step_avg:643.49ms
step:13/1770 train_time:8278ms step_avg:636.74ms
step:14/1770 train_time:8833ms step_avg:630.93ms
step:15/1770 train_time:9392ms step_avg:626.16ms
step:16/1770 train_time:9951ms step_avg:621.92ms
step:17/1770 train_time:10505ms step_avg:617.94ms
step:18/1770 train_time:11069ms step_avg:614.96ms
step:19/1770 train_time:11627ms step_avg:611.93ms
step:20/1770 train_time:12193ms step_avg:609.66ms
step:21/1770 train_time:12745ms step_avg:606.88ms
step:22/1770 train_time:13303ms step_avg:604.67ms
step:23/1770 train_time:13867ms step_avg:602.92ms
step:24/1770 train_time:14428ms step_avg:601.19ms
step:25/1770 train_time:14986ms step_avg:599.42ms
step:26/1770 train_time:15543ms step_avg:597.80ms
step:27/1770 train_time:16105ms step_avg:596.47ms
step:28/1770 train_time:16670ms step_avg:595.37ms
step:29/1770 train_time:17228ms step_avg:594.07ms
step:30/1770 train_time:17794ms step_avg:593.13ms
step:31/1770 train_time:18358ms step_avg:592.20ms
step:32/1770 train_time:18925ms step_avg:591.40ms
step:33/1770 train_time:19494ms step_avg:590.71ms
step:34/1770 train_time:20043ms step_avg:589.51ms
step:35/1770 train_time:20610ms step_avg:588.86ms
step:36/1770 train_time:21173ms step_avg:588.14ms
step:37/1770 train_time:21738ms step_avg:587.53ms
step:38/1770 train_time:22296ms step_avg:586.74ms
step:39/1770 train_time:22858ms step_avg:586.11ms
step:40/1770 train_time:23418ms step_avg:585.46ms
step:41/1770 train_time:23974ms step_avg:584.73ms
step:42/1770 train_time:24542ms step_avg:584.32ms
step:43/1770 train_time:25107ms step_avg:583.88ms
step:44/1770 train_time:25673ms step_avg:583.47ms
step:45/1770 train_time:26240ms step_avg:583.11ms
step:46/1770 train_time:26796ms step_avg:582.52ms
step:47/1770 train_time:27366ms step_avg:582.26ms
step:48/1770 train_time:27933ms step_avg:581.93ms
step:49/1770 train_time:28497ms step_avg:581.57ms
step:50/1770 train_time:29065ms step_avg:581.29ms
step:51/1770 train_time:29631ms step_avg:581.00ms
step:52/1770 train_time:30199ms step_avg:580.74ms
step:53/1770 train_time:30767ms step_avg:580.51ms
step:54/1770 train_time:31333ms step_avg:580.23ms
step:55/1770 train_time:31901ms step_avg:580.02ms
step:56/1770 train_time:32465ms step_avg:579.73ms
step:57/1770 train_time:33039ms step_avg:579.64ms
step:58/1770 train_time:33606ms step_avg:579.42ms
step:59/1770 train_time:34174ms step_avg:579.22ms
step:60/1770 train_time:34752ms step_avg:579.20ms
step:61/1770 train_time:35319ms step_avg:579.00ms
step:62/1770 train_time:35894ms step_avg:578.93ms
step:63/1770 train_time:36463ms step_avg:578.77ms
step:64/1770 train_time:37031ms step_avg:578.61ms
step:65/1770 train_time:37598ms step_avg:578.43ms
step:66/1770 train_time:38164ms step_avg:578.25ms
step:67/1770 train_time:38738ms step_avg:578.18ms
step:68/1770 train_time:39306ms step_avg:578.03ms
step:69/1770 train_time:39877ms step_avg:577.93ms
step:70/1770 train_time:40449ms step_avg:577.85ms
step:71/1770 train_time:41017ms step_avg:577.70ms
step:72/1770 train_time:41595ms step_avg:577.71ms
step:73/1770 train_time:42166ms step_avg:577.62ms
step:74/1770 train_time:42737ms step_avg:577.53ms
step:75/1770 train_time:43310ms step_avg:577.47ms
step:76/1770 train_time:43876ms step_avg:577.32ms
step:77/1770 train_time:44450ms step_avg:577.27ms
step:78/1770 train_time:45027ms step_avg:577.27ms
step:79/1770 train_time:45599ms step_avg:577.20ms
step:80/1770 train_time:46175ms step_avg:577.19ms
step:81/1770 train_time:46743ms step_avg:577.08ms
step:82/1770 train_time:47316ms step_avg:577.02ms
step:83/1770 train_time:47882ms step_avg:576.89ms
step:84/1770 train_time:48457ms step_avg:576.86ms
step:85/1770 train_time:49030ms step_avg:576.83ms
step:86/1770 train_time:49607ms step_avg:576.82ms
step:87/1770 train_time:50185ms step_avg:576.84ms
step:88/1770 train_time:50755ms step_avg:576.76ms
step:89/1770 train_time:51335ms step_avg:576.79ms
step:90/1770 train_time:51909ms step_avg:576.76ms
step:91/1770 train_time:52481ms step_avg:576.71ms
step:92/1770 train_time:53052ms step_avg:576.65ms
step:93/1770 train_time:53624ms step_avg:576.60ms
step:94/1770 train_time:54199ms step_avg:576.58ms
step:95/1770 train_time:54768ms step_avg:576.50ms
step:96/1770 train_time:55344ms step_avg:576.50ms
step:97/1770 train_time:55919ms step_avg:576.49ms
step:98/1770 train_time:56489ms step_avg:576.42ms
step:99/1770 train_time:57067ms step_avg:576.44ms
step:100/1770 train_time:57642ms step_avg:576.42ms
step:101/1770 train_time:58223ms step_avg:576.47ms
step:102/1770 train_time:58791ms step_avg:576.38ms
step:103/1770 train_time:59368ms step_avg:576.38ms
step:104/1770 train_time:59949ms step_avg:576.43ms
step:105/1770 train_time:60523ms step_avg:576.41ms
step:106/1770 train_time:61103ms step_avg:576.44ms
step:107/1770 train_time:61680ms step_avg:576.45ms
step:108/1770 train_time:62261ms step_avg:576.49ms
step:109/1770 train_time:62838ms step_avg:576.49ms
step:110/1770 train_time:63404ms step_avg:576.40ms
step:111/1770 train_time:63988ms step_avg:576.47ms
step:112/1770 train_time:64571ms step_avg:576.52ms
step:113/1770 train_time:65147ms step_avg:576.52ms
step:114/1770 train_time:65729ms step_avg:576.57ms
step:115/1770 train_time:66304ms step_avg:576.56ms
step:116/1770 train_time:66895ms step_avg:576.68ms
step:117/1770 train_time:67466ms step_avg:576.63ms
step:118/1770 train_time:68048ms step_avg:576.67ms
step:119/1770 train_time:68630ms step_avg:576.72ms
step:120/1770 train_time:69206ms step_avg:576.72ms
step:121/1770 train_time:69782ms step_avg:576.71ms
step:122/1770 train_time:70358ms step_avg:576.70ms
step:123/1770 train_time:70942ms step_avg:576.76ms
step:124/1770 train_time:71521ms step_avg:576.79ms
step:125/1770 train_time:72092ms step_avg:576.74ms
step:125/1770 val_loss:4.9119 train_time:72306ms step_avg:578.45ms
step:126/1770 train_time:72686ms step_avg:576.87ms
step:127/1770 train_time:73245ms step_avg:576.73ms
step:128/1770 train_time:73822ms step_avg:576.74ms
step:129/1770 train_time:74395ms step_avg:576.70ms
step:130/1770 train_time:74968ms step_avg:576.68ms
step:131/1770 train_time:75545ms step_avg:576.68ms
step:132/1770 train_time:76113ms step_avg:576.61ms
step:133/1770 train_time:76690ms step_avg:576.62ms
step:134/1770 train_time:77270ms step_avg:576.64ms
step:135/1770 train_time:77851ms step_avg:576.67ms
step:136/1770 train_time:78430ms step_avg:576.69ms
step:137/1770 train_time:79012ms step_avg:576.73ms
step:138/1770 train_time:79596ms step_avg:576.78ms
step:139/1770 train_time:80179ms step_avg:576.83ms
step:140/1770 train_time:80759ms step_avg:576.85ms
step:141/1770 train_time:81348ms step_avg:576.93ms
step:142/1770 train_time:81931ms step_avg:576.98ms
step:143/1770 train_time:82511ms step_avg:577.00ms
step:144/1770 train_time:83093ms step_avg:577.04ms
step:145/1770 train_time:83662ms step_avg:576.98ms
step:146/1770 train_time:84250ms step_avg:577.06ms
step:147/1770 train_time:84840ms step_avg:577.14ms
step:148/1770 train_time:85424ms step_avg:577.19ms
step:149/1770 train_time:86006ms step_avg:577.22ms
step:150/1770 train_time:86588ms step_avg:577.25ms
step:151/1770 train_time:87172ms step_avg:577.30ms
step:152/1770 train_time:87755ms step_avg:577.34ms
step:153/1770 train_time:88341ms step_avg:577.39ms
step:154/1770 train_time:88917ms step_avg:577.38ms
step:155/1770 train_time:89496ms step_avg:577.40ms
step:156/1770 train_time:90091ms step_avg:577.50ms
step:157/1770 train_time:90670ms step_avg:577.52ms
step:158/1770 train_time:91259ms step_avg:577.59ms
step:159/1770 train_time:91847ms step_avg:577.66ms
step:160/1770 train_time:92427ms step_avg:577.67ms
step:161/1770 train_time:93015ms step_avg:577.73ms
step:162/1770 train_time:93600ms step_avg:577.78ms
step:163/1770 train_time:94178ms step_avg:577.78ms
step:164/1770 train_time:94766ms step_avg:577.84ms
step:165/1770 train_time:95351ms step_avg:577.88ms
step:166/1770 train_time:95936ms step_avg:577.92ms
step:167/1770 train_time:96520ms step_avg:577.96ms
step:168/1770 train_time:97108ms step_avg:578.02ms
step:169/1770 train_time:97690ms step_avg:578.05ms
step:170/1770 train_time:98281ms step_avg:578.12ms
step:171/1770 train_time:98867ms step_avg:578.17ms
step:172/1770 train_time:99450ms step_avg:578.20ms
step:173/1770 train_time:100042ms step_avg:578.28ms
step:174/1770 train_time:100622ms step_avg:578.29ms
step:175/1770 train_time:101217ms step_avg:578.38ms
step:176/1770 train_time:101801ms step_avg:578.41ms
step:177/1770 train_time:102384ms step_avg:578.44ms
step:178/1770 train_time:102979ms step_avg:578.54ms
step:179/1770 train_time:103558ms step_avg:578.54ms
step:180/1770 train_time:104150ms step_avg:578.61ms
step:181/1770 train_time:104739ms step_avg:578.67ms
step:182/1770 train_time:105318ms step_avg:578.67ms
step:183/1770 train_time:105915ms step_avg:578.77ms
step:184/1770 train_time:106489ms step_avg:578.74ms
step:185/1770 train_time:107074ms step_avg:578.78ms
step:186/1770 train_time:107667ms step_avg:578.86ms
step:187/1770 train_time:108250ms step_avg:578.88ms
step:188/1770 train_time:108840ms step_avg:578.94ms
step:189/1770 train_time:109424ms step_avg:578.96ms
step:190/1770 train_time:110010ms step_avg:579.00ms
step:191/1770 train_time:110602ms step_avg:579.07ms
step:192/1770 train_time:111194ms step_avg:579.13ms
step:193/1770 train_time:111788ms step_avg:579.21ms
step:194/1770 train_time:112369ms step_avg:579.22ms
step:195/1770 train_time:112966ms step_avg:579.31ms
step:196/1770 train_time:113556ms step_avg:579.37ms
step:197/1770 train_time:114146ms step_avg:579.42ms
step:198/1770 train_time:114741ms step_avg:579.50ms
step:199/1770 train_time:115330ms step_avg:579.55ms
step:200/1770 train_time:115919ms step_avg:579.59ms
step:201/1770 train_time:116505ms step_avg:579.63ms
step:202/1770 train_time:117101ms step_avg:579.71ms
step:203/1770 train_time:117692ms step_avg:579.77ms
step:204/1770 train_time:118279ms step_avg:579.80ms
step:205/1770 train_time:118875ms step_avg:579.88ms
step:206/1770 train_time:119462ms step_avg:579.91ms
step:207/1770 train_time:120057ms step_avg:579.99ms
step:208/1770 train_time:120644ms step_avg:580.02ms
step:209/1770 train_time:121234ms step_avg:580.07ms
step:210/1770 train_time:121826ms step_avg:580.12ms
step:211/1770 train_time:122415ms step_avg:580.16ms
step:212/1770 train_time:123009ms step_avg:580.23ms
step:213/1770 train_time:123595ms step_avg:580.26ms
step:214/1770 train_time:124184ms step_avg:580.30ms
step:215/1770 train_time:124779ms step_avg:580.37ms
step:216/1770 train_time:125373ms step_avg:580.43ms
step:217/1770 train_time:125964ms step_avg:580.48ms
step:218/1770 train_time:126558ms step_avg:580.54ms
step:219/1770 train_time:127152ms step_avg:580.60ms
step:220/1770 train_time:127744ms step_avg:580.66ms
step:221/1770 train_time:128333ms step_avg:580.69ms
step:222/1770 train_time:128931ms step_avg:580.77ms
step:223/1770 train_time:129518ms step_avg:580.80ms
step:224/1770 train_time:130112ms step_avg:580.86ms
step:225/1770 train_time:130708ms step_avg:580.92ms
step:226/1770 train_time:131292ms step_avg:580.94ms
step:227/1770 train_time:131888ms step_avg:581.00ms
step:228/1770 train_time:132482ms step_avg:581.06ms
step:229/1770 train_time:133073ms step_avg:581.10ms
step:230/1770 train_time:133670ms step_avg:581.17ms
step:231/1770 train_time:134258ms step_avg:581.20ms
step:232/1770 train_time:134855ms step_avg:581.27ms
step:233/1770 train_time:135453ms step_avg:581.34ms
step:234/1770 train_time:136043ms step_avg:581.38ms
step:235/1770 train_time:136637ms step_avg:581.43ms
step:236/1770 train_time:137223ms step_avg:581.45ms
step:237/1770 train_time:137819ms step_avg:581.52ms
step:238/1770 train_time:138413ms step_avg:581.57ms
step:239/1770 train_time:138999ms step_avg:581.59ms
step:240/1770 train_time:139595ms step_avg:581.65ms
step:241/1770 train_time:140186ms step_avg:581.69ms
step:242/1770 train_time:140785ms step_avg:581.75ms
step:243/1770 train_time:141370ms step_avg:581.77ms
step:244/1770 train_time:141967ms step_avg:581.83ms
step:245/1770 train_time:142559ms step_avg:581.87ms
step:246/1770 train_time:143155ms step_avg:581.93ms
step:247/1770 train_time:143746ms step_avg:581.97ms
step:248/1770 train_time:144332ms step_avg:581.98ms
step:249/1770 train_time:144924ms step_avg:582.02ms
step:250/1770 train_time:145512ms step_avg:582.05ms
step:250/1770 val_loss:4.3309 train_time:145712ms step_avg:582.85ms
step:251/1770 train_time:146097ms step_avg:582.06ms
step:252/1770 train_time:146694ms step_avg:582.12ms
step:253/1770 train_time:147272ms step_avg:582.10ms
step:254/1770 train_time:147861ms step_avg:582.13ms
step:255/1770 train_time:148449ms step_avg:582.15ms
step:256/1770 train_time:149041ms step_avg:582.19ms
step:257/1770 train_time:149635ms step_avg:582.24ms
step:258/1770 train_time:150222ms step_avg:582.26ms
step:259/1770 train_time:150815ms step_avg:582.30ms
step:260/1770 train_time:151399ms step_avg:582.30ms
step:261/1770 train_time:151996ms step_avg:582.36ms
step:262/1770 train_time:152585ms step_avg:582.39ms
step:263/1770 train_time:153173ms step_avg:582.41ms
step:264/1770 train_time:153765ms step_avg:582.44ms
step:265/1770 train_time:154356ms step_avg:582.48ms
step:266/1770 train_time:154946ms step_avg:582.50ms
step:267/1770 train_time:155543ms step_avg:582.56ms
step:268/1770 train_time:156138ms step_avg:582.60ms
step:269/1770 train_time:156734ms step_avg:582.65ms
step:270/1770 train_time:157325ms step_avg:582.68ms
step:271/1770 train_time:157913ms step_avg:582.70ms
step:272/1770 train_time:158505ms step_avg:582.74ms
step:273/1770 train_time:159096ms step_avg:582.77ms
step:274/1770 train_time:159696ms step_avg:582.83ms
step:275/1770 train_time:160290ms step_avg:582.87ms
step:276/1770 train_time:160886ms step_avg:582.92ms
step:277/1770 train_time:161484ms step_avg:582.97ms
step:278/1770 train_time:162076ms step_avg:583.01ms
step:279/1770 train_time:162678ms step_avg:583.08ms
step:280/1770 train_time:163273ms step_avg:583.12ms
step:281/1770 train_time:163867ms step_avg:583.16ms
step:282/1770 train_time:164464ms step_avg:583.21ms
step:283/1770 train_time:165060ms step_avg:583.25ms
step:284/1770 train_time:165656ms step_avg:583.30ms
step:285/1770 train_time:166255ms step_avg:583.35ms
step:286/1770 train_time:166853ms step_avg:583.40ms
step:287/1770 train_time:167450ms step_avg:583.45ms
step:288/1770 train_time:168047ms step_avg:583.50ms
step:289/1770 train_time:168644ms step_avg:583.54ms
step:290/1770 train_time:169235ms step_avg:583.57ms
step:291/1770 train_time:169834ms step_avg:583.62ms
step:292/1770 train_time:170432ms step_avg:583.67ms
step:293/1770 train_time:171024ms step_avg:583.70ms
step:294/1770 train_time:171618ms step_avg:583.73ms
step:295/1770 train_time:172210ms step_avg:583.76ms
step:296/1770 train_time:172811ms step_avg:583.82ms
step:297/1770 train_time:173403ms step_avg:583.85ms
step:298/1770 train_time:173997ms step_avg:583.88ms
step:299/1770 train_time:174601ms step_avg:583.95ms
step:300/1770 train_time:175196ms step_avg:583.99ms
step:301/1770 train_time:175795ms step_avg:584.04ms
step:302/1770 train_time:176393ms step_avg:584.08ms
step:303/1770 train_time:176995ms step_avg:584.14ms
step:304/1770 train_time:177592ms step_avg:584.19ms
step:305/1770 train_time:178190ms step_avg:584.23ms
step:306/1770 train_time:178796ms step_avg:584.30ms
step:307/1770 train_time:179390ms step_avg:584.33ms
step:308/1770 train_time:179995ms step_avg:584.40ms
step:309/1770 train_time:180597ms step_avg:584.46ms
step:310/1770 train_time:181197ms step_avg:584.51ms
step:311/1770 train_time:181801ms step_avg:584.57ms
step:312/1770 train_time:182403ms step_avg:584.62ms
step:313/1770 train_time:183001ms step_avg:584.67ms
step:314/1770 train_time:183604ms step_avg:584.73ms
step:315/1770 train_time:184197ms step_avg:584.75ms
step:316/1770 train_time:184798ms step_avg:584.80ms
step:317/1770 train_time:185393ms step_avg:584.84ms
step:318/1770 train_time:185995ms step_avg:584.89ms
step:319/1770 train_time:186599ms step_avg:584.95ms
step:320/1770 train_time:187197ms step_avg:584.99ms
step:321/1770 train_time:187799ms step_avg:585.04ms
step:322/1770 train_time:188391ms step_avg:585.07ms
step:323/1770 train_time:188999ms step_avg:585.14ms
step:324/1770 train_time:189596ms step_avg:585.17ms
step:325/1770 train_time:190192ms step_avg:585.21ms
step:326/1770 train_time:190794ms step_avg:585.26ms
step:327/1770 train_time:191394ms step_avg:585.30ms
step:328/1770 train_time:191996ms step_avg:585.35ms
step:329/1770 train_time:192596ms step_avg:585.40ms
step:330/1770 train_time:193198ms step_avg:585.45ms
step:331/1770 train_time:193795ms step_avg:585.48ms
step:332/1770 train_time:194396ms step_avg:585.53ms
step:333/1770 train_time:194996ms step_avg:585.57ms
step:334/1770 train_time:195604ms step_avg:585.64ms
step:335/1770 train_time:196204ms step_avg:585.68ms
step:336/1770 train_time:196802ms step_avg:585.72ms
step:337/1770 train_time:197411ms step_avg:585.79ms
step:338/1770 train_time:198011ms step_avg:585.83ms
step:339/1770 train_time:198614ms step_avg:585.88ms
step:340/1770 train_time:199223ms step_avg:585.95ms
step:341/1770 train_time:199824ms step_avg:585.99ms
step:342/1770 train_time:200429ms step_avg:586.05ms
step:343/1770 train_time:201037ms step_avg:586.11ms
step:344/1770 train_time:201630ms step_avg:586.13ms
step:345/1770 train_time:202234ms step_avg:586.19ms
step:346/1770 train_time:202831ms step_avg:586.22ms
step:347/1770 train_time:203436ms step_avg:586.27ms
step:348/1770 train_time:204034ms step_avg:586.30ms
step:349/1770 train_time:204633ms step_avg:586.34ms
step:350/1770 train_time:205243ms step_avg:586.41ms
step:351/1770 train_time:205842ms step_avg:586.44ms
step:352/1770 train_time:206450ms step_avg:586.51ms
step:353/1770 train_time:207048ms step_avg:586.54ms
step:354/1770 train_time:207652ms step_avg:586.59ms
step:355/1770 train_time:208254ms step_avg:586.63ms
step:356/1770 train_time:208856ms step_avg:586.68ms
step:357/1770 train_time:209459ms step_avg:586.72ms
step:358/1770 train_time:210064ms step_avg:586.77ms
step:359/1770 train_time:210665ms step_avg:586.81ms
step:360/1770 train_time:211269ms step_avg:586.86ms
step:361/1770 train_time:211869ms step_avg:586.89ms
step:362/1770 train_time:212469ms step_avg:586.93ms
step:363/1770 train_time:213075ms step_avg:586.98ms
step:364/1770 train_time:213665ms step_avg:586.99ms
step:365/1770 train_time:214266ms step_avg:587.03ms
step:366/1770 train_time:214859ms step_avg:587.05ms
step:367/1770 train_time:215458ms step_avg:587.08ms
step:368/1770 train_time:216055ms step_avg:587.11ms
step:369/1770 train_time:216652ms step_avg:587.13ms
step:370/1770 train_time:217247ms step_avg:587.15ms
step:371/1770 train_time:217847ms step_avg:587.19ms
step:372/1770 train_time:218442ms step_avg:587.21ms
step:373/1770 train_time:219044ms step_avg:587.25ms
step:374/1770 train_time:219634ms step_avg:587.26ms
step:375/1770 train_time:220237ms step_avg:587.30ms
step:375/1770 val_loss:4.1078 train_time:220443ms step_avg:587.85ms
step:376/1770 train_time:220842ms step_avg:587.35ms
step:377/1770 train_time:221417ms step_avg:587.31ms
step:378/1770 train_time:222004ms step_avg:587.31ms
step:379/1770 train_time:222591ms step_avg:587.31ms
step:380/1770 train_time:223175ms step_avg:587.30ms
step:381/1770 train_time:223763ms step_avg:587.30ms
step:382/1770 train_time:224351ms step_avg:587.31ms
step:383/1770 train_time:224939ms step_avg:587.31ms
step:384/1770 train_time:225526ms step_avg:587.31ms
step:385/1770 train_time:226117ms step_avg:587.32ms
step:386/1770 train_time:226703ms step_avg:587.31ms
step:387/1770 train_time:227293ms step_avg:587.32ms
step:388/1770 train_time:227884ms step_avg:587.33ms
step:389/1770 train_time:228471ms step_avg:587.33ms
step:390/1770 train_time:229060ms step_avg:587.33ms
step:391/1770 train_time:229653ms step_avg:587.35ms
step:392/1770 train_time:230242ms step_avg:587.35ms
step:393/1770 train_time:230835ms step_avg:587.37ms
step:394/1770 train_time:231421ms step_avg:587.36ms
step:395/1770 train_time:232029ms step_avg:587.42ms
step:396/1770 train_time:232628ms step_avg:587.44ms
step:397/1770 train_time:233241ms step_avg:587.51ms
step:398/1770 train_time:233853ms step_avg:587.57ms
step:399/1770 train_time:234467ms step_avg:587.64ms
step:400/1770 train_time:235075ms step_avg:587.69ms
step:401/1770 train_time:235683ms step_avg:587.74ms
step:402/1770 train_time:236298ms step_avg:587.81ms
step:403/1770 train_time:236903ms step_avg:587.85ms
step:404/1770 train_time:237506ms step_avg:587.89ms
step:405/1770 train_time:238122ms step_avg:587.96ms
step:406/1770 train_time:238731ms step_avg:588.01ms
step:407/1770 train_time:239334ms step_avg:588.04ms
step:408/1770 train_time:239940ms step_avg:588.09ms
step:409/1770 train_time:240537ms step_avg:588.11ms
step:410/1770 train_time:241141ms step_avg:588.15ms
step:411/1770 train_time:241748ms step_avg:588.19ms
step:412/1770 train_time:242344ms step_avg:588.21ms
step:413/1770 train_time:242953ms step_avg:588.26ms
step:414/1770 train_time:243556ms step_avg:588.30ms
step:415/1770 train_time:244152ms step_avg:588.32ms
step:416/1770 train_time:244760ms step_avg:588.36ms
step:417/1770 train_time:245363ms step_avg:588.40ms
step:418/1770 train_time:245971ms step_avg:588.45ms
step:419/1770 train_time:246572ms step_avg:588.48ms
step:420/1770 train_time:247176ms step_avg:588.51ms
step:421/1770 train_time:247782ms step_avg:588.56ms
step:422/1770 train_time:248396ms step_avg:588.62ms
step:423/1770 train_time:249016ms step_avg:588.69ms
step:424/1770 train_time:249622ms step_avg:588.73ms
step:425/1770 train_time:250242ms step_avg:588.80ms
step:426/1770 train_time:250858ms step_avg:588.87ms
step:427/1770 train_time:251479ms step_avg:588.94ms
step:428/1770 train_time:252084ms step_avg:588.98ms
step:429/1770 train_time:252698ms step_avg:589.04ms
step:430/1770 train_time:253314ms step_avg:589.10ms
step:431/1770 train_time:253929ms step_avg:589.16ms
step:432/1770 train_time:254540ms step_avg:589.21ms
step:433/1770 train_time:255154ms step_avg:589.27ms
step:434/1770 train_time:255768ms step_avg:589.33ms
step:435/1770 train_time:256377ms step_avg:589.37ms
step:436/1770 train_time:256990ms step_avg:589.43ms
step:437/1770 train_time:257605ms step_avg:589.49ms
step:438/1770 train_time:258218ms step_avg:589.54ms
step:439/1770 train_time:258838ms step_avg:589.61ms
step:440/1770 train_time:259454ms step_avg:589.67ms
step:441/1770 train_time:260066ms step_avg:589.72ms
step:442/1770 train_time:260687ms step_avg:589.79ms
step:443/1770 train_time:261299ms step_avg:589.84ms
step:444/1770 train_time:261920ms step_avg:589.91ms
step:445/1770 train_time:262534ms step_avg:589.97ms
step:446/1770 train_time:263149ms step_avg:590.02ms
step:447/1770 train_time:263765ms step_avg:590.08ms
step:448/1770 train_time:264380ms step_avg:590.13ms
step:449/1770 train_time:265004ms step_avg:590.21ms
step:450/1770 train_time:265620ms step_avg:590.27ms
step:451/1770 train_time:266236ms step_avg:590.32ms
step:452/1770 train_time:266848ms step_avg:590.37ms
step:453/1770 train_time:267461ms step_avg:590.42ms
step:454/1770 train_time:268084ms step_avg:590.49ms
step:455/1770 train_time:268693ms step_avg:590.54ms
step:456/1770 train_time:269308ms step_avg:590.59ms
step:457/1770 train_time:269927ms step_avg:590.65ms
step:458/1770 train_time:270539ms step_avg:590.70ms
step:459/1770 train_time:271164ms step_avg:590.77ms
step:460/1770 train_time:271775ms step_avg:590.82ms
step:461/1770 train_time:272394ms step_avg:590.88ms
step:462/1770 train_time:273008ms step_avg:590.93ms
step:463/1770 train_time:273623ms step_avg:590.98ms
step:464/1770 train_time:274244ms step_avg:591.04ms
