logs/fe3abc3f-12cf-4585-aecf-56728e2f7497.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:39<14:52,  1.95it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.13ms
step:1/1770 train_time:353ms step_avg:352.61ms
step:2/1770 train_time:587ms step_avg:293.49ms
step:3/1770 train_time:993ms step_avg:330.98ms
step:4/1770 train_time:1506ms step_avg:376.49ms
step:5/1770 train_time:2003ms step_avg:400.53ms
step:6/1770 train_time:2496ms step_avg:416.02ms
step:7/1770 train_time:2999ms step_avg:428.37ms
step:8/1770 train_time:3497ms step_avg:437.09ms
step:9/1770 train_time:3997ms step_avg:444.16ms
step:10/1770 train_time:4502ms step_avg:450.22ms
step:11/1770 train_time:5003ms step_avg:454.83ms
step:12/1770 train_time:5501ms step_avg:458.45ms
step:13/1770 train_time:6000ms step_avg:461.52ms
step:14/1770 train_time:6500ms step_avg:464.30ms
step:15/1770 train_time:6996ms step_avg:466.38ms
step:16/1770 train_time:7499ms step_avg:468.66ms
step:17/1770 train_time:8007ms step_avg:471.00ms
step:18/1770 train_time:8515ms step_avg:473.06ms
step:19/1770 train_time:9020ms step_avg:474.74ms
step:20/1770 train_time:9528ms step_avg:476.41ms
step:21/1770 train_time:10038ms step_avg:477.99ms
step:22/1770 train_time:10545ms step_avg:479.34ms
step:23/1770 train_time:11056ms step_avg:480.70ms
step:24/1770 train_time:11566ms step_avg:481.93ms
step:25/1770 train_time:12079ms step_avg:483.15ms
step:26/1770 train_time:12592ms step_avg:484.31ms
step:27/1770 train_time:13104ms step_avg:485.34ms
step:28/1770 train_time:13618ms step_avg:486.37ms
step:29/1770 train_time:14133ms step_avg:487.35ms
step:30/1770 train_time:14645ms step_avg:488.15ms
step:31/1770 train_time:15158ms step_avg:488.97ms
step:32/1770 train_time:15670ms step_avg:489.68ms
step:33/1770 train_time:16186ms step_avg:490.49ms
step:34/1770 train_time:16704ms step_avg:491.31ms
step:35/1770 train_time:17220ms step_avg:492.00ms
step:36/1770 train_time:17737ms step_avg:492.69ms
step:37/1770 train_time:18262ms step_avg:493.56ms
step:38/1770 train_time:18777ms step_avg:494.12ms
step:39/1770 train_time:19298ms step_avg:494.83ms
