logs/d94b81b3-09f1-4129-91ae-93d8a73a5c94.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:40<16:16,  1.78it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.10ms
step:1/1770 train_time:394ms step_avg:394.29ms
step:2/1770 train_time:839ms step_avg:419.41ms
step:3/1770 train_time:1361ms step_avg:453.68ms
step:4/1770 train_time:1910ms step_avg:477.60ms
step:5/1770 train_time:2462ms step_avg:492.33ms
step:6/1770 train_time:3023ms step_avg:503.80ms
step:7/1770 train_time:3580ms step_avg:511.39ms
step:8/1770 train_time:4134ms step_avg:516.74ms
step:9/1770 train_time:4693ms step_avg:521.41ms
step:10/1770 train_time:5243ms step_avg:524.29ms
step:11/1770 train_time:5802ms step_avg:527.45ms
step:12/1770 train_time:6362ms step_avg:530.13ms
step:13/1770 train_time:6924ms step_avg:532.58ms
step:14/1770 train_time:7488ms step_avg:534.84ms
step:15/1770 train_time:8043ms step_avg:536.17ms
step:16/1770 train_time:8603ms step_avg:537.68ms
step:17/1770 train_time:9160ms step_avg:538.85ms
step:18/1770 train_time:9727ms step_avg:540.40ms
step:19/1770 train_time:10284ms step_avg:541.26ms
step:20/1770 train_time:10842ms step_avg:542.08ms
step:21/1770 train_time:11402ms step_avg:542.96ms
step:22/1770 train_time:11967ms step_avg:543.93ms
step:23/1770 train_time:12529ms step_avg:544.74ms
step:24/1770 train_time:13074ms step_avg:544.75ms
step:25/1770 train_time:13637ms step_avg:545.49ms
step:26/1770 train_time:14199ms step_avg:546.13ms
step:27/1770 train_time:14759ms step_avg:546.63ms
step:28/1770 train_time:15328ms step_avg:547.43ms
step:29/1770 train_time:15887ms step_avg:547.83ms
step:30/1770 train_time:16446ms step_avg:548.19ms
step:31/1770 train_time:17011ms step_avg:548.75ms
step:32/1770 train_time:17565ms step_avg:548.91ms
step:33/1770 train_time:18125ms step_avg:549.25ms
step:34/1770 train_time:18680ms step_avg:549.41ms
step:35/1770 train_time:19244ms step_avg:549.83ms
step:36/1770 train_time:19804ms step_avg:550.12ms
step:37/1770 train_time:20367ms step_avg:550.46ms
step:38/1770 train_time:20927ms step_avg:550.70ms
step:39/1770 train_time:21485ms step_avg:550.89ms
step:40/1770 train_time:22048ms step_avg:551.21ms
step:41/1770 train_time:22617ms step_avg:551.63ms
step:42/1770 train_time:23179ms step_avg:551.88ms
step:43/1770 train_time:23746ms step_avg:552.24ms
step:44/1770 train_time:24310ms step_avg:552.51ms
step:45/1770 train_time:24876ms step_avg:552.79ms
step:46/1770 train_time:25446ms step_avg:553.17ms
step:47/1770 train_time:26011ms step_avg:553.43ms
step:48/1770 train_time:26582ms step_avg:553.80ms
step:49/1770 train_time:27146ms step_avg:554.00ms
step:50/1770 train_time:27708ms step_avg:554.17ms
step:51/1770 train_time:28277ms step_avg:554.45ms
step:52/1770 train_time:28846ms step_avg:554.72ms
step:53/1770 train_time:29415ms step_avg:555.01ms
step:54/1770 train_time:29985ms step_avg:555.29ms
step:55/1770 train_time:30550ms step_avg:555.45ms
step:56/1770 train_time:31116ms step_avg:555.64ms
step:57/1770 train_time:31686ms step_avg:555.89ms
step:58/1770 train_time:32248ms step_avg:555.99ms
step:59/1770 train_time:32806ms step_avg:556.04ms
step:60/1770 train_time:33385ms step_avg:556.42ms
step:61/1770 train_time:33947ms step_avg:556.51ms
step:62/1770 train_time:34514ms step_avg:556.67ms
step:63/1770 train_time:35087ms step_avg:556.94ms
step:64/1770 train_time:35651ms step_avg:557.05ms
step:65/1770 train_time:36219ms step_avg:557.22ms
step:66/1770 train_time:36788ms step_avg:557.40ms
step:67/1770 train_time:37363ms step_avg:557.65ms
step:68/1770 train_time:37934ms step_avg:557.86ms
step:69/1770 train_time:38504ms step_avg:558.02ms
step:70/1770 train_time:39075ms step_avg:558.22ms
step:71/1770 train_time:39647ms step_avg:558.42ms
step:72/1770 train_time:40214ms step_avg:558.52ms
step:73/1770 train_time:40785ms step_avg:558.70ms
step:74/1770 train_time:41358ms step_avg:558.89ms
step:75/1770 train_time:41931ms step_avg:559.07ms
step:76/1770 train_time:42507ms step_avg:559.30ms
step:77/1770 train_time:43073ms step_avg:559.39ms
step:78/1770 train_time:43644ms step_avg:559.53ms
step:79/1770 train_time:44221ms step_avg:559.76ms
step:80/1770 train_time:44800ms step_avg:560.00ms
step:81/1770 train_time:45372ms step_avg:560.15ms
step:82/1770 train_time:45945ms step_avg:560.31ms
step:83/1770 train_time:46520ms step_avg:560.49ms
step:84/1770 train_time:47092ms step_avg:560.62ms
step:85/1770 train_time:47669ms step_avg:560.81ms
step:86/1770 train_time:48243ms step_avg:560.96ms
step:87/1770 train_time:48818ms step_avg:561.13ms
step:88/1770 train_time:49392ms step_avg:561.27ms
step:89/1770 train_time:49965ms step_avg:561.40ms
step:90/1770 train_time:50538ms step_avg:561.53ms
step:91/1770 train_time:51112ms step_avg:561.67ms
step:92/1770 train_time:51685ms step_avg:561.80ms
step:93/1770 train_time:52262ms step_avg:561.95ms
step:94/1770 train_time:52836ms step_avg:562.09ms
step:95/1770 train_time:53409ms step_avg:562.20ms
step:96/1770 train_time:53987ms step_avg:562.36ms
step:97/1770 train_time:54563ms step_avg:562.51ms
step:98/1770 train_time:55139ms step_avg:562.64ms
step:99/1770 train_time:55710ms step_avg:562.73ms
step:100/1770 train_time:56286ms step_avg:562.86ms
step:101/1770 train_time:56863ms step_avg:563.00ms
step:102/1770 train_time:57436ms step_avg:563.10ms
step:103/1770 train_time:58009ms step_avg:563.20ms
step:104/1770 train_time:58587ms step_avg:563.33ms
step:105/1770 train_time:59165ms step_avg:563.48ms
step:106/1770 train_time:59745ms step_avg:563.63ms
step:107/1770 train_time:60322ms step_avg:563.76ms
step:108/1770 train_time:60897ms step_avg:563.86ms
step:109/1770 train_time:61476ms step_avg:564.00ms
step:110/1770 train_time:62054ms step_avg:564.13ms
step:111/1770 train_time:62626ms step_avg:564.19ms
step:112/1770 train_time:63207ms step_avg:564.35ms
step:113/1770 train_time:63782ms step_avg:564.44ms
step:114/1770 train_time:64365ms step_avg:564.60ms
step:115/1770 train_time:64944ms step_avg:564.73ms
step:116/1770 train_time:65527ms step_avg:564.89ms
step:117/1770 train_time:66100ms step_avg:564.96ms
step:118/1770 train_time:66680ms step_avg:565.09ms
step:119/1770 train_time:67264ms step_avg:565.25ms
step:120/1770 train_time:67845ms step_avg:565.38ms
step:121/1770 train_time:68422ms step_avg:565.47ms
step:122/1770 train_time:69004ms step_avg:565.61ms
step:123/1770 train_time:69579ms step_avg:565.68ms
step:124/1770 train_time:70159ms step_avg:565.80ms
step:125/1770 train_time:70737ms step_avg:565.89ms
step:125/1770 val_loss:4.9831 train_time:70947ms step_avg:567.58ms
step:126/1770 train_time:71316ms step_avg:566.00ms
step:127/1770 train_time:71912ms step_avg:566.24ms
step:128/1770 train_time:72489ms step_avg:566.32ms
step:129/1770 train_time:73066ms step_avg:566.40ms
step:130/1770 train_time:73640ms step_avg:566.46ms
step:131/1770 train_time:74215ms step_avg:566.53ms
step:132/1770 train_time:74789ms step_avg:566.58ms
step:133/1770 train_time:75370ms step_avg:566.69ms
step:134/1770 train_time:75951ms step_avg:566.80ms
step:135/1770 train_time:76533ms step_avg:566.91ms
step:136/1770 train_time:77113ms step_avg:567.01ms
step:137/1770 train_time:77693ms step_avg:567.10ms
step:138/1770 train_time:78278ms step_avg:567.23ms
step:139/1770 train_time:78861ms step_avg:567.35ms
step:140/1770 train_time:79445ms step_avg:567.47ms
step:141/1770 train_time:80021ms step_avg:567.52ms
step:142/1770 train_time:80607ms step_avg:567.66ms
step:143/1770 train_time:81183ms step_avg:567.71ms
step:144/1770 train_time:81761ms step_avg:567.78ms
step:145/1770 train_time:82341ms step_avg:567.87ms
step:146/1770 train_time:82921ms step_avg:567.95ms
step:147/1770 train_time:83498ms step_avg:568.02ms
step:148/1770 train_time:84081ms step_avg:568.12ms
step:149/1770 train_time:84666ms step_avg:568.23ms
step:150/1770 train_time:85238ms step_avg:568.25ms
step:151/1770 train_time:85818ms step_avg:568.33ms
step:152/1770 train_time:86406ms step_avg:568.46ms
step:153/1770 train_time:86985ms step_avg:568.53ms
step:154/1770 train_time:87570ms step_avg:568.64ms
step:155/1770 train_time:88158ms step_avg:568.76ms
step:156/1770 train_time:88735ms step_avg:568.81ms
step:157/1770 train_time:89318ms step_avg:568.91ms
step:158/1770 train_time:89908ms step_avg:569.04ms
step:159/1770 train_time:90494ms step_avg:569.15ms
step:160/1770 train_time:91075ms step_avg:569.22ms
step:161/1770 train_time:91661ms step_avg:569.32ms
step:162/1770 train_time:92245ms step_avg:569.41ms
step:163/1770 train_time:92827ms step_avg:569.49ms
step:164/1770 train_time:93407ms step_avg:569.56ms
step:165/1770 train_time:93990ms step_avg:569.64ms
step:166/1770 train_time:94578ms step_avg:569.75ms
step:167/1770 train_time:95167ms step_avg:569.86ms
step:168/1770 train_time:95750ms step_avg:569.94ms
step:169/1770 train_time:96340ms step_avg:570.06ms
step:170/1770 train_time:96926ms step_avg:570.15ms
step:171/1770 train_time:97512ms step_avg:570.24ms
step:172/1770 train_time:98100ms step_avg:570.35ms
step:173/1770 train_time:98686ms step_avg:570.44ms
step:174/1770 train_time:99274ms step_avg:570.54ms
step:175/1770 train_time:99860ms step_avg:570.63ms
step:176/1770 train_time:100447ms step_avg:570.72ms
step:177/1770 train_time:101037ms step_avg:570.83ms
step:178/1770 train_time:101625ms step_avg:570.93ms
step:179/1770 train_time:102215ms step_avg:571.03ms
step:180/1770 train_time:102798ms step_avg:571.10ms
step:181/1770 train_time:103386ms step_avg:571.19ms
step:182/1770 train_time:103976ms step_avg:571.29ms
step:183/1770 train_time:104563ms step_avg:571.38ms
step:184/1770 train_time:105153ms step_avg:571.49ms
step:185/1770 train_time:105743ms step_avg:571.58ms
step:186/1770 train_time:106330ms step_avg:571.66ms
step:187/1770 train_time:106920ms step_avg:571.76ms
step:188/1770 train_time:107510ms step_avg:571.86ms
step:189/1770 train_time:108102ms step_avg:571.97ms
step:190/1770 train_time:108691ms step_avg:572.06ms
step:191/1770 train_time:109281ms step_avg:572.15ms
step:192/1770 train_time:109875ms step_avg:572.26ms
step:193/1770 train_time:110455ms step_avg:572.31ms
step:194/1770 train_time:111046ms step_avg:572.40ms
step:195/1770 train_time:111641ms step_avg:572.52ms
step:196/1770 train_time:112231ms step_avg:572.61ms
step:197/1770 train_time:112823ms step_avg:572.71ms
step:198/1770 train_time:113415ms step_avg:572.80ms
step:199/1770 train_time:114007ms step_avg:572.90ms
step:200/1770 train_time:114601ms step_avg:573.00ms
step:201/1770 train_time:115186ms step_avg:573.06ms
step:202/1770 train_time:115779ms step_avg:573.16ms
step:203/1770 train_time:116374ms step_avg:573.27ms
step:204/1770 train_time:116960ms step_avg:573.33ms
step:205/1770 train_time:117561ms step_avg:573.47ms
step:206/1770 train_time:118146ms step_avg:573.52ms
step:207/1770 train_time:118745ms step_avg:573.65ms
step:208/1770 train_time:119335ms step_avg:573.72ms
step:209/1770 train_time:119925ms step_avg:573.81ms
step:210/1770 train_time:120512ms step_avg:573.87ms
step:211/1770 train_time:121109ms step_avg:573.98ms
step:212/1770 train_time:121700ms step_avg:574.06ms
step:213/1770 train_time:122296ms step_avg:574.16ms
step:214/1770 train_time:122889ms step_avg:574.25ms
step:215/1770 train_time:123487ms step_avg:574.36ms
step:216/1770 train_time:124078ms step_avg:574.44ms
step:217/1770 train_time:124667ms step_avg:574.50ms
step:218/1770 train_time:125265ms step_avg:574.61ms
step:219/1770 train_time:125862ms step_avg:574.71ms
step:220/1770 train_time:126458ms step_avg:574.81ms
step:221/1770 train_time:127051ms step_avg:574.89ms
step:222/1770 train_time:127645ms step_avg:574.98ms
step:223/1770 train_time:128240ms step_avg:575.07ms
step:224/1770 train_time:128834ms step_avg:575.15ms
step:225/1770 train_time:129424ms step_avg:575.22ms
step:226/1770 train_time:130017ms step_avg:575.30ms
step:227/1770 train_time:130614ms step_avg:575.39ms
step:228/1770 train_time:131211ms step_avg:575.49ms
step:229/1770 train_time:131803ms step_avg:575.56ms
step:230/1770 train_time:132396ms step_avg:575.64ms
step:231/1770 train_time:132997ms step_avg:575.74ms
step:232/1770 train_time:133593ms step_avg:575.83ms
step:233/1770 train_time:134186ms step_avg:575.91ms
step:234/1770 train_time:134783ms step_avg:576.00ms
step:235/1770 train_time:135379ms step_avg:576.08ms
step:236/1770 train_time:135977ms step_avg:576.17ms
step:237/1770 train_time:136576ms step_avg:576.27ms
step:238/1770 train_time:137175ms step_avg:576.36ms
step:239/1770 train_time:137774ms step_avg:576.46ms
step:240/1770 train_time:138369ms step_avg:576.54ms
step:241/1770 train_time:138968ms step_avg:576.63ms
step:242/1770 train_time:139561ms step_avg:576.70ms
step:243/1770 train_time:140157ms step_avg:576.78ms
step:244/1770 train_time:140753ms step_avg:576.86ms
step:245/1770 train_time:141350ms step_avg:576.94ms
step:246/1770 train_time:141943ms step_avg:577.00ms
step:247/1770 train_time:142540ms step_avg:577.08ms
step:248/1770 train_time:143133ms step_avg:577.15ms
step:249/1770 train_time:143734ms step_avg:577.25ms
step:250/1770 train_time:144330ms step_avg:577.32ms
step:250/1770 val_loss:4.3843 train_time:144537ms step_avg:578.15ms
step:251/1770 train_time:144918ms step_avg:577.36ms
step:252/1770 train_time:145504ms step_avg:577.40ms
step:253/1770 train_time:146093ms step_avg:577.44ms
step:254/1770 train_time:146679ms step_avg:577.48ms
step:255/1770 train_time:147264ms step_avg:577.51ms
step:256/1770 train_time:147852ms step_avg:577.54ms
step:257/1770 train_time:148437ms step_avg:577.58ms
step:258/1770 train_time:149032ms step_avg:577.64ms
step:259/1770 train_time:149617ms step_avg:577.67ms
step:260/1770 train_time:150198ms step_avg:577.68ms
step:261/1770 train_time:150795ms step_avg:577.76ms
step:262/1770 train_time:151381ms step_avg:577.79ms
step:263/1770 train_time:151970ms step_avg:577.83ms
step:264/1770 train_time:152563ms step_avg:577.89ms
step:265/1770 train_time:153157ms step_avg:577.95ms
step:266/1770 train_time:153751ms step_avg:578.01ms
step:267/1770 train_time:154339ms step_avg:578.05ms
step:268/1770 train_time:154935ms step_avg:578.12ms
step:269/1770 train_time:155526ms step_avg:578.16ms
step:270/1770 train_time:156122ms step_avg:578.23ms
step:271/1770 train_time:156714ms step_avg:578.28ms
step:272/1770 train_time:157307ms step_avg:578.33ms
step:273/1770 train_time:157890ms step_avg:578.35ms
step:274/1770 train_time:158483ms step_avg:578.41ms
step:275/1770 train_time:159080ms step_avg:578.47ms
step:276/1770 train_time:159678ms step_avg:578.54ms
step:277/1770 train_time:160266ms step_avg:578.58ms
step:278/1770 train_time:160866ms step_avg:578.65ms
step:279/1770 train_time:161463ms step_avg:578.72ms
step:280/1770 train_time:162065ms step_avg:578.80ms
step:281/1770 train_time:162651ms step_avg:578.83ms
step:282/1770 train_time:163247ms step_avg:578.89ms
step:283/1770 train_time:163838ms step_avg:578.93ms
step:284/1770 train_time:164434ms step_avg:578.99ms
step:285/1770 train_time:165026ms step_avg:579.04ms
step:286/1770 train_time:165629ms step_avg:579.12ms
step:287/1770 train_time:166219ms step_avg:579.16ms
step:288/1770 train_time:166818ms step_avg:579.23ms
step:289/1770 train_time:167408ms step_avg:579.27ms
step:290/1770 train_time:168012ms step_avg:579.35ms
step:291/1770 train_time:168603ms step_avg:579.39ms
step:292/1770 train_time:169209ms step_avg:579.48ms
step:293/1770 train_time:169803ms step_avg:579.53ms
step:294/1770 train_time:170401ms step_avg:579.60ms
step:295/1770 train_time:170993ms step_avg:579.64ms
step:296/1770 train_time:171593ms step_avg:579.70ms
step:297/1770 train_time:172187ms step_avg:579.75ms
step:298/1770 train_time:172785ms step_avg:579.82ms
step:299/1770 train_time:173390ms step_avg:579.90ms
step:300/1770 train_time:173986ms step_avg:579.95ms
step:301/1770 train_time:174581ms step_avg:580.00ms
step:302/1770 train_time:175181ms step_avg:580.07ms
step:303/1770 train_time:175783ms step_avg:580.14ms
step:304/1770 train_time:176374ms step_avg:580.18ms
step:305/1770 train_time:176980ms step_avg:580.26ms
step:306/1770 train_time:177579ms step_avg:580.32ms
step:307/1770 train_time:178176ms step_avg:580.38ms
step:308/1770 train_time:178780ms step_avg:580.45ms
step:309/1770 train_time:179378ms step_avg:580.51ms
step:310/1770 train_time:179983ms step_avg:580.59ms
step:311/1770 train_time:180581ms step_avg:580.65ms
step:312/1770 train_time:181183ms step_avg:580.71ms
step:313/1770 train_time:181788ms step_avg:580.79ms
step:314/1770 train_time:182387ms step_avg:580.85ms
step:315/1770 train_time:182987ms step_avg:580.91ms
step:316/1770 train_time:183583ms step_avg:580.96ms
step:317/1770 train_time:184191ms step_avg:581.04ms
step:318/1770 train_time:184792ms step_avg:581.11ms
step:319/1770 train_time:185386ms step_avg:581.15ms
step:320/1770 train_time:185988ms step_avg:581.21ms
step:321/1770 train_time:186583ms step_avg:581.25ms
step:322/1770 train_time:187186ms step_avg:581.32ms
step:323/1770 train_time:187785ms step_avg:581.38ms
step:324/1770 train_time:188388ms step_avg:581.45ms
step:325/1770 train_time:188984ms step_avg:581.49ms
step:326/1770 train_time:189585ms step_avg:581.55ms
step:327/1770 train_time:190191ms step_avg:581.62ms
step:328/1770 train_time:190783ms step_avg:581.66ms
step:329/1770 train_time:191395ms step_avg:581.75ms
step:330/1770 train_time:191989ms step_avg:581.78ms
step:331/1770 train_time:192594ms step_avg:581.85ms
step:332/1770 train_time:193202ms step_avg:581.94ms
step:333/1770 train_time:193802ms step_avg:581.99ms
step:334/1770 train_time:194410ms step_avg:582.07ms
step:335/1770 train_time:195004ms step_avg:582.10ms
step:336/1770 train_time:195604ms step_avg:582.15ms
step:337/1770 train_time:196210ms step_avg:582.23ms
step:338/1770 train_time:196808ms step_avg:582.27ms
step:339/1770 train_time:197415ms step_avg:582.35ms
step:340/1770 train_time:198017ms step_avg:582.40ms
step:341/1770 train_time:198622ms step_avg:582.47ms
step:342/1770 train_time:199228ms step_avg:582.54ms
step:343/1770 train_time:199826ms step_avg:582.58ms
step:344/1770 train_time:200432ms step_avg:582.65ms
step:345/1770 train_time:201041ms step_avg:582.73ms
step:346/1770 train_time:201642ms step_avg:582.78ms
step:347/1770 train_time:202249ms step_avg:582.85ms
step:348/1770 train_time:202842ms step_avg:582.88ms
step:349/1770 train_time:203447ms step_avg:582.94ms
step:350/1770 train_time:204053ms step_avg:583.01ms
step:351/1770 train_time:204655ms step_avg:583.06ms
step:352/1770 train_time:205258ms step_avg:583.12ms
step:353/1770 train_time:205861ms step_avg:583.18ms
step:354/1770 train_time:206467ms step_avg:583.24ms
step:355/1770 train_time:207077ms step_avg:583.32ms
step:356/1770 train_time:207680ms step_avg:583.37ms
step:357/1770 train_time:208280ms step_avg:583.42ms
step:358/1770 train_time:208892ms step_avg:583.50ms
step:359/1770 train_time:209499ms step_avg:583.56ms
step:360/1770 train_time:210096ms step_avg:583.60ms
step:361/1770 train_time:210706ms step_avg:583.67ms
step:362/1770 train_time:211311ms step_avg:583.73ms
step:363/1770 train_time:211914ms step_avg:583.78ms
step:364/1770 train_time:212521ms step_avg:583.85ms
step:365/1770 train_time:213120ms step_avg:583.89ms
step:366/1770 train_time:213730ms step_avg:583.96ms
step:367/1770 train_time:214333ms step_avg:584.01ms
step:368/1770 train_time:214936ms step_avg:584.07ms
step:369/1770 train_time:215546ms step_avg:584.14ms
step:370/1770 train_time:216151ms step_avg:584.19ms
step:371/1770 train_time:216755ms step_avg:584.25ms
step:372/1770 train_time:217367ms step_avg:584.32ms
step:373/1770 train_time:217971ms step_avg:584.37ms
step:374/1770 train_time:218577ms step_avg:584.43ms
step:375/1770 train_time:219180ms step_avg:584.48ms
step:375/1770 val_loss:4.1349 train_time:219397ms step_avg:585.06ms
step:376/1770 train_time:219794ms step_avg:584.56ms
step:377/1770 train_time:220397ms step_avg:584.61ms
step:378/1770 train_time:220983ms step_avg:584.61ms
step:379/1770 train_time:221571ms step_avg:584.62ms
step:380/1770 train_time:222169ms step_avg:584.66ms
step:381/1770 train_time:222762ms step_avg:584.68ms
step:382/1770 train_time:223363ms step_avg:584.72ms
step:383/1770 train_time:223953ms step_avg:584.73ms
step:384/1770 train_time:224556ms step_avg:584.78ms
step:385/1770 train_time:225147ms step_avg:584.80ms
step:386/1770 train_time:225747ms step_avg:584.84ms
step:387/1770 train_time:226343ms step_avg:584.86ms
step:388/1770 train_time:226939ms step_avg:584.89ms
step:389/1770 train_time:227537ms step_avg:584.93ms
step:390/1770 train_time:228137ms step_avg:584.97ms
step:391/1770 train_time:228738ms step_avg:585.01ms
step:392/1770 train_time:229337ms step_avg:585.04ms
step:393/1770 train_time:229934ms step_avg:585.07ms
step:394/1770 train_time:230535ms step_avg:585.11ms
step:395/1770 train_time:231138ms step_avg:585.16ms
step:396/1770 train_time:231748ms step_avg:585.22ms
step:397/1770 train_time:232357ms step_avg:585.28ms
step:398/1770 train_time:232966ms step_avg:585.34ms
step:399/1770 train_time:233578ms step_avg:585.41ms
step:400/1770 train_time:234187ms step_avg:585.47ms
step:401/1770 train_time:234799ms step_avg:585.53ms
step:402/1770 train_time:235410ms step_avg:585.60ms
step:403/1770 train_time:236024ms step_avg:585.67ms
step:404/1770 train_time:236636ms step_avg:585.73ms
step:405/1770 train_time:237244ms step_avg:585.79ms
step:406/1770 train_time:237855ms step_avg:585.85ms
step:407/1770 train_time:238467ms step_avg:585.91ms
step:408/1770 train_time:239079ms step_avg:585.98ms
step:409/1770 train_time:239694ms step_avg:586.05ms
step:410/1770 train_time:240306ms step_avg:586.11ms
step:411/1770 train_time:240926ms step_avg:586.19ms
step:412/1770 train_time:241536ms step_avg:586.25ms
step:413/1770 train_time:242149ms step_avg:586.32ms
step:414/1770 train_time:242762ms step_avg:586.38ms
step:415/1770 train_time:243371ms step_avg:586.44ms
step:416/1770 train_time:243992ms step_avg:586.52ms
step:417/1770 train_time:244602ms step_avg:586.58ms
step:418/1770 train_time:245214ms step_avg:586.64ms
step:419/1770 train_time:245830ms step_avg:586.71ms
step:420/1770 train_time:246441ms step_avg:586.77ms
step:421/1770 train_time:247055ms step_avg:586.83ms
step:422/1770 train_time:247670ms step_avg:586.90ms
step:423/1770 train_time:248284ms step_avg:586.96ms
step:424/1770 train_time:248895ms step_avg:587.02ms
step:425/1770 train_time:249509ms step_avg:587.08ms
step:426/1770 train_time:250126ms step_avg:587.15ms
step:427/1770 train_time:250744ms step_avg:587.22ms
step:428/1770 train_time:251356ms step_avg:587.28ms
step:429/1770 train_time:251964ms step_avg:587.33ms
step:430/1770 train_time:252579ms step_avg:587.39ms
step:431/1770 train_time:253195ms step_avg:587.46ms
step:432/1770 train_time:253803ms step_avg:587.51ms
step:433/1770 train_time:254424ms step_avg:587.58ms
step:434/1770 train_time:255041ms step_avg:587.65ms
step:435/1770 train_time:255659ms step_avg:587.72ms
step:436/1770 train_time:256275ms step_avg:587.79ms
step:437/1770 train_time:256891ms step_avg:587.85ms
step:438/1770 train_time:257505ms step_avg:587.91ms
step:439/1770 train_time:258127ms step_avg:587.99ms
step:440/1770 train_time:258743ms step_avg:588.05ms
step:441/1770 train_time:259358ms step_avg:588.11ms
step:442/1770 train_time:259973ms step_avg:588.18ms
step:443/1770 train_time:260593ms step_avg:588.25ms
step:444/1770 train_time:261211ms step_avg:588.31ms
step:445/1770 train_time:261828ms step_avg:588.38ms
step:446/1770 train_time:262444ms step_avg:588.44ms
step:447/1770 train_time:263061ms step_avg:588.50ms
step:448/1770 train_time:263673ms step_avg:588.56ms
step:449/1770 train_time:264289ms step_avg:588.62ms
