logs/e387d433-e3ab-4d3a-9dff-4580426b3e4d.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:41<16:30,  1.76it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.32ms
step:1/1770 train_time:409ms step_avg:409.32ms
step:2/1770 train_time:873ms step_avg:436.68ms
step:3/1770 train_time:1419ms step_avg:473.11ms
step:4/1770 train_time:1988ms step_avg:496.95ms
step:5/1770 train_time:2561ms step_avg:512.27ms
step:6/1770 train_time:3129ms step_avg:521.51ms
step:7/1770 train_time:3698ms step_avg:528.32ms
step:8/1770 train_time:4270ms step_avg:533.72ms
step:9/1770 train_time:4846ms step_avg:538.46ms
step:10/1770 train_time:5416ms step_avg:541.55ms
step:11/1770 train_time:5989ms step_avg:544.45ms
step:12/1770 train_time:6561ms step_avg:546.74ms
step:13/1770 train_time:7134ms step_avg:548.78ms
step:14/1770 train_time:7709ms step_avg:550.65ms
step:15/1770 train_time:8285ms step_avg:552.36ms
step:16/1770 train_time:8853ms step_avg:553.34ms
step:17/1770 train_time:9433ms step_avg:554.87ms
step:18/1770 train_time:10011ms step_avg:556.15ms
step:19/1770 train_time:10574ms step_avg:556.53ms
step:20/1770 train_time:11147ms step_avg:557.37ms
step:21/1770 train_time:11717ms step_avg:557.93ms
step:22/1770 train_time:12284ms step_avg:558.37ms
step:23/1770 train_time:12853ms step_avg:558.81ms
step:24/1770 train_time:13415ms step_avg:558.94ms
step:25/1770 train_time:13988ms step_avg:559.52ms
step:26/1770 train_time:14553ms step_avg:559.72ms
step:27/1770 train_time:15127ms step_avg:560.25ms
step:28/1770 train_time:15695ms step_avg:560.55ms
step:29/1770 train_time:16266ms step_avg:560.89ms
step:30/1770 train_time:16832ms step_avg:561.08ms
step:31/1770 train_time:17406ms step_avg:561.49ms
step:32/1770 train_time:17972ms step_avg:561.64ms
step:33/1770 train_time:18547ms step_avg:562.03ms
step:34/1770 train_time:19116ms step_avg:562.23ms
step:35/1770 train_time:19688ms step_avg:562.52ms
step:36/1770 train_time:20256ms step_avg:562.66ms
step:37/1770 train_time:20828ms step_avg:562.93ms
step:38/1770 train_time:21392ms step_avg:562.94ms
step:39/1770 train_time:21967ms step_avg:563.27ms
step:40/1770 train_time:22534ms step_avg:563.35ms
step:41/1770 train_time:23102ms step_avg:563.45ms
step:42/1770 train_time:23680ms step_avg:563.80ms
step:43/1770 train_time:24250ms step_avg:563.96ms
step:44/1770 train_time:24826ms step_avg:564.24ms
step:45/1770 train_time:25396ms step_avg:564.37ms
step:46/1770 train_time:25967ms step_avg:564.51ms
step:47/1770 train_time:26537ms step_avg:564.62ms
step:48/1770 train_time:27109ms step_avg:564.77ms
step:49/1770 train_time:27677ms step_avg:564.85ms
step:50/1770 train_time:28250ms step_avg:565.00ms
step:51/1770 train_time:28826ms step_avg:565.21ms
step:52/1770 train_time:29398ms step_avg:565.35ms
step:53/1770 train_time:29969ms step_avg:565.46ms
step:54/1770 train_time:30546ms step_avg:565.66ms
step:55/1770 train_time:31119ms step_avg:565.79ms
step:56/1770 train_time:31690ms step_avg:565.88ms
step:57/1770 train_time:32268ms step_avg:566.10ms
step:58/1770 train_time:32844ms step_avg:566.28ms
step:59/1770 train_time:33420ms step_avg:566.45ms
step:60/1770 train_time:33995ms step_avg:566.58ms
step:61/1770 train_time:34571ms step_avg:566.75ms
step:62/1770 train_time:35146ms step_avg:566.87ms
step:63/1770 train_time:35722ms step_avg:567.01ms
step:64/1770 train_time:36296ms step_avg:567.12ms
step:65/1770 train_time:36871ms step_avg:567.25ms
step:66/1770 train_time:37447ms step_avg:567.37ms
step:67/1770 train_time:38021ms step_avg:567.48ms
step:68/1770 train_time:38597ms step_avg:567.60ms
step:69/1770 train_time:39172ms step_avg:567.72ms
step:70/1770 train_time:39746ms step_avg:567.80ms
step:71/1770 train_time:40322ms step_avg:567.91ms
step:72/1770 train_time:40900ms step_avg:568.06ms
step:73/1770 train_time:41474ms step_avg:568.14ms
step:74/1770 train_time:42059ms step_avg:568.36ms
step:75/1770 train_time:42645ms step_avg:568.60ms
step:76/1770 train_time:43230ms step_avg:568.82ms
step:77/1770 train_time:43815ms step_avg:569.03ms
step:78/1770 train_time:44404ms step_avg:569.29ms
step:79/1770 train_time:44978ms step_avg:569.34ms
step:80/1770 train_time:45558ms step_avg:569.48ms
step:81/1770 train_time:46147ms step_avg:569.72ms
step:82/1770 train_time:46730ms step_avg:569.87ms
step:83/1770 train_time:47312ms step_avg:570.02ms
step:84/1770 train_time:47896ms step_avg:570.19ms
step:85/1770 train_time:48488ms step_avg:570.45ms
step:86/1770 train_time:49070ms step_avg:570.58ms
step:87/1770 train_time:49660ms step_avg:570.80ms
step:88/1770 train_time:50252ms step_avg:571.05ms
step:89/1770 train_time:50837ms step_avg:571.20ms
step:90/1770 train_time:51428ms step_avg:571.43ms
step:91/1770 train_time:52018ms step_avg:571.62ms
step:92/1770 train_time:52609ms step_avg:571.83ms
step:93/1770 train_time:53197ms step_avg:572.01ms
step:94/1770 train_time:53787ms step_avg:572.21ms
step:95/1770 train_time:54371ms step_avg:572.32ms
step:96/1770 train_time:54959ms step_avg:572.49ms
step:97/1770 train_time:55548ms step_avg:572.66ms
step:98/1770 train_time:56130ms step_avg:572.75ms
step:99/1770 train_time:56726ms step_avg:572.99ms
step:100/1770 train_time:57308ms step_avg:573.08ms
step:101/1770 train_time:57899ms step_avg:573.26ms
step:102/1770 train_time:58490ms step_avg:573.43ms
step:103/1770 train_time:59076ms step_avg:573.55ms
step:104/1770 train_time:59668ms step_avg:573.73ms
step:105/1770 train_time:60257ms step_avg:573.87ms
step:106/1770 train_time:60852ms step_avg:574.07ms
step:107/1770 train_time:61438ms step_avg:574.19ms
step:108/1770 train_time:62032ms step_avg:574.37ms
step:109/1770 train_time:62626ms step_avg:574.55ms
step:110/1770 train_time:63211ms step_avg:574.65ms
step:111/1770 train_time:63801ms step_avg:574.79ms
step:112/1770 train_time:64385ms step_avg:574.87ms
step:113/1770 train_time:64977ms step_avg:575.02ms
step:114/1770 train_time:65571ms step_avg:575.18ms
step:115/1770 train_time:66159ms step_avg:575.30ms
step:116/1770 train_time:66751ms step_avg:575.44ms
step:117/1770 train_time:67337ms step_avg:575.53ms
step:118/1770 train_time:67934ms step_avg:575.71ms
step:119/1770 train_time:68519ms step_avg:575.79ms
step:120/1770 train_time:69110ms step_avg:575.91ms
step:121/1770 train_time:69697ms step_avg:576.01ms
step:122/1770 train_time:70281ms step_avg:576.08ms
step:123/1770 train_time:70879ms step_avg:576.25ms
step:124/1770 train_time:71469ms step_avg:576.36ms
step:125/1770 train_time:72062ms step_avg:576.50ms
step:125/1770 val_loss:4.9775 train_time:72272ms step_avg:578.17ms
step:126/1770 train_time:72661ms step_avg:576.67ms
step:127/1770 train_time:73240ms step_avg:576.69ms
step:128/1770 train_time:73828ms step_avg:576.78ms
step:129/1770 train_time:74414ms step_avg:576.86ms
step:130/1770 train_time:74991ms step_avg:576.85ms
step:131/1770 train_time:75579ms step_avg:576.94ms
step:132/1770 train_time:76160ms step_avg:576.97ms
step:133/1770 train_time:76747ms step_avg:577.04ms
step:134/1770 train_time:77342ms step_avg:577.18ms
step:135/1770 train_time:77925ms step_avg:577.22ms
step:136/1770 train_time:78520ms step_avg:577.35ms
step:137/1770 train_time:79106ms step_avg:577.41ms
step:138/1770 train_time:79699ms step_avg:577.53ms
step:139/1770 train_time:80286ms step_avg:577.60ms
step:140/1770 train_time:80876ms step_avg:577.69ms
step:141/1770 train_time:81464ms step_avg:577.76ms
step:142/1770 train_time:82061ms step_avg:577.89ms
step:143/1770 train_time:82648ms step_avg:577.96ms
step:144/1770 train_time:83242ms step_avg:578.07ms
step:145/1770 train_time:83830ms step_avg:578.14ms
step:146/1770 train_time:84420ms step_avg:578.22ms
step:147/1770 train_time:85010ms step_avg:578.30ms
step:148/1770 train_time:85598ms step_avg:578.37ms
step:149/1770 train_time:86186ms step_avg:578.43ms
step:150/1770 train_time:86781ms step_avg:578.54ms
step:151/1770 train_time:87371ms step_avg:578.61ms
step:152/1770 train_time:87967ms step_avg:578.73ms
step:153/1770 train_time:88563ms step_avg:578.84ms
step:154/1770 train_time:89156ms step_avg:578.93ms
step:155/1770 train_time:89743ms step_avg:578.99ms
step:156/1770 train_time:90334ms step_avg:579.06ms
step:157/1770 train_time:90928ms step_avg:579.16ms
step:158/1770 train_time:91522ms step_avg:579.25ms
step:159/1770 train_time:92116ms step_avg:579.35ms
step:160/1770 train_time:92710ms step_avg:579.44ms
step:161/1770 train_time:93304ms step_avg:579.53ms
step:162/1770 train_time:93898ms step_avg:579.62ms
step:163/1770 train_time:94498ms step_avg:579.74ms
step:164/1770 train_time:95091ms step_avg:579.82ms
step:165/1770 train_time:95684ms step_avg:579.90ms
step:166/1770 train_time:96277ms step_avg:579.98ms
step:167/1770 train_time:96877ms step_avg:580.10ms
step:168/1770 train_time:97479ms step_avg:580.23ms
step:169/1770 train_time:98073ms step_avg:580.32ms
step:170/1770 train_time:98673ms step_avg:580.43ms
step:171/1770 train_time:99267ms step_avg:580.51ms
step:172/1770 train_time:99862ms step_avg:580.59ms
step:173/1770 train_time:100456ms step_avg:580.67ms
step:174/1770 train_time:101054ms step_avg:580.77ms
step:175/1770 train_time:101644ms step_avg:580.82ms
step:176/1770 train_time:102241ms step_avg:580.91ms
step:177/1770 train_time:102839ms step_avg:581.01ms
step:178/1770 train_time:103442ms step_avg:581.14ms
step:179/1770 train_time:104037ms step_avg:581.21ms
step:180/1770 train_time:104636ms step_avg:581.31ms
step:181/1770 train_time:105232ms step_avg:581.39ms
step:182/1770 train_time:105834ms step_avg:581.51ms
step:183/1770 train_time:106434ms step_avg:581.61ms
step:184/1770 train_time:107026ms step_avg:581.66ms
step:185/1770 train_time:107626ms step_avg:581.76ms
step:186/1770 train_time:108224ms step_avg:581.85ms
step:187/1770 train_time:108830ms step_avg:581.98ms
step:188/1770 train_time:109426ms step_avg:582.05ms
step:189/1770 train_time:110022ms step_avg:582.12ms
step:190/1770 train_time:110616ms step_avg:582.19ms
step:191/1770 train_time:111215ms step_avg:582.28ms
step:192/1770 train_time:111810ms step_avg:582.34ms
step:193/1770 train_time:112414ms step_avg:582.45ms
step:194/1770 train_time:113008ms step_avg:582.52ms
step:195/1770 train_time:113605ms step_avg:582.59ms
step:196/1770 train_time:114199ms step_avg:582.65ms
step:197/1770 train_time:114797ms step_avg:582.72ms
step:198/1770 train_time:115393ms step_avg:582.79ms
step:199/1770 train_time:115992ms step_avg:582.88ms
step:200/1770 train_time:116598ms step_avg:582.99ms
step:201/1770 train_time:117192ms step_avg:583.04ms
step:202/1770 train_time:117788ms step_avg:583.11ms
step:203/1770 train_time:118386ms step_avg:583.18ms
step:204/1770 train_time:118983ms step_avg:583.25ms
step:205/1770 train_time:119581ms step_avg:583.32ms
step:206/1770 train_time:120179ms step_avg:583.40ms
step:207/1770 train_time:120781ms step_avg:583.48ms
step:208/1770 train_time:121376ms step_avg:583.54ms
step:209/1770 train_time:121974ms step_avg:583.61ms
step:210/1770 train_time:122578ms step_avg:583.71ms
step:211/1770 train_time:123176ms step_avg:583.77ms
step:212/1770 train_time:123777ms step_avg:583.85ms
step:213/1770 train_time:124375ms step_avg:583.92ms
step:214/1770 train_time:124975ms step_avg:584.00ms
step:215/1770 train_time:125575ms step_avg:584.07ms
step:216/1770 train_time:126171ms step_avg:584.13ms
step:217/1770 train_time:126774ms step_avg:584.21ms
step:218/1770 train_time:127377ms step_avg:584.30ms
step:219/1770 train_time:127974ms step_avg:584.36ms
step:220/1770 train_time:128579ms step_avg:584.45ms
step:221/1770 train_time:129176ms step_avg:584.50ms
step:222/1770 train_time:129782ms step_avg:584.60ms
step:223/1770 train_time:130378ms step_avg:584.65ms
step:224/1770 train_time:130976ms step_avg:584.72ms
step:225/1770 train_time:131577ms step_avg:584.79ms
step:226/1770 train_time:132177ms step_avg:584.85ms
step:227/1770 train_time:132774ms step_avg:584.91ms
step:228/1770 train_time:133376ms step_avg:584.98ms
step:229/1770 train_time:133977ms step_avg:585.05ms
