logs/baa4462e-8fc8-4d16-bd46-fb75cfeb564a.txt
begin training
  2%|█▉                                                                                                                   | 30/1771 [00:40<16:33,  1.75it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.09ms
step:1/1770 train_time:407ms step_avg:406.59ms
step:2/1770 train_time:860ms step_avg:430.18ms
step:3/1770 train_time:1390ms step_avg:463.29ms
step:4/1770 train_time:1952ms step_avg:488.00ms
step:5/1770 train_time:2514ms step_avg:502.77ms
step:6/1770 train_time:3074ms step_avg:512.40ms
step:7/1770 train_time:3635ms step_avg:519.23ms
step:8/1770 train_time:4193ms step_avg:524.13ms
step:9/1770 train_time:4756ms step_avg:528.43ms
step:10/1770 train_time:5322ms step_avg:532.16ms
step:11/1770 train_time:5890ms step_avg:535.42ms
step:12/1770 train_time:6453ms step_avg:537.79ms
step:13/1770 train_time:7016ms step_avg:539.69ms
step:14/1770 train_time:7582ms step_avg:541.58ms
step:15/1770 train_time:8152ms step_avg:543.50ms
step:16/1770 train_time:8720ms step_avg:544.97ms
step:17/1770 train_time:9289ms step_avg:546.42ms
step:18/1770 train_time:9852ms step_avg:547.33ms
step:19/1770 train_time:10425ms step_avg:548.69ms
step:20/1770 train_time:10990ms step_avg:549.51ms
step:21/1770 train_time:11558ms step_avg:550.39ms
step:22/1770 train_time:12131ms step_avg:551.39ms
step:23/1770 train_time:12694ms step_avg:551.91ms
step:24/1770 train_time:13268ms step_avg:552.84ms
step:25/1770 train_time:13833ms step_avg:553.31ms
step:26/1770 train_time:14405ms step_avg:554.05ms
step:27/1770 train_time:14976ms step_avg:554.67ms
step:28/1770 train_time:15549ms step_avg:555.33ms
step:29/1770 train_time:16118ms step_avg:555.78ms
step:30/1770 train_time:16689ms step_avg:556.30ms
step:31/1770 train_time:17259ms step_avg:556.75ms
step:32/1770 train_time:17830ms step_avg:557.20ms
step:33/1770 train_time:18396ms step_avg:557.45ms
step:34/1770 train_time:18969ms step_avg:557.90ms
step:35/1770 train_time:19539ms step_avg:558.25ms
step:36/1770 train_time:20109ms step_avg:558.58ms
step:37/1770 train_time:20677ms step_avg:558.84ms
step:38/1770 train_time:21249ms step_avg:559.18ms
step:39/1770 train_time:21818ms step_avg:559.44ms
step:40/1770 train_time:22388ms step_avg:559.71ms
step:41/1770 train_time:22958ms step_avg:559.95ms
step:42/1770 train_time:23527ms step_avg:560.16ms
step:43/1770 train_time:24098ms step_avg:560.41ms
step:44/1770 train_time:24668ms step_avg:560.64ms
step:45/1770 train_time:25245ms step_avg:560.99ms
step:46/1770 train_time:25815ms step_avg:561.19ms
step:47/1770 train_time:26388ms step_avg:561.45ms
step:48/1770 train_time:26963ms step_avg:561.72ms
step:49/1770 train_time:27542ms step_avg:562.08ms
step:50/1770 train_time:28129ms step_avg:562.58ms
step:51/1770 train_time:28710ms step_avg:562.93ms
step:52/1770 train_time:29293ms step_avg:563.32ms
step:53/1770 train_time:29877ms step_avg:563.71ms
step:54/1770 train_time:30462ms step_avg:564.11ms
step:55/1770 train_time:31049ms step_avg:564.53ms
step:56/1770 train_time:31637ms step_avg:564.94ms
step:57/1770 train_time:32219ms step_avg:565.25ms
step:58/1770 train_time:32805ms step_avg:565.60ms
step:59/1770 train_time:33380ms step_avg:565.76ms
step:60/1770 train_time:33967ms step_avg:566.11ms
step:61/1770 train_time:34552ms step_avg:566.42ms
step:62/1770 train_time:35130ms step_avg:566.61ms
step:63/1770 train_time:35719ms step_avg:566.98ms
step:64/1770 train_time:36302ms step_avg:567.23ms
step:65/1770 train_time:36875ms step_avg:567.31ms
step:66/1770 train_time:37462ms step_avg:567.61ms
step:67/1770 train_time:38047ms step_avg:567.86ms
step:68/1770 train_time:38631ms step_avg:568.10ms
step:69/1770 train_time:39214ms step_avg:568.32ms
step:70/1770 train_time:39803ms step_avg:568.61ms
step:71/1770 train_time:40380ms step_avg:568.73ms
step:72/1770 train_time:40963ms step_avg:568.93ms
step:73/1770 train_time:41553ms step_avg:569.22ms
step:74/1770 train_time:42134ms step_avg:569.37ms
step:75/1770 train_time:42723ms step_avg:569.64ms
step:76/1770 train_time:43303ms step_avg:569.77ms
step:77/1770 train_time:43886ms step_avg:569.95ms
step:78/1770 train_time:44481ms step_avg:570.27ms
step:79/1770 train_time:45063ms step_avg:570.41ms
step:80/1770 train_time:45650ms step_avg:570.63ms
step:81/1770 train_time:46240ms step_avg:570.86ms
step:82/1770 train_time:46819ms step_avg:570.96ms
step:83/1770 train_time:47409ms step_avg:571.19ms
step:84/1770 train_time:47991ms step_avg:571.33ms
step:85/1770 train_time:48579ms step_avg:571.52ms
step:86/1770 train_time:49170ms step_avg:571.74ms
step:87/1770 train_time:49759ms step_avg:571.94ms
step:88/1770 train_time:50350ms step_avg:572.16ms
step:89/1770 train_time:50933ms step_avg:572.28ms
step:90/1770 train_time:51525ms step_avg:572.50ms
step:91/1770 train_time:52117ms step_avg:572.72ms
step:92/1770 train_time:52705ms step_avg:572.88ms
step:93/1770 train_time:53297ms step_avg:573.09ms
step:94/1770 train_time:53878ms step_avg:573.17ms
step:95/1770 train_time:54465ms step_avg:573.31ms
step:96/1770 train_time:55057ms step_avg:573.51ms
step:97/1770 train_time:55640ms step_avg:573.60ms
step:98/1770 train_time:56237ms step_avg:573.84ms
step:99/1770 train_time:56818ms step_avg:573.92ms
step:100/1770 train_time:57407ms step_avg:574.07ms
step:101/1770 train_time:57998ms step_avg:574.23ms
step:102/1770 train_time:58585ms step_avg:574.36ms
step:103/1770 train_time:59176ms step_avg:574.52ms
step:104/1770 train_time:59764ms step_avg:574.65ms
step:105/1770 train_time:60356ms step_avg:574.82ms
step:106/1770 train_time:60947ms step_avg:574.97ms
step:107/1770 train_time:61538ms step_avg:575.12ms
step:108/1770 train_time:62133ms step_avg:575.30ms
step:109/1770 train_time:62720ms step_avg:575.42ms
step:110/1770 train_time:63316ms step_avg:575.60ms
step:111/1770 train_time:63905ms step_avg:575.72ms
step:112/1770 train_time:64489ms step_avg:575.80ms
step:113/1770 train_time:65081ms step_avg:575.94ms
step:114/1770 train_time:65674ms step_avg:576.09ms
step:115/1770 train_time:66261ms step_avg:576.19ms
step:116/1770 train_time:66852ms step_avg:576.31ms
step:117/1770 train_time:67440ms step_avg:576.41ms
step:118/1770 train_time:68036ms step_avg:576.57ms
step:119/1770 train_time:68631ms step_avg:576.73ms
step:120/1770 train_time:69221ms step_avg:576.84ms
step:121/1770 train_time:69814ms step_avg:576.97ms
step:122/1770 train_time:70405ms step_avg:577.09ms
step:123/1770 train_time:70996ms step_avg:577.20ms
step:124/1770 train_time:71592ms step_avg:577.36ms
step:125/1770 train_time:72180ms step_avg:577.44ms
step:125/1770 val_loss:4.9804 train_time:72387ms step_avg:579.10ms
step:126/1770 train_time:72782ms step_avg:577.64ms
step:127/1770 train_time:73351ms step_avg:577.57ms
step:128/1770 train_time:73935ms step_avg:577.62ms
step:129/1770 train_time:74522ms step_avg:577.69ms
step:130/1770 train_time:75102ms step_avg:577.71ms
step:131/1770 train_time:75684ms step_avg:577.74ms
step:132/1770 train_time:76273ms step_avg:577.83ms
step:133/1770 train_time:76856ms step_avg:577.86ms
step:134/1770 train_time:77452ms step_avg:578.00ms
step:135/1770 train_time:78032ms step_avg:578.02ms
step:136/1770 train_time:78625ms step_avg:578.12ms
step:137/1770 train_time:79212ms step_avg:578.19ms
step:138/1770 train_time:79797ms step_avg:578.24ms
step:139/1770 train_time:80392ms step_avg:578.36ms
step:140/1770 train_time:80981ms step_avg:578.44ms
step:141/1770 train_time:81567ms step_avg:578.49ms
step:142/1770 train_time:82161ms step_avg:578.60ms
step:143/1770 train_time:82758ms step_avg:578.73ms
step:144/1770 train_time:83349ms step_avg:578.81ms
step:145/1770 train_time:83936ms step_avg:578.87ms
step:146/1770 train_time:84532ms step_avg:578.98ms
step:147/1770 train_time:85121ms step_avg:579.05ms
step:148/1770 train_time:85716ms step_avg:579.16ms
step:149/1770 train_time:86306ms step_avg:579.23ms
step:150/1770 train_time:86904ms step_avg:579.36ms
step:151/1770 train_time:87494ms step_avg:579.43ms
step:152/1770 train_time:88092ms step_avg:579.55ms
step:153/1770 train_time:88681ms step_avg:579.61ms
step:154/1770 train_time:89272ms step_avg:579.69ms
step:155/1770 train_time:89858ms step_avg:579.73ms
step:156/1770 train_time:90449ms step_avg:579.80ms
step:157/1770 train_time:91030ms step_avg:579.81ms
step:158/1770 train_time:91613ms step_avg:579.83ms
step:159/1770 train_time:92196ms step_avg:579.85ms
step:160/1770 train_time:92780ms step_avg:579.88ms
step:161/1770 train_time:93362ms step_avg:579.89ms
step:162/1770 train_time:93943ms step_avg:579.90ms
step:163/1770 train_time:94528ms step_avg:579.92ms
step:164/1770 train_time:95112ms step_avg:579.95ms
step:165/1770 train_time:95697ms step_avg:579.98ms
step:166/1770 train_time:96281ms step_avg:580.01ms
