logs/4116981d-749b-43ed-ab63-ed23be3af802.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:42,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.21ms
step:1/1770 train_time:401ms step_avg:400.54ms
step:2/1770 train_time:861ms step_avg:430.46ms
step:3/1770 train_time:1393ms step_avg:464.22ms
step:4/1770 train_time:1949ms step_avg:487.21ms
step:5/1770 train_time:2511ms step_avg:502.25ms
step:6/1770 train_time:3073ms step_avg:512.09ms
step:7/1770 train_time:3633ms step_avg:519.07ms
step:8/1770 train_time:4192ms step_avg:524.04ms
step:9/1770 train_time:4762ms step_avg:529.14ms
step:10/1770 train_time:5337ms step_avg:533.67ms
step:11/1770 train_time:5912ms step_avg:537.43ms
step:12/1770 train_time:6483ms step_avg:540.24ms
step:13/1770 train_time:7054ms step_avg:542.60ms
step:14/1770 train_time:7627ms step_avg:544.81ms
step:15/1770 train_time:8196ms step_avg:546.39ms
step:16/1770 train_time:8773ms step_avg:548.33ms
step:17/1770 train_time:9348ms step_avg:549.86ms
step:18/1770 train_time:9922ms step_avg:551.23ms
step:19/1770 train_time:10496ms step_avg:552.40ms
step:20/1770 train_time:11075ms step_avg:553.74ms
step:21/1770 train_time:11652ms step_avg:554.85ms
step:22/1770 train_time:12227ms step_avg:555.77ms
step:23/1770 train_time:12806ms step_avg:556.80ms
step:24/1770 train_time:13382ms step_avg:557.57ms
step:25/1770 train_time:13956ms step_avg:558.22ms
step:26/1770 train_time:14535ms step_avg:559.03ms
step:27/1770 train_time:15115ms step_avg:559.81ms
step:28/1770 train_time:15695ms step_avg:560.53ms
step:29/1770 train_time:16270ms step_avg:561.03ms
step:30/1770 train_time:16841ms step_avg:561.35ms
step:31/1770 train_time:17408ms step_avg:561.56ms
step:32/1770 train_time:17979ms step_avg:561.84ms
step:33/1770 train_time:18545ms step_avg:561.98ms
step:34/1770 train_time:19114ms step_avg:562.17ms
step:35/1770 train_time:19689ms step_avg:562.53ms
step:36/1770 train_time:20258ms step_avg:562.73ms
step:37/1770 train_time:20832ms step_avg:563.04ms
step:38/1770 train_time:21400ms step_avg:563.17ms
step:39/1770 train_time:21968ms step_avg:563.27ms
step:40/1770 train_time:22537ms step_avg:563.43ms
step:41/1770 train_time:23110ms step_avg:563.65ms
step:42/1770 train_time:23695ms step_avg:564.16ms
step:43/1770 train_time:24277ms step_avg:564.58ms
step:44/1770 train_time:24848ms step_avg:564.73ms
step:45/1770 train_time:25432ms step_avg:565.15ms
step:46/1770 train_time:26015ms step_avg:565.53ms
step:47/1770 train_time:26593ms step_avg:565.81ms
step:48/1770 train_time:27170ms step_avg:566.04ms
step:49/1770 train_time:27755ms step_avg:566.44ms
step:50/1770 train_time:28336ms step_avg:566.73ms
step:51/1770 train_time:28912ms step_avg:566.91ms
step:52/1770 train_time:29495ms step_avg:567.20ms
step:53/1770 train_time:30076ms step_avg:567.47ms
step:54/1770 train_time:30648ms step_avg:567.55ms
step:55/1770 train_time:31223ms step_avg:567.70ms
step:56/1770 train_time:31810ms step_avg:568.04ms
step:57/1770 train_time:32395ms step_avg:568.34ms
step:58/1770 train_time:32977ms step_avg:568.58ms
step:59/1770 train_time:33560ms step_avg:568.82ms
step:60/1770 train_time:34146ms step_avg:569.10ms
step:61/1770 train_time:34722ms step_avg:569.21ms
step:62/1770 train_time:35308ms step_avg:569.49ms
step:63/1770 train_time:35889ms step_avg:569.67ms
step:64/1770 train_time:36471ms step_avg:569.86ms
step:65/1770 train_time:37050ms step_avg:570.00ms
