logs/3493ddf7-1f2e-4b5f-a087-5845b5b6981a.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:40<16:14,  1.79it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:0.86ms
step:1/1770 train_time:520ms step_avg:519.93ms
step:2/1770 train_time:1013ms step_avg:506.25ms
step:3/1770 train_time:1559ms step_avg:519.78ms
step:4/1770 train_time:2105ms step_avg:526.24ms
step:5/1770 train_time:2653ms step_avg:530.65ms
step:6/1770 train_time:3202ms step_avg:533.60ms
step:7/1770 train_time:3750ms step_avg:535.73ms
step:8/1770 train_time:4302ms step_avg:537.75ms
step:9/1770 train_time:4851ms step_avg:538.97ms
step:10/1770 train_time:5409ms step_avg:540.88ms
step:11/1770 train_time:5969ms step_avg:542.62ms
step:12/1770 train_time:6526ms step_avg:543.87ms
step:13/1770 train_time:7089ms step_avg:545.29ms
step:14/1770 train_time:7647ms step_avg:546.24ms
step:15/1770 train_time:8209ms step_avg:547.28ms
step:16/1770 train_time:8771ms step_avg:548.16ms
step:17/1770 train_time:9324ms step_avg:548.49ms
step:18/1770 train_time:9886ms step_avg:549.23ms
step:19/1770 train_time:10444ms step_avg:549.69ms
step:20/1770 train_time:11002ms step_avg:550.12ms
step:21/1770 train_time:11563ms step_avg:550.62ms
step:22/1770 train_time:12121ms step_avg:550.94ms
step:23/1770 train_time:12678ms step_avg:551.24ms
step:24/1770 train_time:13236ms step_avg:551.50ms
step:25/1770 train_time:13794ms step_avg:551.77ms
step:26/1770 train_time:14353ms step_avg:552.05ms
step:27/1770 train_time:14912ms step_avg:552.31ms
step:28/1770 train_time:15470ms step_avg:552.50ms
step:29/1770 train_time:16029ms step_avg:552.74ms
step:30/1770 train_time:16590ms step_avg:553.01ms
step:31/1770 train_time:17144ms step_avg:553.04ms
step:32/1770 train_time:17707ms step_avg:553.34ms
step:33/1770 train_time:18267ms step_avg:553.55ms
step:34/1770 train_time:18823ms step_avg:553.63ms
step:35/1770 train_time:19385ms step_avg:553.86ms
step:36/1770 train_time:19947ms step_avg:554.07ms
step:37/1770 train_time:20508ms step_avg:554.26ms
step:38/1770 train_time:21067ms step_avg:554.39ms
step:39/1770 train_time:21628ms step_avg:554.58ms
step:40/1770 train_time:22188ms step_avg:554.70ms
step:41/1770 train_time:22744ms step_avg:554.72ms
step:42/1770 train_time:23306ms step_avg:554.91ms
step:43/1770 train_time:23865ms step_avg:555.00ms
step:44/1770 train_time:24424ms step_avg:555.10ms
step:45/1770 train_time:24986ms step_avg:555.25ms
step:46/1770 train_time:25550ms step_avg:555.43ms
step:47/1770 train_time:26113ms step_avg:555.60ms
step:48/1770 train_time:26681ms step_avg:555.85ms
step:49/1770 train_time:27244ms step_avg:556.01ms
step:50/1770 train_time:27808ms step_avg:556.16ms
step:51/1770 train_time:28371ms step_avg:556.29ms
step:52/1770 train_time:28935ms step_avg:556.45ms
step:53/1770 train_time:29503ms step_avg:556.65ms
step:54/1770 train_time:30060ms step_avg:556.67ms
step:55/1770 train_time:30626ms step_avg:556.84ms
step:56/1770 train_time:31190ms step_avg:556.97ms
step:57/1770 train_time:31756ms step_avg:557.13ms
step:58/1770 train_time:32324ms step_avg:557.30ms
step:59/1770 train_time:32887ms step_avg:557.41ms
step:60/1770 train_time:33453ms step_avg:557.55ms
step:61/1770 train_time:34022ms step_avg:557.73ms
step:62/1770 train_time:34586ms step_avg:557.84ms
step:63/1770 train_time:35150ms step_avg:557.93ms
step:64/1770 train_time:35720ms step_avg:558.12ms
step:65/1770 train_time:36284ms step_avg:558.22ms
step:66/1770 train_time:36852ms step_avg:558.36ms
step:67/1770 train_time:37421ms step_avg:558.52ms
step:68/1770 train_time:37987ms step_avg:558.64ms
step:69/1770 train_time:38559ms step_avg:558.83ms
step:70/1770 train_time:39128ms step_avg:558.97ms
step:71/1770 train_time:39695ms step_avg:559.09ms
step:72/1770 train_time:40261ms step_avg:559.18ms
step:73/1770 train_time:40832ms step_avg:559.34ms
step:74/1770 train_time:41401ms step_avg:559.48ms
step:75/1770 train_time:41969ms step_avg:559.58ms
step:76/1770 train_time:42541ms step_avg:559.75ms
step:77/1770 train_time:43107ms step_avg:559.83ms
step:78/1770 train_time:43678ms step_avg:559.98ms
step:79/1770 train_time:44248ms step_avg:560.10ms
step:80/1770 train_time:44819ms step_avg:560.23ms
