logs/2fef7bee-3f4e-405b-be1d-01931c7302c6.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:40<16:15,  1.79it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.32ms
step:1/1770 train_time:395ms step_avg:395.01ms
step:2/1770 train_time:840ms step_avg:419.87ms
step:3/1770 train_time:1360ms step_avg:453.31ms
step:4/1770 train_time:1910ms step_avg:477.44ms
step:5/1770 train_time:2460ms step_avg:491.90ms
step:6/1770 train_time:3013ms step_avg:502.17ms
step:7/1770 train_time:3567ms step_avg:509.60ms
step:8/1770 train_time:4116ms step_avg:514.47ms
step:9/1770 train_time:4675ms step_avg:519.39ms
step:10/1770 train_time:5228ms step_avg:522.80ms
step:11/1770 train_time:5778ms step_avg:525.31ms
step:12/1770 train_time:6331ms step_avg:527.59ms
step:13/1770 train_time:6886ms step_avg:529.72ms
step:14/1770 train_time:7439ms step_avg:531.33ms
step:15/1770 train_time:7995ms step_avg:532.99ms
step:16/1770 train_time:8549ms step_avg:534.29ms
step:17/1770 train_time:9105ms step_avg:535.61ms
step:18/1770 train_time:9656ms step_avg:536.43ms
step:19/1770 train_time:10214ms step_avg:537.60ms
step:20/1770 train_time:10757ms step_avg:537.83ms
step:21/1770 train_time:11316ms step_avg:538.85ms
step:22/1770 train_time:11872ms step_avg:539.63ms
step:23/1770 train_time:12430ms step_avg:540.43ms
step:24/1770 train_time:12995ms step_avg:541.44ms
step:25/1770 train_time:13547ms step_avg:541.88ms
step:26/1770 train_time:14108ms step_avg:542.62ms
step:27/1770 train_time:14668ms step_avg:543.26ms
step:28/1770 train_time:15232ms step_avg:544.00ms
step:29/1770 train_time:15791ms step_avg:544.52ms
step:30/1770 train_time:16351ms step_avg:545.05ms
step:31/1770 train_time:16914ms step_avg:545.61ms
step:32/1770 train_time:17472ms step_avg:546.00ms
step:33/1770 train_time:18032ms step_avg:546.43ms
step:34/1770 train_time:18598ms step_avg:547.01ms
step:35/1770 train_time:19154ms step_avg:547.25ms
step:36/1770 train_time:19719ms step_avg:547.76ms
step:37/1770 train_time:20274ms step_avg:547.94ms
step:38/1770 train_time:20837ms step_avg:548.35ms
step:39/1770 train_time:21394ms step_avg:548.56ms
step:40/1770 train_time:21949ms step_avg:548.71ms
step:41/1770 train_time:22505ms step_avg:548.89ms
step:42/1770 train_time:23054ms step_avg:548.90ms
step:43/1770 train_time:23607ms step_avg:549.00ms
step:44/1770 train_time:24162ms step_avg:549.14ms
step:45/1770 train_time:24713ms step_avg:549.17ms
step:46/1770 train_time:25269ms step_avg:549.33ms
step:47/1770 train_time:25826ms step_avg:549.49ms
step:48/1770 train_time:26378ms step_avg:549.53ms
step:49/1770 train_time:26931ms step_avg:549.61ms
step:50/1770 train_time:27485ms step_avg:549.70ms
step:51/1770 train_time:28043ms step_avg:549.86ms
step:52/1770 train_time:28596ms step_avg:549.93ms
step:53/1770 train_time:29152ms step_avg:550.04ms
step:54/1770 train_time:29704ms step_avg:550.07ms
step:55/1770 train_time:30262ms step_avg:550.21ms
step:56/1770 train_time:30821ms step_avg:550.38ms
step:57/1770 train_time:31382ms step_avg:550.56ms
step:58/1770 train_time:31943ms step_avg:550.74ms
step:59/1770 train_time:32502ms step_avg:550.89ms
step:60/1770 train_time:33061ms step_avg:551.02ms
step:61/1770 train_time:33622ms step_avg:551.18ms
step:62/1770 train_time:34182ms step_avg:551.32ms
step:63/1770 train_time:34742ms step_avg:551.46ms
step:64/1770 train_time:35301ms step_avg:551.58ms
step:65/1770 train_time:35860ms step_avg:551.70ms
step:66/1770 train_time:36421ms step_avg:551.84ms
step:67/1770 train_time:36981ms step_avg:551.96ms
step:68/1770 train_time:37548ms step_avg:552.18ms
step:69/1770 train_time:38106ms step_avg:552.25ms
step:70/1770 train_time:38668ms step_avg:552.40ms
step:71/1770 train_time:39227ms step_avg:552.49ms
step:72/1770 train_time:39786ms step_avg:552.59ms
step:73/1770 train_time:40348ms step_avg:552.71ms
step:74/1770 train_time:40905ms step_avg:552.78ms
step:75/1770 train_time:41467ms step_avg:552.90ms
step:76/1770 train_time:42026ms step_avg:552.98ms
step:77/1770 train_time:42585ms step_avg:553.06ms
step:78/1770 train_time:43148ms step_avg:553.17ms
step:79/1770 train_time:43708ms step_avg:553.26ms
step:80/1770 train_time:44267ms step_avg:553.33ms
step:81/1770 train_time:44827ms step_avg:553.42ms
step:82/1770 train_time:45395ms step_avg:553.59ms
step:83/1770 train_time:45959ms step_avg:553.72ms
step:84/1770 train_time:46534ms step_avg:553.98ms
step:85/1770 train_time:47107ms step_avg:554.20ms
step:86/1770 train_time:47677ms step_avg:554.39ms
step:87/1770 train_time:48242ms step_avg:554.51ms
step:88/1770 train_time:48815ms step_avg:554.72ms
step:89/1770 train_time:49386ms step_avg:554.90ms
step:90/1770 train_time:49960ms step_avg:555.11ms
step:91/1770 train_time:50536ms step_avg:555.34ms
step:92/1770 train_time:51106ms step_avg:555.50ms
step:93/1770 train_time:51677ms step_avg:555.66ms
step:94/1770 train_time:52238ms step_avg:555.72ms
step:95/1770 train_time:52810ms step_avg:555.90ms
step:96/1770 train_time:53377ms step_avg:556.01ms
step:97/1770 train_time:53959ms step_avg:556.28ms
step:98/1770 train_time:54531ms step_avg:556.44ms
step:99/1770 train_time:55103ms step_avg:556.60ms
step:100/1770 train_time:55672ms step_avg:556.72ms
step:101/1770 train_time:56247ms step_avg:556.91ms
step:102/1770 train_time:56822ms step_avg:557.08ms
step:103/1770 train_time:57392ms step_avg:557.21ms
step:104/1770 train_time:57955ms step_avg:557.26ms
step:105/1770 train_time:58535ms step_avg:557.47ms
step:106/1770 train_time:59103ms step_avg:557.58ms
step:107/1770 train_time:59674ms step_avg:557.70ms
step:108/1770 train_time:60254ms step_avg:557.90ms
step:109/1770 train_time:60822ms step_avg:558.00ms
step:110/1770 train_time:61396ms step_avg:558.15ms
step:111/1770 train_time:61975ms step_avg:558.33ms
step:112/1770 train_time:62555ms step_avg:558.53ms
step:113/1770 train_time:63132ms step_avg:558.69ms
step:114/1770 train_time:63705ms step_avg:558.81ms
step:115/1770 train_time:64280ms step_avg:558.95ms
step:116/1770 train_time:64852ms step_avg:559.07ms
step:117/1770 train_time:65430ms step_avg:559.23ms
step:118/1770 train_time:65999ms step_avg:559.32ms
step:119/1770 train_time:66568ms step_avg:559.40ms
step:120/1770 train_time:67139ms step_avg:559.49ms
step:121/1770 train_time:67716ms step_avg:559.64ms
step:122/1770 train_time:68291ms step_avg:559.76ms
step:123/1770 train_time:68861ms step_avg:559.85ms
step:124/1770 train_time:69439ms step_avg:559.99ms
step:125/1770 train_time:70014ms step_avg:560.11ms
step:125/1770 val_loss:4.9146 train_time:70218ms step_avg:561.74ms
step:126/1770 train_time:70602ms step_avg:560.33ms
step:127/1770 train_time:71173ms step_avg:560.42ms
step:128/1770 train_time:71745ms step_avg:560.51ms
step:129/1770 train_time:72316ms step_avg:560.59ms
step:130/1770 train_time:72887ms step_avg:560.67ms
step:131/1770 train_time:73463ms step_avg:560.79ms
step:132/1770 train_time:74037ms step_avg:560.89ms
step:133/1770 train_time:74610ms step_avg:560.98ms
step:134/1770 train_time:75176ms step_avg:561.02ms
step:135/1770 train_time:75756ms step_avg:561.15ms
step:136/1770 train_time:76332ms step_avg:561.26ms
step:137/1770 train_time:76911ms step_avg:561.40ms
step:138/1770 train_time:77492ms step_avg:561.53ms
step:139/1770 train_time:78071ms step_avg:561.66ms
step:140/1770 train_time:78655ms step_avg:561.82ms
step:141/1770 train_time:79234ms step_avg:561.94ms
step:142/1770 train_time:79814ms step_avg:562.07ms
step:143/1770 train_time:80390ms step_avg:562.17ms
step:144/1770 train_time:80971ms step_avg:562.30ms
step:145/1770 train_time:81549ms step_avg:562.41ms
step:146/1770 train_time:82130ms step_avg:562.54ms
step:147/1770 train_time:82715ms step_avg:562.69ms
step:148/1770 train_time:83293ms step_avg:562.79ms
step:149/1770 train_time:83868ms step_avg:562.87ms
step:150/1770 train_time:84449ms step_avg:562.99ms
step:151/1770 train_time:85025ms step_avg:563.08ms
step:152/1770 train_time:85606ms step_avg:563.20ms
step:153/1770 train_time:86185ms step_avg:563.30ms
step:154/1770 train_time:86768ms step_avg:563.43ms
step:155/1770 train_time:87352ms step_avg:563.56ms
step:156/1770 train_time:87924ms step_avg:563.61ms
step:157/1770 train_time:88504ms step_avg:563.72ms
step:158/1770 train_time:89081ms step_avg:563.80ms
step:159/1770 train_time:89666ms step_avg:563.94ms
step:160/1770 train_time:90250ms step_avg:564.06ms
step:161/1770 train_time:90832ms step_avg:564.17ms
step:162/1770 train_time:91408ms step_avg:564.25ms
step:163/1770 train_time:91991ms step_avg:564.36ms
step:164/1770 train_time:92580ms step_avg:564.51ms
step:165/1770 train_time:93153ms step_avg:564.57ms
step:166/1770 train_time:93730ms step_avg:564.64ms
step:167/1770 train_time:94324ms step_avg:564.81ms
step:168/1770 train_time:94901ms step_avg:564.89ms
step:169/1770 train_time:95492ms step_avg:565.04ms
step:170/1770 train_time:96084ms step_avg:565.20ms
step:171/1770 train_time:96660ms step_avg:565.26ms
step:172/1770 train_time:97253ms step_avg:565.42ms
step:173/1770 train_time:97833ms step_avg:565.51ms
step:174/1770 train_time:98415ms step_avg:565.61ms
step:175/1770 train_time:99004ms step_avg:565.74ms
step:176/1770 train_time:99590ms step_avg:565.85ms
step:177/1770 train_time:100175ms step_avg:565.96ms
step:178/1770 train_time:100760ms step_avg:566.07ms
step:179/1770 train_time:101341ms step_avg:566.15ms
step:180/1770 train_time:101926ms step_avg:566.25ms
step:181/1770 train_time:102517ms step_avg:566.39ms
step:182/1770 train_time:103094ms step_avg:566.45ms
step:183/1770 train_time:103688ms step_avg:566.60ms
step:184/1770 train_time:104271ms step_avg:566.69ms
step:185/1770 train_time:104847ms step_avg:566.74ms
step:186/1770 train_time:105438ms step_avg:566.87ms
step:187/1770 train_time:106024ms step_avg:566.98ms
step:188/1770 train_time:106604ms step_avg:567.04ms
step:189/1770 train_time:107195ms step_avg:567.17ms
step:190/1770 train_time:107777ms step_avg:567.25ms
step:191/1770 train_time:108357ms step_avg:567.31ms
step:192/1770 train_time:108947ms step_avg:567.43ms
step:193/1770 train_time:109531ms step_avg:567.52ms
step:194/1770 train_time:110114ms step_avg:567.60ms
step:195/1770 train_time:110710ms step_avg:567.75ms
step:196/1770 train_time:111296ms step_avg:567.84ms
step:197/1770 train_time:111887ms step_avg:567.95ms
step:198/1770 train_time:112466ms step_avg:568.01ms
step:199/1770 train_time:113056ms step_avg:568.12ms
step:200/1770 train_time:113648ms step_avg:568.24ms
step:201/1770 train_time:114239ms step_avg:568.35ms
step:202/1770 train_time:114832ms step_avg:568.48ms
step:203/1770 train_time:115414ms step_avg:568.54ms
step:204/1770 train_time:116006ms step_avg:568.66ms
step:205/1770 train_time:116590ms step_avg:568.73ms
step:206/1770 train_time:117175ms step_avg:568.81ms
step:207/1770 train_time:117764ms step_avg:568.91ms
step:208/1770 train_time:118344ms step_avg:568.96ms
step:209/1770 train_time:118938ms step_avg:569.08ms
step:210/1770 train_time:119525ms step_avg:569.17ms
step:211/1770 train_time:120116ms step_avg:569.27ms
step:212/1770 train_time:120705ms step_avg:569.36ms
step:213/1770 train_time:121295ms step_avg:569.46ms
step:214/1770 train_time:121890ms step_avg:569.58ms
step:215/1770 train_time:122472ms step_avg:569.64ms
step:216/1770 train_time:123065ms step_avg:569.74ms
step:217/1770 train_time:123655ms step_avg:569.84ms
step:218/1770 train_time:124238ms step_avg:569.90ms
step:219/1770 train_time:124832ms step_avg:570.01ms
step:220/1770 train_time:125414ms step_avg:570.06ms
step:221/1770 train_time:126008ms step_avg:570.17ms
step:222/1770 train_time:126596ms step_avg:570.25ms
step:223/1770 train_time:127183ms step_avg:570.33ms
step:224/1770 train_time:127772ms step_avg:570.41ms
step:225/1770 train_time:128362ms step_avg:570.50ms
step:226/1770 train_time:128957ms step_avg:570.61ms
step:227/1770 train_time:129544ms step_avg:570.68ms
step:228/1770 train_time:130131ms step_avg:570.75ms
step:229/1770 train_time:130729ms step_avg:570.87ms
step:230/1770 train_time:131313ms step_avg:570.92ms
