logs/9a09b64b-027d-41e8-81bf-40696362ab69.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:39,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.55ms
step:1/1770 train_time:531ms step_avg:530.69ms
step:2/1770 train_time:1040ms step_avg:519.87ms
step:3/1770 train_time:1603ms step_avg:534.18ms
step:4/1770 train_time:2171ms step_avg:542.79ms
step:5/1770 train_time:2739ms step_avg:547.88ms
step:6/1770 train_time:3307ms step_avg:551.18ms
step:7/1770 train_time:3871ms step_avg:552.97ms
step:8/1770 train_time:4440ms step_avg:554.99ms
step:9/1770 train_time:5009ms step_avg:556.55ms
step:10/1770 train_time:5579ms step_avg:557.89ms
step:11/1770 train_time:6149ms step_avg:558.97ms
step:12/1770 train_time:6719ms step_avg:559.93ms
step:13/1770 train_time:7289ms step_avg:560.69ms
step:14/1770 train_time:7859ms step_avg:561.36ms
step:15/1770 train_time:8430ms step_avg:561.98ms
step:16/1770 train_time:9002ms step_avg:562.60ms
step:17/1770 train_time:9569ms step_avg:562.91ms
step:18/1770 train_time:10145ms step_avg:563.62ms
step:19/1770 train_time:10717ms step_avg:564.06ms
step:20/1770 train_time:11289ms step_avg:564.44ms
step:21/1770 train_time:11859ms step_avg:564.71ms
step:22/1770 train_time:12430ms step_avg:564.98ms
step:23/1770 train_time:12997ms step_avg:565.09ms
step:24/1770 train_time:13567ms step_avg:565.31ms
step:25/1770 train_time:14137ms step_avg:565.46ms
step:26/1770 train_time:14711ms step_avg:565.81ms
step:27/1770 train_time:15286ms step_avg:566.15ms
step:28/1770 train_time:15862ms step_avg:566.51ms
step:29/1770 train_time:16438ms step_avg:566.82ms
step:30/1770 train_time:17011ms step_avg:567.03ms
step:31/1770 train_time:17590ms step_avg:567.40ms
step:32/1770 train_time:18167ms step_avg:567.71ms
step:33/1770 train_time:18742ms step_avg:567.94ms
step:34/1770 train_time:19319ms step_avg:568.20ms
step:35/1770 train_time:19887ms step_avg:568.21ms
step:36/1770 train_time:20466ms step_avg:568.51ms
step:37/1770 train_time:21037ms step_avg:568.57ms
step:38/1770 train_time:21609ms step_avg:568.67ms
step:39/1770 train_time:22185ms step_avg:568.86ms
step:40/1770 train_time:22766ms step_avg:569.16ms
step:41/1770 train_time:23345ms step_avg:569.40ms
step:42/1770 train_time:23924ms step_avg:569.62ms
step:43/1770 train_time:24504ms step_avg:569.86ms
step:44/1770 train_time:25080ms step_avg:569.99ms
step:45/1770 train_time:25656ms step_avg:570.13ms
step:46/1770 train_time:26228ms step_avg:570.18ms
step:47/1770 train_time:26804ms step_avg:570.30ms
