logs/1af0bf3e-fe94-4d75-aeda-f21167da1d49.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:43<16:53,  1.72it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.39ms
step:1/1770 train_time:891ms step_avg:891.48ms
step:2/1770 train_time:1407ms step_avg:703.42ms
step:3/1770 train_time:1975ms step_avg:658.49ms
step:4/1770 train_time:2553ms step_avg:638.31ms
step:5/1770 train_time:3134ms step_avg:626.86ms
step:6/1770 train_time:3709ms step_avg:618.14ms
step:7/1770 train_time:4280ms step_avg:611.37ms
step:8/1770 train_time:4849ms step_avg:606.08ms
step:9/1770 train_time:5417ms step_avg:601.89ms
step:10/1770 train_time:5984ms step_avg:598.41ms
step:11/1770 train_time:6556ms step_avg:595.97ms
step:12/1770 train_time:7129ms step_avg:594.12ms
step:13/1770 train_time:7708ms step_avg:592.91ms
step:14/1770 train_time:8288ms step_avg:591.98ms
step:15/1770 train_time:8867ms step_avg:591.14ms
step:16/1770 train_time:9451ms step_avg:590.72ms
step:17/1770 train_time:10027ms step_avg:589.85ms
step:18/1770 train_time:10611ms step_avg:589.48ms
step:19/1770 train_time:11186ms step_avg:588.76ms
step:20/1770 train_time:11769ms step_avg:588.44ms
step:21/1770 train_time:12351ms step_avg:588.13ms
step:22/1770 train_time:12930ms step_avg:587.75ms
step:23/1770 train_time:13503ms step_avg:587.08ms
step:24/1770 train_time:14081ms step_avg:586.72ms
step:25/1770 train_time:14664ms step_avg:586.57ms
step:26/1770 train_time:15244ms step_avg:586.31ms
step:27/1770 train_time:15830ms step_avg:586.28ms
step:28/1770 train_time:16411ms step_avg:586.12ms
step:29/1770 train_time:16990ms step_avg:585.86ms
step:30/1770 train_time:17574ms step_avg:585.81ms
step:31/1770 train_time:18153ms step_avg:585.58ms
step:32/1770 train_time:18727ms step_avg:585.21ms
step:33/1770 train_time:19309ms step_avg:585.13ms
step:34/1770 train_time:19891ms step_avg:585.04ms
step:35/1770 train_time:20468ms step_avg:584.80ms
step:36/1770 train_time:21049ms step_avg:584.69ms
step:37/1770 train_time:21632ms step_avg:584.64ms
step:38/1770 train_time:22216ms step_avg:584.63ms
step:39/1770 train_time:22797ms step_avg:584.55ms
step:40/1770 train_time:23381ms step_avg:584.52ms
step:41/1770 train_time:23965ms step_avg:584.50ms
step:42/1770 train_time:24549ms step_avg:584.51ms
step:43/1770 train_time:25128ms step_avg:584.37ms
step:44/1770 train_time:25709ms step_avg:584.29ms
step:45/1770 train_time:26296ms step_avg:584.35ms
step:46/1770 train_time:26875ms step_avg:584.24ms
step:47/1770 train_time:27460ms step_avg:584.25ms
step:48/1770 train_time:28044ms step_avg:584.25ms
step:49/1770 train_time:28626ms step_avg:584.21ms
step:50/1770 train_time:29209ms step_avg:584.18ms
step:51/1770 train_time:29796ms step_avg:584.23ms
step:52/1770 train_time:30387ms step_avg:584.37ms
step:53/1770 train_time:30973ms step_avg:584.40ms
step:54/1770 train_time:31562ms step_avg:584.47ms
step:55/1770 train_time:32146ms step_avg:584.48ms
step:56/1770 train_time:32732ms step_avg:584.51ms
step:57/1770 train_time:33317ms step_avg:584.51ms
step:58/1770 train_time:33900ms step_avg:584.49ms
step:59/1770 train_time:34483ms step_avg:584.46ms
step:60/1770 train_time:35069ms step_avg:584.49ms
step:61/1770 train_time:35653ms step_avg:584.48ms
step:62/1770 train_time:36241ms step_avg:584.54ms
step:63/1770 train_time:36824ms step_avg:584.51ms
step:64/1770 train_time:37411ms step_avg:584.55ms
step:65/1770 train_time:38003ms step_avg:584.65ms
step:66/1770 train_time:38589ms step_avg:584.68ms
step:67/1770 train_time:39173ms step_avg:584.67ms
step:68/1770 train_time:39761ms step_avg:584.72ms
step:69/1770 train_time:40350ms step_avg:584.78ms
step:70/1770 train_time:40940ms step_avg:584.86ms
step:71/1770 train_time:41530ms step_avg:584.93ms
step:72/1770 train_time:42120ms step_avg:585.00ms
step:73/1770 train_time:42710ms step_avg:585.07ms
step:74/1770 train_time:43302ms step_avg:585.16ms
step:75/1770 train_time:43890ms step_avg:585.20ms
step:76/1770 train_time:44478ms step_avg:585.24ms
step:77/1770 train_time:45066ms step_avg:585.27ms
step:78/1770 train_time:45657ms step_avg:585.35ms
step:79/1770 train_time:46249ms step_avg:585.43ms
step:80/1770 train_time:46840ms step_avg:585.49ms
step:81/1770 train_time:47427ms step_avg:585.51ms
step:82/1770 train_time:48017ms step_avg:585.57ms
step:83/1770 train_time:48601ms step_avg:585.56ms
step:84/1770 train_time:49187ms step_avg:585.56ms
step:85/1770 train_time:49779ms step_avg:585.63ms
step:86/1770 train_time:50369ms step_avg:585.68ms
step:87/1770 train_time:50953ms step_avg:585.67ms
step:88/1770 train_time:51547ms step_avg:585.76ms
step:89/1770 train_time:52138ms step_avg:585.82ms
step:90/1770 train_time:52729ms step_avg:585.88ms
step:91/1770 train_time:53318ms step_avg:585.91ms
step:92/1770 train_time:53907ms step_avg:585.95ms
step:93/1770 train_time:54496ms step_avg:585.98ms
step:94/1770 train_time:55084ms step_avg:586.00ms
step:95/1770 train_time:55670ms step_avg:586.00ms
step:96/1770 train_time:56262ms step_avg:586.06ms
step:97/1770 train_time:56850ms step_avg:586.08ms
step:98/1770 train_time:57440ms step_avg:586.12ms
step:99/1770 train_time:58028ms step_avg:586.14ms
step:100/1770 train_time:58615ms step_avg:586.15ms
step:101/1770 train_time:59205ms step_avg:586.19ms
step:102/1770 train_time:59798ms step_avg:586.26ms
step:103/1770 train_time:60397ms step_avg:586.37ms
step:104/1770 train_time:60984ms step_avg:586.39ms
step:105/1770 train_time:61579ms step_avg:586.47ms
step:106/1770 train_time:62168ms step_avg:586.49ms
step:107/1770 train_time:62764ms step_avg:586.58ms
step:108/1770 train_time:63355ms step_avg:586.62ms
step:109/1770 train_time:63945ms step_avg:586.66ms
step:110/1770 train_time:64535ms step_avg:586.68ms
step:111/1770 train_time:65122ms step_avg:586.69ms
step:112/1770 train_time:65713ms step_avg:586.72ms
step:113/1770 train_time:66303ms step_avg:586.75ms
step:114/1770 train_time:66893ms step_avg:586.78ms
step:115/1770 train_time:67488ms step_avg:586.85ms
step:116/1770 train_time:68080ms step_avg:586.89ms
step:117/1770 train_time:68675ms step_avg:586.96ms
step:118/1770 train_time:69268ms step_avg:587.02ms
step:119/1770 train_time:69858ms step_avg:587.05ms
step:120/1770 train_time:70450ms step_avg:587.08ms
step:121/1770 train_time:71037ms step_avg:587.08ms
step:122/1770 train_time:71628ms step_avg:587.11ms
step:123/1770 train_time:72221ms step_avg:587.16ms
step:124/1770 train_time:72813ms step_avg:587.20ms
step:125/1770 train_time:73410ms step_avg:587.28ms
step:125/1770 val_loss:4.9615 train_time:73419ms step_avg:587.35ms
step:126/1770 train_time:74013ms step_avg:587.41ms
step:127/1770 train_time:74603ms step_avg:587.42ms
step:128/1770 train_time:75185ms step_avg:587.39ms
step:129/1770 train_time:75769ms step_avg:587.36ms
step:130/1770 train_time:76353ms step_avg:587.33ms
step:131/1770 train_time:76940ms step_avg:587.33ms
step:132/1770 train_time:77526ms step_avg:587.32ms
step:133/1770 train_time:78117ms step_avg:587.35ms
step:134/1770 train_time:78712ms step_avg:587.40ms
step:135/1770 train_time:79304ms step_avg:587.44ms
step:136/1770 train_time:79896ms step_avg:587.47ms
