logs/895a387a-1888-441a-9a9e-1f3ef2f9865e.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:46<16:47,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.03ms
step:1/1770 train_time:698ms step_avg:697.77ms
step:2/1770 train_time:1203ms step_avg:601.73ms
step:3/1770 train_time:1775ms step_avg:591.75ms
step:4/1770 train_time:2344ms step_avg:585.91ms
step:5/1770 train_time:2915ms step_avg:583.02ms
step:6/1770 train_time:3486ms step_avg:580.95ms
step:7/1770 train_time:4059ms step_avg:579.85ms
step:8/1770 train_time:4632ms step_avg:579.00ms
step:9/1770 train_time:5205ms step_avg:578.32ms
step:10/1770 train_time:5782ms step_avg:578.17ms
step:11/1770 train_time:6354ms step_avg:577.65ms
step:12/1770 train_time:6930ms step_avg:577.49ms
step:13/1770 train_time:7501ms step_avg:577.04ms
step:14/1770 train_time:8080ms step_avg:577.17ms
step:15/1770 train_time:8655ms step_avg:576.98ms
step:16/1770 train_time:9229ms step_avg:576.83ms
step:17/1770 train_time:9800ms step_avg:576.47ms
step:18/1770 train_time:10372ms step_avg:576.20ms
step:19/1770 train_time:10944ms step_avg:576.01ms
step:20/1770 train_time:11521ms step_avg:576.07ms
step:21/1770 train_time:12096ms step_avg:576.01ms
step:22/1770 train_time:12671ms step_avg:575.93ms
step:23/1770 train_time:13247ms step_avg:575.97ms
step:24/1770 train_time:13822ms step_avg:575.91ms
step:25/1770 train_time:14399ms step_avg:575.98ms
step:26/1770 train_time:14979ms step_avg:576.11ms
step:27/1770 train_time:15556ms step_avg:576.14ms
step:28/1770 train_time:16134ms step_avg:576.20ms
step:29/1770 train_time:16714ms step_avg:576.34ms
step:30/1770 train_time:17293ms step_avg:576.43ms
step:31/1770 train_time:17874ms step_avg:576.59ms
step:32/1770 train_time:18446ms step_avg:576.43ms
step:33/1770 train_time:19025ms step_avg:576.52ms
step:34/1770 train_time:19598ms step_avg:576.41ms
step:35/1770 train_time:20180ms step_avg:576.57ms
step:36/1770 train_time:20761ms step_avg:576.69ms
step:37/1770 train_time:21337ms step_avg:576.67ms
step:38/1770 train_time:21919ms step_avg:576.80ms
step:39/1770 train_time:22496ms step_avg:576.81ms
step:40/1770 train_time:23078ms step_avg:576.96ms
step:41/1770 train_time:23658ms step_avg:577.02ms
step:42/1770 train_time:24237ms step_avg:577.08ms
step:43/1770 train_time:24822ms step_avg:577.25ms
step:44/1770 train_time:25397ms step_avg:577.20ms
step:45/1770 train_time:25977ms step_avg:577.26ms
step:46/1770 train_time:26563ms step_avg:577.46ms
step:47/1770 train_time:27144ms step_avg:577.53ms
step:48/1770 train_time:27721ms step_avg:577.51ms
step:49/1770 train_time:28299ms step_avg:577.53ms
step:50/1770 train_time:28885ms step_avg:577.71ms
step:51/1770 train_time:29466ms step_avg:577.77ms
step:52/1770 train_time:30055ms step_avg:577.99ms
step:53/1770 train_time:30632ms step_avg:577.95ms
step:54/1770 train_time:31218ms step_avg:578.11ms
step:55/1770 train_time:31797ms step_avg:578.14ms
step:56/1770 train_time:32379ms step_avg:578.19ms
step:57/1770 train_time:32962ms step_avg:578.28ms
step:58/1770 train_time:33542ms step_avg:578.30ms
step:59/1770 train_time:34126ms step_avg:578.41ms
step:60/1770 train_time:34714ms step_avg:578.57ms
step:61/1770 train_time:35296ms step_avg:578.62ms
step:62/1770 train_time:35876ms step_avg:578.65ms
step:63/1770 train_time:36461ms step_avg:578.75ms
step:64/1770 train_time:37043ms step_avg:578.79ms
step:65/1770 train_time:37631ms step_avg:578.94ms
step:66/1770 train_time:38211ms step_avg:578.95ms
step:67/1770 train_time:38798ms step_avg:579.07ms
step:68/1770 train_time:39379ms step_avg:579.11ms
step:69/1770 train_time:39964ms step_avg:579.18ms
step:70/1770 train_time:40551ms step_avg:579.30ms
step:71/1770 train_time:41136ms step_avg:579.38ms
step:72/1770 train_time:41721ms step_avg:579.46ms
step:73/1770 train_time:42302ms step_avg:579.48ms
step:74/1770 train_time:42884ms step_avg:579.51ms
step:75/1770 train_time:43471ms step_avg:579.62ms
step:76/1770 train_time:44051ms step_avg:579.62ms
step:77/1770 train_time:44637ms step_avg:579.70ms
step:78/1770 train_time:45223ms step_avg:579.78ms
step:79/1770 train_time:45813ms step_avg:579.92ms
step:80/1770 train_time:46405ms step_avg:580.06ms
step:81/1770 train_time:46989ms step_avg:580.12ms
step:82/1770 train_time:47580ms step_avg:580.24ms
step:83/1770 train_time:48158ms step_avg:580.22ms
step:84/1770 train_time:48747ms step_avg:580.32ms
step:85/1770 train_time:49333ms step_avg:580.38ms
step:86/1770 train_time:49919ms step_avg:580.45ms
step:87/1770 train_time:50510ms step_avg:580.57ms
step:88/1770 train_time:51094ms step_avg:580.62ms
step:89/1770 train_time:51688ms step_avg:580.76ms
step:90/1770 train_time:52280ms step_avg:580.89ms
step:91/1770 train_time:52872ms step_avg:581.02ms
step:92/1770 train_time:53459ms step_avg:581.08ms
step:93/1770 train_time:54052ms step_avg:581.21ms
step:94/1770 train_time:54636ms step_avg:581.24ms
step:95/1770 train_time:55228ms step_avg:581.35ms
step:96/1770 train_time:55816ms step_avg:581.42ms
step:97/1770 train_time:56406ms step_avg:581.50ms
step:98/1770 train_time:56995ms step_avg:581.58ms
step:99/1770 train_time:57585ms step_avg:581.67ms
step:100/1770 train_time:58175ms step_avg:581.75ms
step:101/1770 train_time:58767ms step_avg:581.85ms
step:102/1770 train_time:59355ms step_avg:581.91ms
step:103/1770 train_time:59948ms step_avg:582.02ms
step:104/1770 train_time:60536ms step_avg:582.08ms
step:105/1770 train_time:61127ms step_avg:582.17ms
step:106/1770 train_time:61715ms step_avg:582.22ms
step:107/1770 train_time:62306ms step_avg:582.30ms
step:108/1770 train_time:62889ms step_avg:582.31ms
step:109/1770 train_time:63477ms step_avg:582.36ms
step:110/1770 train_time:64069ms step_avg:582.45ms
step:111/1770 train_time:64659ms step_avg:582.51ms
step:112/1770 train_time:65246ms step_avg:582.55ms
step:113/1770 train_time:65837ms step_avg:582.62ms
step:114/1770 train_time:66425ms step_avg:582.68ms
step:115/1770 train_time:67017ms step_avg:582.75ms
