logs/fdd14aca-b7b9-4a8d-803a-92903a23073d.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:48,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.57ms
step:1/1770 train_time:560ms step_avg:559.94ms
step:2/1770 train_time:1061ms step_avg:530.59ms
step:3/1770 train_time:1620ms step_avg:540.13ms
step:4/1770 train_time:2178ms step_avg:544.38ms
step:5/1770 train_time:2739ms step_avg:547.84ms
step:6/1770 train_time:3301ms step_avg:550.09ms
step:7/1770 train_time:3864ms step_avg:552.03ms
step:8/1770 train_time:4437ms step_avg:554.60ms
step:9/1770 train_time:5006ms step_avg:556.27ms
step:10/1770 train_time:5582ms step_avg:558.21ms
step:11/1770 train_time:6157ms step_avg:559.71ms
step:12/1770 train_time:6732ms step_avg:561.02ms
step:13/1770 train_time:7306ms step_avg:562.00ms
step:14/1770 train_time:7882ms step_avg:562.97ms
step:15/1770 train_time:8456ms step_avg:563.72ms
step:16/1770 train_time:9031ms step_avg:564.41ms
step:17/1770 train_time:9608ms step_avg:565.15ms
step:18/1770 train_time:10181ms step_avg:565.63ms
step:19/1770 train_time:10760ms step_avg:566.30ms
step:20/1770 train_time:11334ms step_avg:566.68ms
step:21/1770 train_time:11905ms step_avg:566.89ms
step:22/1770 train_time:12481ms step_avg:567.30ms
step:23/1770 train_time:13065ms step_avg:568.04ms
step:24/1770 train_time:13643ms step_avg:568.46ms
step:25/1770 train_time:14224ms step_avg:568.94ms
step:26/1770 train_time:14803ms step_avg:569.35ms
step:27/1770 train_time:15384ms step_avg:569.78ms
step:28/1770 train_time:15964ms step_avg:570.16ms
step:29/1770 train_time:16543ms step_avg:570.43ms
step:30/1770 train_time:17122ms step_avg:570.72ms
step:31/1770 train_time:17707ms step_avg:571.18ms
step:32/1770 train_time:18281ms step_avg:571.28ms
step:33/1770 train_time:18860ms step_avg:571.50ms
step:34/1770 train_time:19439ms step_avg:571.74ms
step:35/1770 train_time:20021ms step_avg:572.02ms
step:36/1770 train_time:20602ms step_avg:572.27ms
step:37/1770 train_time:21179ms step_avg:572.39ms
step:38/1770 train_time:21758ms step_avg:572.58ms
step:39/1770 train_time:22340ms step_avg:572.83ms
step:40/1770 train_time:22922ms step_avg:573.06ms
step:41/1770 train_time:23497ms step_avg:573.10ms
step:42/1770 train_time:24079ms step_avg:573.30ms
step:43/1770 train_time:24659ms step_avg:573.48ms
step:44/1770 train_time:25242ms step_avg:573.68ms
step:45/1770 train_time:25818ms step_avg:573.74ms
step:46/1770 train_time:26403ms step_avg:573.97ms
step:47/1770 train_time:26979ms step_avg:574.03ms
step:48/1770 train_time:27558ms step_avg:574.13ms
step:49/1770 train_time:28139ms step_avg:574.27ms
step:50/1770 train_time:28722ms step_avg:574.44ms
step:51/1770 train_time:29300ms step_avg:574.51ms
step:52/1770 train_time:29884ms step_avg:574.69ms
step:53/1770 train_time:30463ms step_avg:574.78ms
step:54/1770 train_time:31050ms step_avg:574.99ms
step:55/1770 train_time:31630ms step_avg:575.09ms
step:56/1770 train_time:32218ms step_avg:575.32ms
step:57/1770 train_time:32798ms step_avg:575.41ms
step:58/1770 train_time:33380ms step_avg:575.51ms
step:59/1770 train_time:33962ms step_avg:575.62ms
step:60/1770 train_time:34547ms step_avg:575.78ms
step:61/1770 train_time:35129ms step_avg:575.88ms
step:62/1770 train_time:35718ms step_avg:576.09ms
step:63/1770 train_time:36298ms step_avg:576.16ms
step:64/1770 train_time:36882ms step_avg:576.27ms
step:65/1770 train_time:37465ms step_avg:576.38ms
step:66/1770 train_time:38046ms step_avg:576.45ms
step:67/1770 train_time:38631ms step_avg:576.58ms
step:68/1770 train_time:39213ms step_avg:576.67ms
step:69/1770 train_time:39795ms step_avg:576.73ms
step:70/1770 train_time:40378ms step_avg:576.83ms
step:71/1770 train_time:40957ms step_avg:576.86ms
step:72/1770 train_time:41542ms step_avg:576.97ms
step:73/1770 train_time:42122ms step_avg:577.02ms
step:74/1770 train_time:42708ms step_avg:577.13ms
step:75/1770 train_time:43293ms step_avg:577.24ms
step:76/1770 train_time:43881ms step_avg:577.38ms
step:77/1770 train_time:44461ms step_avg:577.42ms
step:78/1770 train_time:45045ms step_avg:577.50ms
step:79/1770 train_time:45636ms step_avg:577.67ms
step:80/1770 train_time:46216ms step_avg:577.71ms
step:81/1770 train_time:46805ms step_avg:577.84ms
step:82/1770 train_time:47393ms step_avg:577.96ms
step:83/1770 train_time:47976ms step_avg:578.02ms
step:84/1770 train_time:48564ms step_avg:578.14ms
step:85/1770 train_time:49151ms step_avg:578.25ms
step:86/1770 train_time:49738ms step_avg:578.34ms
step:87/1770 train_time:50320ms step_avg:578.39ms
step:88/1770 train_time:50906ms step_avg:578.48ms
step:89/1770 train_time:51493ms step_avg:578.57ms
step:90/1770 train_time:52076ms step_avg:578.62ms
step:91/1770 train_time:52661ms step_avg:578.69ms
step:92/1770 train_time:53250ms step_avg:578.80ms
step:93/1770 train_time:53836ms step_avg:578.88ms
step:94/1770 train_time:54425ms step_avg:578.98ms
step:95/1770 train_time:55011ms step_avg:579.06ms
step:96/1770 train_time:55598ms step_avg:579.15ms
step:97/1770 train_time:56191ms step_avg:579.29ms
step:98/1770 train_time:56781ms step_avg:579.40ms
step:99/1770 train_time:57372ms step_avg:579.51ms
step:100/1770 train_time:57959ms step_avg:579.59ms
step:101/1770 train_time:58548ms step_avg:579.69ms
step:102/1770 train_time:59140ms step_avg:579.80ms
step:103/1770 train_time:59732ms step_avg:579.92ms
step:104/1770 train_time:60321ms step_avg:580.01ms
step:105/1770 train_time:60910ms step_avg:580.09ms
step:106/1770 train_time:61499ms step_avg:580.18ms
step:107/1770 train_time:62088ms step_avg:580.26ms
step:108/1770 train_time:62679ms step_avg:580.36ms
step:109/1770 train_time:63270ms step_avg:580.46ms
step:110/1770 train_time:63858ms step_avg:580.53ms
step:111/1770 train_time:64448ms step_avg:580.61ms
step:112/1770 train_time:65041ms step_avg:580.72ms
step:113/1770 train_time:65627ms step_avg:580.77ms
step:114/1770 train_time:66220ms step_avg:580.88ms
step:115/1770 train_time:66806ms step_avg:580.92ms
step:116/1770 train_time:67396ms step_avg:581.00ms
step:117/1770 train_time:67992ms step_avg:581.13ms
step:118/1770 train_time:68586ms step_avg:581.24ms
step:119/1770 train_time:69176ms step_avg:581.31ms
step:120/1770 train_time:69760ms step_avg:581.33ms
step:121/1770 train_time:70351ms step_avg:581.42ms
step:122/1770 train_time:70942ms step_avg:581.49ms
step:123/1770 train_time:71537ms step_avg:581.60ms
step:124/1770 train_time:72127ms step_avg:581.67ms
step:125/1770 train_time:72714ms step_avg:581.71ms
step:125/1770 val_loss:4.9448 train_time:72724ms step_avg:581.79ms
step:126/1770 train_time:73316ms step_avg:581.87ms
step:127/1770 train_time:73898ms step_avg:581.88ms
step:128/1770 train_time:74481ms step_avg:581.89ms
step:129/1770 train_time:75067ms step_avg:581.92ms
step:130/1770 train_time:75651ms step_avg:581.93ms
step:131/1770 train_time:76233ms step_avg:581.93ms
step:132/1770 train_time:76815ms step_avg:581.93ms
step:133/1770 train_time:77407ms step_avg:582.01ms
step:134/1770 train_time:77994ms step_avg:582.04ms
step:135/1770 train_time:78584ms step_avg:582.10ms
step:136/1770 train_time:79173ms step_avg:582.16ms
step:137/1770 train_time:79760ms step_avg:582.19ms
step:138/1770 train_time:80345ms step_avg:582.21ms
step:139/1770 train_time:80933ms step_avg:582.25ms
step:140/1770 train_time:81524ms step_avg:582.31ms
step:141/1770 train_time:82116ms step_avg:582.38ms
step:142/1770 train_time:82704ms step_avg:582.42ms
step:143/1770 train_time:83294ms step_avg:582.48ms
step:144/1770 train_time:83882ms step_avg:582.51ms
step:145/1770 train_time:84472ms step_avg:582.56ms
step:146/1770 train_time:85064ms step_avg:582.63ms
step:147/1770 train_time:85654ms step_avg:582.68ms
step:148/1770 train_time:86246ms step_avg:582.74ms
step:149/1770 train_time:86838ms step_avg:582.81ms
step:150/1770 train_time:87427ms step_avg:582.85ms
step:151/1770 train_time:88021ms step_avg:582.92ms
