logs/b4d3e565-37f6-42a9-ac2b-e78cb6bb7576.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:42,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.51ms
step:1/1770 train_time:535ms step_avg:535.00ms
step:2/1770 train_time:1044ms step_avg:521.91ms
step:3/1770 train_time:1611ms step_avg:536.90ms
step:4/1770 train_time:2179ms step_avg:544.66ms
step:5/1770 train_time:2750ms step_avg:549.97ms
step:6/1770 train_time:3316ms step_avg:552.64ms
step:7/1770 train_time:3886ms step_avg:555.13ms
step:8/1770 train_time:4455ms step_avg:556.87ms
step:9/1770 train_time:5025ms step_avg:558.34ms
step:10/1770 train_time:5597ms step_avg:559.74ms
step:11/1770 train_time:6166ms step_avg:560.56ms
step:12/1770 train_time:6735ms step_avg:561.27ms
step:13/1770 train_time:7307ms step_avg:562.06ms
step:14/1770 train_time:7877ms step_avg:562.62ms
step:15/1770 train_time:8448ms step_avg:563.19ms
step:16/1770 train_time:9018ms step_avg:563.61ms
step:17/1770 train_time:9595ms step_avg:564.41ms
step:18/1770 train_time:10167ms step_avg:564.84ms
step:19/1770 train_time:10736ms step_avg:565.03ms
step:20/1770 train_time:11311ms step_avg:565.57ms
step:21/1770 train_time:11882ms step_avg:565.81ms
step:22/1770 train_time:12455ms step_avg:566.11ms
step:23/1770 train_time:13030ms step_avg:566.52ms
step:24/1770 train_time:13603ms step_avg:566.80ms
step:25/1770 train_time:14174ms step_avg:566.98ms
step:26/1770 train_time:14751ms step_avg:567.35ms
step:27/1770 train_time:15325ms step_avg:567.58ms
step:28/1770 train_time:15899ms step_avg:567.84ms
step:29/1770 train_time:16474ms step_avg:568.06ms
step:30/1770 train_time:17052ms step_avg:568.41ms
step:31/1770 train_time:17628ms step_avg:568.63ms
step:32/1770 train_time:18203ms step_avg:568.83ms
step:33/1770 train_time:18776ms step_avg:568.98ms
step:34/1770 train_time:19353ms step_avg:569.20ms
step:35/1770 train_time:19930ms step_avg:569.43ms
step:36/1770 train_time:20508ms step_avg:569.68ms
step:37/1770 train_time:21083ms step_avg:569.80ms
step:38/1770 train_time:21655ms step_avg:569.88ms
step:39/1770 train_time:22233ms step_avg:570.08ms
step:40/1770 train_time:22812ms step_avg:570.31ms
step:41/1770 train_time:23391ms step_avg:570.50ms
step:42/1770 train_time:23967ms step_avg:570.65ms
step:43/1770 train_time:24549ms step_avg:570.90ms
step:44/1770 train_time:25129ms step_avg:571.12ms
step:45/1770 train_time:25709ms step_avg:571.30ms
step:46/1770 train_time:26288ms step_avg:571.48ms
step:47/1770 train_time:26869ms step_avg:571.69ms
step:48/1770 train_time:27451ms step_avg:571.89ms
step:49/1770 train_time:28030ms step_avg:572.03ms
step:50/1770 train_time:28612ms step_avg:572.24ms
step:51/1770 train_time:29191ms step_avg:572.38ms
step:52/1770 train_time:29768ms step_avg:572.46ms
step:53/1770 train_time:30349ms step_avg:572.62ms
step:54/1770 train_time:30932ms step_avg:572.82ms
step:55/1770 train_time:31510ms step_avg:572.92ms
step:56/1770 train_time:32090ms step_avg:573.03ms
step:57/1770 train_time:32670ms step_avg:573.15ms
step:58/1770 train_time:33249ms step_avg:573.26ms
step:59/1770 train_time:33827ms step_avg:573.35ms
step:60/1770 train_time:34408ms step_avg:573.47ms
step:61/1770 train_time:34988ms step_avg:573.58ms
step:62/1770 train_time:35568ms step_avg:573.67ms
step:63/1770 train_time:36148ms step_avg:573.78ms
step:64/1770 train_time:36729ms step_avg:573.88ms
step:65/1770 train_time:37309ms step_avg:573.99ms
step:66/1770 train_time:37890ms step_avg:574.09ms
step:67/1770 train_time:38472ms step_avg:574.21ms
step:68/1770 train_time:39054ms step_avg:574.32ms
step:69/1770 train_time:39628ms step_avg:574.32ms
step:70/1770 train_time:40209ms step_avg:574.41ms
step:71/1770 train_time:40786ms step_avg:574.45ms
step:72/1770 train_time:41366ms step_avg:574.52ms
step:73/1770 train_time:41945ms step_avg:574.58ms
step:74/1770 train_time:42525ms step_avg:574.66ms
step:75/1770 train_time:43104ms step_avg:574.72ms
step:76/1770 train_time:43686ms step_avg:574.81ms
step:77/1770 train_time:44267ms step_avg:574.90ms
step:78/1770 train_time:44850ms step_avg:575.00ms
step:79/1770 train_time:45430ms step_avg:575.06ms
step:80/1770 train_time:46012ms step_avg:575.16ms
step:81/1770 train_time:46595ms step_avg:575.25ms
step:82/1770 train_time:47176ms step_avg:575.32ms
step:83/1770 train_time:47755ms step_avg:575.36ms
step:84/1770 train_time:48340ms step_avg:575.47ms
step:85/1770 train_time:48923ms step_avg:575.56ms
step:86/1770 train_time:49504ms step_avg:575.63ms
step:87/1770 train_time:50085ms step_avg:575.69ms
step:88/1770 train_time:50668ms step_avg:575.77ms
step:89/1770 train_time:51252ms step_avg:575.86ms
step:90/1770 train_time:51835ms step_avg:575.95ms
step:91/1770 train_time:52422ms step_avg:576.07ms
step:92/1770 train_time:53011ms step_avg:576.20ms
step:93/1770 train_time:53589ms step_avg:576.23ms
step:94/1770 train_time:54173ms step_avg:576.31ms
step:95/1770 train_time:54758ms step_avg:576.40ms
step:96/1770 train_time:55340ms step_avg:576.45ms
step:97/1770 train_time:55923ms step_avg:576.53ms
step:98/1770 train_time:56507ms step_avg:576.60ms
step:99/1770 train_time:57088ms step_avg:576.65ms
step:100/1770 train_time:57674ms step_avg:576.74ms
step:101/1770 train_time:58259ms step_avg:576.83ms
step:102/1770 train_time:58843ms step_avg:576.90ms
step:103/1770 train_time:59430ms step_avg:576.99ms
step:104/1770 train_time:60016ms step_avg:577.07ms
step:105/1770 train_time:60604ms step_avg:577.18ms
step:106/1770 train_time:61185ms step_avg:577.22ms
step:107/1770 train_time:61772ms step_avg:577.31ms
step:108/1770 train_time:62358ms step_avg:577.39ms
step:109/1770 train_time:62943ms step_avg:577.46ms
step:110/1770 train_time:63526ms step_avg:577.51ms
step:111/1770 train_time:64110ms step_avg:577.57ms
step:112/1770 train_time:64698ms step_avg:577.66ms
step:113/1770 train_time:65284ms step_avg:577.73ms
step:114/1770 train_time:65871ms step_avg:577.82ms
step:115/1770 train_time:66460ms step_avg:577.91ms
step:116/1770 train_time:67045ms step_avg:577.97ms
step:117/1770 train_time:67630ms step_avg:578.03ms
step:118/1770 train_time:68218ms step_avg:578.12ms
step:119/1770 train_time:68803ms step_avg:578.17ms
step:120/1770 train_time:69390ms step_avg:578.25ms
step:121/1770 train_time:69975ms step_avg:578.31ms
step:122/1770 train_time:70560ms step_avg:578.36ms
step:123/1770 train_time:71145ms step_avg:578.41ms
step:124/1770 train_time:71733ms step_avg:578.49ms
step:125/1770 train_time:72316ms step_avg:578.53ms
step:125/1770 val_loss:4.9570 train_time:72327ms step_avg:578.61ms
step:126/1770 train_time:72918ms step_avg:578.72ms
step:127/1770 train_time:73497ms step_avg:578.72ms
step:128/1770 train_time:74076ms step_avg:578.72ms
step:129/1770 train_time:74656ms step_avg:578.73ms
step:130/1770 train_time:75237ms step_avg:578.74ms
step:131/1770 train_time:75816ms step_avg:578.75ms
step:132/1770 train_time:76395ms step_avg:578.75ms
step:133/1770 train_time:76981ms step_avg:578.80ms
step:134/1770 train_time:77565ms step_avg:578.84ms
step:135/1770 train_time:78154ms step_avg:578.92ms
step:136/1770 train_time:78738ms step_avg:578.96ms
step:137/1770 train_time:79325ms step_avg:579.01ms
step:138/1770 train_time:79913ms step_avg:579.08ms
step:139/1770 train_time:80499ms step_avg:579.13ms
step:140/1770 train_time:81089ms step_avg:579.20ms
step:141/1770 train_time:81677ms step_avg:579.27ms
step:142/1770 train_time:82264ms step_avg:579.32ms
step:143/1770 train_time:82855ms step_avg:579.41ms
step:144/1770 train_time:83440ms step_avg:579.45ms
step:145/1770 train_time:84027ms step_avg:579.50ms
step:146/1770 train_time:84615ms step_avg:579.56ms
step:147/1770 train_time:85201ms step_avg:579.60ms
step:148/1770 train_time:85788ms step_avg:579.65ms
step:149/1770 train_time:86375ms step_avg:579.70ms
step:150/1770 train_time:86966ms step_avg:579.77ms
step:151/1770 train_time:87556ms step_avg:579.84ms
step:152/1770 train_time:88145ms step_avg:579.90ms
step:153/1770 train_time:88734ms step_avg:579.96ms
step:154/1770 train_time:89322ms step_avg:580.02ms
step:155/1770 train_time:89914ms step_avg:580.09ms
step:156/1770 train_time:90502ms step_avg:580.14ms
step:157/1770 train_time:91093ms step_avg:580.21ms
step:158/1770 train_time:91682ms step_avg:580.26ms
step:159/1770 train_time:92274ms step_avg:580.34ms
step:160/1770 train_time:92863ms step_avg:580.40ms
step:161/1770 train_time:93454ms step_avg:580.46ms
step:162/1770 train_time:94044ms step_avg:580.52ms
step:163/1770 train_time:94634ms step_avg:580.58ms
step:164/1770 train_time:95227ms step_avg:580.65ms
step:165/1770 train_time:95814ms step_avg:580.69ms
step:166/1770 train_time:96410ms step_avg:580.78ms
step:167/1770 train_time:97002ms step_avg:580.85ms
step:168/1770 train_time:97592ms step_avg:580.90ms
step:169/1770 train_time:98183ms step_avg:580.97ms
step:170/1770 train_time:98772ms step_avg:581.01ms
step:171/1770 train_time:99360ms step_avg:581.05ms
step:172/1770 train_time:99953ms step_avg:581.12ms
step:173/1770 train_time:100546ms step_avg:581.19ms
step:174/1770 train_time:101137ms step_avg:581.25ms
step:175/1770 train_time:101732ms step_avg:581.32ms
step:176/1770 train_time:102322ms step_avg:581.37ms
step:177/1770 train_time:102915ms step_avg:581.44ms
step:178/1770 train_time:103509ms step_avg:581.51ms
step:179/1770 train_time:104100ms step_avg:581.56ms
step:180/1770 train_time:104689ms step_avg:581.61ms
step:181/1770 train_time:105282ms step_avg:581.67ms
step:182/1770 train_time:105873ms step_avg:581.72ms
step:183/1770 train_time:106466ms step_avg:581.78ms
step:184/1770 train_time:107058ms step_avg:581.84ms
step:185/1770 train_time:107649ms step_avg:581.89ms
step:186/1770 train_time:108241ms step_avg:581.94ms
step:187/1770 train_time:108834ms step_avg:582.00ms
step:188/1770 train_time:109433ms step_avg:582.09ms
step:189/1770 train_time:110026ms step_avg:582.15ms
step:190/1770 train_time:110622ms step_avg:582.22ms
step:191/1770 train_time:111217ms step_avg:582.29ms
step:192/1770 train_time:111810ms step_avg:582.34ms
step:193/1770 train_time:112405ms step_avg:582.41ms
step:194/1770 train_time:112997ms step_avg:582.46ms
step:195/1770 train_time:113589ms step_avg:582.51ms
step:196/1770 train_time:114185ms step_avg:582.58ms
step:197/1770 train_time:114782ms step_avg:582.65ms
step:198/1770 train_time:115374ms step_avg:582.70ms
step:199/1770 train_time:115968ms step_avg:582.75ms
step:200/1770 train_time:116564ms step_avg:582.82ms
step:201/1770 train_time:117158ms step_avg:582.87ms
step:202/1770 train_time:117753ms step_avg:582.94ms
step:203/1770 train_time:118349ms step_avg:583.00ms
step:204/1770 train_time:118946ms step_avg:583.07ms
step:205/1770 train_time:119543ms step_avg:583.14ms
step:206/1770 train_time:120138ms step_avg:583.20ms
step:207/1770 train_time:120732ms step_avg:583.25ms
step:208/1770 train_time:121325ms step_avg:583.29ms
step:209/1770 train_time:121924ms step_avg:583.37ms
step:210/1770 train_time:122519ms step_avg:583.43ms
step:211/1770 train_time:123116ms step_avg:583.49ms
step:212/1770 train_time:123715ms step_avg:583.56ms
step:213/1770 train_time:124308ms step_avg:583.61ms
step:214/1770 train_time:124906ms step_avg:583.67ms
step:215/1770 train_time:125505ms step_avg:583.74ms
step:216/1770 train_time:126100ms step_avg:583.80ms
step:217/1770 train_time:126696ms step_avg:583.85ms
step:218/1770 train_time:127291ms step_avg:583.90ms
step:219/1770 train_time:127886ms step_avg:583.95ms
step:220/1770 train_time:128484ms step_avg:584.02ms
step:221/1770 train_time:129082ms step_avg:584.08ms
step:222/1770 train_time:129681ms step_avg:584.15ms
step:223/1770 train_time:130279ms step_avg:584.21ms
step:224/1770 train_time:130878ms step_avg:584.28ms
step:225/1770 train_time:131475ms step_avg:584.33ms
step:226/1770 train_time:132071ms step_avg:584.39ms
step:227/1770 train_time:132666ms step_avg:584.43ms
step:228/1770 train_time:133263ms step_avg:584.49ms
step:229/1770 train_time:133863ms step_avg:584.55ms
step:230/1770 train_time:134462ms step_avg:584.62ms
step:231/1770 train_time:135062ms step_avg:584.69ms
step:232/1770 train_time:135661ms step_avg:584.75ms
step:233/1770 train_time:136259ms step_avg:584.80ms
step:234/1770 train_time:136857ms step_avg:584.86ms
step:235/1770 train_time:137453ms step_avg:584.90ms
step:236/1770 train_time:138051ms step_avg:584.96ms
step:237/1770 train_time:138649ms step_avg:585.02ms
step:238/1770 train_time:139251ms step_avg:585.09ms
step:239/1770 train_time:139846ms step_avg:585.13ms
step:240/1770 train_time:140443ms step_avg:585.18ms
step:241/1770 train_time:141042ms step_avg:585.24ms
step:242/1770 train_time:141640ms step_avg:585.29ms
step:243/1770 train_time:142239ms step_avg:585.35ms
step:244/1770 train_time:142839ms step_avg:585.41ms
step:245/1770 train_time:143438ms step_avg:585.46ms
step:246/1770 train_time:144039ms step_avg:585.52ms
step:247/1770 train_time:144641ms step_avg:585.59ms
step:248/1770 train_time:145240ms step_avg:585.65ms
step:249/1770 train_time:145842ms step_avg:585.71ms
step:250/1770 train_time:146442ms step_avg:585.77ms
step:250/1770 val_loss:4.3603 train_time:146452ms step_avg:585.81ms
step:251/1770 train_time:147048ms step_avg:585.85ms
step:252/1770 train_time:147639ms step_avg:585.87ms
step:253/1770 train_time:148229ms step_avg:585.88ms
step:254/1770 train_time:148818ms step_avg:585.90ms
step:255/1770 train_time:149410ms step_avg:585.92ms
step:256/1770 train_time:149998ms step_avg:585.93ms
step:257/1770 train_time:150591ms step_avg:585.96ms
step:258/1770 train_time:151183ms step_avg:585.98ms
step:259/1770 train_time:151774ms step_avg:586.00ms
step:260/1770 train_time:152368ms step_avg:586.03ms
step:261/1770 train_time:152961ms step_avg:586.06ms
step:262/1770 train_time:153556ms step_avg:586.09ms
step:263/1770 train_time:154149ms step_avg:586.12ms
step:264/1770 train_time:154740ms step_avg:586.14ms
step:265/1770 train_time:155336ms step_avg:586.17ms
step:266/1770 train_time:155931ms step_avg:586.21ms
step:267/1770 train_time:156524ms step_avg:586.23ms
step:268/1770 train_time:157119ms step_avg:586.26ms
step:269/1770 train_time:157714ms step_avg:586.30ms
step:270/1770 train_time:158313ms step_avg:586.34ms
step:271/1770 train_time:158911ms step_avg:586.39ms
step:272/1770 train_time:159507ms step_avg:586.42ms
step:273/1770 train_time:160103ms step_avg:586.46ms
step:274/1770 train_time:160699ms step_avg:586.49ms
step:275/1770 train_time:161298ms step_avg:586.54ms
step:276/1770 train_time:161897ms step_avg:586.58ms
