logs/0f4693d5-d9e4-49be-b2bc-c3911b6c0648.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:41,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.34ms
step:1/1770 train_time:532ms step_avg:532.23ms
step:2/1770 train_time:1038ms step_avg:518.93ms
step:3/1770 train_time:1602ms step_avg:534.09ms
step:4/1770 train_time:2171ms step_avg:542.68ms
step:5/1770 train_time:2740ms step_avg:548.01ms
step:6/1770 train_time:3312ms step_avg:551.97ms
step:7/1770 train_time:3883ms step_avg:554.73ms
step:8/1770 train_time:4454ms step_avg:556.72ms
step:9/1770 train_time:5022ms step_avg:558.01ms
step:10/1770 train_time:5592ms step_avg:559.20ms
step:11/1770 train_time:6162ms step_avg:560.16ms
step:12/1770 train_time:6731ms step_avg:560.95ms
step:13/1770 train_time:7300ms step_avg:561.52ms
step:14/1770 train_time:7872ms step_avg:562.26ms
step:15/1770 train_time:8441ms step_avg:562.70ms
step:16/1770 train_time:9010ms step_avg:563.15ms
step:17/1770 train_time:9579ms step_avg:563.50ms
step:18/1770 train_time:10150ms step_avg:563.89ms
step:19/1770 train_time:10719ms step_avg:564.17ms
step:20/1770 train_time:11290ms step_avg:564.50ms
step:21/1770 train_time:11863ms step_avg:564.91ms
step:22/1770 train_time:12436ms step_avg:565.27ms
step:23/1770 train_time:13010ms step_avg:565.64ms
step:24/1770 train_time:13581ms step_avg:565.88ms
step:25/1770 train_time:14153ms step_avg:566.11ms
step:26/1770 train_time:14732ms step_avg:566.60ms
step:27/1770 train_time:15307ms step_avg:566.94ms
step:28/1770 train_time:15887ms step_avg:567.40ms
step:29/1770 train_time:16459ms step_avg:567.56ms
step:30/1770 train_time:17034ms step_avg:567.79ms
step:31/1770 train_time:17608ms step_avg:568.01ms
step:32/1770 train_time:18185ms step_avg:568.27ms
step:33/1770 train_time:18757ms step_avg:568.41ms
step:34/1770 train_time:19330ms step_avg:568.52ms
step:35/1770 train_time:19907ms step_avg:568.76ms
step:36/1770 train_time:20479ms step_avg:568.85ms
step:37/1770 train_time:21052ms step_avg:568.98ms
step:38/1770 train_time:21626ms step_avg:569.11ms
step:39/1770 train_time:22206ms step_avg:569.38ms
step:40/1770 train_time:22785ms step_avg:569.63ms
step:41/1770 train_time:23361ms step_avg:569.79ms
step:42/1770 train_time:23941ms step_avg:570.03ms
step:43/1770 train_time:24518ms step_avg:570.20ms
step:44/1770 train_time:25089ms step_avg:570.21ms
step:45/1770 train_time:25667ms step_avg:570.39ms
step:46/1770 train_time:26246ms step_avg:570.56ms
step:47/1770 train_time:26825ms step_avg:570.75ms
step:48/1770 train_time:27406ms step_avg:570.95ms
step:49/1770 train_time:27985ms step_avg:571.13ms
step:50/1770 train_time:28565ms step_avg:571.30ms
step:51/1770 train_time:29144ms step_avg:571.46ms
step:52/1770 train_time:29725ms step_avg:571.64ms
step:53/1770 train_time:30305ms step_avg:571.79ms
step:54/1770 train_time:30885ms step_avg:571.95ms
step:55/1770 train_time:31465ms step_avg:572.09ms
step:56/1770 train_time:32045ms step_avg:572.23ms
step:57/1770 train_time:32625ms step_avg:572.37ms
