logs/7cf20967-414b-43c5-9c2f-3163810052c7.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:37,  1.75it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.19ms
step:1/1770 train_time:530ms step_avg:530.00ms
step:2/1770 train_time:1033ms step_avg:516.26ms
step:3/1770 train_time:1596ms step_avg:532.00ms
step:4/1770 train_time:2162ms step_avg:540.53ms
step:5/1770 train_time:2727ms step_avg:545.31ms
step:6/1770 train_time:3294ms step_avg:549.00ms
step:7/1770 train_time:3861ms step_avg:551.52ms
step:8/1770 train_time:4432ms step_avg:554.03ms
step:9/1770 train_time:5001ms step_avg:555.66ms
step:10/1770 train_time:5573ms step_avg:557.30ms
step:11/1770 train_time:6141ms step_avg:558.29ms
step:12/1770 train_time:6710ms step_avg:559.20ms
step:13/1770 train_time:7281ms step_avg:560.12ms
step:14/1770 train_time:7850ms step_avg:560.71ms
step:15/1770 train_time:8421ms step_avg:561.43ms
step:16/1770 train_time:8990ms step_avg:561.86ms
step:17/1770 train_time:9560ms step_avg:562.36ms
step:18/1770 train_time:10131ms step_avg:562.81ms
step:19/1770 train_time:10699ms step_avg:563.13ms
step:20/1770 train_time:11270ms step_avg:563.49ms
step:21/1770 train_time:11840ms step_avg:563.83ms
step:22/1770 train_time:12414ms step_avg:564.25ms
step:23/1770 train_time:12987ms step_avg:564.65ms
step:24/1770 train_time:13559ms step_avg:564.95ms
step:25/1770 train_time:14128ms step_avg:565.13ms
step:26/1770 train_time:14698ms step_avg:565.33ms
step:27/1770 train_time:15268ms step_avg:565.49ms
step:28/1770 train_time:15840ms step_avg:565.73ms
step:29/1770 train_time:16416ms step_avg:566.06ms
step:30/1770 train_time:16989ms step_avg:566.30ms
step:31/1770 train_time:17561ms step_avg:566.47ms
step:32/1770 train_time:18137ms step_avg:566.78ms
step:33/1770 train_time:18715ms step_avg:567.13ms
step:34/1770 train_time:19287ms step_avg:567.27ms
step:35/1770 train_time:19862ms step_avg:567.50ms
step:36/1770 train_time:20437ms step_avg:567.69ms
step:37/1770 train_time:21014ms step_avg:567.95ms
step:38/1770 train_time:21586ms step_avg:568.06ms
step:39/1770 train_time:22161ms step_avg:568.23ms
step:40/1770 train_time:22736ms step_avg:568.40ms
step:41/1770 train_time:23315ms step_avg:568.67ms
step:42/1770 train_time:23894ms step_avg:568.90ms
step:43/1770 train_time:24468ms step_avg:569.02ms
step:44/1770 train_time:25041ms step_avg:569.12ms
step:45/1770 train_time:25615ms step_avg:569.22ms
step:46/1770 train_time:26192ms step_avg:569.40ms
step:47/1770 train_time:26769ms step_avg:569.56ms
step:48/1770 train_time:27347ms step_avg:569.72ms
step:49/1770 train_time:27925ms step_avg:569.91ms
step:50/1770 train_time:28501ms step_avg:570.02ms
step:51/1770 train_time:29074ms step_avg:570.08ms
step:52/1770 train_time:29652ms step_avg:570.23ms
step:53/1770 train_time:30232ms step_avg:570.41ms
step:54/1770 train_time:30811ms step_avg:570.58ms
step:55/1770 train_time:31391ms step_avg:570.74ms
step:56/1770 train_time:31971ms step_avg:570.90ms
step:57/1770 train_time:32549ms step_avg:571.03ms
step:58/1770 train_time:33127ms step_avg:571.16ms
step:59/1770 train_time:33704ms step_avg:571.25ms
step:60/1770 train_time:34281ms step_avg:571.36ms
step:61/1770 train_time:34862ms step_avg:571.50ms
step:62/1770 train_time:35438ms step_avg:571.58ms
step:63/1770 train_time:36018ms step_avg:571.71ms
step:64/1770 train_time:36596ms step_avg:571.81ms
step:65/1770 train_time:37172ms step_avg:571.88ms
step:66/1770 train_time:37752ms step_avg:571.99ms
step:67/1770 train_time:38331ms step_avg:572.11ms
step:68/1770 train_time:38911ms step_avg:572.22ms
step:69/1770 train_time:39490ms step_avg:572.32ms
step:70/1770 train_time:40071ms step_avg:572.44ms
step:71/1770 train_time:40651ms step_avg:572.54ms
step:72/1770 train_time:41229ms step_avg:572.63ms
step:73/1770 train_time:41810ms step_avg:572.74ms
step:74/1770 train_time:42389ms step_avg:572.83ms
step:75/1770 train_time:42970ms step_avg:572.93ms
step:76/1770 train_time:43549ms step_avg:573.01ms
step:77/1770 train_time:44129ms step_avg:573.11ms
step:78/1770 train_time:44710ms step_avg:573.21ms
step:79/1770 train_time:45290ms step_avg:573.29ms
step:80/1770 train_time:45872ms step_avg:573.40ms
step:81/1770 train_time:46451ms step_avg:573.47ms
step:82/1770 train_time:47032ms step_avg:573.56ms
step:83/1770 train_time:47614ms step_avg:573.67ms
step:84/1770 train_time:48197ms step_avg:573.77ms
step:85/1770 train_time:48779ms step_avg:573.87ms
step:86/1770 train_time:49359ms step_avg:573.94ms
step:87/1770 train_time:49940ms step_avg:574.03ms
step:88/1770 train_time:50526ms step_avg:574.15ms
step:89/1770 train_time:51108ms step_avg:574.24ms
step:90/1770 train_time:51688ms step_avg:574.31ms
step:91/1770 train_time:52271ms step_avg:574.41ms
step:92/1770 train_time:52854ms step_avg:574.50ms
step:93/1770 train_time:53435ms step_avg:574.57ms
step:94/1770 train_time:54016ms step_avg:574.64ms
step:95/1770 train_time:54599ms step_avg:574.73ms
step:96/1770 train_time:55185ms step_avg:574.84ms
step:97/1770 train_time:55767ms step_avg:574.91ms
step:98/1770 train_time:56349ms step_avg:574.99ms
step:99/1770 train_time:56932ms step_avg:575.07ms
step:100/1770 train_time:57515ms step_avg:575.15ms
step:101/1770 train_time:58100ms step_avg:575.25ms
step:102/1770 train_time:58686ms step_avg:575.35ms
step:103/1770 train_time:59267ms step_avg:575.41ms
step:104/1770 train_time:59850ms step_avg:575.48ms
step:105/1770 train_time:60434ms step_avg:575.56ms
step:106/1770 train_time:61017ms step_avg:575.63ms
step:107/1770 train_time:61602ms step_avg:575.72ms
step:108/1770 train_time:62184ms step_avg:575.78ms
step:109/1770 train_time:62768ms step_avg:575.85ms
step:110/1770 train_time:63350ms step_avg:575.91ms
step:111/1770 train_time:63937ms step_avg:576.01ms
step:112/1770 train_time:64523ms step_avg:576.10ms
step:113/1770 train_time:65107ms step_avg:576.17ms
step:114/1770 train_time:65692ms step_avg:576.24ms
step:115/1770 train_time:66276ms step_avg:576.31ms
step:116/1770 train_time:66861ms step_avg:576.39ms
step:117/1770 train_time:67447ms step_avg:576.47ms
step:118/1770 train_time:68031ms step_avg:576.53ms
step:119/1770 train_time:68611ms step_avg:576.56ms
step:120/1770 train_time:69201ms step_avg:576.68ms
