logs/3e4c8d05-c16b-4ed2-adeb-97ce7e9ed0b8.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:40,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.89ms
step:1/1770 train_time:529ms step_avg:529.21ms
step:2/1770 train_time:1040ms step_avg:519.81ms
step:3/1770 train_time:1604ms step_avg:534.73ms
step:4/1770 train_time:2172ms step_avg:543.00ms
step:5/1770 train_time:2740ms step_avg:548.02ms
step:6/1770 train_time:3310ms step_avg:551.66ms
step:7/1770 train_time:3880ms step_avg:554.25ms
step:8/1770 train_time:4450ms step_avg:556.30ms
step:9/1770 train_time:5020ms step_avg:557.80ms
step:10/1770 train_time:5589ms step_avg:558.94ms
step:11/1770 train_time:6159ms step_avg:559.95ms
step:12/1770 train_time:6730ms step_avg:560.81ms
step:13/1770 train_time:7299ms step_avg:561.46ms
step:14/1770 train_time:7869ms step_avg:562.05ms
step:15/1770 train_time:8438ms step_avg:562.52ms
step:16/1770 train_time:9008ms step_avg:563.02ms
step:17/1770 train_time:9578ms step_avg:563.44ms
step:18/1770 train_time:10149ms step_avg:563.81ms
step:19/1770 train_time:10720ms step_avg:564.21ms
step:20/1770 train_time:11293ms step_avg:564.66ms
step:21/1770 train_time:11869ms step_avg:565.18ms
step:22/1770 train_time:12440ms step_avg:565.43ms
step:23/1770 train_time:13010ms step_avg:565.67ms
step:24/1770 train_time:13585ms step_avg:566.04ms
step:25/1770 train_time:14163ms step_avg:566.54ms
step:26/1770 train_time:14738ms step_avg:566.84ms
step:27/1770 train_time:15311ms step_avg:567.06ms
step:28/1770 train_time:15885ms step_avg:567.32ms
step:29/1770 train_time:16459ms step_avg:567.54ms
step:30/1770 train_time:17034ms step_avg:567.81ms
step:31/1770 train_time:17606ms step_avg:567.94ms
step:32/1770 train_time:18184ms step_avg:568.26ms
step:33/1770 train_time:18757ms step_avg:568.38ms
step:34/1770 train_time:19330ms step_avg:568.52ms
step:35/1770 train_time:19906ms step_avg:568.74ms
step:36/1770 train_time:20482ms step_avg:568.96ms
step:37/1770 train_time:21054ms step_avg:569.04ms
step:38/1770 train_time:21632ms step_avg:569.25ms
step:39/1770 train_time:22205ms step_avg:569.36ms
step:40/1770 train_time:22782ms step_avg:569.54ms
step:41/1770 train_time:23358ms step_avg:569.70ms
step:42/1770 train_time:23933ms step_avg:569.82ms
step:43/1770 train_time:24508ms step_avg:569.96ms
step:44/1770 train_time:25083ms step_avg:570.07ms
step:45/1770 train_time:25664ms step_avg:570.31ms
step:46/1770 train_time:26240ms step_avg:570.45ms
step:47/1770 train_time:26817ms step_avg:570.58ms
step:48/1770 train_time:27394ms step_avg:570.70ms
step:49/1770 train_time:27973ms step_avg:570.88ms
step:50/1770 train_time:28549ms step_avg:570.98ms
step:51/1770 train_time:29125ms step_avg:571.07ms
step:52/1770 train_time:29704ms step_avg:571.23ms
step:53/1770 train_time:30282ms step_avg:571.36ms
step:54/1770 train_time:30864ms step_avg:571.55ms
step:55/1770 train_time:31441ms step_avg:571.66ms
step:56/1770 train_time:32021ms step_avg:571.80ms
step:57/1770 train_time:32598ms step_avg:571.90ms
step:58/1770 train_time:33177ms step_avg:572.01ms
step:59/1770 train_time:33754ms step_avg:572.10ms
step:60/1770 train_time:34332ms step_avg:572.20ms
step:61/1770 train_time:34911ms step_avg:572.31ms
step:62/1770 train_time:35489ms step_avg:572.40ms
step:63/1770 train_time:36067ms step_avg:572.49ms
step:64/1770 train_time:36645ms step_avg:572.57ms
step:65/1770 train_time:37222ms step_avg:572.65ms
step:66/1770 train_time:37800ms step_avg:572.72ms
step:67/1770 train_time:38379ms step_avg:572.82ms
step:68/1770 train_time:38959ms step_avg:572.93ms
step:69/1770 train_time:39540ms step_avg:573.04ms
step:70/1770 train_time:40118ms step_avg:573.11ms
step:71/1770 train_time:40698ms step_avg:573.21ms
step:72/1770 train_time:41278ms step_avg:573.31ms
step:73/1770 train_time:41858ms step_avg:573.40ms
step:74/1770 train_time:42438ms step_avg:573.49ms
step:75/1770 train_time:43019ms step_avg:573.59ms
step:76/1770 train_time:43598ms step_avg:573.66ms
step:77/1770 train_time:44178ms step_avg:573.75ms
step:78/1770 train_time:44758ms step_avg:573.82ms
step:79/1770 train_time:45337ms step_avg:573.89ms
step:80/1770 train_time:45918ms step_avg:573.98ms
step:81/1770 train_time:46498ms step_avg:574.04ms
step:82/1770 train_time:47077ms step_avg:574.11ms
step:83/1770 train_time:47661ms step_avg:574.22ms
step:84/1770 train_time:48237ms step_avg:574.25ms
step:85/1770 train_time:48816ms step_avg:574.30ms
step:86/1770 train_time:49396ms step_avg:574.38ms
step:87/1770 train_time:49977ms step_avg:574.44ms
step:88/1770 train_time:50556ms step_avg:574.50ms
step:89/1770 train_time:51136ms step_avg:574.56ms
step:90/1770 train_time:51715ms step_avg:574.61ms
step:91/1770 train_time:52295ms step_avg:574.67ms
step:92/1770 train_time:52875ms step_avg:574.73ms
