logs/6de6512b-8d13-44e2-9a28-c6451b379bd2.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:44,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.99ms
step:1/1770 train_time:530ms step_avg:530.41ms
step:2/1770 train_time:1036ms step_avg:518.19ms
step:3/1770 train_time:1599ms step_avg:533.00ms
step:4/1770 train_time:2168ms step_avg:542.00ms
step:5/1770 train_time:2737ms step_avg:547.37ms
step:6/1770 train_time:3308ms step_avg:551.26ms
step:7/1770 train_time:3879ms step_avg:554.09ms
step:8/1770 train_time:4447ms step_avg:555.93ms
step:9/1770 train_time:5018ms step_avg:557.54ms
step:10/1770 train_time:5591ms step_avg:559.08ms
step:11/1770 train_time:6164ms step_avg:560.34ms
step:12/1770 train_time:6735ms step_avg:561.24ms
step:13/1770 train_time:7306ms step_avg:561.96ms
step:14/1770 train_time:7876ms step_avg:562.58ms
step:15/1770 train_time:8447ms step_avg:563.12ms
step:16/1770 train_time:9017ms step_avg:563.53ms
step:17/1770 train_time:9590ms step_avg:564.12ms
step:18/1770 train_time:10163ms step_avg:564.61ms
step:19/1770 train_time:10736ms step_avg:565.06ms
step:20/1770 train_time:11306ms step_avg:565.32ms
step:21/1770 train_time:11880ms step_avg:565.74ms
step:22/1770 train_time:12457ms step_avg:566.22ms
step:23/1770 train_time:13032ms step_avg:566.63ms
step:24/1770 train_time:13604ms step_avg:566.85ms
step:25/1770 train_time:14181ms step_avg:567.24ms
step:26/1770 train_time:14755ms step_avg:567.49ms
step:27/1770 train_time:15332ms step_avg:567.84ms
step:28/1770 train_time:15907ms step_avg:568.10ms
step:29/1770 train_time:16486ms step_avg:568.47ms
step:30/1770 train_time:17064ms step_avg:568.80ms
step:31/1770 train_time:17643ms step_avg:569.13ms
step:32/1770 train_time:18221ms step_avg:569.39ms
step:33/1770 train_time:18797ms step_avg:569.62ms
step:34/1770 train_time:19372ms step_avg:569.77ms
step:35/1770 train_time:19948ms step_avg:569.94ms
step:36/1770 train_time:20523ms step_avg:570.08ms
step:37/1770 train_time:21100ms step_avg:570.28ms
step:38/1770 train_time:21680ms step_avg:570.53ms
step:39/1770 train_time:22261ms step_avg:570.78ms
step:40/1770 train_time:22840ms step_avg:571.00ms
step:41/1770 train_time:23421ms step_avg:571.25ms
step:42/1770 train_time:24002ms step_avg:571.48ms
step:43/1770 train_time:24582ms step_avg:571.66ms
step:44/1770 train_time:25160ms step_avg:571.82ms
step:45/1770 train_time:25736ms step_avg:571.91ms
step:46/1770 train_time:26318ms step_avg:572.13ms
step:47/1770 train_time:26893ms step_avg:572.19ms
