logs/62e620c5-af6f-41ef-babb-dbc8f8133292.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:40,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.44ms
step:1/1770 train_time:535ms step_avg:534.58ms
step:2/1770 train_time:1042ms step_avg:521.23ms
step:3/1770 train_time:1602ms step_avg:534.05ms
step:4/1770 train_time:2170ms step_avg:542.48ms
step:5/1770 train_time:2740ms step_avg:547.90ms
step:6/1770 train_time:3310ms step_avg:551.62ms
step:7/1770 train_time:3879ms step_avg:554.09ms
step:8/1770 train_time:4450ms step_avg:556.21ms
step:9/1770 train_time:5019ms step_avg:557.64ms
step:10/1770 train_time:5591ms step_avg:559.09ms
step:11/1770 train_time:6160ms step_avg:560.03ms
step:12/1770 train_time:6729ms step_avg:560.75ms
step:13/1770 train_time:7300ms step_avg:561.55ms
step:14/1770 train_time:7869ms step_avg:562.09ms
step:15/1770 train_time:8440ms step_avg:562.70ms
step:16/1770 train_time:9011ms step_avg:563.22ms
step:17/1770 train_time:9588ms step_avg:563.98ms
step:18/1770 train_time:10161ms step_avg:564.50ms
step:19/1770 train_time:10737ms step_avg:565.10ms
step:20/1770 train_time:11310ms step_avg:565.49ms
step:21/1770 train_time:11887ms step_avg:566.03ms
step:22/1770 train_time:12458ms step_avg:566.25ms
step:23/1770 train_time:13029ms step_avg:566.50ms
step:24/1770 train_time:13606ms step_avg:566.91ms
step:25/1770 train_time:14177ms step_avg:567.07ms
step:26/1770 train_time:14748ms step_avg:567.25ms
step:27/1770 train_time:15322ms step_avg:567.48ms
step:28/1770 train_time:15896ms step_avg:567.71ms
step:29/1770 train_time:16467ms step_avg:567.82ms
step:30/1770 train_time:17046ms step_avg:568.19ms
step:31/1770 train_time:17620ms step_avg:568.39ms
step:32/1770 train_time:18198ms step_avg:568.69ms
step:33/1770 train_time:18778ms step_avg:569.02ms
step:34/1770 train_time:19351ms step_avg:569.15ms
step:35/1770 train_time:19928ms step_avg:569.37ms
step:36/1770 train_time:20506ms step_avg:569.62ms
step:37/1770 train_time:21079ms step_avg:569.70ms
step:38/1770 train_time:21663ms step_avg:570.08ms
step:39/1770 train_time:22244ms step_avg:570.36ms
step:40/1770 train_time:22825ms step_avg:570.62ms
step:41/1770 train_time:23404ms step_avg:570.84ms
step:42/1770 train_time:23983ms step_avg:571.03ms
step:43/1770 train_time:24557ms step_avg:571.09ms
step:44/1770 train_time:25133ms step_avg:571.20ms
step:45/1770 train_time:25704ms step_avg:571.21ms
step:46/1770 train_time:26284ms step_avg:571.38ms
step:47/1770 train_time:26863ms step_avg:571.56ms
step:48/1770 train_time:27444ms step_avg:571.74ms
step:49/1770 train_time:28026ms step_avg:571.95ms
step:50/1770 train_time:28606ms step_avg:572.12ms
step:51/1770 train_time:29184ms step_avg:572.24ms
step:52/1770 train_time:29768ms step_avg:572.46ms
step:53/1770 train_time:30345ms step_avg:572.55ms
step:54/1770 train_time:30924ms step_avg:572.66ms
step:55/1770 train_time:31505ms step_avg:572.81ms
step:56/1770 train_time:32082ms step_avg:572.88ms
step:57/1770 train_time:32661ms step_avg:573.01ms
step:58/1770 train_time:33241ms step_avg:573.12ms
step:59/1770 train_time:33821ms step_avg:573.24ms
step:60/1770 train_time:34400ms step_avg:573.34ms
step:61/1770 train_time:34981ms step_avg:573.46ms
step:62/1770 train_time:35560ms step_avg:573.55ms
step:63/1770 train_time:36141ms step_avg:573.66ms
step:64/1770 train_time:36720ms step_avg:573.76ms
step:65/1770 train_time:37301ms step_avg:573.86ms
step:66/1770 train_time:37881ms step_avg:573.96ms
step:67/1770 train_time:38462ms step_avg:574.05ms
step:68/1770 train_time:39044ms step_avg:574.18ms
step:69/1770 train_time:39627ms step_avg:574.31ms
step:70/1770 train_time:40211ms step_avg:574.44ms
step:71/1770 train_time:40793ms step_avg:574.54ms
step:72/1770 train_time:41375ms step_avg:574.65ms
step:73/1770 train_time:41962ms step_avg:574.82ms
step:74/1770 train_time:42542ms step_avg:574.89ms
step:75/1770 train_time:43122ms step_avg:574.97ms
step:76/1770 train_time:43708ms step_avg:575.10ms
step:77/1770 train_time:44287ms step_avg:575.16ms
step:78/1770 train_time:44871ms step_avg:575.27ms
step:79/1770 train_time:45452ms step_avg:575.34ms
step:80/1770 train_time:46035ms step_avg:575.44ms
step:81/1770 train_time:46617ms step_avg:575.51ms
step:82/1770 train_time:47196ms step_avg:575.57ms
step:83/1770 train_time:47777ms step_avg:575.63ms
step:84/1770 train_time:48359ms step_avg:575.70ms
step:85/1770 train_time:48944ms step_avg:575.82ms
step:86/1770 train_time:49526ms step_avg:575.88ms
step:87/1770 train_time:50111ms step_avg:575.99ms
step:88/1770 train_time:50700ms step_avg:576.14ms
step:89/1770 train_time:51284ms step_avg:576.23ms
step:90/1770 train_time:51869ms step_avg:576.32ms
step:91/1770 train_time:52456ms step_avg:576.44ms
