logs/fef8df7f-725f-4726-8c28-0c33bae33f67.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:40<16:05,  1.80it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.42ms
step:1/1770 train_time:521ms step_avg:521.17ms
step:2/1770 train_time:1015ms step_avg:507.56ms
step:3/1770 train_time:1564ms step_avg:521.36ms
step:4/1770 train_time:2110ms step_avg:527.52ms
step:5/1770 train_time:2663ms step_avg:532.60ms
step:6/1770 train_time:3209ms step_avg:534.88ms
step:7/1770 train_time:3760ms step_avg:537.11ms
step:8/1770 train_time:4310ms step_avg:538.80ms
step:9/1770 train_time:4859ms step_avg:539.91ms
step:10/1770 train_time:5407ms step_avg:540.73ms
step:11/1770 train_time:5959ms step_avg:541.77ms
step:12/1770 train_time:6505ms step_avg:542.11ms
step:13/1770 train_time:7057ms step_avg:542.88ms
step:14/1770 train_time:7607ms step_avg:543.36ms
step:15/1770 train_time:8158ms step_avg:543.87ms
step:16/1770 train_time:8710ms step_avg:544.35ms
step:17/1770 train_time:9260ms step_avg:544.69ms
step:18/1770 train_time:9812ms step_avg:545.12ms
step:19/1770 train_time:10363ms step_avg:545.43ms
step:20/1770 train_time:10917ms step_avg:545.83ms
step:21/1770 train_time:11470ms step_avg:546.21ms
step:22/1770 train_time:12023ms step_avg:546.51ms
step:23/1770 train_time:12576ms step_avg:546.78ms
step:24/1770 train_time:13130ms step_avg:547.10ms
step:25/1770 train_time:13687ms step_avg:547.47ms
step:26/1770 train_time:14239ms step_avg:547.66ms
step:27/1770 train_time:14794ms step_avg:547.92ms
step:28/1770 train_time:15348ms step_avg:548.15ms
step:29/1770 train_time:15901ms step_avg:548.32ms
step:30/1770 train_time:16457ms step_avg:548.58ms
step:31/1770 train_time:17012ms step_avg:548.78ms
step:32/1770 train_time:17570ms step_avg:549.05ms
step:33/1770 train_time:18122ms step_avg:549.16ms
step:34/1770 train_time:18677ms step_avg:549.32ms
step:35/1770 train_time:19235ms step_avg:549.58ms
step:36/1770 train_time:19793ms step_avg:549.81ms
step:37/1770 train_time:20352ms step_avg:550.04ms
step:38/1770 train_time:20909ms step_avg:550.24ms
step:39/1770 train_time:21464ms step_avg:550.36ms
step:40/1770 train_time:22022ms step_avg:550.56ms
step:41/1770 train_time:22579ms step_avg:550.70ms
step:42/1770 train_time:23137ms step_avg:550.89ms
