logs/cd930ba5-2ff1-40f6-bf7c-93bfe123fd72.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:41,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.19ms
step:1/1770 train_time:538ms step_avg:537.55ms
step:2/1770 train_time:1043ms step_avg:521.46ms
step:3/1770 train_time:1612ms step_avg:537.29ms
step:4/1770 train_time:2180ms step_avg:544.95ms
step:5/1770 train_time:2751ms step_avg:550.20ms
step:6/1770 train_time:3321ms step_avg:553.53ms
step:7/1770 train_time:3890ms step_avg:555.76ms
step:8/1770 train_time:4461ms step_avg:557.58ms
step:9/1770 train_time:5031ms step_avg:558.98ms
step:10/1770 train_time:5600ms step_avg:559.99ms
step:11/1770 train_time:6171ms step_avg:560.99ms
step:12/1770 train_time:6741ms step_avg:561.78ms
step:13/1770 train_time:7309ms step_avg:562.24ms
step:14/1770 train_time:7879ms step_avg:562.80ms
step:15/1770 train_time:8448ms step_avg:563.23ms
step:16/1770 train_time:9018ms step_avg:563.61ms
step:17/1770 train_time:9589ms step_avg:564.04ms
step:18/1770 train_time:10161ms step_avg:564.49ms
step:19/1770 train_time:10734ms step_avg:564.93ms
step:20/1770 train_time:11308ms step_avg:565.42ms
step:21/1770 train_time:11879ms step_avg:565.67ms
step:22/1770 train_time:12453ms step_avg:566.06ms
step:23/1770 train_time:13028ms step_avg:566.42ms
step:24/1770 train_time:13604ms step_avg:566.82ms
step:25/1770 train_time:14179ms step_avg:567.14ms
step:26/1770 train_time:14752ms step_avg:567.39ms
step:27/1770 train_time:15328ms step_avg:567.70ms
step:28/1770 train_time:15905ms step_avg:568.05ms
step:29/1770 train_time:16480ms step_avg:568.26ms
step:30/1770 train_time:17055ms step_avg:568.52ms
step:31/1770 train_time:17628ms step_avg:568.64ms
step:32/1770 train_time:18206ms step_avg:568.93ms
step:33/1770 train_time:18782ms step_avg:569.16ms
step:34/1770 train_time:19356ms step_avg:569.30ms
step:35/1770 train_time:19932ms step_avg:569.49ms
step:36/1770 train_time:20506ms step_avg:569.62ms
step:37/1770 train_time:21086ms step_avg:569.88ms
step:38/1770 train_time:21666ms step_avg:570.15ms
step:39/1770 train_time:22244ms step_avg:570.35ms
step:40/1770 train_time:22825ms step_avg:570.62ms
step:41/1770 train_time:23406ms step_avg:570.87ms
step:42/1770 train_time:23985ms step_avg:571.08ms
step:43/1770 train_time:24565ms step_avg:571.27ms
step:44/1770 train_time:25144ms step_avg:571.45ms
step:45/1770 train_time:25724ms step_avg:571.63ms
step:46/1770 train_time:26304ms step_avg:571.82ms
step:47/1770 train_time:26887ms step_avg:572.05ms
step:48/1770 train_time:27465ms step_avg:572.18ms
step:49/1770 train_time:28043ms step_avg:572.31ms
step:50/1770 train_time:28625ms step_avg:572.49ms
step:51/1770 train_time:29204ms step_avg:572.62ms
step:52/1770 train_time:29783ms step_avg:572.75ms
step:53/1770 train_time:30362ms step_avg:572.87ms
step:54/1770 train_time:30944ms step_avg:573.04ms
step:55/1770 train_time:31523ms step_avg:573.15ms
step:56/1770 train_time:32105ms step_avg:573.30ms
step:57/1770 train_time:32683ms step_avg:573.39ms
step:58/1770 train_time:33262ms step_avg:573.49ms
step:59/1770 train_time:33843ms step_avg:573.60ms
step:60/1770 train_time:34422ms step_avg:573.70ms
step:61/1770 train_time:35002ms step_avg:573.80ms
step:62/1770 train_time:35582ms step_avg:573.90ms
step:63/1770 train_time:36161ms step_avg:573.99ms
step:64/1770 train_time:36742ms step_avg:574.09ms
step:65/1770 train_time:37321ms step_avg:574.17ms
step:66/1770 train_time:37901ms step_avg:574.26ms
step:67/1770 train_time:38481ms step_avg:574.35ms
step:68/1770 train_time:39061ms step_avg:574.42ms
step:69/1770 train_time:39641ms step_avg:574.51ms
step:70/1770 train_time:40220ms step_avg:574.57ms
step:71/1770 train_time:40799ms step_avg:574.63ms
step:72/1770 train_time:41380ms step_avg:574.73ms
step:73/1770 train_time:41960ms step_avg:574.79ms
step:74/1770 train_time:42544ms step_avg:574.92ms
step:75/1770 train_time:43125ms step_avg:575.00ms
step:76/1770 train_time:43707ms step_avg:575.09ms
step:77/1770 train_time:44289ms step_avg:575.18ms
step:78/1770 train_time:44874ms step_avg:575.31ms
step:79/1770 train_time:45458ms step_avg:575.42ms
step:80/1770 train_time:46040ms step_avg:575.50ms
step:81/1770 train_time:46621ms step_avg:575.56ms
step:82/1770 train_time:47201ms step_avg:575.63ms
step:83/1770 train_time:47783ms step_avg:575.70ms
step:84/1770 train_time:48368ms step_avg:575.80ms
step:85/1770 train_time:48949ms step_avg:575.87ms
step:86/1770 train_time:49531ms step_avg:575.95ms
step:87/1770 train_time:50118ms step_avg:576.07ms
step:88/1770 train_time:50700ms step_avg:576.14ms
step:89/1770 train_time:51282ms step_avg:576.21ms
step:90/1770 train_time:51865ms step_avg:576.28ms
step:91/1770 train_time:52454ms step_avg:576.42ms
step:92/1770 train_time:53036ms step_avg:576.48ms
step:93/1770 train_time:53620ms step_avg:576.56ms
step:94/1770 train_time:54206ms step_avg:576.66ms
step:95/1770 train_time:54793ms step_avg:576.77ms
step:96/1770 train_time:55380ms step_avg:576.88ms
step:97/1770 train_time:55963ms step_avg:576.94ms
step:98/1770 train_time:56552ms step_avg:577.06ms
step:99/1770 train_time:57135ms step_avg:577.12ms
step:100/1770 train_time:57719ms step_avg:577.19ms
step:101/1770 train_time:58305ms step_avg:577.27ms
step:102/1770 train_time:58894ms step_avg:577.39ms
step:103/1770 train_time:59475ms step_avg:577.43ms
step:104/1770 train_time:60060ms step_avg:577.50ms
step:105/1770 train_time:60646ms step_avg:577.58ms
step:106/1770 train_time:61233ms step_avg:577.67ms
step:107/1770 train_time:61818ms step_avg:577.74ms
step:108/1770 train_time:62405ms step_avg:577.82ms
step:109/1770 train_time:62993ms step_avg:577.92ms
step:110/1770 train_time:63576ms step_avg:577.96ms
step:111/1770 train_time:64163ms step_avg:578.04ms
step:112/1770 train_time:64752ms step_avg:578.14ms
step:113/1770 train_time:65337ms step_avg:578.21ms
step:114/1770 train_time:65930ms step_avg:578.33ms
step:115/1770 train_time:66513ms step_avg:578.37ms
step:116/1770 train_time:67099ms step_avg:578.44ms
