logs/a16b81bd-20dc-4962-932e-12d9319a81ab.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:11,  1.79it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.37ms
step:1/1770 train_time:528ms step_avg:527.89ms
step:2/1770 train_time:1015ms step_avg:507.61ms
step:3/1770 train_time:1560ms step_avg:519.87ms
step:4/1770 train_time:2112ms step_avg:527.90ms
step:5/1770 train_time:2659ms step_avg:531.88ms
step:6/1770 train_time:3213ms step_avg:535.55ms
step:7/1770 train_time:3762ms step_avg:537.42ms
step:8/1770 train_time:4312ms step_avg:539.05ms
step:9/1770 train_time:4863ms step_avg:540.37ms
step:10/1770 train_time:5413ms step_avg:541.33ms
step:11/1770 train_time:5961ms step_avg:541.94ms
step:12/1770 train_time:6514ms step_avg:542.81ms
step:13/1770 train_time:7066ms step_avg:543.54ms
step:14/1770 train_time:7617ms step_avg:544.09ms
step:15/1770 train_time:8171ms step_avg:544.74ms
step:16/1770 train_time:8727ms step_avg:545.47ms
step:17/1770 train_time:9281ms step_avg:545.97ms
step:18/1770 train_time:9833ms step_avg:546.27ms
step:19/1770 train_time:10392ms step_avg:546.97ms
step:20/1770 train_time:10946ms step_avg:547.31ms
step:21/1770 train_time:11502ms step_avg:547.70ms
step:22/1770 train_time:12055ms step_avg:547.94ms
step:23/1770 train_time:12611ms step_avg:548.32ms
step:24/1770 train_time:13168ms step_avg:548.65ms
step:25/1770 train_time:13725ms step_avg:549.00ms
step:26/1770 train_time:14284ms step_avg:549.38ms
step:27/1770 train_time:14842ms step_avg:549.71ms
step:28/1770 train_time:15403ms step_avg:550.09ms
step:29/1770 train_time:15963ms step_avg:550.43ms
step:30/1770 train_time:16517ms step_avg:550.57ms
step:31/1770 train_time:17075ms step_avg:550.80ms
step:32/1770 train_time:17629ms step_avg:550.92ms
step:33/1770 train_time:18190ms step_avg:551.21ms
step:34/1770 train_time:18749ms step_avg:551.44ms
step:35/1770 train_time:19308ms step_avg:551.67ms
step:36/1770 train_time:19867ms step_avg:551.87ms
step:37/1770 train_time:20430ms step_avg:552.16ms
step:38/1770 train_time:20988ms step_avg:552.32ms
step:39/1770 train_time:21549ms step_avg:552.53ms
step:40/1770 train_time:22108ms step_avg:552.71ms
step:41/1770 train_time:22669ms step_avg:552.89ms
step:42/1770 train_time:23228ms step_avg:553.04ms
step:43/1770 train_time:23788ms step_avg:553.20ms
step:44/1770 train_time:24347ms step_avg:553.35ms
step:45/1770 train_time:24908ms step_avg:553.51ms
step:46/1770 train_time:25469ms step_avg:553.67ms
step:47/1770 train_time:26028ms step_avg:553.79ms
step:48/1770 train_time:26589ms step_avg:553.94ms
step:49/1770 train_time:27148ms step_avg:554.05ms
step:50/1770 train_time:27709ms step_avg:554.18ms
step:51/1770 train_time:28268ms step_avg:554.28ms
step:52/1770 train_time:28828ms step_avg:554.39ms
step:53/1770 train_time:29390ms step_avg:554.53ms
step:54/1770 train_time:29951ms step_avg:554.64ms
step:55/1770 train_time:30511ms step_avg:554.74ms
step:56/1770 train_time:31075ms step_avg:554.91ms
step:57/1770 train_time:31637ms step_avg:555.03ms
step:58/1770 train_time:32202ms step_avg:555.21ms
step:59/1770 train_time:32769ms step_avg:555.40ms
step:60/1770 train_time:33334ms step_avg:555.57ms
