logs/e7f9f1da-fc89-4c8e-a744-46682ad1e29e.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:46,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.03ms
step:1/1770 train_time:544ms step_avg:543.78ms
step:2/1770 train_time:1056ms step_avg:527.99ms
step:3/1770 train_time:1624ms step_avg:541.38ms
step:4/1770 train_time:2195ms step_avg:548.73ms
step:5/1770 train_time:2765ms step_avg:552.98ms
step:6/1770 train_time:3339ms step_avg:556.49ms
step:7/1770 train_time:3912ms step_avg:558.80ms
step:8/1770 train_time:4484ms step_avg:560.46ms
step:9/1770 train_time:5057ms step_avg:561.90ms
step:10/1770 train_time:5632ms step_avg:563.16ms
step:11/1770 train_time:6209ms step_avg:564.45ms
step:12/1770 train_time:6782ms step_avg:565.17ms
step:13/1770 train_time:7354ms step_avg:565.73ms
step:14/1770 train_time:7932ms step_avg:566.54ms
step:15/1770 train_time:8506ms step_avg:567.05ms
step:16/1770 train_time:9083ms step_avg:567.67ms
step:17/1770 train_time:9661ms step_avg:568.30ms
step:18/1770 train_time:10235ms step_avg:568.59ms
step:19/1770 train_time:10811ms step_avg:569.00ms
step:20/1770 train_time:11387ms step_avg:569.35ms
step:21/1770 train_time:11961ms step_avg:569.56ms
step:22/1770 train_time:12541ms step_avg:570.04ms
step:23/1770 train_time:13120ms step_avg:570.44ms
step:24/1770 train_time:13698ms step_avg:570.73ms
step:25/1770 train_time:14269ms step_avg:570.77ms
step:26/1770 train_time:14847ms step_avg:571.03ms
step:27/1770 train_time:15422ms step_avg:571.18ms
step:28/1770 train_time:16001ms step_avg:571.47ms
step:29/1770 train_time:16580ms step_avg:571.72ms
step:30/1770 train_time:17159ms step_avg:571.98ms
step:31/1770 train_time:17741ms step_avg:572.29ms
step:32/1770 train_time:18320ms step_avg:572.49ms
step:33/1770 train_time:18899ms step_avg:572.71ms
step:34/1770 train_time:19480ms step_avg:572.94ms
step:35/1770 train_time:20060ms step_avg:573.15ms
step:36/1770 train_time:20640ms step_avg:573.33ms
step:37/1770 train_time:21221ms step_avg:573.53ms
step:38/1770 train_time:21799ms step_avg:573.65ms
step:39/1770 train_time:22382ms step_avg:573.90ms
step:40/1770 train_time:22959ms step_avg:573.97ms
step:41/1770 train_time:23541ms step_avg:574.18ms
step:42/1770 train_time:24118ms step_avg:574.24ms
step:43/1770 train_time:24698ms step_avg:574.36ms
step:44/1770 train_time:25276ms step_avg:574.45ms
step:45/1770 train_time:25856ms step_avg:574.57ms
step:46/1770 train_time:26438ms step_avg:574.73ms
step:47/1770 train_time:27018ms step_avg:574.86ms
step:48/1770 train_time:27597ms step_avg:574.93ms
step:49/1770 train_time:28176ms step_avg:575.01ms
