logs/693e06a2-c477-47be-bf36-0d4650395cd8.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:47<16:27,  1.76it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.19ms
step:1/1770 train_time:532ms step_avg:532.31ms
step:2/1770 train_time:1027ms step_avg:513.74ms
step:3/1770 train_time:1576ms step_avg:525.33ms
step:4/1770 train_time:2130ms step_avg:532.48ms
step:5/1770 train_time:2684ms step_avg:536.83ms
step:6/1770 train_time:3257ms step_avg:542.88ms
step:7/1770 train_time:3826ms step_avg:546.57ms
step:8/1770 train_time:4762ms step_avg:595.20ms
step:9/1770 train_time:5787ms step_avg:643.03ms
step:10/1770 train_time:6749ms step_avg:674.94ms
step:11/1770 train_time:7770ms step_avg:706.39ms
step:12/1770 train_time:8668ms step_avg:722.34ms
step:13/1770 train_time:9673ms step_avg:744.12ms
step:14/1770 train_time:10679ms step_avg:762.81ms
step:15/1770 train_time:11684ms step_avg:778.91ms
step:16/1770 train_time:12689ms step_avg:793.04ms
step:17/1770 train_time:13693ms step_avg:805.48ms
step:18/1770 train_time:14482ms step_avg:804.55ms
step:19/1770 train_time:15038ms step_avg:791.45ms
step:20/1770 train_time:15594ms step_avg:779.70ms
step:21/1770 train_time:16153ms step_avg:769.19ms
step:22/1770 train_time:16712ms step_avg:759.62ms
step:23/1770 train_time:17272ms step_avg:750.94ms
step:24/1770 train_time:17830ms step_avg:742.90ms
step:25/1770 train_time:18390ms step_avg:735.61ms
step:26/1770 train_time:18950ms step_avg:728.86ms
step:27/1770 train_time:19512ms step_avg:722.66ms
step:28/1770 train_time:20075ms step_avg:716.96ms
step:29/1770 train_time:20637ms step_avg:711.63ms
step:30/1770 train_time:21200ms step_avg:706.66ms
step:31/1770 train_time:21763ms step_avg:702.03ms
step:32/1770 train_time:22327ms step_avg:697.73ms
step:33/1770 train_time:22889ms step_avg:693.61ms
step:34/1770 train_time:23450ms step_avg:689.70ms
step:35/1770 train_time:24012ms step_avg:686.07ms
step:36/1770 train_time:24577ms step_avg:682.69ms
step:37/1770 train_time:25145ms step_avg:679.59ms
step:38/1770 train_time:25707ms step_avg:676.51ms
step:39/1770 train_time:26275ms step_avg:673.71ms
step:40/1770 train_time:26840ms step_avg:671.00ms
step:41/1770 train_time:27408ms step_avg:668.49ms
step:42/1770 train_time:27972ms step_avg:665.99ms
step:43/1770 train_time:28537ms step_avg:663.66ms
step:44/1770 train_time:29106ms step_avg:661.50ms
step:45/1770 train_time:29670ms step_avg:659.34ms
step:46/1770 train_time:30239ms step_avg:657.37ms
step:47/1770 train_time:30805ms step_avg:655.43ms
step:48/1770 train_time:31371ms step_avg:653.56ms
step:49/1770 train_time:31938ms step_avg:651.79ms
step:50/1770 train_time:32506ms step_avg:650.12ms
step:51/1770 train_time:33077ms step_avg:648.56ms
step:52/1770 train_time:33645ms step_avg:647.03ms
step:53/1770 train_time:34213ms step_avg:645.54ms
step:54/1770 train_time:34783ms step_avg:644.13ms
step:55/1770 train_time:35351ms step_avg:642.75ms
step:56/1770 train_time:35921ms step_avg:641.44ms
step:57/1770 train_time:36490ms step_avg:640.17ms
step:58/1770 train_time:37061ms step_avg:638.98ms
step:59/1770 train_time:37632ms step_avg:637.84ms
step:60/1770 train_time:38205ms step_avg:636.75ms
step:61/1770 train_time:38775ms step_avg:635.66ms
step:62/1770 train_time:39348ms step_avg:634.64ms
step:63/1770 train_time:39921ms step_avg:633.67ms
step:64/1770 train_time:40494ms step_avg:632.72ms
step:65/1770 train_time:41064ms step_avg:631.75ms
step:66/1770 train_time:41634ms step_avg:630.81ms
step:67/1770 train_time:42204ms step_avg:629.91ms
step:68/1770 train_time:42774ms step_avg:629.03ms
step:69/1770 train_time:43345ms step_avg:628.19ms
step:70/1770 train_time:43919ms step_avg:627.42ms
step:71/1770 train_time:44490ms step_avg:626.61ms
step:72/1770 train_time:45062ms step_avg:625.86ms
