logs/79a4aae3-00fb-4e39-b6c8-828c840a1313.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:44,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.48ms
step:1/1770 train_time:525ms step_avg:525.40ms
step:2/1770 train_time:1033ms step_avg:516.46ms
step:3/1770 train_time:1596ms step_avg:531.85ms
step:4/1770 train_time:2164ms step_avg:541.04ms
step:5/1770 train_time:2734ms step_avg:546.85ms
step:6/1770 train_time:3302ms step_avg:550.38ms
step:7/1770 train_time:3873ms step_avg:553.30ms
step:8/1770 train_time:4446ms step_avg:555.71ms
step:9/1770 train_time:5015ms step_avg:557.21ms
step:10/1770 train_time:5586ms step_avg:558.60ms
step:11/1770 train_time:6157ms step_avg:559.73ms
step:12/1770 train_time:6730ms step_avg:560.80ms
step:13/1770 train_time:7299ms step_avg:561.46ms
step:14/1770 train_time:7877ms step_avg:562.61ms
step:15/1770 train_time:8448ms step_avg:563.17ms
step:16/1770 train_time:9024ms step_avg:563.97ms
step:17/1770 train_time:9596ms step_avg:564.47ms
step:18/1770 train_time:10173ms step_avg:565.14ms
step:19/1770 train_time:10746ms step_avg:565.58ms
step:20/1770 train_time:11322ms step_avg:566.08ms
step:21/1770 train_time:11895ms step_avg:566.42ms
step:22/1770 train_time:12470ms step_avg:566.82ms
step:23/1770 train_time:13042ms step_avg:567.06ms
step:24/1770 train_time:13620ms step_avg:567.48ms
step:25/1770 train_time:14194ms step_avg:567.76ms
step:26/1770 train_time:14773ms step_avg:568.18ms
step:27/1770 train_time:15349ms step_avg:568.48ms
step:28/1770 train_time:15923ms step_avg:568.69ms
step:29/1770 train_time:16501ms step_avg:569.01ms
step:30/1770 train_time:17079ms step_avg:569.29ms
step:31/1770 train_time:17658ms step_avg:569.63ms
step:32/1770 train_time:18237ms step_avg:569.89ms
step:33/1770 train_time:18814ms step_avg:570.13ms
step:34/1770 train_time:19390ms step_avg:570.30ms
step:35/1770 train_time:19972ms step_avg:570.63ms
step:36/1770 train_time:20549ms step_avg:570.80ms
step:37/1770 train_time:21131ms step_avg:571.12ms
step:38/1770 train_time:21711ms step_avg:571.35ms
step:39/1770 train_time:22291ms step_avg:571.57ms
step:40/1770 train_time:22871ms step_avg:571.79ms
step:41/1770 train_time:23450ms step_avg:571.95ms
step:42/1770 train_time:24030ms step_avg:572.14ms
step:43/1770 train_time:24611ms step_avg:572.35ms
step:44/1770 train_time:25190ms step_avg:572.51ms
step:45/1770 train_time:25770ms step_avg:572.67ms
step:46/1770 train_time:26349ms step_avg:572.81ms
step:47/1770 train_time:26931ms step_avg:573.00ms
step:48/1770 train_time:27509ms step_avg:573.11ms
step:49/1770 train_time:28090ms step_avg:573.26ms
step:50/1770 train_time:28669ms step_avg:573.39ms
step:51/1770 train_time:29250ms step_avg:573.52ms
step:52/1770 train_time:29829ms step_avg:573.63ms
step:53/1770 train_time:30408ms step_avg:573.73ms
step:54/1770 train_time:30991ms step_avg:573.90ms
step:55/1770 train_time:31573ms step_avg:574.05ms
step:56/1770 train_time:32154ms step_avg:574.18ms
step:57/1770 train_time:32737ms step_avg:574.33ms
step:58/1770 train_time:33320ms step_avg:574.48ms
step:59/1770 train_time:33902ms step_avg:574.61ms
step:60/1770 train_time:34486ms step_avg:574.77ms
step:61/1770 train_time:35068ms step_avg:574.89ms
step:62/1770 train_time:35650ms step_avg:575.00ms
step:63/1770 train_time:36233ms step_avg:575.13ms
step:64/1770 train_time:36820ms step_avg:575.31ms
step:65/1770 train_time:37403ms step_avg:575.43ms
step:66/1770 train_time:37986ms step_avg:575.55ms
step:67/1770 train_time:38569ms step_avg:575.65ms
step:68/1770 train_time:39153ms step_avg:575.78ms
step:69/1770 train_time:39736ms step_avg:575.88ms
step:70/1770 train_time:40318ms step_avg:575.98ms
step:71/1770 train_time:40902ms step_avg:576.09ms
step:72/1770 train_time:41486ms step_avg:576.19ms
step:73/1770 train_time:42073ms step_avg:576.35ms
step:74/1770 train_time:42659ms step_avg:576.47ms
step:75/1770 train_time:43244ms step_avg:576.59ms
step:76/1770 train_time:43902ms step_avg:577.66ms
step:77/1770 train_time:44484ms step_avg:577.72ms
step:78/1770 train_time:45067ms step_avg:577.78ms
step:79/1770 train_time:45655ms step_avg:577.91ms
step:80/1770 train_time:46242ms step_avg:578.03ms
step:81/1770 train_time:46829ms step_avg:578.13ms
step:82/1770 train_time:47414ms step_avg:578.22ms
step:83/1770 train_time:48002ms step_avg:578.34ms
step:84/1770 train_time:48587ms step_avg:578.42ms
step:85/1770 train_time:49173ms step_avg:578.51ms
step:86/1770 train_time:49763ms step_avg:578.64ms
step:87/1770 train_time:50349ms step_avg:578.72ms
step:88/1770 train_time:50935ms step_avg:578.81ms
step:89/1770 train_time:51522ms step_avg:578.90ms
step:90/1770 train_time:52111ms step_avg:579.01ms
step:91/1770 train_time:52697ms step_avg:579.08ms
step:92/1770 train_time:53282ms step_avg:579.16ms
step:93/1770 train_time:53872ms step_avg:579.27ms
step:94/1770 train_time:54461ms step_avg:579.37ms
step:95/1770 train_time:55049ms step_avg:579.46ms
step:96/1770 train_time:55638ms step_avg:579.57ms
step:97/1770 train_time:56224ms step_avg:579.63ms
step:98/1770 train_time:56813ms step_avg:579.73ms
step:99/1770 train_time:57400ms step_avg:579.80ms
step:100/1770 train_time:57990ms step_avg:579.90ms
step:101/1770 train_time:58579ms step_avg:579.99ms
step:102/1770 train_time:59169ms step_avg:580.08ms
step:103/1770 train_time:59759ms step_avg:580.19ms
step:104/1770 train_time:60347ms step_avg:580.26ms
step:105/1770 train_time:60937ms step_avg:580.36ms
step:106/1770 train_time:61526ms step_avg:580.44ms
step:107/1770 train_time:62117ms step_avg:580.53ms
step:108/1770 train_time:62706ms step_avg:580.61ms
step:109/1770 train_time:63299ms step_avg:580.72ms
step:110/1770 train_time:63889ms step_avg:580.81ms
step:111/1770 train_time:64478ms step_avg:580.89ms
step:112/1770 train_time:65068ms step_avg:580.96ms
step:113/1770 train_time:65659ms step_avg:581.06ms
step:114/1770 train_time:66249ms step_avg:581.13ms
step:115/1770 train_time:66837ms step_avg:581.19ms
step:116/1770 train_time:67427ms step_avg:581.27ms
step:117/1770 train_time:68017ms step_avg:581.34ms
step:118/1770 train_time:68607ms step_avg:581.42ms
step:119/1770 train_time:69199ms step_avg:581.50ms
step:120/1770 train_time:69787ms step_avg:581.56ms
step:121/1770 train_time:70377ms step_avg:581.63ms
step:122/1770 train_time:70972ms step_avg:581.73ms
step:123/1770 train_time:71557ms step_avg:581.76ms
step:124/1770 train_time:72149ms step_avg:581.85ms
step:125/1770 train_time:72737ms step_avg:581.90ms
step:125/1770 val_loss:4.8846 train_time:72747ms step_avg:581.98ms
step:126/1770 train_time:73338ms step_avg:582.05ms
step:127/1770 train_time:73928ms step_avg:582.11ms
step:128/1770 train_time:74509ms step_avg:582.10ms
step:129/1770 train_time:75094ms step_avg:582.12ms
step:130/1770 train_time:75679ms step_avg:582.14ms
step:131/1770 train_time:76265ms step_avg:582.18ms
step:132/1770 train_time:76855ms step_avg:582.24ms
step:133/1770 train_time:77448ms step_avg:582.32ms
step:134/1770 train_time:78039ms step_avg:582.38ms
step:135/1770 train_time:78631ms step_avg:582.45ms
step:136/1770 train_time:79220ms step_avg:582.50ms
step:137/1770 train_time:79809ms step_avg:582.55ms
step:138/1770 train_time:80402ms step_avg:582.62ms
step:139/1770 train_time:80990ms step_avg:582.66ms
step:140/1770 train_time:81584ms step_avg:582.74ms
step:141/1770 train_time:82174ms step_avg:582.79ms
step:142/1770 train_time:82769ms step_avg:582.88ms
step:143/1770 train_time:83360ms step_avg:582.94ms
step:144/1770 train_time:83956ms step_avg:583.03ms
step:145/1770 train_time:84548ms step_avg:583.09ms
