logs/b15d8da2-47f5-4652-b5aa-68d7d69e4e7c.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:46,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.60ms
step:1/1770 train_time:543ms step_avg:543.44ms
step:2/1770 train_time:1048ms step_avg:524.00ms
step:3/1770 train_time:1612ms step_avg:537.47ms
step:4/1770 train_time:2183ms step_avg:545.63ms
step:5/1770 train_time:2753ms step_avg:550.51ms
step:6/1770 train_time:3324ms step_avg:554.06ms
step:7/1770 train_time:3893ms step_avg:556.15ms
step:8/1770 train_time:4464ms step_avg:557.95ms
step:9/1770 train_time:5037ms step_avg:559.67ms
step:10/1770 train_time:5604ms step_avg:560.37ms
step:11/1770 train_time:6172ms step_avg:561.09ms
step:12/1770 train_time:6747ms step_avg:562.26ms
step:13/1770 train_time:7320ms step_avg:563.04ms
step:14/1770 train_time:7892ms step_avg:563.72ms
step:15/1770 train_time:8467ms step_avg:564.44ms
step:16/1770 train_time:9039ms step_avg:564.92ms
step:17/1770 train_time:9615ms step_avg:565.59ms
step:18/1770 train_time:10189ms step_avg:566.05ms
step:19/1770 train_time:10760ms step_avg:566.32ms
step:20/1770 train_time:11339ms step_avg:566.93ms
step:21/1770 train_time:11912ms step_avg:567.23ms
step:22/1770 train_time:12484ms step_avg:567.48ms
step:23/1770 train_time:13060ms step_avg:567.83ms
step:24/1770 train_time:13635ms step_avg:568.12ms
step:25/1770 train_time:14212ms step_avg:568.47ms
step:26/1770 train_time:14783ms step_avg:568.58ms
step:27/1770 train_time:15360ms step_avg:568.89ms
step:28/1770 train_time:15940ms step_avg:569.30ms
step:29/1770 train_time:16519ms step_avg:569.62ms
step:30/1770 train_time:17098ms step_avg:569.93ms
step:31/1770 train_time:17675ms step_avg:570.15ms
step:32/1770 train_time:18249ms step_avg:570.30ms
step:33/1770 train_time:18827ms step_avg:570.52ms
step:34/1770 train_time:19404ms step_avg:570.70ms
step:35/1770 train_time:19985ms step_avg:571.00ms
step:36/1770 train_time:20562ms step_avg:571.17ms
step:37/1770 train_time:21137ms step_avg:571.26ms
step:38/1770 train_time:21716ms step_avg:571.47ms
step:39/1770 train_time:22299ms step_avg:571.77ms
step:40/1770 train_time:22876ms step_avg:571.91ms
step:41/1770 train_time:23456ms step_avg:572.10ms
step:42/1770 train_time:24038ms step_avg:572.33ms
step:43/1770 train_time:24616ms step_avg:572.46ms
step:44/1770 train_time:25196ms step_avg:572.64ms
step:45/1770 train_time:25776ms step_avg:572.80ms
step:46/1770 train_time:26356ms step_avg:572.95ms
step:47/1770 train_time:26935ms step_avg:573.09ms
step:48/1770 train_time:27516ms step_avg:573.25ms
step:49/1770 train_time:28096ms step_avg:573.39ms
step:50/1770 train_time:28677ms step_avg:573.53ms
step:51/1770 train_time:29255ms step_avg:573.64ms
step:52/1770 train_time:29834ms step_avg:573.74ms
step:53/1770 train_time:30413ms step_avg:573.84ms
step:54/1770 train_time:30996ms step_avg:574.00ms
step:55/1770 train_time:31576ms step_avg:574.10ms
step:56/1770 train_time:32153ms step_avg:574.17ms
step:57/1770 train_time:32846ms step_avg:576.25ms
step:58/1770 train_time:33428ms step_avg:576.34ms
step:59/1770 train_time:34011ms step_avg:576.45ms
step:60/1770 train_time:34595ms step_avg:576.59ms
step:61/1770 train_time:35172ms step_avg:576.59ms
step:62/1770 train_time:35756ms step_avg:576.72ms
step:63/1770 train_time:36343ms step_avg:576.87ms
step:64/1770 train_time:36924ms step_avg:576.93ms
step:65/1770 train_time:37507ms step_avg:577.03ms
step:66/1770 train_time:38090ms step_avg:577.13ms
step:67/1770 train_time:38672ms step_avg:577.19ms
step:68/1770 train_time:39252ms step_avg:577.23ms
step:69/1770 train_time:39836ms step_avg:577.34ms
step:70/1770 train_time:40423ms step_avg:577.47ms
step:71/1770 train_time:41008ms step_avg:577.58ms
step:72/1770 train_time:41591ms step_avg:577.65ms
step:73/1770 train_time:42173ms step_avg:577.72ms
step:74/1770 train_time:42759ms step_avg:577.83ms
step:75/1770 train_time:43343ms step_avg:577.90ms
step:76/1770 train_time:43931ms step_avg:578.03ms
step:77/1770 train_time:44519ms step_avg:578.16ms
step:78/1770 train_time:45101ms step_avg:578.22ms
step:79/1770 train_time:45690ms step_avg:578.35ms
step:80/1770 train_time:46274ms step_avg:578.42ms
step:81/1770 train_time:46860ms step_avg:578.52ms
step:82/1770 train_time:47464ms step_avg:578.83ms
step:83/1770 train_time:48051ms step_avg:578.93ms
step:84/1770 train_time:48636ms step_avg:579.00ms
step:85/1770 train_time:49222ms step_avg:579.08ms
step:86/1770 train_time:49809ms step_avg:579.18ms
step:87/1770 train_time:50395ms step_avg:579.25ms
step:88/1770 train_time:50983ms step_avg:579.35ms
step:89/1770 train_time:51570ms step_avg:579.44ms
step:90/1770 train_time:52159ms step_avg:579.55ms
step:91/1770 train_time:52745ms step_avg:579.61ms
step:92/1770 train_time:53333ms step_avg:579.71ms
step:93/1770 train_time:53923ms step_avg:579.82ms
step:94/1770 train_time:54506ms step_avg:579.86ms
step:95/1770 train_time:55096ms step_avg:579.95ms
step:96/1770 train_time:55685ms step_avg:580.06ms
step:97/1770 train_time:56276ms step_avg:580.16ms
step:98/1770 train_time:56866ms step_avg:580.27ms
step:99/1770 train_time:57457ms step_avg:580.37ms
step:100/1770 train_time:58046ms step_avg:580.46ms
step:101/1770 train_time:58637ms step_avg:580.56ms
step:102/1770 train_time:59225ms step_avg:580.64ms
step:103/1770 train_time:59814ms step_avg:580.72ms
step:104/1770 train_time:60405ms step_avg:580.81ms
step:105/1770 train_time:60997ms step_avg:580.92ms
step:106/1770 train_time:61585ms step_avg:580.99ms
step:107/1770 train_time:62175ms step_avg:581.07ms
step:108/1770 train_time:62765ms step_avg:581.16ms
step:109/1770 train_time:63354ms step_avg:581.23ms
step:110/1770 train_time:63944ms step_avg:581.31ms
step:111/1770 train_time:64533ms step_avg:581.38ms
step:112/1770 train_time:65124ms step_avg:581.46ms
step:113/1770 train_time:65717ms step_avg:581.57ms
step:114/1770 train_time:66306ms step_avg:581.63ms
step:115/1770 train_time:66897ms step_avg:581.71ms
