logs/840616b7-a1cb-459e-9e4b-255dea8a5507.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:39,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.11ms
step:1/1770 train_time:530ms step_avg:529.60ms
step:2/1770 train_time:1033ms step_avg:516.59ms
step:3/1770 train_time:1600ms step_avg:533.47ms
step:4/1770 train_time:2167ms step_avg:541.84ms
step:5/1770 train_time:2734ms step_avg:546.75ms
step:6/1770 train_time:3302ms step_avg:550.29ms
step:7/1770 train_time:3871ms step_avg:552.94ms
step:8/1770 train_time:4441ms step_avg:555.12ms
step:9/1770 train_time:5012ms step_avg:556.85ms
step:10/1770 train_time:5580ms step_avg:558.04ms
step:11/1770 train_time:6151ms step_avg:559.20ms
step:12/1770 train_time:6723ms step_avg:560.24ms
step:13/1770 train_time:7291ms step_avg:560.84ms
step:14/1770 train_time:7859ms step_avg:561.37ms
step:15/1770 train_time:8429ms step_avg:561.95ms
step:16/1770 train_time:8999ms step_avg:562.47ms
step:17/1770 train_time:9570ms step_avg:562.97ms
step:18/1770 train_time:10143ms step_avg:563.51ms
step:19/1770 train_time:10714ms step_avg:563.91ms
step:20/1770 train_time:11288ms step_avg:564.39ms
step:21/1770 train_time:11859ms step_avg:564.72ms
step:22/1770 train_time:12430ms step_avg:564.99ms
step:23/1770 train_time:13004ms step_avg:565.37ms
step:24/1770 train_time:13577ms step_avg:565.72ms
step:25/1770 train_time:14149ms step_avg:565.95ms
step:26/1770 train_time:14725ms step_avg:566.33ms
step:27/1770 train_time:15298ms step_avg:566.58ms
step:28/1770 train_time:15875ms step_avg:566.95ms
step:29/1770 train_time:16449ms step_avg:567.21ms
step:30/1770 train_time:17022ms step_avg:567.41ms
step:31/1770 train_time:17597ms step_avg:567.63ms
step:32/1770 train_time:18174ms step_avg:567.93ms
step:33/1770 train_time:18745ms step_avg:568.04ms
step:34/1770 train_time:19321ms step_avg:568.26ms
step:35/1770 train_time:19896ms step_avg:568.46ms
step:36/1770 train_time:20471ms step_avg:568.63ms
step:37/1770 train_time:21046ms step_avg:568.80ms
step:38/1770 train_time:21622ms step_avg:568.99ms
step:39/1770 train_time:22195ms step_avg:569.11ms
step:40/1770 train_time:22773ms step_avg:569.32ms
step:41/1770 train_time:23350ms step_avg:569.51ms
step:42/1770 train_time:23929ms step_avg:569.73ms
step:43/1770 train_time:24505ms step_avg:569.89ms
step:44/1770 train_time:25084ms step_avg:570.09ms
step:45/1770 train_time:25661ms step_avg:570.25ms
step:46/1770 train_time:26240ms step_avg:570.44ms
step:47/1770 train_time:26815ms step_avg:570.54ms
step:48/1770 train_time:27395ms step_avg:570.72ms
step:49/1770 train_time:27973ms step_avg:570.89ms
step:50/1770 train_time:28554ms step_avg:571.09ms
step:51/1770 train_time:29132ms step_avg:571.22ms
step:52/1770 train_time:29706ms step_avg:571.26ms
step:53/1770 train_time:30284ms step_avg:571.41ms
