logs/9709bd31-56fa-478d-bbde-dfc89c754415.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:47,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:2.38ms
step:1/1770 train_time:533ms step_avg:533.08ms
step:2/1770 train_time:1042ms step_avg:521.00ms
step:3/1770 train_time:1616ms step_avg:538.67ms
step:4/1770 train_time:2188ms step_avg:546.94ms
step:5/1770 train_time:2758ms step_avg:551.60ms
step:6/1770 train_time:3334ms step_avg:555.65ms
step:7/1770 train_time:3908ms step_avg:558.23ms
step:8/1770 train_time:4477ms step_avg:559.65ms
step:9/1770 train_time:5052ms step_avg:561.31ms
step:10/1770 train_time:5624ms step_avg:562.35ms
step:11/1770 train_time:6195ms step_avg:563.20ms
step:12/1770 train_time:6775ms step_avg:564.54ms
step:13/1770 train_time:7349ms step_avg:565.34ms
step:14/1770 train_time:7924ms step_avg:566.03ms
step:15/1770 train_time:8498ms step_avg:566.56ms
step:16/1770 train_time:9076ms step_avg:567.25ms
step:17/1770 train_time:9655ms step_avg:567.94ms
step:18/1770 train_time:10231ms step_avg:568.39ms
step:19/1770 train_time:10805ms step_avg:568.66ms
step:20/1770 train_time:11381ms step_avg:569.06ms
step:21/1770 train_time:11954ms step_avg:569.24ms
step:22/1770 train_time:12533ms step_avg:569.70ms
step:23/1770 train_time:13111ms step_avg:570.06ms
step:24/1770 train_time:13690ms step_avg:570.40ms
step:25/1770 train_time:14265ms step_avg:570.58ms
step:26/1770 train_time:14840ms step_avg:570.78ms
step:27/1770 train_time:15417ms step_avg:571.01ms
step:28/1770 train_time:15994ms step_avg:571.22ms
step:29/1770 train_time:16574ms step_avg:571.53ms
step:30/1770 train_time:17155ms step_avg:571.84ms
step:31/1770 train_time:17732ms step_avg:571.99ms
step:32/1770 train_time:18309ms step_avg:572.17ms
step:33/1770 train_time:18890ms step_avg:572.41ms
step:34/1770 train_time:19471ms step_avg:572.67ms
step:35/1770 train_time:20049ms step_avg:572.84ms
step:36/1770 train_time:20630ms step_avg:573.05ms
step:37/1770 train_time:21209ms step_avg:573.23ms
step:38/1770 train_time:21791ms step_avg:573.44ms
step:39/1770 train_time:22371ms step_avg:573.62ms
step:40/1770 train_time:22951ms step_avg:573.76ms
step:41/1770 train_time:23533ms step_avg:573.97ms
step:42/1770 train_time:24112ms step_avg:574.09ms
step:43/1770 train_time:24688ms step_avg:574.15ms
step:44/1770 train_time:25269ms step_avg:574.31ms
step:45/1770 train_time:25848ms step_avg:574.40ms
step:46/1770 train_time:26428ms step_avg:574.53ms
step:47/1770 train_time:27008ms step_avg:574.63ms
step:48/1770 train_time:27589ms step_avg:574.78ms
step:49/1770 train_time:28168ms step_avg:574.86ms
step:50/1770 train_time:28748ms step_avg:574.96ms
step:51/1770 train_time:29328ms step_avg:575.07ms
step:52/1770 train_time:29909ms step_avg:575.18ms
step:53/1770 train_time:30489ms step_avg:575.26ms
step:54/1770 train_time:31072ms step_avg:575.40ms
step:55/1770 train_time:31653ms step_avg:575.50ms
step:56/1770 train_time:32235ms step_avg:575.62ms
step:57/1770 train_time:32817ms step_avg:575.73ms
step:58/1770 train_time:33398ms step_avg:575.82ms
step:59/1770 train_time:33977ms step_avg:575.89ms
step:60/1770 train_time:34557ms step_avg:575.96ms
step:61/1770 train_time:35141ms step_avg:576.08ms
step:62/1770 train_time:35725ms step_avg:576.21ms
step:63/1770 train_time:36306ms step_avg:576.29ms
step:64/1770 train_time:36887ms step_avg:576.36ms
step:65/1770 train_time:37468ms step_avg:576.43ms
step:66/1770 train_time:38051ms step_avg:576.52ms
step:67/1770 train_time:38633ms step_avg:576.61ms
step:68/1770 train_time:39215ms step_avg:576.69ms
step:69/1770 train_time:39797ms step_avg:576.76ms
step:70/1770 train_time:40381ms step_avg:576.87ms
step:71/1770 train_time:40963ms step_avg:576.94ms
step:72/1770 train_time:41544ms step_avg:577.00ms
step:73/1770 train_time:42127ms step_avg:577.08ms
step:74/1770 train_time:42710ms step_avg:577.16ms
step:75/1770 train_time:43292ms step_avg:577.23ms
step:76/1770 train_time:43878ms step_avg:577.35ms
step:77/1770 train_time:44465ms step_avg:577.46ms
step:78/1770 train_time:45048ms step_avg:577.54ms
step:79/1770 train_time:45634ms step_avg:577.65ms
step:80/1770 train_time:46224ms step_avg:577.80ms
step:81/1770 train_time:46808ms step_avg:577.87ms
step:82/1770 train_time:47394ms step_avg:577.98ms
step:83/1770 train_time:47977ms step_avg:578.04ms
step:84/1770 train_time:48560ms step_avg:578.10ms
step:85/1770 train_time:49144ms step_avg:578.16ms
step:86/1770 train_time:49728ms step_avg:578.24ms
step:87/1770 train_time:50311ms step_avg:578.29ms
step:88/1770 train_time:50900ms step_avg:578.41ms
step:89/1770 train_time:51488ms step_avg:578.51ms
step:90/1770 train_time:52074ms step_avg:578.60ms
step:91/1770 train_time:52662ms step_avg:578.70ms
step:92/1770 train_time:53247ms step_avg:578.77ms
step:93/1770 train_time:53832ms step_avg:578.84ms
step:94/1770 train_time:54421ms step_avg:578.95ms
step:95/1770 train_time:55004ms step_avg:578.99ms
step:96/1770 train_time:55590ms step_avg:579.06ms
step:97/1770 train_time:56177ms step_avg:579.15ms
step:98/1770 train_time:56761ms step_avg:579.19ms
step:99/1770 train_time:57347ms step_avg:579.27ms
step:100/1770 train_time:57934ms step_avg:579.34ms
step:101/1770 train_time:58519ms step_avg:579.39ms
step:102/1770 train_time:59105ms step_avg:579.46ms
step:103/1770 train_time:59697ms step_avg:579.58ms
