logs/e7be7fed-1c68-498d-b678-8953da348b8c.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:41,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.91ms
step:1/1770 train_time:533ms step_avg:532.67ms
step:2/1770 train_time:1035ms step_avg:517.67ms
step:3/1770 train_time:1601ms step_avg:533.79ms
step:4/1770 train_time:2169ms step_avg:542.35ms
step:5/1770 train_time:2738ms step_avg:547.59ms
step:6/1770 train_time:3311ms step_avg:551.80ms
step:7/1770 train_time:3879ms step_avg:554.18ms
step:8/1770 train_time:4448ms step_avg:556.06ms
step:9/1770 train_time:5019ms step_avg:557.62ms
step:10/1770 train_time:5588ms step_avg:558.81ms
step:11/1770 train_time:6160ms step_avg:559.96ms
step:12/1770 train_time:6732ms step_avg:560.96ms
step:13/1770 train_time:7306ms step_avg:562.01ms
step:14/1770 train_time:7876ms step_avg:562.57ms
step:15/1770 train_time:8448ms step_avg:563.19ms
step:16/1770 train_time:9017ms step_avg:563.53ms
step:17/1770 train_time:9588ms step_avg:564.03ms
step:18/1770 train_time:10164ms step_avg:564.66ms
step:19/1770 train_time:10737ms step_avg:565.08ms
step:20/1770 train_time:11308ms step_avg:565.42ms
step:21/1770 train_time:11880ms step_avg:565.73ms
step:22/1770 train_time:12456ms step_avg:566.18ms
step:23/1770 train_time:13034ms step_avg:566.70ms
step:24/1770 train_time:13609ms step_avg:567.05ms
step:25/1770 train_time:14185ms step_avg:567.41ms
step:26/1770 train_time:14759ms step_avg:567.65ms
step:27/1770 train_time:15336ms step_avg:567.98ms
step:28/1770 train_time:15911ms step_avg:568.24ms
step:29/1770 train_time:16487ms step_avg:568.52ms
step:30/1770 train_time:17061ms step_avg:568.70ms
step:31/1770 train_time:17634ms step_avg:568.84ms
step:32/1770 train_time:18212ms step_avg:569.12ms
step:33/1770 train_time:18789ms step_avg:569.37ms
step:34/1770 train_time:19365ms step_avg:569.55ms
step:35/1770 train_time:19943ms step_avg:569.79ms
step:36/1770 train_time:20520ms step_avg:569.99ms
step:37/1770 train_time:21093ms step_avg:570.07ms
step:38/1770 train_time:21665ms step_avg:570.14ms
step:39/1770 train_time:22240ms step_avg:570.27ms
step:40/1770 train_time:22821ms step_avg:570.51ms
step:41/1770 train_time:23396ms step_avg:570.63ms
step:42/1770 train_time:23972ms step_avg:570.77ms
step:43/1770 train_time:24552ms step_avg:570.97ms
step:44/1770 train_time:25130ms step_avg:571.15ms
step:45/1770 train_time:25712ms step_avg:571.37ms
step:46/1770 train_time:26292ms step_avg:571.57ms
step:47/1770 train_time:26870ms step_avg:571.71ms
step:48/1770 train_time:27451ms step_avg:571.90ms
step:49/1770 train_time:28030ms step_avg:572.05ms
step:50/1770 train_time:28611ms step_avg:572.21ms
step:51/1770 train_time:29191ms step_avg:572.38ms
step:52/1770 train_time:29770ms step_avg:572.51ms
step:53/1770 train_time:30350ms step_avg:572.64ms
step:54/1770 train_time:30930ms step_avg:572.77ms
step:55/1770 train_time:31510ms step_avg:572.91ms
step:56/1770 train_time:32090ms step_avg:573.03ms
step:57/1770 train_time:32669ms step_avg:573.15ms
step:58/1770 train_time:33249ms step_avg:573.26ms
step:59/1770 train_time:33829ms step_avg:573.38ms
step:60/1770 train_time:34409ms step_avg:573.48ms
step:61/1770 train_time:34988ms step_avg:573.57ms
step:62/1770 train_time:35569ms step_avg:573.69ms
step:63/1770 train_time:36147ms step_avg:573.76ms
step:64/1770 train_time:36729ms step_avg:573.89ms
step:65/1770 train_time:37308ms step_avg:573.97ms
step:66/1770 train_time:37887ms step_avg:574.04ms
step:67/1770 train_time:38467ms step_avg:574.14ms
step:68/1770 train_time:39048ms step_avg:574.23ms
step:69/1770 train_time:39628ms step_avg:574.32ms
step:70/1770 train_time:40207ms step_avg:574.39ms
step:71/1770 train_time:40787ms step_avg:574.46ms
step:72/1770 train_time:41369ms step_avg:574.56ms
step:73/1770 train_time:41950ms step_avg:574.66ms
step:74/1770 train_time:42530ms step_avg:574.73ms
step:75/1770 train_time:43110ms step_avg:574.80ms
step:76/1770 train_time:43693ms step_avg:574.91ms
step:77/1770 train_time:44276ms step_avg:575.01ms
step:78/1770 train_time:44856ms step_avg:575.08ms
step:79/1770 train_time:45435ms step_avg:575.13ms
step:80/1770 train_time:46016ms step_avg:575.20ms
step:81/1770 train_time:46600ms step_avg:575.30ms
step:82/1770 train_time:47186ms step_avg:575.44ms
step:83/1770 train_time:47765ms step_avg:575.48ms
step:84/1770 train_time:48349ms step_avg:575.59ms
step:85/1770 train_time:48932ms step_avg:575.67ms
step:86/1770 train_time:49513ms step_avg:575.74ms
step:87/1770 train_time:50096ms step_avg:575.81ms
step:88/1770 train_time:50682ms step_avg:575.93ms
step:89/1770 train_time:51262ms step_avg:575.98ms
step:90/1770 train_time:51845ms step_avg:576.05ms
step:91/1770 train_time:52427ms step_avg:576.13ms
step:92/1770 train_time:53011ms step_avg:576.21ms
step:93/1770 train_time:53594ms step_avg:576.28ms
step:94/1770 train_time:54181ms step_avg:576.40ms
step:95/1770 train_time:54763ms step_avg:576.45ms
step:96/1770 train_time:55345ms step_avg:576.51ms
step:97/1770 train_time:55929ms step_avg:576.59ms
step:98/1770 train_time:56513ms step_avg:576.66ms
step:99/1770 train_time:57093ms step_avg:576.70ms
step:100/1770 train_time:57680ms step_avg:576.80ms
step:101/1770 train_time:58262ms step_avg:576.85ms
step:102/1770 train_time:58846ms step_avg:576.92ms
step:103/1770 train_time:59431ms step_avg:577.00ms
step:104/1770 train_time:60020ms step_avg:577.12ms
step:105/1770 train_time:60602ms step_avg:577.16ms
step:106/1770 train_time:61186ms step_avg:577.22ms
step:107/1770 train_time:61771ms step_avg:577.30ms
step:108/1770 train_time:62359ms step_avg:577.40ms
step:109/1770 train_time:62943ms step_avg:577.46ms
step:110/1770 train_time:63526ms step_avg:577.51ms
step:111/1770 train_time:64111ms step_avg:577.58ms
step:112/1770 train_time:64696ms step_avg:577.64ms
step:113/1770 train_time:65282ms step_avg:577.72ms
step:114/1770 train_time:65869ms step_avg:577.79ms
step:115/1770 train_time:66452ms step_avg:577.84ms
step:116/1770 train_time:67040ms step_avg:577.93ms
step:117/1770 train_time:67625ms step_avg:577.99ms
step:118/1770 train_time:68210ms step_avg:578.05ms
step:119/1770 train_time:68799ms step_avg:578.14ms
step:120/1770 train_time:69383ms step_avg:578.20ms
step:121/1770 train_time:69969ms step_avg:578.25ms
step:122/1770 train_time:70557ms step_avg:578.34ms
step:123/1770 train_time:71144ms step_avg:578.41ms
step:124/1770 train_time:71736ms step_avg:578.51ms
step:125/1770 train_time:72324ms step_avg:578.60ms
step:125/1770 val_loss:4.9499 train_time:72334ms step_avg:578.67ms
step:126/1770 train_time:72920ms step_avg:578.73ms
step:127/1770 train_time:73498ms step_avg:578.72ms
step:128/1770 train_time:74079ms step_avg:578.75ms
step:129/1770 train_time:74660ms step_avg:578.76ms
step:130/1770 train_time:75242ms step_avg:578.78ms
step:131/1770 train_time:75822ms step_avg:578.80ms
step:132/1770 train_time:76402ms step_avg:578.80ms
step:133/1770 train_time:76991ms step_avg:578.88ms
step:134/1770 train_time:77575ms step_avg:578.92ms
step:135/1770 train_time:78160ms step_avg:578.97ms
step:136/1770 train_time:78744ms step_avg:579.00ms
step:137/1770 train_time:79334ms step_avg:579.08ms
