logs/8b596592-d090-4257-a82e-f666689ea396.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:42,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.21ms
step:1/1770 train_time:735ms step_avg:735.14ms
step:2/1770 train_time:1239ms step_avg:619.30ms
step:3/1770 train_time:1803ms step_avg:601.03ms
step:4/1770 train_time:2373ms step_avg:593.27ms
step:5/1770 train_time:2943ms step_avg:588.51ms
step:6/1770 train_time:3513ms step_avg:585.53ms
step:7/1770 train_time:4082ms step_avg:583.17ms
step:8/1770 train_time:4660ms step_avg:582.53ms
step:9/1770 train_time:5229ms step_avg:580.97ms
step:10/1770 train_time:5800ms step_avg:579.98ms
step:11/1770 train_time:6371ms step_avg:579.19ms
step:12/1770 train_time:6944ms step_avg:578.66ms
step:13/1770 train_time:7518ms step_avg:578.30ms
step:14/1770 train_time:8090ms step_avg:577.89ms
step:15/1770 train_time:8663ms step_avg:577.55ms
step:16/1770 train_time:9238ms step_avg:577.37ms
step:17/1770 train_time:9811ms step_avg:577.14ms
step:18/1770 train_time:10383ms step_avg:576.82ms
step:19/1770 train_time:10958ms step_avg:576.76ms
step:20/1770 train_time:11534ms step_avg:576.72ms
step:21/1770 train_time:12108ms step_avg:576.55ms
step:22/1770 train_time:12679ms step_avg:576.32ms
step:23/1770 train_time:13256ms step_avg:576.36ms
step:24/1770 train_time:13829ms step_avg:576.19ms
step:25/1770 train_time:14407ms step_avg:576.28ms
step:26/1770 train_time:14980ms step_avg:576.15ms
step:27/1770 train_time:15554ms step_avg:576.08ms
step:28/1770 train_time:16129ms step_avg:576.05ms
step:29/1770 train_time:16705ms step_avg:576.05ms
step:30/1770 train_time:17281ms step_avg:576.03ms
step:31/1770 train_time:17857ms step_avg:576.04ms
step:32/1770 train_time:18437ms step_avg:576.15ms
step:33/1770 train_time:19015ms step_avg:576.21ms
step:34/1770 train_time:19587ms step_avg:576.08ms
step:35/1770 train_time:20164ms step_avg:576.11ms
step:36/1770 train_time:20742ms step_avg:576.17ms
step:37/1770 train_time:21318ms step_avg:576.17ms
step:38/1770 train_time:21895ms step_avg:576.18ms
step:39/1770 train_time:22474ms step_avg:576.25ms
step:40/1770 train_time:23056ms step_avg:576.39ms
step:41/1770 train_time:23636ms step_avg:576.49ms
step:42/1770 train_time:24216ms step_avg:576.57ms
step:43/1770 train_time:24795ms step_avg:576.62ms
step:44/1770 train_time:25377ms step_avg:576.75ms
step:45/1770 train_time:25955ms step_avg:576.78ms
step:46/1770 train_time:26534ms step_avg:576.82ms
step:47/1770 train_time:27113ms step_avg:576.88ms
step:48/1770 train_time:27695ms step_avg:576.98ms
step:49/1770 train_time:28274ms step_avg:577.02ms
step:50/1770 train_time:28857ms step_avg:577.15ms
step:51/1770 train_time:29434ms step_avg:577.13ms
step:52/1770 train_time:30015ms step_avg:577.20ms
step:53/1770 train_time:30601ms step_avg:577.38ms
step:54/1770 train_time:31174ms step_avg:577.30ms
step:55/1770 train_time:31755ms step_avg:577.35ms
step:56/1770 train_time:32334ms step_avg:577.39ms
step:57/1770 train_time:32912ms step_avg:577.41ms
step:58/1770 train_time:33493ms step_avg:577.47ms
step:59/1770 train_time:34072ms step_avg:577.49ms
step:60/1770 train_time:34652ms step_avg:577.54ms
step:61/1770 train_time:35233ms step_avg:577.58ms
step:62/1770 train_time:35813ms step_avg:577.62ms
