logs/a5d1e586-ef65-4baa-b8d1-fad923f73f22.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:42<16:42,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:1ms step_avg:1.17ms
step:1/1770 train_time:531ms step_avg:530.56ms
step:2/1770 train_time:1040ms step_avg:520.00ms
step:3/1770 train_time:1604ms step_avg:534.62ms
step:4/1770 train_time:2172ms step_avg:542.94ms
step:5/1770 train_time:2737ms step_avg:547.44ms
step:6/1770 train_time:3313ms step_avg:552.12ms
step:7/1770 train_time:3882ms step_avg:554.54ms
step:8/1770 train_time:4452ms step_avg:556.54ms
step:9/1770 train_time:5024ms step_avg:558.21ms
step:10/1770 train_time:5595ms step_avg:559.48ms
step:11/1770 train_time:6165ms step_avg:560.46ms
step:12/1770 train_time:6732ms step_avg:561.02ms
step:13/1770 train_time:7303ms step_avg:561.78ms
step:14/1770 train_time:7873ms step_avg:562.36ms
step:15/1770 train_time:8443ms step_avg:562.83ms
step:16/1770 train_time:9013ms step_avg:563.31ms
step:17/1770 train_time:9588ms step_avg:563.98ms
step:18/1770 train_time:10161ms step_avg:564.49ms
step:19/1770 train_time:10731ms step_avg:564.80ms
step:20/1770 train_time:11304ms step_avg:565.18ms
step:21/1770 train_time:11878ms step_avg:565.61ms
step:22/1770 train_time:12451ms step_avg:565.94ms
step:23/1770 train_time:13021ms step_avg:566.15ms
step:24/1770 train_time:13596ms step_avg:566.52ms
step:25/1770 train_time:14171ms step_avg:566.84ms
step:26/1770 train_time:14748ms step_avg:567.24ms
step:27/1770 train_time:15322ms step_avg:567.47ms
step:28/1770 train_time:15897ms step_avg:567.76ms
step:29/1770 train_time:16470ms step_avg:567.94ms
step:30/1770 train_time:17048ms step_avg:568.28ms
step:31/1770 train_time:17620ms step_avg:568.39ms
step:32/1770 train_time:18196ms step_avg:568.62ms
step:33/1770 train_time:18768ms step_avg:568.72ms
step:34/1770 train_time:19347ms step_avg:569.04ms
step:35/1770 train_time:19921ms step_avg:569.18ms
step:36/1770 train_time:20494ms step_avg:569.28ms
step:37/1770 train_time:21069ms step_avg:569.44ms
step:38/1770 train_time:21647ms step_avg:569.66ms
step:39/1770 train_time:22227ms step_avg:569.91ms
step:40/1770 train_time:22806ms step_avg:570.15ms
step:41/1770 train_time:23385ms step_avg:570.37ms
step:42/1770 train_time:23962ms step_avg:570.51ms
step:43/1770 train_time:24537ms step_avg:570.63ms
step:44/1770 train_time:25114ms step_avg:570.77ms
step:45/1770 train_time:25693ms step_avg:570.94ms
step:46/1770 train_time:26268ms step_avg:571.05ms
step:47/1770 train_time:26847ms step_avg:571.21ms
step:48/1770 train_time:27426ms step_avg:571.38ms
step:49/1770 train_time:28007ms step_avg:571.57ms
step:50/1770 train_time:28588ms step_avg:571.76ms
step:51/1770 train_time:29166ms step_avg:571.88ms
step:52/1770 train_time:29746ms step_avg:572.03ms
step:53/1770 train_time:30326ms step_avg:572.19ms
step:54/1770 train_time:30908ms step_avg:572.36ms
step:55/1770 train_time:31485ms step_avg:572.46ms
step:56/1770 train_time:32065ms step_avg:572.60ms
step:57/1770 train_time:32645ms step_avg:572.72ms
step:58/1770 train_time:33225ms step_avg:572.84ms
step:59/1770 train_time:33804ms step_avg:572.95ms
step:60/1770 train_time:34384ms step_avg:573.07ms
step:61/1770 train_time:34963ms step_avg:573.17ms
step:62/1770 train_time:35544ms step_avg:573.28ms
step:63/1770 train_time:36124ms step_avg:573.39ms
step:64/1770 train_time:36703ms step_avg:573.49ms
step:65/1770 train_time:37284ms step_avg:573.60ms
step:66/1770 train_time:37863ms step_avg:573.68ms
step:67/1770 train_time:38443ms step_avg:573.78ms
step:68/1770 train_time:39023ms step_avg:573.86ms
step:69/1770 train_time:39608ms step_avg:574.03ms
step:70/1770 train_time:40189ms step_avg:574.13ms
step:71/1770 train_time:40768ms step_avg:574.20ms
step:72/1770 train_time:41349ms step_avg:574.30ms
step:73/1770 train_time:41931ms step_avg:574.40ms
step:74/1770 train_time:42508ms step_avg:574.44ms
step:75/1770 train_time:43092ms step_avg:574.56ms
step:76/1770 train_time:43674ms step_avg:574.65ms
step:77/1770 train_time:44257ms step_avg:574.77ms
step:78/1770 train_time:44835ms step_avg:574.81ms
step:79/1770 train_time:45416ms step_avg:574.88ms
step:80/1770 train_time:46001ms step_avg:575.01ms
step:81/1770 train_time:46585ms step_avg:575.13ms
step:82/1770 train_time:47169ms step_avg:575.23ms
step:83/1770 train_time:47750ms step_avg:575.30ms
step:84/1770 train_time:48335ms step_avg:575.41ms
step:85/1770 train_time:48919ms step_avg:575.52ms
step:86/1770 train_time:49501ms step_avg:575.59ms
step:87/1770 train_time:50084ms step_avg:575.68ms
step:88/1770 train_time:50668ms step_avg:575.77ms
step:89/1770 train_time:51249ms step_avg:575.83ms
step:90/1770 train_time:51836ms step_avg:575.95ms
step:91/1770 train_time:52420ms step_avg:576.05ms
step:92/1770 train_time:53006ms step_avg:576.15ms
step:93/1770 train_time:53590ms step_avg:576.24ms
step:94/1770 train_time:54178ms step_avg:576.36ms
step:95/1770 train_time:54760ms step_avg:576.42ms
step:96/1770 train_time:55345ms step_avg:576.51ms
step:97/1770 train_time:55928ms step_avg:576.58ms
step:98/1770 train_time:56513ms step_avg:576.66ms
step:99/1770 train_time:57099ms step_avg:576.75ms
step:100/1770 train_time:57683ms step_avg:576.83ms
step:101/1770 train_time:58266ms step_avg:576.89ms
step:102/1770 train_time:58852ms step_avg:576.98ms
step:103/1770 train_time:59437ms step_avg:577.06ms
step:104/1770 train_time:60019ms step_avg:577.11ms
step:105/1770 train_time:60607ms step_avg:577.21ms
step:106/1770 train_time:61194ms step_avg:577.30ms
step:107/1770 train_time:61777ms step_avg:577.36ms
step:108/1770 train_time:62361ms step_avg:577.42ms
step:109/1770 train_time:62945ms step_avg:577.48ms
step:110/1770 train_time:63533ms step_avg:577.57ms
step:111/1770 train_time:64117ms step_avg:577.63ms
step:112/1770 train_time:64701ms step_avg:577.69ms
step:113/1770 train_time:65286ms step_avg:577.75ms
step:114/1770 train_time:65875ms step_avg:577.86ms
step:115/1770 train_time:66462ms step_avg:577.93ms
step:116/1770 train_time:67051ms step_avg:578.02ms
step:117/1770 train_time:67634ms step_avg:578.07ms
step:118/1770 train_time:68221ms step_avg:578.14ms
step:119/1770 train_time:68809ms step_avg:578.23ms
step:120/1770 train_time:69393ms step_avg:578.28ms
step:121/1770 train_time:69981ms step_avg:578.36ms
step:122/1770 train_time:70573ms step_avg:578.47ms
step:123/1770 train_time:71160ms step_avg:578.53ms
step:124/1770 train_time:71749ms step_avg:578.62ms
step:125/1770 train_time:72335ms step_avg:578.68ms
step:125/1770 val_loss:4.9893 train_time:72344ms step_avg:578.75ms
step:126/1770 train_time:72932ms step_avg:578.82ms
step:127/1770 train_time:73511ms step_avg:578.82ms
step:128/1770 train_time:74090ms step_avg:578.83ms
step:129/1770 train_time:74671ms step_avg:578.85ms
step:130/1770 train_time:75251ms step_avg:578.85ms
step:131/1770 train_time:75833ms step_avg:578.88ms
step:132/1770 train_time:76415ms step_avg:578.90ms
step:133/1770 train_time:77004ms step_avg:578.98ms
step:134/1770 train_time:77591ms step_avg:579.04ms
step:135/1770 train_time:78178ms step_avg:579.10ms
step:136/1770 train_time:78766ms step_avg:579.16ms
step:137/1770 train_time:79351ms step_avg:579.20ms
step:138/1770 train_time:79938ms step_avg:579.26ms
step:139/1770 train_time:80523ms step_avg:579.30ms
step:140/1770 train_time:81112ms step_avg:579.37ms
step:141/1770 train_time:81703ms step_avg:579.46ms
step:142/1770 train_time:82292ms step_avg:579.52ms
step:143/1770 train_time:82882ms step_avg:579.60ms
step:144/1770 train_time:83469ms step_avg:579.65ms
step:145/1770 train_time:84058ms step_avg:579.71ms
step:146/1770 train_time:84642ms step_avg:579.74ms
step:147/1770 train_time:85230ms step_avg:579.79ms
step:148/1770 train_time:85822ms step_avg:579.88ms
step:149/1770 train_time:86410ms step_avg:579.93ms
step:150/1770 train_time:87003ms step_avg:580.02ms
step:151/1770 train_time:87589ms step_avg:580.06ms
step:152/1770 train_time:88181ms step_avg:580.14ms
step:153/1770 train_time:88770ms step_avg:580.19ms
step:154/1770 train_time:89360ms step_avg:580.26ms
step:155/1770 train_time:89951ms step_avg:580.33ms
step:156/1770 train_time:90542ms step_avg:580.40ms
step:157/1770 train_time:91132ms step_avg:580.46ms
step:158/1770 train_time:91722ms step_avg:580.52ms
step:159/1770 train_time:92310ms step_avg:580.57ms
step:160/1770 train_time:92903ms step_avg:580.64ms
step:161/1770 train_time:93489ms step_avg:580.68ms
step:162/1770 train_time:94082ms step_avg:580.75ms
step:163/1770 train_time:94671ms step_avg:580.81ms
step:164/1770 train_time:95262ms step_avg:580.87ms
step:165/1770 train_time:95852ms step_avg:580.92ms
step:166/1770 train_time:96440ms step_avg:580.96ms
step:167/1770 train_time:97031ms step_avg:581.03ms
step:168/1770 train_time:97621ms step_avg:581.08ms
step:169/1770 train_time:98212ms step_avg:581.14ms
step:170/1770 train_time:98802ms step_avg:581.19ms
step:171/1770 train_time:99396ms step_avg:581.26ms
step:172/1770 train_time:99988ms step_avg:581.33ms
step:173/1770 train_time:100579ms step_avg:581.38ms
step:174/1770 train_time:101171ms step_avg:581.44ms
step:175/1770 train_time:101760ms step_avg:581.49ms
step:176/1770 train_time:102350ms step_avg:581.54ms
step:177/1770 train_time:102941ms step_avg:581.58ms
step:178/1770 train_time:103533ms step_avg:581.64ms
step:179/1770 train_time:104125ms step_avg:581.71ms
step:180/1770 train_time:104718ms step_avg:581.77ms
step:181/1770 train_time:105313ms step_avg:581.84ms
step:182/1770 train_time:105902ms step_avg:581.88ms
step:183/1770 train_time:106497ms step_avg:581.95ms
step:184/1770 train_time:107090ms step_avg:582.01ms
step:185/1770 train_time:107681ms step_avg:582.06ms
step:186/1770 train_time:108276ms step_avg:582.13ms
step:187/1770 train_time:108870ms step_avg:582.19ms
step:188/1770 train_time:109464ms step_avg:582.26ms
step:189/1770 train_time:110056ms step_avg:582.31ms
step:190/1770 train_time:110650ms step_avg:582.37ms
step:191/1770 train_time:111243ms step_avg:582.43ms
step:192/1770 train_time:111842ms step_avg:582.51ms
step:193/1770 train_time:112435ms step_avg:582.56ms
step:194/1770 train_time:113029ms step_avg:582.62ms
step:195/1770 train_time:113623ms step_avg:582.68ms
step:196/1770 train_time:114217ms step_avg:582.74ms
step:197/1770 train_time:114814ms step_avg:582.81ms
step:198/1770 train_time:115409ms step_avg:582.87ms
step:199/1770 train_time:116004ms step_avg:582.93ms
step:200/1770 train_time:116596ms step_avg:582.98ms
step:201/1770 train_time:117194ms step_avg:583.06ms
step:202/1770 train_time:117791ms step_avg:583.12ms
step:203/1770 train_time:118387ms step_avg:583.19ms
step:204/1770 train_time:118981ms step_avg:583.24ms
step:205/1770 train_time:119575ms step_avg:583.29ms
step:206/1770 train_time:120173ms step_avg:583.36ms
step:207/1770 train_time:120770ms step_avg:583.43ms
step:208/1770 train_time:121364ms step_avg:583.48ms
