logs/7d2f750e-f4ef-471f-aea8-b946728d9a5e.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:45,  1.73it/s]
step:0/1770 val_loss:10.8258 train_time:2ms step_avg:1.83ms
step:1/1770 train_time:537ms step_avg:537.27ms
step:2/1770 train_time:1050ms step_avg:524.82ms
step:3/1770 train_time:1620ms step_avg:539.96ms
step:4/1770 train_time:2191ms step_avg:547.71ms
step:5/1770 train_time:2768ms step_avg:553.53ms
step:6/1770 train_time:3339ms step_avg:556.44ms
step:7/1770 train_time:3908ms step_avg:558.35ms
step:8/1770 train_time:4479ms step_avg:559.86ms
step:9/1770 train_time:5048ms step_avg:560.92ms
step:10/1770 train_time:5618ms step_avg:561.85ms
step:11/1770 train_time:6188ms step_avg:562.55ms
step:12/1770 train_time:6761ms step_avg:563.38ms
step:13/1770 train_time:7336ms step_avg:564.30ms
step:14/1770 train_time:7908ms step_avg:564.86ms
step:15/1770 train_time:8481ms step_avg:565.37ms
step:16/1770 train_time:9057ms step_avg:566.07ms
step:17/1770 train_time:9628ms step_avg:566.36ms
step:18/1770 train_time:10198ms step_avg:566.53ms
step:19/1770 train_time:10775ms step_avg:567.12ms
step:20/1770 train_time:11353ms step_avg:567.66ms
step:21/1770 train_time:11926ms step_avg:567.91ms
step:22/1770 train_time:12502ms step_avg:568.30ms
step:23/1770 train_time:13076ms step_avg:568.53ms
step:24/1770 train_time:13654ms step_avg:568.90ms
step:25/1770 train_time:14231ms step_avg:569.25ms
step:26/1770 train_time:14805ms step_avg:569.41ms
step:27/1770 train_time:15384ms step_avg:569.77ms
step:28/1770 train_time:15960ms step_avg:570.01ms
step:29/1770 train_time:16538ms step_avg:570.29ms
step:30/1770 train_time:17117ms step_avg:570.56ms
step:31/1770 train_time:17695ms step_avg:570.81ms
step:32/1770 train_time:18273ms step_avg:571.04ms
step:33/1770 train_time:18854ms step_avg:571.33ms
step:34/1770 train_time:19434ms step_avg:571.60ms
step:35/1770 train_time:20009ms step_avg:571.68ms
step:36/1770 train_time:20582ms step_avg:571.71ms
step:37/1770 train_time:21159ms step_avg:571.86ms
step:38/1770 train_time:21736ms step_avg:572.00ms
step:39/1770 train_time:22313ms step_avg:572.12ms
step:40/1770 train_time:22893ms step_avg:572.34ms
step:41/1770 train_time:23473ms step_avg:572.50ms
step:42/1770 train_time:24056ms step_avg:572.76ms
step:43/1770 train_time:24633ms step_avg:572.85ms
step:44/1770 train_time:25212ms step_avg:573.01ms
step:45/1770 train_time:25791ms step_avg:573.14ms
step:46/1770 train_time:26371ms step_avg:573.29ms
step:47/1770 train_time:26951ms step_avg:573.43ms
step:48/1770 train_time:27532ms step_avg:573.58ms
step:49/1770 train_time:28114ms step_avg:573.76ms
step:50/1770 train_time:28694ms step_avg:573.87ms
step:51/1770 train_time:29273ms step_avg:573.98ms
step:52/1770 train_time:29853ms step_avg:574.11ms
step:53/1770 train_time:30437ms step_avg:574.29ms
step:54/1770 train_time:31022ms step_avg:574.47ms
step:55/1770 train_time:31607ms step_avg:574.66ms
step:56/1770 train_time:32192ms step_avg:574.86ms
step:57/1770 train_time:32772ms step_avg:574.94ms
step:58/1770 train_time:33353ms step_avg:575.05ms
step:59/1770 train_time:33935ms step_avg:575.17ms
step:60/1770 train_time:34519ms step_avg:575.32ms
step:61/1770 train_time:35100ms step_avg:575.42ms
step:62/1770 train_time:35688ms step_avg:575.61ms
step:63/1770 train_time:36270ms step_avg:575.71ms
step:64/1770 train_time:36854ms step_avg:575.85ms
step:65/1770 train_time:37438ms step_avg:575.98ms
step:66/1770 train_time:38020ms step_avg:576.07ms
step:67/1770 train_time:38607ms step_avg:576.23ms
step:68/1770 train_time:39189ms step_avg:576.32ms
step:69/1770 train_time:39772ms step_avg:576.41ms
step:70/1770 train_time:40356ms step_avg:576.51ms
step:71/1770 train_time:40942ms step_avg:576.65ms
step:72/1770 train_time:41527ms step_avg:576.77ms
step:73/1770 train_time:42108ms step_avg:576.82ms
step:74/1770 train_time:42690ms step_avg:576.89ms
step:75/1770 train_time:43273ms step_avg:576.97ms
step:76/1770 train_time:43858ms step_avg:577.07ms
step:77/1770 train_time:44445ms step_avg:577.21ms
step:78/1770 train_time:45032ms step_avg:577.33ms
step:79/1770 train_time:45620ms step_avg:577.47ms
step:80/1770 train_time:46209ms step_avg:577.61ms
step:81/1770 train_time:46794ms step_avg:577.70ms
step:82/1770 train_time:47381ms step_avg:577.82ms
step:83/1770 train_time:47966ms step_avg:577.91ms
step:84/1770 train_time:48551ms step_avg:577.99ms
step:85/1770 train_time:49140ms step_avg:578.12ms
step:86/1770 train_time:49728ms step_avg:578.23ms
step:87/1770 train_time:50316ms step_avg:578.34ms
step:88/1770 train_time:50906ms step_avg:578.48ms
step:89/1770 train_time:51493ms step_avg:578.57ms
step:90/1770 train_time:52083ms step_avg:578.70ms
step:91/1770 train_time:52673ms step_avg:578.83ms
step:92/1770 train_time:53261ms step_avg:578.93ms
step:93/1770 train_time:53847ms step_avg:579.00ms
step:94/1770 train_time:54430ms step_avg:579.04ms
step:95/1770 train_time:55017ms step_avg:579.13ms
step:96/1770 train_time:55604ms step_avg:579.21ms
step:97/1770 train_time:56189ms step_avg:579.26ms
step:98/1770 train_time:56776ms step_avg:579.35ms
step:99/1770 train_time:57363ms step_avg:579.43ms
step:100/1770 train_time:57951ms step_avg:579.51ms
step:101/1770 train_time:58542ms step_avg:579.63ms
step:102/1770 train_time:59132ms step_avg:579.72ms
step:103/1770 train_time:59723ms step_avg:579.83ms
step:104/1770 train_time:60312ms step_avg:579.92ms
step:105/1770 train_time:60899ms step_avg:579.99ms
step:106/1770 train_time:61487ms step_avg:580.07ms
step:107/1770 train_time:62079ms step_avg:580.18ms
step:108/1770 train_time:62668ms step_avg:580.26ms
step:109/1770 train_time:63260ms step_avg:580.37ms
step:110/1770 train_time:63854ms step_avg:580.49ms
step:111/1770 train_time:64442ms step_avg:580.55ms
step:112/1770 train_time:65031ms step_avg:580.63ms
step:113/1770 train_time:65622ms step_avg:580.73ms
step:114/1770 train_time:66212ms step_avg:580.81ms
step:115/1770 train_time:66804ms step_avg:580.90ms
step:116/1770 train_time:67395ms step_avg:580.99ms
step:117/1770 train_time:67981ms step_avg:581.04ms
step:118/1770 train_time:68571ms step_avg:581.11ms
step:119/1770 train_time:69160ms step_avg:581.17ms
step:120/1770 train_time:69753ms step_avg:581.27ms
step:121/1770 train_time:70342ms step_avg:581.34ms
step:122/1770 train_time:70932ms step_avg:581.41ms
step:123/1770 train_time:71521ms step_avg:581.47ms
step:124/1770 train_time:72112ms step_avg:581.55ms
step:125/1770 train_time:72702ms step_avg:581.61ms
step:125/1770 val_loss:5.0320 train_time:72711ms step_avg:581.69ms
step:126/1770 train_time:73306ms step_avg:581.79ms
step:127/1770 train_time:73892ms step_avg:581.82ms
step:128/1770 train_time:74476ms step_avg:581.84ms
step:129/1770 train_time:75064ms step_avg:581.89ms
step:130/1770 train_time:75650ms step_avg:581.92ms
step:131/1770 train_time:76234ms step_avg:581.94ms
step:132/1770 train_time:76822ms step_avg:581.99ms
step:133/1770 train_time:77411ms step_avg:582.04ms
step:134/1770 train_time:78003ms step_avg:582.11ms
step:135/1770 train_time:78591ms step_avg:582.15ms
step:136/1770 train_time:79182ms step_avg:582.22ms
step:137/1770 train_time:79771ms step_avg:582.27ms
step:138/1770 train_time:80365ms step_avg:582.35ms
step:139/1770 train_time:80961ms step_avg:582.45ms
step:140/1770 train_time:81552ms step_avg:582.51ms
step:141/1770 train_time:82144ms step_avg:582.58ms
step:142/1770 train_time:82734ms step_avg:582.63ms
step:143/1770 train_time:83324ms step_avg:582.69ms
step:144/1770 train_time:83918ms step_avg:582.77ms
step:145/1770 train_time:84504ms step_avg:582.78ms
step:146/1770 train_time:85100ms step_avg:582.88ms
step:147/1770 train_time:85694ms step_avg:582.95ms
step:148/1770 train_time:86284ms step_avg:583.00ms
step:149/1770 train_time:86880ms step_avg:583.09ms
step:150/1770 train_time:87477ms step_avg:583.18ms
step:151/1770 train_time:88075ms step_avg:583.28ms
step:152/1770 train_time:88670ms step_avg:583.35ms
step:153/1770 train_time:89261ms step_avg:583.41ms
step:154/1770 train_time:89860ms step_avg:583.50ms
step:155/1770 train_time:90456ms step_avg:583.59ms
step:156/1770 train_time:91054ms step_avg:583.68ms
step:157/1770 train_time:91650ms step_avg:583.76ms
step:158/1770 train_time:92242ms step_avg:583.81ms
step:159/1770 train_time:92839ms step_avg:583.89ms
step:160/1770 train_time:93435ms step_avg:583.97ms
step:161/1770 train_time:94029ms step_avg:584.03ms
step:162/1770 train_time:94624ms step_avg:584.10ms
step:163/1770 train_time:95221ms step_avg:584.18ms
step:164/1770 train_time:95820ms step_avg:584.27ms
step:165/1770 train_time:96418ms step_avg:584.35ms
step:166/1770 train_time:97016ms step_avg:584.44ms
step:167/1770 train_time:97613ms step_avg:584.51ms
step:168/1770 train_time:98207ms step_avg:584.57ms
step:169/1770 train_time:98801ms step_avg:584.62ms
step:170/1770 train_time:99398ms step_avg:584.69ms
step:171/1770 train_time:99993ms step_avg:584.76ms
step:172/1770 train_time:100591ms step_avg:584.83ms
step:173/1770 train_time:101182ms step_avg:584.87ms
step:174/1770 train_time:101780ms step_avg:584.94ms
step:175/1770 train_time:102378ms step_avg:585.01ms
step:176/1770 train_time:102975ms step_avg:585.09ms
step:177/1770 train_time:103571ms step_avg:585.15ms
step:178/1770 train_time:104167ms step_avg:585.21ms
step:179/1770 train_time:104763ms step_avg:585.27ms
step:180/1770 train_time:105359ms step_avg:585.33ms
step:181/1770 train_time:105955ms step_avg:585.38ms
step:182/1770 train_time:106554ms step_avg:585.46ms
step:183/1770 train_time:107147ms step_avg:585.50ms
step:184/1770 train_time:107746ms step_avg:585.58ms
step:185/1770 train_time:108342ms step_avg:585.63ms
step:186/1770 train_time:108938ms step_avg:585.69ms
step:187/1770 train_time:109537ms step_avg:585.76ms
step:188/1770 train_time:110137ms step_avg:585.84ms
step:189/1770 train_time:110738ms step_avg:585.91ms
step:190/1770 train_time:111336ms step_avg:585.98ms
step:191/1770 train_time:111936ms step_avg:586.05ms
step:192/1770 train_time:112537ms step_avg:586.13ms
step:193/1770 train_time:113134ms step_avg:586.19ms
step:194/1770 train_time:113735ms step_avg:586.26ms
step:195/1770 train_time:114333ms step_avg:586.32ms
step:196/1770 train_time:114934ms step_avg:586.40ms
step:197/1770 train_time:115535ms step_avg:586.47ms
step:198/1770 train_time:116135ms step_avg:586.54ms
step:199/1770 train_time:116735ms step_avg:586.61ms
step:200/1770 train_time:117335ms step_avg:586.68ms
step:201/1770 train_time:117939ms step_avg:586.76ms
step:202/1770 train_time:118538ms step_avg:586.82ms
step:203/1770 train_time:119136ms step_avg:586.88ms
step:204/1770 train_time:119735ms step_avg:586.94ms
step:205/1770 train_time:120335ms step_avg:587.00ms
step:206/1770 train_time:120934ms step_avg:587.06ms
step:207/1770 train_time:121533ms step_avg:587.12ms
step:208/1770 train_time:122133ms step_avg:587.18ms
step:209/1770 train_time:122736ms step_avg:587.25ms
step:210/1770 train_time:123332ms step_avg:587.30ms
step:211/1770 train_time:123934ms step_avg:587.36ms
step:212/1770 train_time:124536ms step_avg:587.43ms
step:213/1770 train_time:125136ms step_avg:587.49ms
step:214/1770 train_time:125737ms step_avg:587.56ms
step:215/1770 train_time:126337ms step_avg:587.62ms
step:216/1770 train_time:126935ms step_avg:587.66ms
step:217/1770 train_time:127532ms step_avg:587.71ms
step:218/1770 train_time:128132ms step_avg:587.76ms
step:219/1770 train_time:128733ms step_avg:587.82ms
step:220/1770 train_time:129336ms step_avg:587.89ms
step:221/1770 train_time:129937ms step_avg:587.95ms
step:222/1770 train_time:130538ms step_avg:588.01ms
step:223/1770 train_time:131139ms step_avg:588.07ms
step:224/1770 train_time:131741ms step_avg:588.13ms
step:225/1770 train_time:132341ms step_avg:588.18ms
step:226/1770 train_time:132944ms step_avg:588.25ms
step:227/1770 train_time:133547ms step_avg:588.31ms
step:228/1770 train_time:134152ms step_avg:588.38ms
step:229/1770 train_time:134752ms step_avg:588.44ms
step:230/1770 train_time:135352ms step_avg:588.49ms
step:231/1770 train_time:135952ms step_avg:588.54ms
step:232/1770 train_time:136552ms step_avg:588.59ms
step:233/1770 train_time:137151ms step_avg:588.63ms
step:234/1770 train_time:137749ms step_avg:588.67ms
step:235/1770 train_time:138349ms step_avg:588.72ms
step:236/1770 train_time:138950ms step_avg:588.77ms
step:237/1770 train_time:139551ms step_avg:588.82ms
step:238/1770 train_time:140152ms step_avg:588.88ms
step:239/1770 train_time:140753ms step_avg:588.92ms
step:240/1770 train_time:141356ms step_avg:588.98ms
step:241/1770 train_time:141959ms step_avg:589.04ms
step:242/1770 train_time:142562ms step_avg:589.10ms
step:243/1770 train_time:143166ms step_avg:589.16ms
step:244/1770 train_time:143767ms step_avg:589.21ms
step:245/1770 train_time:144367ms step_avg:589.25ms
step:246/1770 train_time:144968ms step_avg:589.30ms
step:247/1770 train_time:145571ms step_avg:589.35ms
step:248/1770 train_time:146174ms step_avg:589.41ms
step:249/1770 train_time:146781ms step_avg:589.48ms
step:250/1770 train_time:147385ms step_avg:589.54ms
step:250/1770 val_loss:4.4451 train_time:147394ms step_avg:589.58ms
step:251/1770 train_time:147977ms step_avg:589.55ms
step:252/1770 train_time:148574ms step_avg:589.58ms
step:253/1770 train_time:149169ms step_avg:589.60ms
step:254/1770 train_time:149767ms step_avg:589.63ms
step:255/1770 train_time:150365ms step_avg:589.67ms
step:256/1770 train_time:150962ms step_avg:589.70ms
step:257/1770 train_time:151560ms step_avg:589.73ms
step:258/1770 train_time:152155ms step_avg:589.75ms
step:259/1770 train_time:152748ms step_avg:589.76ms
step:260/1770 train_time:153347ms step_avg:589.79ms
step:261/1770 train_time:153947ms step_avg:589.84ms
step:262/1770 train_time:154548ms step_avg:589.88ms
step:263/1770 train_time:155145ms step_avg:589.91ms
step:264/1770 train_time:155747ms step_avg:589.95ms
step:265/1770 train_time:156347ms step_avg:589.99ms
step:266/1770 train_time:156947ms step_avg:590.03ms
step:267/1770 train_time:157547ms step_avg:590.06ms
step:268/1770 train_time:158147ms step_avg:590.10ms
step:269/1770 train_time:158748ms step_avg:590.14ms
step:270/1770 train_time:159349ms step_avg:590.18ms
step:271/1770 train_time:159950ms step_avg:590.22ms
step:272/1770 train_time:160553ms step_avg:590.27ms
step:273/1770 train_time:161156ms step_avg:590.32ms
step:274/1770 train_time:161760ms step_avg:590.37ms
step:275/1770 train_time:162365ms step_avg:590.42ms
step:276/1770 train_time:162966ms step_avg:590.46ms
step:277/1770 train_time:163569ms step_avg:590.50ms
step:278/1770 train_time:164171ms step_avg:590.54ms
step:279/1770 train_time:164774ms step_avg:590.59ms
step:280/1770 train_time:165376ms step_avg:590.63ms
step:281/1770 train_time:165976ms step_avg:590.66ms
step:282/1770 train_time:166582ms step_avg:590.71ms
step:283/1770 train_time:167186ms step_avg:590.76ms
step:284/1770 train_time:167788ms step_avg:590.80ms
step:285/1770 train_time:168394ms step_avg:590.85ms
step:286/1770 train_time:168999ms step_avg:590.90ms
step:287/1770 train_time:169603ms step_avg:590.95ms
step:288/1770 train_time:170206ms step_avg:590.99ms
step:289/1770 train_time:170809ms step_avg:591.04ms
step:290/1770 train_time:171413ms step_avg:591.08ms
step:291/1770 train_time:172017ms step_avg:591.12ms
step:292/1770 train_time:172621ms step_avg:591.17ms
step:293/1770 train_time:173224ms step_avg:591.21ms
step:294/1770 train_time:173827ms step_avg:591.25ms
step:295/1770 train_time:174433ms step_avg:591.30ms
step:296/1770 train_time:175039ms step_avg:591.35ms
step:297/1770 train_time:175644ms step_avg:591.40ms
step:298/1770 train_time:176250ms step_avg:591.44ms
step:299/1770 train_time:176858ms step_avg:591.50ms
step:300/1770 train_time:177465ms step_avg:591.55ms
step:301/1770 train_time:178070ms step_avg:591.59ms
step:302/1770 train_time:178677ms step_avg:591.65ms
step:303/1770 train_time:179283ms step_avg:591.69ms
step:304/1770 train_time:179885ms step_avg:591.73ms
step:305/1770 train_time:180491ms step_avg:591.77ms
step:306/1770 train_time:181098ms step_avg:591.82ms
step:307/1770 train_time:181702ms step_avg:591.86ms
step:308/1770 train_time:182311ms step_avg:591.92ms
step:309/1770 train_time:182918ms step_avg:591.97ms
step:310/1770 train_time:183524ms step_avg:592.01ms
step:311/1770 train_time:184131ms step_avg:592.06ms
step:312/1770 train_time:184740ms step_avg:592.12ms
step:313/1770 train_time:185345ms step_avg:592.16ms
step:314/1770 train_time:185955ms step_avg:592.21ms
step:315/1770 train_time:186561ms step_avg:592.26ms
step:316/1770 train_time:187167ms step_avg:592.30ms
step:317/1770 train_time:187773ms step_avg:592.34ms
step:318/1770 train_time:188379ms step_avg:592.39ms
step:319/1770 train_time:188987ms step_avg:592.44ms
step:320/1770 train_time:189594ms step_avg:592.48ms
step:321/1770 train_time:190198ms step_avg:592.52ms
step:322/1770 train_time:190808ms step_avg:592.57ms
step:323/1770 train_time:191414ms step_avg:592.61ms
step:324/1770 train_time:192020ms step_avg:592.66ms
step:325/1770 train_time:192628ms step_avg:592.70ms
step:326/1770 train_time:193239ms step_avg:592.76ms
step:327/1770 train_time:193846ms step_avg:592.80ms
step:328/1770 train_time:194454ms step_avg:592.85ms
step:329/1770 train_time:195059ms step_avg:592.89ms
step:330/1770 train_time:195669ms step_avg:592.94ms
step:331/1770 train_time:196276ms step_avg:592.98ms
step:332/1770 train_time:196885ms step_avg:593.03ms
step:333/1770 train_time:197493ms step_avg:593.07ms
step:334/1770 train_time:198103ms step_avg:593.12ms
step:335/1770 train_time:198711ms step_avg:593.17ms
step:336/1770 train_time:199321ms step_avg:593.22ms
step:337/1770 train_time:199930ms step_avg:593.26ms
step:338/1770 train_time:200538ms step_avg:593.31ms
step:339/1770 train_time:201150ms step_avg:593.36ms
step:340/1770 train_time:201759ms step_avg:593.41ms
step:341/1770 train_time:202370ms step_avg:593.46ms
step:342/1770 train_time:202981ms step_avg:593.51ms
step:343/1770 train_time:203590ms step_avg:593.56ms
step:344/1770 train_time:204200ms step_avg:593.60ms
step:345/1770 train_time:204808ms step_avg:593.65ms
step:346/1770 train_time:205418ms step_avg:593.69ms
step:347/1770 train_time:206031ms step_avg:593.75ms
step:348/1770 train_time:206640ms step_avg:593.79ms
step:349/1770 train_time:207249ms step_avg:593.84ms
step:350/1770 train_time:207861ms step_avg:593.89ms
step:351/1770 train_time:208473ms step_avg:593.94ms
step:352/1770 train_time:209080ms step_avg:593.98ms
step:353/1770 train_time:209693ms step_avg:594.03ms
step:354/1770 train_time:210302ms step_avg:594.07ms
step:355/1770 train_time:210910ms step_avg:594.11ms
step:356/1770 train_time:211521ms step_avg:594.16ms
step:357/1770 train_time:212132ms step_avg:594.21ms
step:358/1770 train_time:212743ms step_avg:594.25ms
step:359/1770 train_time:213352ms step_avg:594.30ms
step:360/1770 train_time:213963ms step_avg:594.34ms
step:361/1770 train_time:214574ms step_avg:594.39ms
step:362/1770 train_time:215187ms step_avg:594.44ms
step:363/1770 train_time:215800ms step_avg:594.49ms
step:364/1770 train_time:216410ms step_avg:594.53ms
step:365/1770 train_time:217021ms step_avg:594.58ms
step:366/1770 train_time:217632ms step_avg:594.62ms
step:367/1770 train_time:218241ms step_avg:594.66ms
step:368/1770 train_time:218854ms step_avg:594.71ms
step:369/1770 train_time:219466ms step_avg:594.76ms
step:370/1770 train_time:220077ms step_avg:594.80ms
step:371/1770 train_time:220686ms step_avg:594.84ms
step:372/1770 train_time:221299ms step_avg:594.89ms
step:373/1770 train_time:221912ms step_avg:594.94ms
step:374/1770 train_time:222525ms step_avg:594.99ms
step:375/1770 train_time:223138ms step_avg:595.03ms
step:375/1770 val_loss:4.1808 train_time:223148ms step_avg:595.06ms
step:376/1770 train_time:223746ms step_avg:595.07ms
step:377/1770 train_time:224344ms step_avg:595.08ms
step:378/1770 train_time:224946ms step_avg:595.09ms
step:379/1770 train_time:225543ms step_avg:595.10ms
step:380/1770 train_time:226144ms step_avg:595.12ms
step:381/1770 train_time:226745ms step_avg:595.13ms
step:382/1770 train_time:227348ms step_avg:595.15ms
step:383/1770 train_time:227950ms step_avg:595.17ms
step:384/1770 train_time:228555ms step_avg:595.19ms
step:385/1770 train_time:229160ms step_avg:595.22ms
step:386/1770 train_time:229760ms step_avg:595.23ms
step:387/1770 train_time:230362ms step_avg:595.25ms
step:388/1770 train_time:230965ms step_avg:595.27ms
step:389/1770 train_time:231570ms step_avg:595.30ms
step:390/1770 train_time:232177ms step_avg:595.32ms
step:391/1770 train_time:232781ms step_avg:595.35ms
step:392/1770 train_time:233387ms step_avg:595.37ms
step:393/1770 train_time:233992ms step_avg:595.40ms
step:394/1770 train_time:234598ms step_avg:595.43ms
step:395/1770 train_time:235215ms step_avg:595.48ms
step:396/1770 train_time:235831ms step_avg:595.53ms
step:397/1770 train_time:236451ms step_avg:595.59ms
step:398/1770 train_time:237070ms step_avg:595.65ms
step:399/1770 train_time:237688ms step_avg:595.71ms
step:400/1770 train_time:238302ms step_avg:595.75ms
step:401/1770 train_time:238916ms step_avg:595.80ms
step:402/1770 train_time:239533ms step_avg:595.85ms
step:403/1770 train_time:240152ms step_avg:595.91ms
step:404/1770 train_time:240769ms step_avg:595.96ms
step:405/1770 train_time:241386ms step_avg:596.02ms
step:406/1770 train_time:242003ms step_avg:596.07ms
step:407/1770 train_time:242620ms step_avg:596.12ms
step:408/1770 train_time:243239ms step_avg:596.17ms
step:409/1770 train_time:243855ms step_avg:596.22ms
step:410/1770 train_time:244475ms step_avg:596.28ms
step:411/1770 train_time:245089ms step_avg:596.32ms
step:412/1770 train_time:245706ms step_avg:596.37ms
step:413/1770 train_time:246326ms step_avg:596.43ms
step:414/1770 train_time:246947ms step_avg:596.49ms
step:415/1770 train_time:247567ms step_avg:596.55ms
step:416/1770 train_time:248190ms step_avg:596.61ms
step:417/1770 train_time:248805ms step_avg:596.65ms
step:418/1770 train_time:249430ms step_avg:596.72ms
step:419/1770 train_time:250050ms step_avg:596.78ms
step:420/1770 train_time:250669ms step_avg:596.83ms
step:421/1770 train_time:251290ms step_avg:596.89ms
step:422/1770 train_time:251912ms step_avg:596.95ms
step:423/1770 train_time:252532ms step_avg:597.00ms
step:424/1770 train_time:253149ms step_avg:597.05ms
step:425/1770 train_time:253769ms step_avg:597.10ms
step:426/1770 train_time:254389ms step_avg:597.16ms
step:427/1770 train_time:255009ms step_avg:597.21ms
step:428/1770 train_time:255631ms step_avg:597.27ms
step:429/1770 train_time:256250ms step_avg:597.32ms
step:430/1770 train_time:256870ms step_avg:597.37ms
step:431/1770 train_time:257489ms step_avg:597.42ms
step:432/1770 train_time:258109ms step_avg:597.48ms
step:433/1770 train_time:258730ms step_avg:597.53ms
step:434/1770 train_time:259349ms step_avg:597.58ms
step:435/1770 train_time:259969ms step_avg:597.63ms
step:436/1770 train_time:260589ms step_avg:597.68ms
step:437/1770 train_time:261209ms step_avg:597.73ms
step:438/1770 train_time:261826ms step_avg:597.78ms
step:439/1770 train_time:262446ms step_avg:597.83ms
step:440/1770 train_time:263067ms step_avg:597.88ms
step:441/1770 train_time:263686ms step_avg:597.93ms
step:442/1770 train_time:264307ms step_avg:597.98ms
step:443/1770 train_time:264929ms step_avg:598.03ms
step:444/1770 train_time:265551ms step_avg:598.09ms
step:445/1770 train_time:266172ms step_avg:598.14ms
step:446/1770 train_time:266797ms step_avg:598.20ms
step:447/1770 train_time:267422ms step_avg:598.26ms
