logs/f8e66c54-9ef1-44a4-9095-7c7c076f80cb.txt
begin training
  2%|█▋                                                                                                   | 30/1771 [00:41<16:40,  1.74it/s]
step:0/1770 val_loss:10.8258 train_time:3ms step_avg:2.78ms
step:1/1770 train_time:546ms step_avg:546.20ms
step:2/1770 train_time:1051ms step_avg:525.55ms
step:3/1770 train_time:1615ms step_avg:538.26ms
step:4/1770 train_time:2182ms step_avg:545.46ms
step:5/1770 train_time:2751ms step_avg:550.25ms
step:6/1770 train_time:3323ms step_avg:553.81ms
step:7/1770 train_time:3891ms step_avg:555.90ms
step:8/1770 train_time:4463ms step_avg:557.88ms
step:9/1770 train_time:5032ms step_avg:559.11ms
step:10/1770 train_time:5602ms step_avg:560.17ms
step:11/1770 train_time:6173ms step_avg:561.15ms
step:12/1770 train_time:6747ms step_avg:562.28ms
step:13/1770 train_time:7319ms step_avg:562.99ms
step:14/1770 train_time:7890ms step_avg:563.54ms
step:15/1770 train_time:8460ms step_avg:564.01ms
step:16/1770 train_time:9034ms step_avg:564.61ms
step:17/1770 train_time:9608ms step_avg:565.16ms
step:18/1770 train_time:10181ms step_avg:565.59ms
step:19/1770 train_time:10756ms step_avg:566.08ms
step:20/1770 train_time:11329ms step_avg:566.46ms
step:21/1770 train_time:11904ms step_avg:566.86ms
step:22/1770 train_time:12478ms step_avg:567.20ms
step:23/1770 train_time:13051ms step_avg:567.46ms
step:24/1770 train_time:13626ms step_avg:567.74ms
step:25/1770 train_time:14199ms step_avg:567.96ms
step:26/1770 train_time:14776ms step_avg:568.29ms
step:27/1770 train_time:15348ms step_avg:568.43ms
step:28/1770 train_time:15924ms step_avg:568.72ms
step:29/1770 train_time:16498ms step_avg:568.91ms
step:30/1770 train_time:17073ms step_avg:569.12ms
step:31/1770 train_time:17651ms step_avg:569.38ms
step:32/1770 train_time:18227ms step_avg:569.61ms
step:33/1770 train_time:18805ms step_avg:569.86ms
step:34/1770 train_time:19386ms step_avg:570.19ms
step:35/1770 train_time:19967ms step_avg:570.48ms
step:36/1770 train_time:20546ms step_avg:570.73ms
step:37/1770 train_time:21126ms step_avg:570.97ms
step:38/1770 train_time:21709ms step_avg:571.30ms
step:39/1770 train_time:22287ms step_avg:571.47ms
step:40/1770 train_time:22865ms step_avg:571.61ms
step:41/1770 train_time:23443ms step_avg:571.79ms
step:42/1770 train_time:24025ms step_avg:572.03ms
step:43/1770 train_time:24606ms step_avg:572.23ms
step:44/1770 train_time:25185ms step_avg:572.38ms
step:45/1770 train_time:25765ms step_avg:572.55ms
step:46/1770 train_time:26344ms step_avg:572.70ms
step:47/1770 train_time:26925ms step_avg:572.86ms
step:48/1770 train_time:27505ms step_avg:573.01ms
step:49/1770 train_time:28084ms step_avg:573.14ms
step:50/1770 train_time:28666ms step_avg:573.31ms
step:51/1770 train_time:29245ms step_avg:573.44ms
step:52/1770 train_time:29824ms step_avg:573.55ms
step:53/1770 train_time:30405ms step_avg:573.68ms
step:54/1770 train_time:30985ms step_avg:573.79ms
step:55/1770 train_time:31564ms step_avg:573.90ms
step:56/1770 train_time:32145ms step_avg:574.01ms
step:57/1770 train_time:32724ms step_avg:574.11ms
step:58/1770 train_time:33308ms step_avg:574.27ms
step:59/1770 train_time:33887ms step_avg:574.36ms
step:60/1770 train_time:34468ms step_avg:574.47ms
step:61/1770 train_time:35050ms step_avg:574.58ms
step:62/1770 train_time:35633ms step_avg:574.72ms
step:63/1770 train_time:36214ms step_avg:574.82ms
step:64/1770 train_time:36796ms step_avg:574.94ms
step:65/1770 train_time:37379ms step_avg:575.06ms
step:66/1770 train_time:37962ms step_avg:575.18ms
step:67/1770 train_time:38546ms step_avg:575.31ms
step:68/1770 train_time:39131ms step_avg:575.45ms
step:69/1770 train_time:39714ms step_avg:575.56ms
step:70/1770 train_time:40297ms step_avg:575.67ms
step:71/1770 train_time:40881ms step_avg:575.79ms
step:72/1770 train_time:41469ms step_avg:575.96ms
step:73/1770 train_time:42052ms step_avg:576.05ms
step:74/1770 train_time:42637ms step_avg:576.18ms
step:75/1770 train_time:43221ms step_avg:576.28ms
step:76/1770 train_time:43805ms step_avg:576.38ms
step:77/1770 train_time:44390ms step_avg:576.49ms
step:78/1770 train_time:44975ms step_avg:576.60ms
step:79/1770 train_time:45559ms step_avg:576.69ms
step:80/1770 train_time:46144ms step_avg:576.80ms
step:81/1770 train_time:46728ms step_avg:576.89ms
step:82/1770 train_time:47314ms step_avg:577.01ms
step:83/1770 train_time:47899ms step_avg:577.09ms
step:84/1770 train_time:48484ms step_avg:577.19ms
step:85/1770 train_time:49070ms step_avg:577.29ms
step:86/1770 train_time:49657ms step_avg:577.41ms
step:87/1770 train_time:50242ms step_avg:577.49ms
step:88/1770 train_time:50827ms step_avg:577.57ms
step:89/1770 train_time:51414ms step_avg:577.69ms
step:90/1770 train_time:52000ms step_avg:577.78ms
step:91/1770 train_time:52590ms step_avg:577.91ms
step:92/1770 train_time:53171ms step_avg:577.95ms
step:93/1770 train_time:53759ms step_avg:578.05ms
step:94/1770 train_time:54343ms step_avg:578.12ms
step:95/1770 train_time:54929ms step_avg:578.20ms
step:96/1770 train_time:55518ms step_avg:578.31ms
step:97/1770 train_time:56105ms step_avg:578.40ms
step:98/1770 train_time:56694ms step_avg:578.51ms
step:99/1770 train_time:57280ms step_avg:578.58ms
step:100/1770 train_time:57868ms step_avg:578.68ms
step:101/1770 train_time:58456ms step_avg:578.77ms
step:102/1770 train_time:59046ms step_avg:578.88ms
step:103/1770 train_time:59635ms step_avg:578.98ms
step:104/1770 train_time:60222ms step_avg:579.06ms
step:105/1770 train_time:60815ms step_avg:579.19ms
step:106/1770 train_time:61401ms step_avg:579.26ms
step:107/1770 train_time:61993ms step_avg:579.37ms
step:108/1770 train_time:62582ms step_avg:579.46ms
step:109/1770 train_time:63171ms step_avg:579.55ms
step:110/1770 train_time:63765ms step_avg:579.68ms
step:111/1770 train_time:64353ms step_avg:579.76ms
step:112/1770 train_time:64944ms step_avg:579.86ms
step:113/1770 train_time:65533ms step_avg:579.94ms
step:114/1770 train_time:66117ms step_avg:579.98ms
step:115/1770 train_time:66706ms step_avg:580.05ms
step:116/1770 train_time:67293ms step_avg:580.11ms
step:117/1770 train_time:67883ms step_avg:580.20ms
step:118/1770 train_time:68473ms step_avg:580.28ms
step:119/1770 train_time:69063ms step_avg:580.36ms
step:120/1770 train_time:69654ms step_avg:580.45ms
step:121/1770 train_time:70243ms step_avg:580.52ms
step:122/1770 train_time:70831ms step_avg:580.59ms
step:123/1770 train_time:71423ms step_avg:580.67ms
step:124/1770 train_time:72013ms step_avg:580.75ms
step:125/1770 train_time:72604ms step_avg:580.84ms
step:125/1770 val_loss:5.0471 train_time:72613ms step_avg:580.91ms
step:126/1770 train_time:73201ms step_avg:580.96ms
step:127/1770 train_time:73784ms step_avg:580.98ms
step:128/1770 train_time:74368ms step_avg:581.00ms
step:129/1770 train_time:74953ms step_avg:581.03ms
step:130/1770 train_time:75536ms step_avg:581.05ms
step:131/1770 train_time:76122ms step_avg:581.09ms
step:132/1770 train_time:76707ms step_avg:581.12ms
step:133/1770 train_time:77298ms step_avg:581.19ms
step:134/1770 train_time:77887ms step_avg:581.25ms
step:135/1770 train_time:78478ms step_avg:581.32ms
step:136/1770 train_time:79069ms step_avg:581.39ms
step:137/1770 train_time:79659ms step_avg:581.45ms
step:138/1770 train_time:80248ms step_avg:581.51ms
step:139/1770 train_time:80837ms step_avg:581.56ms
